Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.00177619210299;169.72538135042552;99.321;3.463657739365335;867923.9482000001;250580.17088;0.0;enero
T.HUEVOS KGS;0.78764938072335;2.55392845708549;85.326;3.2424686917674395;13060.0129;4027.79923;1.0;enero
T.HUEVOS UNDS.;12.88475560809053;2.55392845708549;85.326;0.19821318578071004;13060.0129;65888.719;1.0;enero
TOTAL HUEVOS GALLINA;12.20003378967501;2.47563422027384;84.772;0.20292027571013696;12659.64;62387.26;2.0;enero
OTRAS AVES;0.68472181841551;0.07829423681165;7.402;0.11434459178302532;400.3729;3501.459;2.0;enero
MIEL;0.04833617716202;0.35845465143717;11.782;7.415866799635078;1833.028;247.1765;1.0;enero
GRANEL;0.02294413033236;0.18866416026768;3.165;8.222763623408644;964.7710999999999;117.3293;2.0;enero
ENVASADA;0.02539204682966;0.1697904325035;8.669;6.686756433715937;868.2565999999999;129.8472;2.0;enero
TOTAL CARNE;4.14337523292868;36.79417236258285;98.037;8.88024142012728;188154.2;21187.96;1.0;enero
CARNE CERTIFICADA;0.58743210236289;6.00328841671994;51.378;10.21954433980071;30698.99;3003.949;2.0;enero
CARNE FRESCA;3.02551246486296;23.48945022981943;92.75;7.763792250938012;120117.9;15471.55;2.0;enero
SALCHICHAS FRESCAS;0.01647595699638;0.15038779176267;5.635;9.12771208347047;769.0374;84.25303;3.0;enero
CARNE VACUNO;0.35351419318235;4.67172110503372;49.525;13.21508781013451;23889.76;1807.764;3.0;enero
TERNERA;0.19855874595211;2.39292691286836;39.608;12.051480791712176;12236.7;1015.369;4.0;enero
AÑOJO;0.1357004101108;2.04169951982976;19.019;15.045640010686945;10440.63;693.9306;4.0;enero
MAYOR;0.01925495303152;0.23709467233559;5.337;12.31343810329809;1212.43;98.46397;4.0;enero
CARNE POLLO;1.1642188704154;6.09363012446851;80.703;5.234093244249017;31160.97;5953.461;3.0;enero
POLLO ENTERO;0.30485603753249;1.16078964796621;24.951;3.8076649469094725;5935.925;1558.941;4.0;enero
POLLO FILETES;0.11495553071539;0.8603967231138;29.715;7.484604853366758;4399.807;587.8475999999999;4.0;enero
POLLO POR PIEZAS;0.74440741949948;4.07244218896219;70.309;5.4707168175464505;20825.23;3806.673;4.0;enero
CARNE CONEJO;0.06566481884653;0.56874405244516;15.396;8.661320665094452;2908.384;335.78990000000005;3.0;enero
