Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;39.773747044796;134.07464119823075;99.463;3.3709331194575762;157678.09289;46775.799846;0.0;enero
T.HUEVOS KGS;0.58195769312668;1.80807374212107;67.295;3.1068817604366443;2126.37988;684.409657;1.0;enero
T.HUEVOS UNDS.;9.38851998804488;1.80807374212107;67.295;0.19258346836598672;2126.37988;11041.341699999999;1.0;enero
TOTAL HUEVOS GALLINA;9.03837950455988;1.77328867269708;66.052;0.19619542107105092;2085.471;10629.56;2.0;enero
OTRAS AVES;0.350140483485;0.03478506942399;6.117;0.09934603698998765;40.908879999999996;411.7817;2.0;enero
MIEL;0.01876676538759;0.1796304757693;6.344;9.571733437242305;211.2539;22.0706;1.0;enero
GRANEL;0.00683395333725;0.08781646589574;1.992;12.850024219082348;103.2763;8.037051;2.0;enero
ENVASADA;0.01193281290064;0.09181400987355;4.462;7.6942470009370405;107.97760000000001;14.03355;2.0;enero
TOTAL CARNE;3.00303278812012;27.25340678548361;95.655;9.075294446766268;32051.29;3531.708;1.0;enero
CARNE CERTIFICADA;0.45672184409496;4.49100210570038;43.412;9.833123078664538;5281.63;537.1264;2.0;enero
CARNE FRESCA;1.96263142955224;14.74942628421927;88.025;7.515127935959018;17346.02;2308.147;2.0;enero
SALCHICHAS FRESCAS;0.01333050352101;0.10868110644596;3.881;8.152813303311158;127.81410000000001;15.677299999999999;3.0;enero
CARNE VACUNO;0.191259856945;2.12969276586531;42.486;11.135074551884005;2504.619;224.9306;3.0;enero
TERNERA;0.13109781068552;1.49047687021263;30.271;11.369197261333063;1752.871;154.1772;4.0;enero
AÑOJO;0.04796189712701;0.50520723216064;12.2;10.533512275852779;594.1475;56.405449999999995;4.0;enero
MAYOR;0.01220014913246;0.13400857846142;4.196;10.98417543969696;157.6004;14.34795;4.0;enero
CARNE POLLO;0.81253897097559;4.35125175039754;71.214;5.355129914781965;5117.277;955.5840999999999;3.0;enero
POLLO ENTERO;0.16720002123484;0.72500336117834;16.213;4.336143953953287;852.6381;196.6351;4.0;enero
POLLO FILETES;0.09741429578312;0.78564021835336;28.686;8.06493761554697;923.9499000000001;114.5638;4.0;enero
POLLO POR PIEZAS;0.54792473898822;2.84060817086583;61.851;5.184303552548451;3340.689;644.3853;4.0;enero
CARNE CONEJO;0.01747661297726;0.134881502684;4.108;7.717828555192058;158.627;20.55332;3.0;enero
CARNE OVINO/CAPRINO;0.06787447546771;1.25494548704671;9.6;18.48921083218768;1475.875;79.82358;3.0;enero
CORDERO;0.06787447546771;1.25494548704671;9.6;18.48921083218768;1475.875;79.82358;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
