Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;61.85268675088267;202.04378283179054;99.745;3.2665320367656823;191723.914382;58693.413144;0.0;enero
T.HUEVOS KGS;0.76648078873444;2.53269661467961;87.043;3.304318453775471;2403.3330899999996;727.330953;1.0;enero
T.HUEVOS UNDS.;12.66617649640697;2.53269661467961;87.043;0.1999574706224936;2403.3330899999996;12019.221300000001;1.0;enero
TOTAL HUEVOS GALLINA;11.8485004401922;2.45733947911701;87.324;0.20739666521691566;2331.825;11243.31;2.0;enero
OTRAS AVES;0.81767605621477;0.07535713556259;10.977;0.0921601347989132;71.50809;775.9113000000001;2.0;enero
MIEL;0.04063057352031;0.26676864528608;13.741;6.5657120284723725;253.1428;38.55527;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.04063057352031;0.26676864528608;13.741;6.5657120284723725;253.1428;38.55527;2.0;enero
TOTAL CARNE;4.35232330078968;41.08321317083674;96.258;9.439375324756455;38984.79;4130.018;1.0;enero
CARNE CERTIFICADA;0.6390509527076;6.73268916900809;55.182;10.535449701596232;6388.801;606.4099;2.0;enero
CARNE FRESCA;3.30698726788251;26.42381965786318;89.055;7.990299785696646;25074.16;3138.075;2.0;enero
SALCHICHAS FRESCAS;0.01437589305017;0.12954923646273;7.63;9.011560952116355;122.9322;13.64161;3.0;enero
CARNE VACUNO;0.51307724490533;6.8364299784613;67.757;13.324367912131068;6487.243;486.87059999999997;3.0;enero
TERNERA;0.37149404503888;4.76484271445103;52.641;12.826161759745784;4521.467;352.5191;4.0;enero
AÑOJO;0.08150952345903;1.23420917968458;18.533;15.141901550987038;1171.169;77.34622999999999;4.0;enero
MAYOR;0.06007368694568;0.83737745202965;14.063;13.939171950387754;794.6064;57.00528;4.0;enero
CARNE POLLO;1.28124357361721;7.04575790177196;80.174;5.4991557006450895;6685.879;1215.801;3.0;enero
POLLO ENTERO;0.28513368344399;1.17313465243136;25.163;4.114332050361866;1113.214;270.5698;4.0;enero
POLLO FILETES;0.13575458968985;1.05791661622783;32.385;7.792860769162695;1003.881;128.8206;4.0;enero
POLLO POR PIEZAS;0.86035487895267;4.81470663311276;72.316;5.596186818832004;4568.784;816.4101999999999;4.0;enero
CARNE CONEJO;0.04739800630228;0.40907371645213;11.172;8.63061019577989;388.1793;44.97704;3.0;enero
CARNE OVINO/CAPRINO;0.16361102353681;1.91843673520938;14.78;11.725595829291573;1820.448;155.25420000000003;3.0;enero
CORDERO;0.1581622125082;1.83344244918482;12.512;11.592164905316166;1739.795;150.08370000000002;4.0;enero
CABRITO;0.00349998614624;0.06647150054572;1.552;18.99193247292558;63.07631;3.3212159999999997;4.0;enero
OTRO OVINO/CAPRINO;0.00194884595889;0.01852184757306;0.726;9.50400799435896;17.5758;1.849304;4.0;enero
OVINO/CAPRINO ENTE;0.03150430771139;0.44976344126595;2.497;14.276252167993805;426.7907;29.89515;4.0;enero
OVINO/CAPRINO PIEZ;0.13210676851675;1.46867297779541;12.228;11.117318168365916;1393.657;125.35910000000001;4.0;enero
CARNE CERDO;0.87292682089427;6.91067839347558;67.448;7.9166755197141265;6557.699;828.34;3.0;enero
CARNE CERDO ADOBAD;0.03174718315434;0.2526191247525;7.606;7.957213826636598;239.716;30.125619999999998;4.0;enero
CARN.CERDO IBERICO;0.00944763131941;0.12518302161818;2.468;13.250201811006294;118.789;8.965071;4.0;enero
