Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;48.69590400612285;212.74238832603734;99.661;4.368794309666945;470757.19214999996;107754.487573;0.0;enero
T.HUEVOS KGS;0.98297240631154;3.38225231413258;87.956;3.44084156626938;7484.2612;2175.1252000000004;1.0;enero
T.HUEVOS UNDS.;17.52077332362525;3.38225231413258;87.956;0.19304241038104789;7484.2612;38770.036;1.0;enero
TOTAL HUEVOS GALLINA;14.95860505694977;3.08625762962632;87.437;0.2063198819593444;6829.283;33100.46;2.0;enero
OTRAS AVES;2.56216826667548;0.29599468450625;16.298;0.11552507630200211;654.9781999999999;5669.576;2.0;enero
MIEL;0.02339144439681;0.16531871426749;6.24;7.067486362234808;365.8179;51.76068;1.0;enero
GRANEL;0.00406255741581;0.04468813021824;1.041;10.999999666282633;98.88607;8.989643;2.0;enero
ENVASADA;0.01932888833674;0.12063061568332;5.306;6.240949483575804;266.93190000000004;42.77104;2.0;enero
TOTAL CARNE;4.3784444186081;49.60543440020807;98.422;11.329465366601028;109767.1;9688.639;1.0;enero
CARNE CERTIFICADA;0.88199906775323;13.2467859684138;52.73;15.019047584889206;29312.54;1951.691;2.0;enero
CARNE FRESCA;3.29562276791153;34.16868937455682;91.672;10.367900630875246;75608.61;7292.567;2.0;enero
SALCHICHAS FRESCAS;0.02386431503286;0.26625992164636;9.904;11.1572413153168;589.181;52.807050000000004;3.0;enero
CARNE VACUNO;0.66665734932751;10.80751426604037;64.167;16.211497971097803;23914.91;1475.182;3.0;enero
TERNERA;0.42254557168091;6.81459835717137;50.008;16.127487338377485;15079.37;935.0105;4.0;enero
AÑOJO;0.16986977271461;2.75061153318861;28.89;16.192471969746347;6086.564;375.8885;4.0;enero
MAYOR;0.07424182416585;1.24230121227312;12.779;16.7331719853472;2748.969;164.2826;4.0;enero
CARNE POLLO;1.00355299163203;6.29397382899839;71.843;6.271690564902601;13927.33;2220.666;3.0;enero
POLLO ENTERO;0.20702896202536;1.06792245442791;16.799;5.158323956128871;2363.103;458.1145;4.0;enero
