Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;48.39258540616871;191.5211920969646;99.564;3.9576557129462846;198972.43099000002;50275.325956;0.0;enero
T.HUEVOS KGS;0.79850338408677;2.65871402659864;77.162;3.329621488879913;2762.15278;829.569604;1.0;enero
T.HUEVOS UNDS.;12.77894443313029;2.65871402659864;77.162;0.2080542755711301;2762.15278;13276.1164;1.0;enero
TOTAL HUEVOS GALLINA;12.42062851399018;2.62543017348438;75.823;0.21137659584031446;2727.574;12903.86;2.0;enero
OTRAS AVES;0.35831591914011;0.03328385311426;3.713;0.09288968571124633;34.57878;372.25640000000004;2.0;enero
MIEL;0.01733911216197;0.14306026069588;3.474;8.250725836446705;148.6261;18.0137;1.0;enero
GRANEL;0.00629855615662;0.05978347069901;1.229;9.491615095960102;62.109379999999994;6.5436049999999994;2.0;enero
ENVASADA;0.01104055119259;0.08327677074583;2.42;7.542809167146901;86.5167;11.47009;2.0;enero
TOTAL CARNE;3.8483767540708;42.16733624399677;98.021;10.957174657962533;43807.88;3998.1;1.0;enero
CARNE CERTIFICADA;0.88510990504191;10.26267490384564;59.314;11.594802911351;10661.95;919.5455999999999;2.0;enero
CARNE FRESCA;2.75741137130614;24.175652734581;90.751;8.767517602253648;25116.22;2864.69;2.0;enero
SALCHICHAS FRESCAS;0.01441251313101;0.13661694162138;5.846;9.47905062631735;141.93210000000002;14.97324;3.0;enero
CARNE VACUNO;0.49499667791934;6.37852877718334;56.006;12.886003203081431;6626.689;514.2547999999999;3.0;enero
TERNERA;0.4278848028821;5.45406553566556;55.204;12.746574542794342;5666.259;444.5319;4.0;enero
AÑOJO;0.05432444706109;0.6814916855392;12.658;12.544843480373231;708.0055;56.43797;4.0;enero
MAYOR;0.01278748572923;0.24297136346829;3.659;19.00071434001832;252.4243;13.28499;4.0;enero
CARNE POLLO;0.75181126311838;3.88685378375171;71.918;5.169986104796694;4038.074;781.0609000000001;3.0;enero
POLLO ENTERO;0.18685490558847;0.72751020918735;17.323;3.893449877037737;755.8144;194.12460000000002;4.0;enero
POLLO FILETES;0.10375726565826;0.75796552800733;25.294;7.3051802512199195;787.4546;107.794;4.0;enero
POLLO POR PIEZAS;0.46119909187164;2.40137804655702;57.769;5.206814343045897;2494.805;479.1423;4.0;enero
CARNE CONEJO;0.06227310027072;0.56461465178275;12.566;9.06675031961082;586.5813;64.69587;3.0;enero
CARNE OVINO/CAPRINO;0.24928406431775;3.6880570804689;19.749;14.79459623928403;3831.543;258.9826;3.0;enero
CORDERO;0.22063863089601;3.11157542123563;18.805;14.102586698437806;3232.633;229.2227;4.0;enero
CABRITO;0.02864547192379;0.57648137046785;2.26;20.12469447183025;598.9096999999999;29.75994;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.03347153138631;0.64380442928235;1.87;19.234388228365294;668.852;34.77376;4.0;enero
OVINO/CAPRINO PIEZ;0.21581259068452;3.04425265118655;17.986;14.106001144468394;3162.691;224.2089;4.0;enero
CARNE CERDO;0.89887641142604;7.16186369492105;68.342;7.967573299157882;7440.5;933.8476999999999;3.0;enero
CARNE CERDO ADOBAD;0.0507151777004;0.3941316867091;13.412;7.771474035591976;409.4656;52.68828;4.0;enero
CARN.CERDO IBERICO;0.02161433233457;0.25297410136645;5.673;11.70399795148128;262.81620000000004;22.45525;4.0;enero
CARNE DESPOJOS;0.05139685660218;0.45824319277605;13.328;8.915782463563142;476.07140000000004;53.396480000000004;3.0;enero
DESPOJOS CERDO;0.01444325702274;0.11705298815244;4.641;8.104334636438882;121.607;15.005180000000001;4.0;enero
DESPOJOS CORDERO;0.00218086522112;0.01112229105751;1.035;5.0999442559582775;11.55501;2.2657130000000003;4.0;enero
DESPOJOS POLLO;0.00729950854518;0.03372983205462;2.398;4.6208360255818555;35.04211;7.5835;4.0;enero
DESPOJOS TERNERA;0.02725670276325;0.2947110038752;6.569;10.812423147252867;306.17690000000005;28.31714;4.0;enero
DESPOJOS OT.PROCED;0.0002165124618;0.00162713346424;0.338;7.5151954333677145;1.690438;0.224936;4.0;enero
OTRAS CARNES FRESCA;0.24877246824842;2.03749607768876;47.252;8.190199229177203;2116.766;258.4511;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.12795446029318;0.98727838335862;26.832;7.715857509745541;1025.689;132.9326;4.0;enero
OTRAS AVES;0.01584766764354;0.12505352288256;9.53;7.890973340387009;129.9188;16.46423;2.0;enero
CARNE CABALLO;0.00730503744042;0.10778178931861;0.692;14.754447215032224;111.97510000000001;7.589244;4.0;enero
CARNE CONGELADA;0.05102044125153;0.30109435599745;7.843;5.901445550285234;312.80859999999996;53.00542;2.0;enero
C.CONG.POLLO;0.02661162006571;0.0963405183525;3.582;3.6202425149094153;100.0887;27.64696;3.0;enero
C.CONG.CERDO;0.02210094056954;0.17244300849035;3.51;7.802518989982487;179.152;22.96079;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.00230788350393;0.0323107714015;0.864;14.000174335699656;33.56784;2.3976729999999997;3.0;enero
