Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;44.80709787982676;140.66294490737445;99.421;3.139300502894304;186833.14555000002;59514.259745999996;0.0;enero
T.HUEVOS KGS;0.71226887829409;2.08515262217991;78.737;2.927479615807315;2769.56823;946.058929;1.0;enero
T.HUEVOS UNDS.;11.64796879441529;2.08515262217991;78.737;0.17901426926724415;2769.56823;15471.2149;1.0;enero
TOTAL HUEVOS GALLINA;11.03313315462863;2.0301688672805;77.76;0.18400655904608595;2696.537;14654.57;2.0;enero
OTRAS AVES;0.61483563978665;0.05498375489941;7.296;0.08942837945844025;73.03123;816.6449;2.0;enero
MIEL;0.03124519898822;0.33839856976974;7.859;10.830418135510312;449.47209999999995;41.5009;1.0;enero
GRANEL;0.01699080085045;0.22678463179814;4.658;13.347495141294608;301.2228;22.56774;2.0;enero
ENVASADA;0.01425439813777;0.1116139379716;3.989;7.830140346355282;148.24929999999998;18.93316;2.0;enero
TOTAL CARNE;3.87734497222375;31.10046533056116;97.909;8.021072551799344;41308.66;5150.017;1.0;enero
CARNE CERTIFICADA;0.61232644121053;6.2489223483605;52.421;10.205213963987502;8300.024;813.3121;2.0;enero
CARNE FRESCA;2.96863759361709;22.4931417595327;91.691;7.576924110876831;29876.13;3943.042;2.0;enero
SALCHICHAS FRESCAS;0.05646238117028;0.43814305285894;19.371;7.75991100229228;581.956;74.99519000000001;3.0;enero
CARNE VACUNO;0.40782351987207;4.76498827324914;56.142;11.683946709948927;6329.014;541.6845999999999;3.0;enero
TERNERA;0.33751453803423;3.96806852203784;47.728;11.756733636271774;5270.519;448.2979;4.0;enero
AÑOJO;0.05055365067664;0.60756726065386;13.289;12.018266782353113;806.9908;67.14702;4.0;enero
MAYOR;0.01975534621879;0.18935309286146;8.779;9.58490379082078;251.505;26.2397;4.0;enero
CARNE POLLO;1.05157916395106;5.81517385625793;77.674;5.529943969609277;7723.905;1396.742;3.0;enero
POLLO ENTERO;0.18851506209601;0.7223105444853;15.767;3.831580015168222;959.3965999999999;250.3919;4.0;enero
POLLO FILETES;0.18298139384874;1.39290862040377;35.625;7.612296480565696;1850.107;243.0419;4.0;enero
POLLO POR PIEZAS;0.68008293387031;3.69995439021684;67.836;5.440445872035966;4914.401;903.3085;4.0;enero
CARNE CONEJO;0.09247399589231;0.78376467838345;13.745;8.47551434130932;1041.022;122.827;3.0;enero
CARNE OVINO/CAPRINO;0.09152310840981;1.34450596304084;24.687;14.690344180843013;1785.817;121.564;3.0;enero
CORDERO;0.0893073824708;1.28405195497938;23.688;14.377892615978622;1705.52;118.621;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.00221571765733;0.06045464800948;1.016;27.2844546819577;80.29785000000001;2.942989;4.0;enero
OVINO/CAPRINO ENTE;0.00213120762643;0.03614644800724;1.253;16.960547418696173;48.0109;2.8307399999999996;4.0;enero
OVINO/CAPRINO PIEZ;0.08939185561058;1.30836019262562;23.354;14.636234852593883;1737.807;118.7332;4.0;enero
CARNE CERDO;0.92571192704653;6.85203873283147;73.626;7.401912552528911;9101.103;1229.561;3.0;enero
CARNE CERDO ADOBAD;0.0781785356775;0.6541934222894;19.59;8.367941617480087;868.9212;103.83930000000001;4.0;enero
CARN.CERDO IBERICO;0.03346424512818;0.45595416167885;5.032;13.625114205691963;605.6133000000001;44.44831;4.0;enero
CARNE DESPOJOS;0.07157372994875;0.41296606694187;18.512;5.7697994395086045;548.5151;95.06658;3.0;enero
DESPOJOS CERDO;0.04047057683647;0.22146794357655;11.071;5.4723199145743555;294.161;53.754349999999995;4.0;enero
DESPOJOS CORDERO;0.00163812315312;0.01799506752733;1.146;10.985173790530327;23.90164;2.175809;4.0;enero
DESPOJOS POLLO;0.01733629749789;0.08221480082586;3.946;4.742350599132135;109.20039999999999;23.02664;4.0;enero
DESPOJOS TERNERA;0.01212873170838;0.09128828512732;6.033;7.526614267854683;121.25210000000001;16.10978;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.32795213343892;2.51970200547587;58.398;7.683139545561401;3346.751;435.5968;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.19843666575537;1.51086760543491;41.062;7.613853012917628;2006.784;263.57009999999997;4.0;enero
OTRAS AVES;0.03313540971589;0.26964345703333;8.266;8.137622541724284;358.1493;44.011540000000004;2.0;enero
CARNE CABALLO;0.00038452745414;0.00534062001921;0.306;13.888787293780421;7.093587;0.510742;4.0;enero
CARNE CONGELADA;0.0641339953203;0.34817208192648;8.591;5.428822579781763;462.4536;85.18488;2.0;enero
C.CONG.POLLO;0.04690449385518;0.17429541690059;5.494;3.7159641342412186;231.5049;62.30009;3.0;enero
C.CONG.CERDO;0.00506004045267;0.0464170717926;1.971;9.173261009815334;61.652680000000004;6.720912;3.0;enero
C.CONG.VACA;0.00561752176678;0.07121603664477;1.176;12.677482990070061;94.59147999999999;7.461377000000001;3.0;enero
RESTO CARNES CONG.;0.00655193548126;0.05624357917491;1.592;8.584269386621953;74.70457;8.702496;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.84457329294075;8.25915419947009;92.806;9.779085212027207;10970.08;1121.79;2.0;enero
JAMON CURADO+PALETA;0.12391501897728;1.90921492547553;46.876;15.407453763336331;2535.882;164.588;3.0;enero
JAMON C.+P.ENTERO;0.03739920273922;0.38660314439581;5.93;10.337202830003513;513.499;49.67485;4.0;enero
JAMON C.+P.LONCHA;0.08651585388206;1.52261178107971;43.894;17.59922271766864;2022.383;114.9132;4.0;enero
JAMON CURADO NORMAL;0.1023718085426;1.39585012269521;44.752;13.635102696405772;1854.014;135.9736;3.0;enero
JAMON C.N.ENTER/PI;0.03032413308386;0.29345878412155;4.973;9.677400613890978;389.78159999999997;40.27751;4.0;enero
JAMON C.N.LONCHA;0.07204768298753;1.10239103742165;42.225;15.30085343080857;1464.232;95.6961;4.0;enero
JAMON IBERICO;0.01218229912278;0.29750340623829;4.507;24.420957262654248;395.1538;16.18093;3.0;enero
JAMON IBE.ENTER/PI;0.00583868479394;0.07707067270799;0.209;13.200005725240302;102.3678;7.755133;4.0;enero
JAMON IBE.LONCHA;0.00634361131731;0.22043273353029;4.272;34.748776762021095;292.786;8.425793;4.0;enero
PALETA CURADA NORM.;0.00643978647144;0.11524319617377;4.872;17.89549959221543;153.0698;8.553536;3.0;enero
PALETA C.N.ENTR/PI;0.00123638034412;0.01607364992227;0.74;13.000570575709064;21.34955;1.642201;4.0;enero
PALETA C.N.LONCHA;0.0052034068802;0.09916958389551;4.312;19.058587225393175;131.72029999999998;6.911336;4.0;enero
PALETA IBERICA;0.00292114667397;0.10061797450423;1.634;34.44468413745183;133.6441;3.879963;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.00292114667397;0.10061797450423;1.634;34.44468413745183;133.6441;3.879963;4.0;enero
HUESOS JAMON CURADO;0.00435583561896;0.01085902211804;1.944;2.492982533768531;14.423309999999999;5.785564;3.0;enero
LOMO EMBUCHADO N+IB;0.01061151280698;0.27967166850546;10.695;26.35549460217275;371.46909999999997;14.09456;3.0;enero
LOMO EMB.AL CORTE;0.00289773436356;0.11652497443105;1.964;40.212441794544155;154.7723;3.848866;4.0;enero
LOMO EMB.ENVASADO;0.00771377543189;0.1631466940744;8.37;21.150044555320335;216.6968;10.24569;4.0;enero
LOMO EMB.NORMAL;0.00640481218236;0.14790659528138;8.15;23.09304177390085;196.4544;8.507082;4.0;enero
LOMO E.N.AL CORTE;0.00125689707792;0.05688020700255;1.17;45.25446673519215;75.55016;1.669452;5.0;enero
LOMO E.N.ENVASADO;0.00514791435156;0.09102643345162;7.209;17.682196562580394;120.9043;6.837629;5.0;enero
LOMO EMB.IBERICO;0.00420669987174;0.13176507322407;2.448;31.32267032150647;175.0147;5.587477;4.0;enero
LOMO E.I.AL CORTE;0.00164083653276;0.05964475989969;0.929;36.350214484358865;79.22213;2.179413;5.0;enero
LOMO E.I.ENVASADO;0.00256586258609;0.07212027568038;1.318;28.107614207835947;95.79252000000001;3.4080630000000003;5.0;enero
OTRAS SALAZONES;0.03596902429851;0.26544569911775;12.203;7.3798415246056335;352.57370000000003;47.77524;3.0;enero
O.SALAZONES AL COR;0.01810123114087;0.12203914308546;5.094;6.7420355077331315;162.0964;24.042650000000002;4.0;enero
O.SALAZONES ENVASA;0.01786779315764;0.14340655603229;7.767;8.025980308091109;190.47729999999999;23.732590000000002;4.0;enero
TOCINO Y MANTECA;0.03346736205152;0.22932447259163;17.619;6.852182500627074;304.5963;44.45245;3.0;enero
TOCINO;0.00036464088093;0.00492647050014;0.418;13.510472241951735;6.5435;0.484328;4.0;enero
CHORIZOS;0.08052533803037;0.84687785872374;37.383;10.516911563964385;1124.851;106.95639999999999;3.0;enero
CHOR.IBERICO;0.00357018949337;0.05120404868011;2.791;14.342109508496653;68.01089999999999;4.742043;4.0;enero
CHOR.NORMAL;0.07695518091083;0.79567373475562;36.218;10.339443366101058;1056.84;102.2144;4.0;enero
CHORIZO DE PAVO;0.00187184346636;0.02988124387527;2.445;15.963537770226896;39.68925;2.486244;4.0;enero
CHORIZO DE CERDO;0.06946115610315;0.72862284126337;36.736;10.4896446034;967.7808;92.26059;4.0;enero
SALCHICHON/SALAMI;0.02521557101878;0.26734619418668;14.77;10.60242474729153;355.098;33.49215;3.0;enero
SALCHICHON DE PAVO;0.00121094805659;0.0189053070168;2.18;15.611988403533651;25.11065;1.608421;4.0;enero
SALCHICHON DE CERD;0.02400462371507;0.24844084952587;13.213;10.349708142679669;329.9873;31.88373;4.0;enero
FUET/LONGANIZAS;0.061875972581;0.72227794477984;35.384;11.672995423778103;959.3533;82.1857;3.0;enero
FUET/LONGANIZ.PAVO;0.00242988642898;0.04036337424848;2.718;16.611218436817865;53.611959999999996;3.227455;4.0;enero
FUET/LONGANIZ.CERD;0.05878997002469;0.66748100200317;33.852;11.353654402660014;886.5702;78.08677;4.0;enero
OTROS PROD.CURADOS;0.04575905464319;0.48624576281646;24.863;10.626219588842666;645.8475999999999;60.77868;3.0;enero
O.PROD.CURAD.CORTE;0.00784672651704;0.11474079932732;3.468;14.622760087044293;152.4025;10.42228;4.0;enero
O.PROD.CURAD.ENVAS;0.03791232812615;0.37150503877714;21.462;9.799056326504674;493.4452;50.3564;4.0;enero
SALCHICHAS;0.10228838943487;0.41956024200454;32.13;4.101738665771646;557.2737;135.8628;3.0;enero
JAMON COCIDO;0.07211282216804;0.74351548592087;34.354;10.310447761817333;987.5617;95.78262;3.0;enero
J.COC.SIN/BAJO SAL;0.00269810069384;0.03528510054715;1.801;13.07775526228993;46.86683;3.5837060000000003;4.0;enero
PALETA COCIDA;0.00996859843105;0.10740443512749;2.004;10.7742764311641;142.65810000000002;13.240620000000002;3.0;enero
FIAMBRES;0.15650900254579;1.14977730673916;52.347;7.346397255344901;1527.172;207.88039999999998;3.0;enero
PAVO;0.07571127251924;0.66291004145492;33.172;8.75576409426206;880.4989;100.56219999999999;4.0;enero
POLLO;0.00513022543517;0.05838610258825;6.854;11.380806423824362;77.55033999999999;6.814134;4.0;enero
PROD.A BASE SANGRE;0.02173881619622;0.1865812144416;9.054;8.582859929327936;247.8233;28.874209999999998;3.0;enero
MORCILLA;0.02173881619622;0.1865812144416;9.054;8.582859929327936;247.8233;28.874209999999998;4.0;enero
FOIE-GRAS Y PATES;0.01948732845561;0.23733489028559;17.365;12.178934163611013;315.236;25.88371;3.0;enero
COCIDOS Y OTROS;0.0407732948404;0.3977202462606;24.02;9.754429898721167;528.2651;54.15643;3.0;enero
COCIDOS Y O. CORTE;0.00674626059386;0.07600361583631;3.036;11.266036166084769;100.9505;8.960605;4.0;enero
COCIDOS Y O.ENVASA;0.03402703048213;0.32171663042428;22.153;9.4547371858725;427.3146;45.19582;4.0;enero
COCIDOS DE PAVO;0.00187368350516;0.02761640004287;0.714;14.739095459133486;36.68101;2.4886880000000002;4.0;enero
COCIDOS DE CERDO;0.03841592958066;0.36431879885601;23.208;9.48353463869884;483.9002;51.0253;4.0;enero
TOTAL PESCA;1.61382620867573;16.89087861238893;90.639;10.466355374318242;22435.02;2143.537;1.0;enero
PESCADOS;0.85755746200097;8.84863667941182;75.181;10.318418381859747;11753.05;1139.036;2.0;enero
