Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.08132076026729;143.44174073937106;99.544;2.922532208128579;358948.400676;122821.024753;0.0;enero
T.HUEVOS KGS;0.76495798957235;2.33190368681184;72.468;3.04840751858215;5835.352349999999;1914.229746;1.0;enero
T.HUEVOS UNDS.;12.23304212932871;2.33190368681184;72.468;0.1906233676103433;5835.352349999999;30611.946600000003;1.0;enero
TOTAL HUEVOS GALLINA;11.90051052368639;2.29702061400274;72.196;0.19301866163059414;5748.061;29779.82;2.0;enero
OTRAS AVES;0.33253160564232;0.03488307280909;4.5;0.10490152580148263;87.29135000000001;832.1265999999999;2.0;enero
MIEL;0.01902085918548;0.13776015144614;6.906;7.242583003363393;344.7308;47.59777;1.0;enero
GRANEL;0.00385509018549;0.03371868593424;1.214;8.74653621882597;84.37759;9.646972;2.0;enero
ENVASADA;0.01516576979922;0.10404146151573;5.753;6.860282260189509;260.3532;37.9508;2.0;enero
TOTAL CARNE;4.15392268241714;33.2106413576112;97.522;7.995007104534299;83106.26;10394.77;1.0;enero
CARNE CERTIFICADA;0.7702721926694;7.50687382544449;57.31;9.745741696099874;18785.19;1927.528;2.0;enero
CARNE FRESCA;3.18550019724494;24.04504293018415;92.809;7.5482785877646705;60170.28;7971.391;2.0;enero
SALCHICHAS FRESCAS;0.04454965858393;0.36736582532163;13.687;8.246209668015178;919.2956999999999;111.481;3.0;enero
CARNE VACUNO;0.548827049494;6.27419646920495;62.07;11.432010275349064;15700.54;1373.384;3.0;enero
TERNERA;0.41530595105534;4.71946409597256;54.16;11.363824871711726;11809.98;1039.261;4.0;enero
AÑOJO;0.11121645774806;1.33437378760212;17.372;11.997988558715006;3339.135;278.3079;4.0;enero
MAYOR;0.0223047805564;0.22035834586029;6.576;9.879422274656928;551.4244;55.81545;4.0;enero
CARNE POLLO;1.08029795066122;5.58749130144343;76.601;5.1721761556832;13982.13;2703.336;3.0;enero
POLLO ENTERO;0.23248710939561;1.00724284051057;21.721;4.332467477999242;2520.523;581.7754;4.0;enero
POLLO FILETES;0.15559416130748;1.10174177722604;32.946;7.080868382000552;2756.997;389.35859999999997;4.0;enero
POLLO POR PIEZAS;0.69221667995812;3.47850828217322;64.579;5.025172583797963;8704.614;1732.202;4.0;enero
CARNE CONEJO;0.06560485800177;0.54149568328468;9.157;8.253896125650623;1355.038;164.1695;3.0;enero
CARNE OVINO/CAPRINO;0.11993848973785;1.66378694511673;14.605;13.872001796531478;4163.458;300.13390000000004;3.0;enero
CORDERO;0.10244539280102;1.48133678973548;14.551;14.459769729348508;3706.895;256.3592;4.0;enero
CABRITO;0.01178235987867;0.11241362916907;0.613;9.540841590874559;281.3037;29.48416;4.0;enero
OTRO OVINO/CAPRINO;0.00571071308115;0.07003668605881;0.717;12.264087700343167;175.2597;14.290479999999999;4.0;enero
OVINO/CAPRINO ENTE;0.0442383972114;0.55881266918431;2.544;12.631847092331583;1398.372;110.7021;4.0;enero
OVINO/CAPRINO PIEZ;0.07570009252644;1.10497467554902;12.333;14.596741413004576;2765.087;189.43179999999998;4.0;enero
CARNE CERDO;1.00596886277835;7.33736045837099;77.344;7.293824620084335;18361.0;2517.335;3.0;enero
CARNE CERDO ADOBAD;0.14822355274769;1.21080713875869;30.909;8.168790427117417;3029.922;370.9144;4.0;enero
CARN.CERDO IBERICO;0.02029369801038;0.27725451906684;4.922;13.662099383020907;693.8013000000001;50.78292;4.0;enero
CARNE DESPOJOS;0.10451436780441;0.6798761196229;17.523;6.5050971833387745;1701.321;261.5366;3.0;enero
DESPOJOS CERDO;0.06594884797413;0.41233160467487;13.362;6.252294275657259;1031.818;165.03029999999998;4.0;enero
DESPOJOS CORDERO;0.00238973925874;0.01233692382412;0.732;5.162456020655242;30.8719;5.98008;4.0;enero
DESPOJOS POLLO;0.00913367705313;0.04068872280676;1.927;4.454802000341266;101.81939999999999;22.856099999999998;4.0;enero
DESPOJOS TERNERA;0.02634991561083;0.21063998975446;5.627;7.99395310654753;527.1052;65.93799;4.0;enero
DESPOJOS OT.PROCED;0.00069219310257;0.00387870992446;0.179;5.603508486308578;9.706078;1.732143;4.0;enero
