Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;47.42108833853067;140.14275599031794;99.536;2.9552834171553357;715967.70089;242267.018024;0.0;enero
T.HUEVOS KGS;0.76465947253609;2.35904172440711;85.508;3.085087949781147;12051.97991;3906.5271740000003;1.0;enero
T.HUEVOS UNDS.;12.09258771155427;2.35904172440711;85.508;0.19508163022485994;12051.97991;61779.1634;1.0;enero
TOTAL HUEVOS GALLINA;11.92099250778801;2.34304791356217;85.152;0.19654805688632537;11970.27;60902.51;2.0;enero
OTRAS AVES;0.17159520376626;0.01599381084493;2.0;0.09320663103570921;81.70991000000001;876.6534;2.0;enero
MIEL;0.04042850706048;0.26766340378692;10.283;6.620660104675539;1367.451;206.543;1.0;enero
GRANEL;0.00995773293698;0.08016486166933;1.312;8.050513322320185;409.54990000000004;50.872519999999994;2.0;enero
ENVASADA;0.03047077803827;0.18749854211758;8.671;6.153388728114832;957.9010999999999;155.6705;2.0;enero
TOTAL CARNE;3.81736728132115;29.15024488036819;98.115;7.636216987294858;148924.1;19502.34;1.0;enero
CARNE CERTIFICADA;0.53363151264905;4.75159007511357;52.924;8.904253145631658;24275.14;2726.241;2.0;enero
CARNE FRESCA;2.88018491481625;19.9759218017541;91.954;6.935638645627894;102053.9;14714.42;2.0;enero
SALCHICHAS FRESCAS;0.02299548849812;0.19099676880808;7.687;8.305836548053975;975.773;117.48039999999999;3.0;enero
CARNE VACUNO;0.31283642691737;3.52840376225646;53.193;11.278749719221166;18026.07;1598.233;3.0;enero
TERNERA;0.2277951015613;2.54708226568113;42.806;11.18146197272657;13012.65;1163.77;4.0;enero
AÑOJO;0.06771400581915;0.78747496459787;16.878;11.629425184222486;4023.088;345.9404;4.0;enero
MAYOR;0.01732735085514;0.19384498563986;5.168;11.187225748496772;990.3240999999999;88.52275999999999;4.0;enero
CARNE POLLO;1.23066588907994;6.32597510173999;81.093;5.140286374939123;32318.43;6287.282;3.0;enero
POLLO ENTERO;0.32881048574627;1.25124177029446;27.294;3.805358480142775;6392.401;1679.842;4.0;enero
POLLO FILETES;0.13641263720812;1.00560486897684;30.07;7.371786731478376;5137.48;696.9111;4.0;enero
POLLO POR PIEZAS;0.76544258996049;4.06912865820762;74.262;5.316046835619129;20788.55;3910.528;4.0;enero
CARNE CONEJO;0.07470069182723;0.63622592283083;17.312;8.517001747484438;3250.38;381.6343;3.0;enero
CARNE OVINO/CAPRINO;0.08184702251151;1.14093779064003;15.203;13.9398814474829;5828.875;418.1438;3.0;enero
CORDERO;0.07447216661943;1.04665934915468;13.687;14.054369527117741;5347.221;380.4668;4.0;enero
CABRITO;0.00737485784946;0.09427855892871;1.546;12.783779816922838;481.65459999999996;37.67701;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.01760973363117;0.16232563412138;0.969;9.217949431898326;829.2966;89.96541;4.0;enero
OVINO/CAPRINO PIEZ;0.06423729083773;0.97861227396201;14.382;15.234332911611489;4999.579;328.1784;4.0;enero
CARNE CERDO;0.84625575855979;6.00671511015956;78.207;7.097990234515045;30687.38;4323.39;3.0;enero
CARNE CERDO ADOBAD;0.06582534039948;0.52071841930149;21.172;7.910607315379663;2660.27;336.2915;4.0;enero
CARN.CERDO IBERICO;0.01790353190196;0.18940548955388;5.809;10.579224847424813;967.6434;91.46638;4.0;enero
CARNE DESPOJOS;0.08085024155377;0.40758855662787;16.8;5.041278155696845;2082.307;413.0514;3.0;enero
DESPOJOS CERDO;0.02765902737026;0.16727941468784;9.502;6.047913849193628;854.6047;141.3057;4.0;enero
DESPOJOS CORDERO;0.00330669222682;0.02796183550427;1.572;8.456134888340877;142.8527;16.89338;4.0;enero
DESPOJOS POLLO;0.03756496387;0.13430854151547;7.615;3.5753672485952013;686.1616;191.9136;4.0;enero
DESPOJOS TERNERA;0.0094819170296;0.06133205525388;3.002;6.468318069264775;313.336;48.44165;4.0;enero
DESPOJOS OT.PROCED;0.00283763322751;0.01670669204989;0.788;5.887544552228974;85.35191;14.49703;4.0;enero
OTRAS CARNES FRESCA;0.2530285907582;1.93008182114528;47.978;7.6279198938023525;9860.49;1292.684;3.0;enero
AVESTRUZ;7.88465795e-05;0.00091917575456;0.061;11.657775902089048;4.695926999999999;0.402815;4.0;enero
PAVO;0.11040658600468;0.85654908198779;24.418;7.758133939142297;4375.977;564.0501999999999;4.0;enero
OTRAS AVES;0.02291276922376;0.1683131315828;9.332;7.345822320255464;859.8858;117.0578;2.0;enero
CARNE CABALLO;0.00966610736839;0.10681025495946;1.362;11.049976054342974;545.6771;49.38265;4.0;enero
CARNE CONGELADA;0.08856313858834;0.44526086373038;12.172;5.027609351109524;2274.769;452.4554;2.0;enero
C.CONG.POLLO;0.06417414545697;0.2427744151174;8.309;3.783056453477413;1240.297;327.8558;3.0;enero
C.CONG.CERDO;0.01174500363042;0.11045025536131;2.382;9.404020538166082;564.2733000000001;60.00341;3.0;enero
C.CONG.VACA;0.00117959955806;0.01030182828477;0.362;8.733326673737785;52.630449999999996;6.0263919999999995;3.0;enero
RESTO CARNES CONG.;0.01146439620653;0.08173427688437;3.653;7.129400921942235;417.5678;58.56983;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.84861911047319;8.72905614697669;93.116;10.28618851407831;44595.4;4335.464;2.0;enero
JAMON CURADO+PALETA;0.15638211919888;2.26992571923661;48.883;14.515251045739683;11596.7;798.9321;3.0;enero
JAMON C.+P.ENTERO;0.07275209114535;0.75004302490878;8.301;10.3095734170758;3831.854;371.67920000000004;4.0;enero
JAMON C.+P.LONCHA;0.08363002805353;1.51988269432783;45.373;18.173887175487867;7764.846;427.2529;4.0;enero
JAMON CURADO NORMAL;0.14017834115467;1.82521351174386;44.908;13.020652810621247;9324.734;716.1495;3.0;enero
JAMON C.N.ENTER/PI;0.06454105809252;0.62131120312361;7.795;9.626603924480097;3174.183;329.7303;4.0;enero
JAMON C.N.LONCHA;0.07563726348825;1.20390230862025;41.483;15.916788274699675;6150.551;386.41909999999996;4.0;enero
JAMON IBERICO;0.00557224318084;0.24699337214418;5.306;44.325662776765135;1261.851;28.46773;3.0;enero
