Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;58.38374643139466;169.8371691646163;99.524;2.908980316365753;161251.10061000002;55432.173158;0.0;enero
T.HUEVOS KGS;0.60666867598112;2.07170359082818;81.679;3.4148847185455025;1966.96922;575.9987179999999;1.0;enero
T.HUEVOS UNDS.;9.93996187355764;2.07170359082818;81.679;0.20842168382349044;1966.96922;9437.45;1.0;enero
TOTAL HUEVOS GALLINA;9.39387143047314;2.01237081989803;81.234;0.21422166939287923;1910.636;8918.967;2.0;enero
OTRAS AVES;0.54609044308449;0.05933277093014;7.029;0.10865008110198408;56.333220000000004;518.483;2.0;enero
MIEL;0.06060080607718;0.41219826296795;17.834;6.801861058463967;391.35970000000003;57.537150000000004;1.0;enero
GRANEL;0.00712621786586;0.08693960644831;0.824;12.199964705642397;82.5444;6.765954;2.0;enero
ENVASADA;0.0534745924243;0.32525865651963;16.32;6.082489679188201;308.8153;50.7712;2.0;enero
TOTAL CARNE;4.08958581833025;33.70872474861793;95.903;8.24257669261504;32004.59;3882.838;1.0;enero
CARNE CERTIFICADA;0.7797182275935;7.11269944610013;52.808;9.122140786746126;6753.119;740.2998;2.0;enero
CARNE FRESCA;3.07002207040668;23.06965992954082;93.138;7.5144931861955016;21903.38;2914.818;2.0;enero
SALCHICHAS FRESCAS;0.02534773747548;0.21312539203705;9.463;8.408063727313182;202.3509;24.066290000000002;3.0;enero
CARNE VACUNO;0.40606720933989;5.06843526671482;52.54;12.481764471832394;4812.202;385.5386;3.0;enero
TERNERA;0.31568201205155;3.90002776629357;45.106;12.3542920325047;3702.863;299.7228;4.0;enero
AÑOJO;0.07356941006977;1.06347570405921;10.554;14.455406167461677;1009.712;69.85013000000001;4.0;enero
MAYOR;0.01681582934842;0.10493227032299;5.112;6.240088915557154;99.62745;15.96571;4.0;enero
CARNE POLLO;1.22464138821839;7.047647777991;81.551;5.754866564034642;6691.356;1162.73;3.0;enero
POLLO ENTERO;0.14048645158755;0.56088876808922;17.217;3.9924758704554204;532.5332;133.38420000000002;4.0;enero
POLLO FILETES;0.15028153939495;1.17041604163661;29.793;7.788155793112198;1111.246;142.6841;4.0;enero
POLLO POR PIEZAS;0.93387339723588;5.31634317891448;71.774;5.692787903210435;5047.577;886.6617;4.0;enero
CARNE CONEJO;0.03280710355197;0.28328635927345;7.031;8.634909169126653;268.9649;31.14855;3.0;enero
CARNE OVINO/CAPRINO;0.10839550304312;1.27350570974188;10.964;11.748695047203727;1209.124;102.91560000000001;3.0;enero
CORDERO;0.10839550304312;1.27350570974188;10.964;11.748695047203727;1209.124;102.91560000000001;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.04541432811278;0.30276225763503;1.023;6.666668212796295;287.4562;43.11842;4.0;enero
OVINO/CAPRINO PIEZ;0.06298114333293;0.9707435574315;10.087;15.413241266515211;921.6679;59.79715;4.0;enero
CARNE CERDO;1.02908098928491;7.39037210646235;73.167;7.181526219425885;7016.754;977.0561;3.0;enero
CARNE CERDO ADOBAD;0.05097508031878;0.45794697580285;8.803;8.983742113576888;434.7956;48.398050000000005;4.0;enero
CARN.CERDO IBERICO;0.00620496941933;0.08092646377414;1.43;13.042201871613955;76.83525;5.891279000000001;4.0;enero
CARNE DESPOJOS;0.0614474478027;0.362146721907;10.52;5.893600708524144;343.8385;58.34099;3.0;enero
DESPOJOS CERDO;0.03544693969846;0.23684081850563;8.218;6.681558987048851;224.8674;33.65493;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.02371796479282;0.10734236179444;3.137;4.5257829974896655;101.9157;22.518909999999998;4.0;enero
DESPOJOS TERNERA;0.00228254647115;0.01796355213939;1.172;7.869961188711641;17.05541;2.167153;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.20758247129554;1.64427062173523;35.573;7.921047531003885;1561.145;197.0882;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.10283481403191;0.88651658753281;17.844;8.620782717199788;841.699;97.63603;4.0;enero
OTRAS AVES;0.02205994403707;0.11917232198152;2.76;5.40220418425464;113.14760000000001;20.94471;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.10389933034359;0.57699016975448;15.965;5.5533579268162265;547.8206;98.64672999999999;2.0;enero
C.CONG.POLLO;0.06353618321215;0.23389383459343;7.22;3.6812698334812293;222.0694;60.32413;3.0;enero
C.CONG.CERDO;0.01532865571933;0.12436630213328;4.494;8.113320855423904;118.079;14.55372;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.02503450194457;0.21873003302776;7.643;8.73714338364139;207.6722;23.76889;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.00227623541768;0.01453963711384;0.432;6.387580564335559;13.804590000000001;2.161161;3.0;enero
CARNE TRANSFORMADA;0.91566455450202;10.06207106828427;90.985;10.98881792334571;9553.386;869.3734000000001;2.0;enero
JAMON CURADO+PALETA;0.16532769331838;3.06741528513766;47.376;18.553547948137727;2912.343;156.9696;3.0;enero
JAMON C.+P.ENTERO;0.07022255056354;0.64076224860166;5.345;9.124736191714511;608.3687;66.67247;4.0;enero
JAMON C.+P.LONCHA;0.09510510062497;2.4266537738086;44.318;25.515495571341226;2303.975;90.29709;4.0;enero
JAMON CURADO NORMAL;0.14867491707198;1.95293506251794;41.978;13.135605527679129;1854.205;141.1587;3.0;enero
JAMON C.N.ENTER/PI;0.06998528570796;0.62890026971875;4.793;8.986178499620753;597.1064;66.4472;4.0;enero
JAMON C.N.LONCHA;0.07868963136401;1.32403416085124;39.243;16.826030798471454;1257.098;74.7115;4.0;enero
JAMON IBERICO;0.01347335134793;0.74001135840191;7.377;54.92407488620028;702.6003000000001;12.792209999999999;3.0;enero
JAMON IBE.ENTER/PI;0.00023726485557;0.01186195781798;0.572;49.9945842766458;11.26228;0.22527;4.0;enero
JAMON IBE.LONCHA;0.01323608649235;0.728149379519;6.956;55.012437395260896;691.338;12.56694;4.0;enero
PALETA CURADA NORM.;0.00094396486862;0.01520377227313;0.505;16.106290369910838;14.43515;0.896243;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00094396486862;0.01520377227313;0.505;16.106290369910838;14.43515;0.896243;4.0;enero
PALETA IBERICA;0.00223541895322;0.3592658818796;1.848;160.71523477107135;341.1033;2.122408;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.00223541895322;0.3592658818796;1.848;160.71523477107135;341.1033;2.122408;4.0;enero
HUESOS JAMON CURADO;0.00531429566757;0.02523208046926;3.134;4.747963238705629;23.95648;5.045633;3.0;enero
LOMO EMBUCHADO N+IB;0.01198154343392;0.23873434519518;10.568;19.925174624774304;226.6652;11.37582;3.0;enero
LOMO EMB.AL CORTE;0.00142849410274;0.02698114385881;1.453;18.887823062692945;25.61712;1.356277;4.0;enero
LOMO EMB.ENVASADO;0.01055304617143;0.2117532224013;9.476;20.065601814055334;201.0481;10.019540000000001;4.0;enero
LOMO EMB.NORMAL;0.01067127309928;0.17322820118965;10.895;16.233133533166402;164.47070000000002;10.13179;4.0;enero
LOMO E.N.AL CORTE;0.00142849410274;0.02698114385881;1.453;18.887823062692945;25.61712;1.356277;5.0;enero
LOMO E.N.ENVASADO;0.00924277478355;0.14624707839577;9.501;15.82285426406605;138.8536;8.775509;5.0;enero
LOMO EMB.IBERICO;0.00131027244112;0.06550619666785;1.718;49.99433294320403;62.19455;1.244032;4.0;enero
LOMO E.I.AL CORTE;0.0;0.0;0.0;;0.0;0.0;5.0;enero
LOMO E.I.ENVASADO;0.00131027244112;0.06550619666785;1.718;49.99433294320403;62.19455;1.244032;5.0;enero
OTRAS SALAZONES;0.03265460398062;0.2576794072838;15.645;7.891059019938227;244.6525;31.00376;3.0;enero
O.SALAZONES AL COR;0.01487841387416;0.10047354053915;7.863;6.752973898220617;95.39413;14.12624;4.0;enero
O.SALAZONES ENVASA;0.01777619010645;0.15720589834205;8.459;8.843621574733728;149.2584;16.87752;4.0;enero
TOCINO Y MANTECA;0.04055672331915;0.32222657028431;18.58;7.945083919837722;305.9365;38.506389999999996;3.0;enero
TOCINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CHORIZOS;0.04589454535543;0.55361178218936;26.095;12.062692372303346;525.6241;43.57436;3.0;enero
CHOR.IBERICO;0.01000692097121;0.15424353702988;5.226;15.41368593532655;146.4458;9.501024;4.0;enero
CHOR.NORMAL;0.03588762859721;0.39936824515948;23.033;11.128298546605647;379.1783;34.073339999999995;4.0;enero
CHORIZO DE PAVO;0.00275252826359;0.0440851414697;1.358;16.016235710527575;41.85643;2.613375;4.0;enero
CHORIZO DE CERDO;0.04314202235807;0.50952667231706;25.476;11.810449405641808;483.7677;40.960989999999995;4.0;enero
SALCHICHON/SALAMI;0.03124690833795;0.39438744211416;17.835;12.621646847380088;374.4493;29.66723;3.0;enero
SALCHICHON DE PAVO;0.00278322724147;0.04129132067419;2.266;14.835770525278502;39.203849999999996;2.642522;4.0;enero
SALCHICHON DE CERD;0.02846368320297;0.35309606877764;17.604;12.405143292934504;335.2454;27.02471;4.0;enero
FUET/LONGANIZAS;0.03939068457027;0.45396696765151;18.26;11.524729072469269;431.0168;37.399300000000004;3.0;enero
FUET/LONGANIZ.PAVO;0.00123008035352;0.02069266146543;1.192;16.822203042399394;19.646549999999998;1.167894;4.0;enero
FUET/LONGANIZ.CERD;0.03642393121989;0.39506625953068;18.383;10.84633773179695;375.0938;34.58253;4.0;enero
OTROS PROD.CURADOS;0.04025245091658;0.48164786746872;19.687;11.965678027081834;457.2983;38.2175;3.0;enero
O.PROD.CURAD.CORTE;0.00583558742009;0.10565200636888;6.1;18.104776565447857;100.3108;5.540571;4.0;enero
O.PROD.CURAD.ENVAS;0.03441686454973;0.37599586109983;14.051;10.924756395414136;356.9875;32.67693;4.0;enero
SALCHICHAS;0.10953164012178;0.47927353371844;26.284;4.375662896908772;455.044;103.99430000000001;3.0;enero
JAMON COCIDO;0.12313589948631;1.28959194465648;49.962;10.472916103559294;1224.397;116.91080000000001;3.0;enero
J.COC.SIN/BAJO SAL;0.00225809745844;0.03670169340621;2.101;16.25336996371167;34.84625;2.14394;4.0;enero
