Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.13318390103329;167.68363851618588;99.701;3.412838843376064;371341.1353;108807.11112999999;0.0;enero
T.HUEVOS KGS;0.92647990434606;2.97005049669439;85.644;3.2057365548481354;6577.2780999999995;2051.72134;1.0;enero
T.HUEVOS UNDS.;15.2156212084102;2.97005049669439;85.644;0.19519745240849876;6577.2780999999995;33695.512;1.0;enero
TOTAL HUEVOS GALLINA;14.33932763448086;2.88344261826683;84.974;0.20108631951007291;6385.482;31754.93;2.0;enero
OTRAS AVES;0.87629357392934;0.08660787842755;6.324;0.09883431877653198;191.7961;1940.582;2.0;enero
MIEL;0.02389228056112;0.15740624639445;5.712;6.588163318765903;348.5815;52.91027;1.0;enero
GRANEL;0.00325272254963;0.0346957132169;0.496;10.666668517679136;76.83484;7.203265;2.0;enero
ENVASADA;0.0206395602693;0.12271050608381;5.124;5.945403123065805;271.7466;45.707010000000004;2.0;enero
TOTAL CARNE;4.08538663054363;35.90352482905699;97.927;8.78828078611482;79509.58;9047.228;1.0;enero
CARNE CERTIFICADA;0.67116103600535;6.93753146927369;48.217;10.336612373335559;15363.4;1486.309;2.0;enero
CARNE FRESCA;3.13535339277679;25.45422083647118;90.376;8.118453535449115;56369.24;6943.347;2.0;enero
SALCHICHAS FRESCAS;0.03495283727759;0.38150390209347;11.104;10.914819276719301;844.8534000000001;77.40425;3.0;enero
CARNE VACUNO;0.53209386148274;6.73520448760799;62.121;12.657925556291055;14915.34;1178.34;3.0;enero
TERNERA;0.35743843386266;4.67949443892213;50.374;13.091749503132803;10362.9;791.5595999999999;4.0;enero
AÑOJO;0.11776373194921;1.33325289578482;23.742;11.321421915873124;2952.534;260.79179999999997;4.0;enero
MAYOR;0.05689174082708;0.72245489508978;10.618;12.698765841698503;1599.901;125.9887;4.0;enero
CARNE POLLO;1.16680388955608;6.93326420601265;77.311;5.942098983446514;15353.95;2583.927;3.0;enero
POLLO ENTERO;0.21213988091708;0.85214899199236;21.76;4.016920290086443;1887.113;469.791;4.0;enero
POLLO FILETES;0.16124542864264;1.30609187801887;29.104;8.100024224026033;2892.385;357.0835;4.0;enero
POLLO POR PIEZAS;0.79341835421523;4.77502243287691;71.626;6.018290864470717;10574.45;1757.052;4.0;enero
CARNE CONEJO;0.08015780840699;0.74571396345482;18.552;9.303073253556658;1651.409;177.5122;3.0;enero
CARNE OVINO/CAPRINO;0.06584969727084;0.89493316047845;9.534;13.590543276114612;1981.86;145.8264;3.0;enero
CORDERO;0.05965932070016;0.84675462935571;9.54;14.193165785633404;1875.167;132.1176;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.00619037205505;0.04817844081029;0.596;7.782802129144877;106.6928;13.70879;4.0;enero
OVINO/CAPRINO ENTE;0.01110976345483;0.15694962664741;0.623;14.127179870706561;347.5703;24.60295;4.0;enero
OVINO/CAPRINO PIEZ;0.05473991123789;0.73798366929971;8.931;13.481638033580975;1634.29;121.2234;4.0;enero
CARNE CERDO;0.83993965188104;6.48257347130952;72.391;7.717903847963119;14355.88;1860.075;3.0;enero
CARNE CERDO ADOBAD;0.11869268580959;0.9782933580489;30.345;8.242237938892673;2166.464;262.849;4.0;enero
CARN.CERDO IBERICO;0.02052778054997;0.28668594462035;8.101;13.965754550152036;634.8758;45.45947;4.0;enero
CARNE DESPOJOS;0.07347694492053;0.56688266877307;17.246;7.715109404537443;1255.381;162.71720000000002;3.0;enero
DESPOJOS CERDO;0.0194915309834;0.13391647487597;6.586;6.870495446969811;296.5626;43.164660000000005;4.0;enero
DESPOJOS CORDERO;0.00413215764213;0.02896532504765;1.614;7.009733789511828;64.1447;9.150804;4.0;enero
DESPOJOS POLLO;0.00526414111504;0.03002329475843;0.772;5.703360548722638;66.48761;11.657620000000001;4.0;enero
DESPOJOS TERNERA;0.03927391321194;0.33977155755594;11.898;8.651329337169907;752.4357;86.97342;4.0;enero
DESPOJOS OT.PROCED;0.00531518119614;0.03420614748811;1.536;6.435556235212158;75.75067999999999;11.77065;4.0;enero
OTRAS CARNES FRESCA;0.3770318101959;3.09565068508364;53.789;8.210582240992212;6855.424;834.9498000000001;3.0;enero
AVESTRUZ;0.00197380297843;0.0177516526035;1.068;8.993629454131657;39.31164;4.371054;4.0;enero
PAVO;0.25517994973016;2.17414489245079;41.419;8.52004593131149;4814.718;565.1047;4.0;enero
OTRAS AVES;0.03478944850872;0.23914104564658;9.835;6.873953336356776;529.586;77.04241999999999;2.0;enero
CARNE CABALLO;0.00210312408491;0.03180099147676;0.407;15.120834621594698;70.42438;4.657439999999999;4.0;enero
CARNE CONGELADA;0.05603756567528;0.34621097070741;6.668;6.178194333308353;766.696;124.09710000000001;2.0;enero
C.CONG.POLLO;0.03041610875957;0.11839144863272;3.616;3.8923929937433863;262.18190000000004;67.35750999999999;3.0;enero
C.CONG.CERDO;0.00496504434323;0.02927008441007;1.38;5.8952312178156765;64.8196;10.99526;3.0;enero
C.CONG.VACA;0.01651173491539;0.1724615124292;1.773;10.44478447073495;381.92190000000005;36.5658;3.0;enero
RESTO CARNES CONG.;0.00414468397894;0.0260879432979;1.347;6.294314218028481;57.77264;9.178544;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.89399616881003;10.10309573125189;89.523;11.30105036658021;22373.65;1979.785;2.0;enero
JAMON CURADO+PALETA;0.1131133632754;2.3157042390303;49.924;20.472419632613075;5128.206;250.4934;3.0;enero
JAMON C.+P.ENTERO;0.01202104768437;0.19876830988711;7.738;16.53502382703593;440.17920000000004;26.62102;4.0;enero
JAMON C.+P.LONCHA;0.10109232462227;2.11693556789338;46.169;20.940616172426793;4688.026;223.8724;4.0;enero
JAMON CURADO NORMAL;0.08075662510651;1.34048511677834;40.708;16.599073017357025;2968.55;178.83829999999998;3.0;enero
JAMON C.N.ENTER/PI;0.01033801647611;0.15177314279631;5.247;14.681069927391107;336.10679999999996;22.89389;4.0;enero
JAMON C.N.LONCHA;0.070418649271;1.18871188366958;37.672;16.880640227773345;2632.443;155.9445;4.0;enero
JAMON IBERICO;0.0190178196052;0.55038980915972;12.109;28.940741924431343;1218.857;42.115610000000004;3.0;enero
JAMON IBE.ENTER/PI;0.00141401751354;0.03776035331604;2.087;26.704303839508974;83.62159;3.1313899999999997;4.0;enero
JAMON IBE.LONCHA;0.01760380209166;0.51262927070315;11.686;29.120372294225714;1135.235;38.98422;4.0;enero
PALETA CURADA NORM.;0.00727218876825;0.15039280731098;5.287;20.68054228287604;333.05;16.10451;3.0;enero
PALETA C.N.ENTR/PI;0.00026901685565;0.00923479571226;0.45;34.327944580501466;20.450770000000002;0.5957469999999999;4.0;enero
PALETA C.N.LONCHA;0.00700317055791;0.14115799805184;4.942;20.156298762763754;312.5992;15.50876;4.0;enero
PALETA IBERICA;0.00606671624855;0.27443646062502;4.316;45.2364095139915;607.7489;13.43495;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.00606671624855;0.27443646062502;4.316;45.2364095139915;607.7489;13.43495;4.0;enero
HUESOS JAMON CURADO;0.00318547906032;0.01932988976045;2.487;6.068126455838892;42.8067;7.054352;3.0;enero
LOMO EMBUCHADO N+IB;0.02447377984836;0.5421320902968;13.775;22.151547233644326;1200.57;54.19802;3.0;enero
LOMO EMB.AL CORTE;0.01115133879117;0.30632461264724;4.072;27.469761109729816;678.3663;24.69502;4.0;enero
LOMO EMB.ENVASADO;0.0133224455728;0.23580752280577;9.708;17.700017727004806;522.2038;29.50301;4.0;enero
LOMO EMB.NORMAL;0.01949240249855;0.32056968569332;11.289;16.44587862974583;709.9125;43.16659;4.0;enero
LOMO E.N.AL CORTE;0.00706965858357;0.12446979260921;2.901;17.606195707715887;275.64259999999996;15.656;5.0;enero
LOMO E.N.ENVASADO;0.01242274391497;0.1960998930841;8.424;15.785553853988592;434.2699;27.51059;5.0;enero
LOMO EMB.IBERICO;0.00498137734981;0.22156249491593;3.091;44.478159223237604;490.65770000000003;11.03143;4.0;enero
LOMO E.I.AL CORTE;0.00408167749822;0.18185486519425;1.18;44.553952455433745;402.7238;9.039014;5.0;enero
LOMO E.I.ENVASADO;0.00089970210939;0.03970762520605;1.71;44.134191518760346;87.93389;1.992421;5.0;enero
OTRAS SALAZONES;0.02260572552384;0.16845588433572;8.676;7.451912311243348;373.05129999999997;50.061150000000005;3.0;enero
O.SALAZONES AL COR;0.0067506975884;0.04989857688863;2.267;7.391617863963371;110.50210000000001;14.94965;4.0;enero
O.SALAZONES ENVASA;0.01585502793544;0.11855730744709;6.899;7.477584267262862;262.5492;35.1115;4.0;enero
TOCINO Y MANTECA;0.02188054364432;0.14914193472268;11.46;6.816189631620625;330.2799;48.45521;3.0;enero
TOCINO;0.0025322789128;0.02265528899638;1.952;8.946600977421166;50.170910000000006;5.607818;4.0;enero
CHORIZOS;0.14025071917946;1.50557763000854;52.004;10.734901316848578;3334.153;310.59;3.0;enero
CHOR.IBERICO;0.00568793228652;0.09447273813311;6.744;16.60932890445629;209.2131;12.59612;4.0;enero
CHOR.NORMAL;0.13456279592418;1.41110493703165;49.552;10.486590497322261;3124.94;297.9939;4.0;enero
CHORIZO DE PAVO;0.00145994500685;0.02255639686367;1.616;15.45016884734085;49.951910000000005;3.233098;4.0;enero
CHORIZO DE CERDO;0.13800997698327;1.47794608437826;51.593;10.708980007708723;3272.962;305.6278;4.0;enero
SALCHICHON/SALAMI;0.01548085442397;0.20826750884353;13.133;13.453230883753058;461.2155;34.28288;3.0;enero
SALCHICHON DE PAVO;0.00052247423087;0.00852445216828;0.864;16.315545656707606;18.877689999999998;1.157037;4.0;enero
SALCHICHON DE CERD;0.01495837883841;0.19974305215963;12.646;13.35325534386449;442.3378;33.12584;4.0;enero
FUET/LONGANIZAS;0.0339086356998;0.43961477068269;18.366;12.96468470671177;973.5419;75.09183;3.0;enero
FUET/LONGANIZ.PAVO;0.0005318771116;0.01154028741945;1.204;21.69728151053606;25.55636;1.17786;4.0;enero
FUET/LONGANIZ.CERD;0.03306444458933;0.42417061923838;17.876;12.828602582217394;939.3403000000001;73.22234;4.0;enero
OTROS PROD.CURADOS;0.03453962620962;0.48369812891781;20.647;14.004150652419074;1071.166;76.48917999999999;3.0;enero
O.PROD.CURAD.CORTE;0.01524661553811;0.25284546321091;9.98;16.583710829385605;559.9349;33.76415;4.0;enero
O.PROD.CURAD.ENVAS;0.0192930106715;0.23085243992577;13.041;11.965599556044783;511.2306;42.72503;4.0;enero
SALCHICHAS;0.10057325381607;0.40435891255734;27.485;4.020541219605168;895.4666;222.72289999999998;3.0;enero
JAMON COCIDO;0.10528521558076;1.15359704843485;43.058;10.956875968496858;2554.68;233.1577;3.0;enero
J.COC.SIN/BAJO SAL;0.00150086964199;0.01745597867355;1.391;11.630576157428093;38.65686;3.323727;4.0;enero
PALETA COCIDA;0.00274099504874;0.03694113811361;3.495;13.477272835853944;81.80741;6.070027;3.0;enero
FIAMBRES;0.18875721996427;1.73711436736773;55.866;9.202902901921082;3846.899;418.0093;3.0;enero
PAVO;0.11871874095141;1.16385744587584;42.942;9.803485418971826;2577.402;262.9067;4.0;enero
POLLO;0.00641291096302;0.06847670581554;4.796;10.677944261249253;151.644;14.20161;4.0;enero
PROD.A BASE SANGRE;0.02884147506938;0.21096184531968;14.126;7.314530370313775;467.1822;63.87043;3.0;enero
MORCILLA;0.02884147506938;0.21096184531968;14.126;7.314530370313775;467.1822;63.87043;4.0;enero
FOIE-GRAS Y PATES;0.02066601730152;0.36267366596247;20.093;17.549277186358314;803.1532;45.7656;3.0;enero
COCIDOS Y OTROS;0.03769298474398;0.36552654594454;27.187;9.697468863959825;809.471;83.4724;3.0;enero
COCIDOS Y O. CORTE;0.00276554919763;0.03124184000526;2.209;11.29679415283416;69.18611999999999;6.124403;4.0;enero
COCIDOS Y O.ENVASA;0.03492743690103;0.33428471497052;25.307;9.570834410715209;740.2849;77.348;4.0;enero
COCIDOS DE PAVO;0.00098640386761;0.01104251680458;1.168;11.19472172310791;24.45403;2.184425;4.0;enero
COCIDOS DE CERDO;0.03550399158163;0.34203329739674;26.035;9.63365757369176;757.4444;78.62480000000001;4.0;enero
TOTAL PESCA;1.9636229590749;22.01688835004607;93.29;11.212380792501339;48757.15;4348.51;1.0;enero
PESCADOS;1.18785165758362;12.34875092471269;76.498;10.395869590175089;27346.73;2630.538;2.0;enero
PESCADOS FRESCOS;1.01389362270221;10.66554812279173;65.538;10.519395609143002;23619.22;2245.302;3.0;enero
PESCADOS CONGELADOS;0.17395798972518;1.68320551129445;31.623;9.675931033426531;3727.516;385.2359;3.0;enero
MERLUZA/PESCAD;0.35405767761052;3.64266822736152;45.244;10.28834694941592;8066.813;784.0728;3.0;enero
MERLUZA/PESCAD.FRE;0.24385282678637;2.58594482838598;27.38;10.604530865870993;5726.663;540.0204;4.0;enero
MERLUZA/PESCAD.CON;0.11020489598037;1.05672385053779;22.508;9.58871964024134;2340.151;244.0525;4.0;enero
SARDINA/BOQUERON;0.04451997829012;0.34025888353597;9.612;7.6428357920260686;753.5149;98.59101;3.0;enero
BOQUERONES FRESCOS;0.02465373192054;0.21424515443831;7.026;8.6901713350647;474.45320000000004;54.59653;4.0;enero
SARDINAS FRESCAS;0.01986624636957;0.12601372909766;5.781;6.343107135258787;279.06170000000003;43.99448;4.0;enero
ATUN Y BONITO;0.00756180273281;0.12189521044172;4.587;16.119861195626143;269.94109999999995;16.74587;3.0;enero
TRUCHA FRESCA;0.03717513767148;0.29644614655718;5.494;7.974312003275773;656.4901;82.32561;3.0;enero
LENGUADO;0.01653339635651;0.14250342777526;3.325;8.619126082891766;315.5787;36.613769999999995;3.0;enero
LENGUADO FRESCO;0.01653339635651;0.14250342777526;3.325;8.619126082891766;315.5787;36.613769999999995;4.0;enero
LENGUADO CONGELADO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
BACALAO;0.16683328570335;1.88883250988201;28.761;11.321676618181227;4182.884;369.458;3.0;enero
BACALAO FRESCO;0.1510807172424;1.68725692780006;26.131;11.167917114749706;3736.488;334.57340000000005;4.0;enero
BACALAO CONGELADO;0.01575257749219;0.20157571755062;4.496;12.796364128375195;446.3963;34.884620000000005;4.0;enero
BACALADILLA;0.04389541802673;0.31667699331852;8.52;7.2143519199571235;701.292;97.2079;4.0;enero
CABALLA FRESCA;0.0005355875986;0.00266944817118;0.186;4.984148583945224;5.9115839999999995;1.186077;3.0;enero
SALMON;0.14464085252868;1.86455652333033;25.909;12.890939805271172;4129.124;320.3121;3.0;enero
SALMON FRESCO;0.14357344968249;1.84240468560192;25.168;12.832488803997382;4080.068;317.94829999999996;4.0;enero
SALMON CONGELADO;0.00106737530088;0.02215192804086;0.703;20.75364496672433;49.0562;2.363739;4.0;enero
LUBINA;0.07782806329136;0.77580155616201;17.106;9.96814675006919;1718.039;172.3529;3.0;enero
DORADA;0.10461586485781;0.94304847288622;20.646;9.014392550957073;2088.413;231.6754;3.0;enero
RODABALLO;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RAPE;0.04715813590677;0.58654820475384;13.449;12.437900554708126;1298.931;104.4333;3.0;enero
OTROS PESCADOS;0.18639193689958;1.74352429350429;39.111;9.354075731524938;3861.094;412.7713;3.0;enero
OTROS PESCADOS FRE;0.14248283653667;1.38817415442225;29.323;9.742746482064799;3074.159;315.5331;4.0;enero
OTROS PESCADOS CON;0.04390911842539;0.3553502745507;13.361;8.092858324050292;786.9353000000001;97.23824;4.0;enero
PEZ ESPADA/EMPERDR;0.00596382778993;0.08571292720459;1.575;14.372133170794497;189.8142;13.2071;4.0;enero
MARISCO/MOLUSCO/CRUS;0.4135398955963;4.4727489206417;54.62;10.815761594639518;9905.055;915.7982;2.0;enero
MARISCO/MOLUSC CONG;0.12034039130305;1.29148880642112;27.646;10.73196449202789;2860.046;266.4979;3.0;enero
MARISCO/MOLUSC FRES;0.23843182197698;2.47883065022467;36.212;10.396391847662018;5489.455;528.0154;3.0;enero
MARISCO/MOLUSC COCI;0.05476768231626;0.70242991555814;15.966;12.825627922354721;1555.555;121.2849;3.0;enero
ALMEJAS,BERBERECHO;0.05458615429182;0.65593480850282;12.827;12.016505229441055;1452.59;120.88289999999999;3.0;enero
ALMEJAS CONGELADO;0.00724094517618;0.046546223902;1.758;6.4281972545605575;103.0782;16.03532;4.0;enero
BERBEREC.CONGELADO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
ALMEJAS,BERB.FRESC;0.04734521814688;0.60938867491326;11.058;12.871176831896962;1349.512;104.8476;4.0;enero
MEJILLON;0.07025563529881;0.22895091129167;13.143;3.2588262894201505;507.01959999999997;155.5835;3.0;enero
MEJILLON CONGELADO;0.0037671716162;0.04029543733354;0.98;10.696469775955256;89.23562;8.34253;4.0;enero
MEJILLON FRESCO;0.06648847722947;0.18865543783315;12.153;2.8374155296418797;417.7839;147.241;4.0;enero
CALAMARES,PULPO;0.06865922727693;0.92130845992967;19.338;13.41856727011566;2040.269;152.0482;3.0;enero
