Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;50.01379970566514;141.81047564904588;99.113;2.835426951833511;199699.75634;70430.224348;0.0;enero
T.HUEVOS KGS;0.69844192677444;2.19681561532634;87.425;3.1453089098927807;3093.59052;983.5569760000001;1.0;enero
T.HUEVOS UNDS.;11.16469882737192;2.19681561532634;87.425;0.19676443129307958;3093.59052;15722.3056;1.0;enero
TOTAL HUEVOS GALLINA;10.86657293519866;2.16955095940835;86.4;0.19965365091148624;3055.196;15302.48;2.0;enero
OTRAS AVES;0.29812589217326;0.02726465591799;4.215;0.09145349878616264;38.39452;419.82559999999995;2.0;enero
MIEL;0.02848294928345;0.20853216831366;9.058;7.32129830511686;293.6583;40.11014;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.02848294928345;0.20853216831366;9.058;7.32129830511686;293.6583;40.11014;2.0;enero
TOTAL CARNE;3.71584234258744;28.71895003949119;96.935;7.72878593645967;40442.48;5232.708;1.0;enero
CARNE CERTIFICADA;0.46782232314824;3.86067667550062;54.652;8.252442186853933;5436.666;658.7948;2.0;enero
CARNE FRESCA;2.69191975085364;18.79942653647788;91.643;6.983650434050402;26473.65;3790.804;2.0;enero
SALCHICHAS FRESCAS;0.0378603044732;0.29946361325477;14.856;7.90969902174753;421.7094;53.31548;3.0;enero
CARNE VACUNO;0.26507030574611;3.16546861097263;53.952;11.941996301934061;4457.663;373.2762;3.0;enero
TERNERA;0.21016437550436;2.47523847657594;43.662;11.777631059668169;3485.67;295.9568;4.0;enero
AÑOJO;0.04216887698086;0.57236155435572;15.565;13.573080322139983;806.0086;59.38288;4.0;enero
MAYOR;0.01273700355259;0.1178686510528;7.325;9.254032988690627;165.9845;17.93645;4.0;enero
CARNE POLLO;1.16288069471309;6.18414509254535;80.669;5.31795318355605;8708.611;1637.587;3.0;enero
