Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;47.97760713020096;143.37432031751916;99.419;2.988359130300765;6635738.8243;2220529.2386100003;0.0;enero
T.HUEVOS KGS;0.75417470094434;2.40858553512606;81.413;3.1936705541967245;111475.643;34905.179200000006;1.0;enero
T.HUEVOS UNDS.;12.045508450152;2.40858553512606;81.413;0.19995714959592834;111475.643;557497.66;1.0;enero
TOTAL HUEVOS GALLINA;11.73554845264483;2.37502989189708;81.014;0.20237911346715348;109922.6;543151.9;2.0;enero
OTRAS AVES;0.30995999750716;0.03355564322897;3.443;0.10825798005821928;1553.043;14345.76;2.0;enero
MIEL;0.03511832494257;0.26545473587828;9.338;7.558866668963583;12285.94;1625.368;1.0;enero
GRANEL;0.01252282242245;0.12036696070425;2.083;9.611807677509407;5570.898;579.589;2.0;enero
ENVASADA;0.02259550252012;0.14508783999317;7.292;6.421093749252949;6715.045;1045.779;2.0;enero
TOTAL CARNE;3.68615928125873;29.28406113732274;97.642;7.944328745154746;1355343.0;170605.1;1.0;enero
CARNE CERTIFICADA;0.56544468361118;5.27482915338176;52.513;9.328638691400085;244132.9;26170.26;2.0;enero
CARNE FRESCA;2.71492423787699;19.74788051505068;91.87;7.273823792038123;913983.6;125653.8;2.0;enero
SALCHICHAS FRESCAS;0.02986639639546;0.25468676234759;9.688;8.527535728625221;11787.57;1382.295;3.0;enero
CARNE VACUNO;0.35970956062966;4.20971221143428;55.58;11.703086801655425;194836.5;16648.3;3.0;enero
TERNERA;0.26358081420499;3.11817282264875;45.59;11.830044732404804;144317.2;12199.21;4.0;enero
AÑOJO;0.07477265090264;0.846754616103;17.362;11.324389410848868;39190.02;3460.674;4.0;enero
MAYOR;0.02135604150606;0.24478498874636;6.072;11.462095570325578;11329.29;988.4135;4.0;enero
CARNE POLLO;1.09533476617662;5.90982565093487;78.466;5.395451539955846;273522.2;50694.96;3.0;enero
POLLO ENTERO;0.2478174447229;0.98386224624468;22.003;3.970108913618911;45535.72;11469.64;4.0;enero
POLLO FILETES;0.14950327738865;1.11413880206113;32.906;7.452270087462748;51565.26;6919.403;4.0;enero
POLLO POR PIEZAS;0.69801410888421;3.81182417050137;68.772;5.460955762906614;176421.2;32305.92;4.0;enero
CARNE CONEJO;0.05227528457807;0.44586868940774;10.73;8.529244613519593;20635.97;2419.437;3.0;enero
CARNE OVINO/CAPRINO;0.0734120536974;1.00405168346311;12.089;13.67693223243239;46470.14;3397.702;3.0;enero
CORDERO;0.06215447950815;0.86090161200756;10.999;13.850998654000177;39844.78;2876.672;4.0;enero
CABRITO;0.00924688410604;0.12212301955351;1.022;13.206937402154356;5652.173;427.97;4.0;enero
OTRO OVINO/CAPRINO;0.0020106924599;0.02102725284139;0.369;10.457717060510676;973.1963000000001;93.06011;4.0;enero
OVINO/CAPRINO ENTE;0.02120894524465;0.23931425234976;1.211;11.28364704557992;11076.09;981.6055;4.0;enero
OVINO/CAPRINO PIEZ;0.05220311925593;0.76473764717718;11.119;14.649271117840051;35394.06;2416.097;4.0;enero
CARNE CERDO;0.82528694521466;5.90236496658359;73.874;7.151894260302793;273176.9;38196.44;3.0;enero
CARNE CERDO ADOBAD;0.07468745693103;0.5898897141972;20.644;7.898109514451659;27301.64;3456.731;4.0;enero
CARN.CERDO IBERICO;0.02361160754089;0.26819745024709;5.848;11.358712014106791;12412.88;1092.807;4.0;enero
CARNE DESPOJOS;0.06714263732095;0.40122557904974;15.677;5.975719677673991;18569.77;3107.537;3.0;enero
DESPOJOS CERDO;0.03090741357683;0.19235990710889;8.901;6.223746501164647;8902.92;1430.476;4.0;enero
DESPOJOS CORDERO;0.00295031498697;0.02084200402734;1.158;7.064331815189204;964.6225;136.54829999999998;4.0;enero
DESPOJOS POLLO;0.01766672337148;0.07239132491048;4.922;4.097609012621594;3350.46;817.6622;4.0;enero
DESPOJOS TERNERA;0.01412966326341;0.10645674916055;4.264;7.534273618267111;4927.097;653.9578;4.0;enero
DESPOJOS OT.PROCED;0.00148851369574;0.00917563489458;0.472;6.164293228083078;424.67240000000004;68.89231;4.0;enero
OTRAS CARNES FRESCA;0.24176333596174;1.87483108598581;46.308;7.754819722881574;86772.09;11189.44;3.0;enero
AVESTRUZ;0.00027029867107;0.00264044703266;0.171;9.76862750427054;122.2068;12.510129999999998;4.0;enero
PAVO;0.11950153860461;0.94609126234127;26.846;7.916979759327871;43787.58;5530.844;4.0;enero
OTRAS AVES;0.02814080254746;0.21093202006891;8.835;7.495593621154304;9762.486;1302.43;2.0;enero
CARNE CABALLO;0.00403304545305;0.04871336416472;0.907;12.078555704787156;2254.582;186.6599;4.0;enero
CARNE CONGELADA;0.09490813698054;0.50129511382897;12.443;5.2818981572859975;23201.25;4392.597;2.0;enero
C.CONG.POLLO;0.0669693325159;0.26574210078379;8.254;3.9681163123532834;12299.24;3099.516;3.0;enero
C.CONG.CERDO;0.01476502274821;0.11597619779915;3.399;7.854793031940961;5367.682;683.3639000000001;3.0;enero
C.CONG.VACA;0.00457771214155;0.04870063800462;0.889;10.638641421447737;2253.993;211.8685;3.0;enero
RESTO CARNES CONG.;0.00859606525358;0.07087602599671;2.544;8.245170773591147;3280.328;397.8484;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.00017340116951;0.00133094093092;0.052;7.6755014665826;61.59943;8.02546;3.0;enero
CARNE TRANSFORMADA;0.87632597732668;9.03489307067744;92.167;10.309968327355982;418158.5;40558.66;2.0;enero
JAMON CURADO+PALETA;0.13464262262477;2.30547029965696;47.372;17.12288616125552;106703.2;6231.613;3.0;enero
JAMON C.+P.ENTERO;0.05058376399743;0.57920989471271;7.016;11.450509984627207;26807.35;2341.149;4.0;enero
JAMON C.+P.LONCHA;0.08405885862733;1.7262595406889;44.52;20.53631906117111;79895.81;3890.464;4.0;enero
JAMON CURADO NORMAL;0.10237999183228;1.43064769452015;41.459;13.973899283599955;66214.12;4738.414;3.0;enero
JAMON C.N.ENTER/PI;0.0356114474417;0.35864739079847;5.32;10.071126465318642;16599.14;1648.191;4.0;enero
JAMON C.N.LONCHA;0.06676854439057;1.07200030372167;38.885;16.05546913604617;49614.98;3090.223;4.0;enero
JAMON IBERICO;0.01915026954351;0.59757683345146;7.231;31.204617360276355;27657.42;886.3246;3.0;enero
JAMON IBE.ENTER/PI;0.00814929276913;0.13507853141941;1.152;16.575491302874614;6251.788;377.1706;4.0;enero
JAMON IBE.LONCHA;0.01100097677437;0.46249825881928;6.548;42.041563063434644;21405.63;509.154;4.0;enero
PALETA CURADA NORM.;0.00666968328025;0.09279317448876;3.009;13.912680796033825;4294.711;308.6904;3.0;enero
PALETA C.N.ENTR/PI;0.00327886166014;0.03534171334543;0.554;10.77865338906377;1635.707;151.7543;4.0;enero
PALETA C.N.LONCHA;0.0033908216201;0.05745143953694;2.498;16.94322083956464;2659.003;156.9361;4.0;enero
PALETA IBERICA;0.00644267148681;0.18445171133484;2.675;28.62969370894519;8536.908;298.1837;3.0;enero
PALETA IB.ENTER/PI;0.003544170769;0.05014212951107;0.224;14.147774692364669;2320.709;164.0335;4.0;enero
PALETA IBE.LONCHA;0.00289850071781;0.13430958182376;2.472;46.337605161975155;6216.199;134.1502;4.0;enero
HUESOS JAMON CURADO;0.01034468934615;0.04106265166728;5.14;3.9694427056474666;1900.487;478.7793;3.0;enero
LOMO EMBUCHADO N+IB;0.01858339365303;0.39646418023569;14.198;21.33432609984954;18349.4;860.0880999999999;3.0;enero
LOMO EMB.AL CORTE;0.00548976081759;0.13978885274198;4.326;25.463559777314668;6469.794;254.0805;4.0;enero
LOMO EMB.ENVASADO;0.01309363283543;0.25667541391924;10.687;19.603070984588314;11879.61;606.0076;4.0;enero
LOMO EMB.NORMAL;0.01505329944312;0.2638776859194;11.973;17.52955801592666;12212.95;696.7061;4.0;enero
LOMO E.N.AL CORTE;0.00378849791847;0.06875927017508;2.943;18.149480784936376;3182.359;175.3416;5.0;enero
LOMO E.N.ENVASADO;0.01126480152465;0.19511837253155;9.615;17.321066163883426;9030.589;521.3645;5.0;enero
LOMO EMB.IBERICO;0.0035300942099;0.13258651592267;2.731;37.55891713897492;6136.451;163.382;4.0;enero
LOMO E.I.AL CORTE;0.0017012618188;0.0710295825669;1.553;41.75111777731069;3287.435;78.73885;5.0;enero
LOMO E.I.ENVASADO;0.00182883260716;0.06155693335577;1.309;33.65914032510128;2849.016;84.64316000000001;5.0;enero
OTRAS SALAZONES;0.03149590665438;0.24244501737293;12.29;7.69766751068283;11220.99;1457.713;3.0;enero
O.SALAZONES AL COR;0.01581292588413;0.11671986792567;5.332;7.381294820510269;5402.101;731.8636;4.0;enero
O.SALAZONES ENVASA;0.0156829786096;0.12572514944725;7.503;8.016662687420101;5818.889;725.8493000000001;4.0;enero
TOCINO Y MANTECA;0.03288683922257;0.24528798536292;19.253;7.458545459562483;11352.57;1522.089;3.0;enero
TOCINO;0.00338817483807;0.02610731772927;2.298;7.705422233785845;1208.315;156.8136;4.0;enero
CHORIZOS;0.07263212805874;0.74890859428812;34.941;10.310982402751065;34661.45;3361.605;3.0;enero
CHOR.IBERICO;0.00721801009017;0.09809937827217;5.362;13.590917309149864;4540.296;334.0684;4.0;enero
CHOR.NORMAL;0.06541412661112;0.65080912959042;31.967;9.949060903301927;30121.15;3027.537;4.0;enero
CHORIZO DE PAVO;0.00126768046384;0.02048250620927;1.574;16.157467748008106;947.984;58.67157;4.0;enero
CHORIZO DE CERDO;0.07028861323836;0.71720576329539;33.857;10.203726183402441;33194.16;3253.141;4.0;enero
SALCHICHON/SALAMI;0.0301616260247;0.33274846664165;20.567;11.032179311856579;15400.47;1395.959;3.0;enero
