Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;41.84520518890129;134.2337493363374;100.0;3.207864526661242;77735.43921099999;24232.768736;0.0;enero
T.HUEVOS KGS;0.73881658434354;2.30581223732831;90.847;3.120953544074904;1335.3074609999999;427.852399;1.0;enero
T.HUEVOS UNDS.;11.6109208712958;2.30581223732831;90.847;0.19858995362105006;1335.3074609999999;6723.94266;1.0;enero
TOTAL HUEVOS GALLINA;11.53161805444204;2.29607572888121;90.102;0.19911132315007238;1329.669;6678.018;2.0;enero
OTRAS AVES;0.07930281685375;0.00973650844709;1.076;0.12277632539903398;5.638461;45.92466;2.0;enero
MIEL;0.04250472504336;0.45270026537373;11.498;10.650586844446611;262.161;24.6147;1.0;enero
GRANEL;0.00340174045062;0.04082088540753;1.685;12.000000000000002;23.639580000000002;1.969965;2.0;enero
ENVASADA;0.03910297595872;0.41187934543015;9.961;10.53319690718326;238.5214;22.64473;2.0;enero
TOTAL CARNE;3.55802470922303;29.63353651023642;96.554;8.328648318102182;17160.93;2060.47;1.0;enero
CARNE CERTIFICADA;0.44041475643827;4.77374373352796;42.483;10.839200239642668;2764.499;255.0464;2.0;enero
CARNE FRESCA;2.83979057265163;22.73532322484179;90.474;8.005985879308279;13166.14;1644.537;2.0;enero
SALCHICHAS FRESCAS;0.04082981297636;0.41335904247662;13.683;10.123951405703169;239.3783;23.64475;3.0;enero
CARNE VACUNO;0.41734968301155;5.19254686618826;61.571;12.441717527420538;3007.03;241.68929999999997;3.0;enero
TERNERA;0.32060712810321;3.90273592780614;46.896;12.172954328544067;2260.094;185.6652;4.0;enero
AÑOJO;0.04722288473181;0.57315250907517;15.818;12.13717697108386;331.9155;27.347009999999997;4.0;enero
MAYOR;0.04951960110442;0.71665842930695;9.426;14.472217330583169;415.0205;28.677049999999998;4.0;enero
CARNE POLLO;1.01297324545978;5.4128385123685;72.76;5.343515770657526;3134.602;586.6179000000001;3.0;enero
POLLO ENTERO;0.27422642220969;0.90026502016724;18.205;3.2829258862548554;521.348;158.8059;4.0;enero
POLLO FILETES;0.12540607739257;1.06000996361606;34.543;8.452620364624076;613.8571;72.62329;4.0;enero
POLLO POR PIEZAS;0.6133407285895;3.45256370126544;60.959;5.6291120747929195;1999.397;355.18870000000004;4.0;enero
CARNE CONEJO;0.05625768799569;0.51956136673955;12.942;9.235384269244923;300.88059999999996;32.57911;3.0;enero
CARNE OVINO/CAPRINO;0.04117365388649;0.62099806151382;11.17;15.08241321563991;359.62309999999997;23.84387;3.0;enero
CORDERO;0.04117365388649;0.62099806151382;11.17;15.08241321563991;359.62309999999997;23.84387;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.04117365388649;0.62099806151382;11.17;15.08241321563991;359.62309999999997;23.84387;4.0;enero
CARNE CERDO;0.87605904834094;7.41495547440276;65.435;8.463990513476233;4294.038;507.3302;3.0;enero
CARNE CERDO ADOBAD;0.06871596351943;0.58881132665839;17.256;8.568770581116235;340.98359999999997;39.79376;4.0;enero
CARN.CERDO IBERICO;0.01994228928298;0.29201818621816;5.981;14.643162681795669;169.10920000000002;11.548680000000001;4.0;enero
CARNE DESPOJOS;0.04951364363585;0.40166340926887;14.365;8.112176357346131;232.6053;28.673599999999997;3.0;enero
DESPOJOS CERDO;0.02317362023071;0.18517729039754;4.683;7.990865844607586;107.23710000000001;13.41996;4.0;enero
DESPOJOS CORDERO;0.00858809327631;0.07607210755492;6.155;8.857857630019495;44.05374;4.973408;4.0;enero
DESPOJOS POLLO;0.00462600369361;0.02758247505866;2.188;5.962484443485525;15.97315;2.678942;4.0;enero
DESPOJOS TERNERA;0.00927795777491;0.06478165128145;3.264;6.982317968356823;37.51538;5.372912;4.0;enero
DESPOJOS OT.PROCED;0.00384797902111;0.04804990224432;4.163;12.487048910780187;27.82594;2.228384;4.0;enero
OTRAS CARNES FRESCA;0.3864637484655;3.17276126116247;60.304;8.209725423821208;1837.362;223.8031;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.23398156357396;2.00882386287271;43.348;8.585393789958516;1163.32;135.4999;4.0;enero
OTRAS AVES;0.0357353312231;0.21284170223395;10.85;5.9560579110111815;123.2577;20.694509999999998;2.0;enero
CARNE CABALLO;0.01532216362501;0.19269198943688;1.818;12.576030001548494;111.5889;8.873142;4.0;enero
CARNE CONGELADA;0.02303307577674;0.17245548754708;4.667;7.487297363960305;99.86984;13.338569999999999;2.0;enero
C.CONG.POLLO;0.01173493695903;0.03601248302139;1.868;3.0688262874459533;20.85501;6.795761000000001;3.0;enero
C.CONG.CERDO;0.00439976321288;0.04179516463566;1.015;9.499412266844589;24.20379;2.547925;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.00689838423884;0.09464783989003;1.786;13.720291101955523;54.81104;3.994889;3.0;enero
C.CONG.CABALLO;0.0034722820588;0.06215109218508;0.759;17.89920609344664;35.99201;2.010816;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.69520169971157;6.72575406795418;86.372;9.674536283131328;3894.918;402.59479999999996;2.0;enero
JAMON CURADO+PALETA;0.1172655160618;1.63950743572955;39.232;13.981155678072362;949.447;67.90905000000001;3.0;enero
JAMON C.+P.ENTERO;0.05080413493441;0.5644820611349;7.238;11.110947206631469;326.8944;29.420930000000002;4.0;enero
JAMON C.+P.LONCHA;0.06646136385935;1.07502537459465;33.213;16.17519280629784;622.5526;38.48811;4.0;enero
JAMON CURADO NORMAL;0.11332172367819;1.50170220853021;36.671;13.251671081130752;869.6433000000001;65.62517999999999;3.0;enero
JAMON C.N.ENTER/PI;0.05080413493441;0.5644820611349;7.238;11.110947206631469;326.8944;29.420930000000002;4.0;enero
JAMON C.N.LONCHA;0.06251758874377;0.93722014739531;30.635;14.99130350718493;542.7489;36.20425;4.0;enero
JAMON IBERICO;0.00357078750636;0.13004157504622;6.785;36.41817801099784;75.30772999999999;2.0678609999999997;3.0;enero
JAMON IBE.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
JAMON IBE.LONCHA;0.00357078750636;0.13004157504622;6.785;36.41817801099784;75.30772999999999;2.0678609999999997;4.0;enero
PALETA CURADA NORM.;0.00037299969683;0.00776368496236;0.49;20.814185717063413;4.495989;0.216006;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00037299969683;0.00776368496236;0.49;20.814185717063413;4.495989;0.216006;4.0;enero
PALETA IBERICA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.0;0.0;0.0;;0.0;0.0;4.0;enero
HUESOS JAMON CURADO;0.01561435759973;0.03484803103596;0.853;2.2317940916484904;20.18067;9.042352999999999;3.0;enero
LOMO EMBUCHADO N+IB;0.01130535339847;0.21770455070233;10.809;19.256766509540956;126.0738;6.546987;3.0;enero
LOMO EMB.AL CORTE;0.00278014163453;0.08252197384399;5.105;29.682650991245932;47.78889;1.609994;4.0;enero
LOMO EMB.ENVASADO;0.00852521176394;0.13518264593043;6.725;15.85680798008018;78.28495;4.936993;4.0;enero
LOMO EMB.NORMAL;0.01041096468715;0.18199462074373;9.664;17.481052545329756;105.394;6.0290420000000005;4.0;enero
LOMO E.N.AL CORTE;0.0018857529232;0.04681206115342;3.69;24.824069249639894;27.109099999999998;1.092049;5.0;enero
LOMO E.N.ENVASADO;0.00852521176394;0.13518264593043;6.725;15.85680798008018;78.28495;4.936993;5.0;enero
LOMO EMB.IBERICO;0.00089438698451;0.03570991269057;1.414;39.92669091639251;20.67979;0.517944;4.0;enero
LOMO E.I.AL CORTE;0.00089438698451;0.03570991269057;1.414;39.92669091639251;20.67979;0.517944;5.0;enero
LOMO E.I.ENVASADO;0.0;0.0;0.0;;0.0;0.0;5.0;enero
OTRAS SALAZONES;0.04544118719934;0.36201377944855;12.817;7.966644398184777;209.644;26.31522;3.0;enero
O.SALAZONES AL COR;0.03526141028203;0.2834033413178;9.383;8.037209489100421;164.1203;20.420060000000003;4.0;enero
O.SALAZONES ENVASA;0.0101797700101;0.07861043813074;3.462;7.722221430611844;45.5237;5.895156;4.0;enero
TOCINO Y MANTECA;0.03340342261592;0.19736160870757;11.106;5.908424743681404;114.29310000000001;19.34409;3.0;enero
TOCINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CHORIZOS;0.0765544552921;0.89778325964072;34.341;11.72738093707474;519.9108;44.33307;3.0;enero
CHOR.IBERICO;0.00402217022144;0.05356282277491;2.185;13.316896060077475;31.0185;2.329259;4.0;enero
CHOR.NORMAL;0.07253228334385;0.8442204368658;34.355;11.63923701207105;488.8923;42.003809999999994;4.0;enero
CHORIZO DE PAVO;0.00784229073812;0.13118471828903;3.238;16.72785703433439;75.96973;4.541510000000001;4.0;enero
CHORIZO DE CERDO;0.06871216455397;0.76659859315576;31.867;11.156664880693292;443.94109999999995;39.79156;4.0;enero
SALCHICHON/SALAMI;0.01870415463566;0.21646971424775;13.492;11.573349261932831;125.3587;10.83167;3.0;enero
SALCHICHON DE PAVO;0.00038853401196;0.00644956927905;0.633;16.599754668847385;3.734978;0.225002;4.0;enero
SALCHICHON DE CERD;0.0183156240773;0.21002010697905;13.543;11.466718583683663;121.6237;10.60667;4.0;enero
FUET/LONGANIZAS;0.02587634240278;0.35200454154431;12.726;13.60333450783177;203.8476;14.98512;3.0;enero
FUET/LONGANIZ.PAVO;0.0073574823074;0.11771738573518;2.559;15.999683154746045;68.17072999999999;4.2607550000000005;4.0;enero
FUET/LONGANIZ.CERD;0.01851885146136;0.2342872076132;10.426;12.651281754808677;135.6769;10.72436;4.0;enero
OTROS PROD.CURADOS;0.02175619168173;0.1922169460742;10.854;8.835045622233933;111.3138;12.599120000000001;3.0;enero
O.PROD.CURAD.CORTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
O.PROD.CURAD.ENVAS;0.02175619168173;0.1922169460742;10.854;8.835045622233933;111.3138;12.599120000000001;4.0;enero
SALCHICHAS;0.08685939085328;0.3344650633784;24.716;3.850649424232779;193.69039999999998;50.30071;3.0;enero
JAMON COCIDO;0.07825829130067;0.85196549135618;34.153;10.886584375869516;493.3775;45.31977;3.0;enero
J.COC.SIN/BAJO SAL;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA COCIDA;0.00108767316669;0.01293558445127;2.828;11.892896549643822;7.491062;0.6298769999999999;3.0;enero
FIAMBRES;0.13707675830445;1.11287757571189;55.194;8.118645272016874;644.473;79.38184;3.0;enero
PAVO;0.07584259823709;0.69955790433185;33.009;9.223812482596527;405.1175;43.92083;4.0;enero
POLLO;0.00483326143466;0.05160436974043;5.316;10.676924978724285;29.884349999999998;2.798966;4.0;enero
PROD.A BASE SANGRE;0.00611022841618;0.04666029248331;1.979;7.6364236007488;27.02121;3.538464;3.0;enero
MORCILLA;0.00611022841618;0.04666029248331;1.979;7.6364236007488;27.02121;3.538464;4.0;enero
FOIE-GRAS Y PATES;0.00333515494693;0.09391507125697;4.843;28.159132859239776;54.38669;1.931405;3.0;enero
COCIDOS Y OTROS;0.0165532494646;0.16302531558702;12.44;9.848538556467874;94.40878;9.58607;3.0;enero
COCIDOS Y O. CORTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
COCIDOS Y O.ENVASA;0.0165532494646;0.16302531558702;12.44;9.848538556467874;94.40878;9.58607;4.0;enero
COCIDOS DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
COCIDOS DE CERDO;0.0165532494646;0.16302531558702;12.44;9.848538556467874;94.40878;9.58607;4.0;enero
TOTAL PESCA;1.29955752962891;14.31825073950069;82.716;11.017789065166866;8291.771;752.5803000000001;1.0;enero
PESCADOS;0.69698168770958;7.75796924614647;61.513;11.130807857578906;4492.679;403.62559999999996;2.0;enero
PESCADOS FRESCOS;0.55075225460385;6.5024474246411;45.456;11.806483532814912;3765.6;318.9434;3.0;enero
PESCADOS CONGELADOS;0.1462295539819;1.25552078542388;24.854;8.585957839817;727.0784;84.68227;3.0;enero
MERLUZA/PESCAD;0.1296501434597;1.28632037984585;23.877;9.921472861660831;744.9146;75.08105;3.0;enero
MERLUZA/PESCAD.FRE;0.08526392896845;0.93311761005957;14.708;10.943872999388176;540.3731;49.37676999999999;4.0;enero
MERLUZA/PESCAD.CON;0.04438621449125;0.35320276978628;11.857;7.9574880136693205;204.5415;25.704279999999997;4.0;enero
SARDINA/BOQUERON;0.03113450776327;0.24188064884571;11.66;7.768892660349469;140.0743;18.030150000000003;3.0;enero
BOQUERONES FRESCOS;0.02131278334051;0.20108476753811;8.964;9.43493697305373;116.44919999999999;12.34234;4.0;enero
SARDINAS FRESCAS;0.00982172442276;0.04079581223549;2.702;4.153630307622793;23.62506;5.687810000000001;4.0;enero
ATUN Y BONITO;0.05405397720475;0.89002559949221;3.168;16.46549699980162;515.4183;31.30293;3.0;enero
