Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.41946474609664;124.48663165000842;98.981;2.681776542037279;235476.960287;87806.33158499999;0.0;enero
T.HUEVOS KGS;0.73566270053099;2.54939817164869;81.15;3.4654443807040387;4822.401603;1391.568028;1.0;enero
T.HUEVOS UNDS.;11.5099752982363;2.54939817164869;81.15;0.2214946692404586;4822.401603;21772.088780000002;1.0;enero
TOTAL HUEVOS GALLINA;11.49190643412781;2.54769663343621;81.201;0.22169486394966215;4819.183;21737.91;2.0;enero
OTRAS AVES;0.01806886410849;0.00170153821248;0.362;0.09416962805577028;3.218603;34.178779999999996;2.0;enero
MIEL;0.01535409747087;0.12839364210726;6.445;8.362174484748259;242.8674;29.04357;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.01535409747087;0.12839364210726;6.445;8.362174484748259;242.8674;29.04357;2.0;enero
TOTAL CARNE;2.79402083662027;22.23770814206008;96.73;7.959034467673996;42064.5;5285.126;1.0;enero
CARNE CERTIFICADA;0.49026923671859;4.25363803319786;44.021;8.676126737357148;8046.115;927.3856;2.0;enero
CARNE FRESCA;1.65963947224762;12.67143090904894;87.835;7.635050335292552;23969.08;3139.348;2.0;enero
SALCHICHAS FRESCAS;0.00251968889437;0.02805343091616;0.824;11.133688360800335;53.06543;4.766204;3.0;enero
CARNE VACUNO;0.31833717065829;3.57300593689855;56.146;11.223967121118317;6758.642;602.1616;3.0;enero
TERNERA;0.11328720475676;1.23613099198467;29.835;10.91147932053555;2338.246;214.29229999999998;4.0;enero
AÑOJO;0.16707180161938;1.87100039129224;30.883;11.1987802439259;3539.155;316.03040000000004;4.0;enero
MAYOR;0.037978153709;0.46587487081605;10.905;12.266917301606037;881.2416;71.83888;4.0;enero
CARNE POLLO;0.56648439593359;3.62201459017154;61.861;6.393847061227955;6851.346;1071.553;3.0;enero
POLLO ENTERO;0.12793164842742;0.53927545816765;14.699;4.215340494682708;1020.085;241.9935;4.0;enero
POLLO FILETES;0.15029475409879;1.20186500692259;34.461;7.996719606943768;2273.429;284.2952;4.0;enero
POLLO POR PIEZAS;0.2882578876759;1.88087412508128;41.216;6.524970193343005;3557.832;545.2641;4.0;enero
CARNE CONEJO;0.02846589997312;0.23773711571379;5.498;8.351645861829136;449.6998;53.84565;3.0;enero
CARNE OVINO/CAPRINO;0.00504728068784;0.04438764858675;1.489;8.7943689546751;83.96298;9.547357;3.0;enero
CORDERO;0.00095472032749;0.00958718034561;0.61;10.041873069558466;18.13496;1.805934;4.0;enero
CABRITO;0.00279791334087;0.02329695777764;0.57;8.326547301279229;44.068160000000006;5.292489;4.0;enero
OTRO OVINO/CAPRINO;0.00129464754814;0.01150350517693;0.31;8.88543387227509;21.75985;2.448935;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.00504728068784;0.04438764858675;1.489;8.7943689546751;83.96298;9.547357;4.0;enero
CARNE CERDO;0.57567404707965;3.93093658444769;54.8;6.82840681178692;7435.698;1088.936;3.0;enero
CARNE CERDO ADOBAD;0.04669533847263;0.35197828270337;11.223;7.537760603440556;665.7966;88.32817;4.0;enero
CARN.CERDO IBERICO;0.02406360612942;0.29226696087766;3.703;12.145601091779708;552.8475999999999;45.518339999999995;4.0;enero
CARNE DESPOJOS;0.00904613652852;0.05136500078364;3.057;5.678114698101222;97.16122999999999;17.11153;3.0;enero
DESPOJOS CERDO;0.00130430558972;0.00586514166549;0.622;4.4967542205670865;11.09441;2.467204;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.0050140736035;0.02437881808914;1.173;4.8620782255929464;46.11459;9.484543;4.0;enero
DESPOJOS TERNERA;0.00272775574931;0.021121041029;1.432;7.743010360906861;39.95223;5.15978;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.15658466667836;1.21198403773354;37.159;7.740119536883204;2292.57;296.19309999999996;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.08422505856347;0.67756006829438;22.297;8.04463754434505;1281.662;159.31879999999998;4.0;enero
OTRAS AVES;0.00922864491402;0.06736807804781;3.66;7.299888409991316;127.4324;17.45676;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.40217874116209;1.97687724702929;34.747;4.915419550315147;3739.43;760.755;2.0;enero
C.CONG.POLLO;0.30305130699478;1.28545948296941;28.567;4.24172228695095;2431.555;573.2470999999999;3.0;enero
C.CONG.CERDO;0.06470216463819;0.41986777551994;8.23;6.489238464706152;794.2153000000001;122.3896;3.0;enero
C.CONG.VACA;0.01406721854285;0.14152348239914;2.094;10.060516367755218;267.7036;26.609330000000003;3.0;enero
RESTO CARNES CONG.;0.02035804569968;0.13002650614079;5.449;6.386983704571611;245.9561;38.50896;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.00143619133098;0.01783684167326;0.711;12.41954417105898;33.73989;2.7166770000000002;3.0;enero
CARNE TRANSFORMADA;0.73220262321055;7.58939998598184;92.4;10.365163611001407;14355.99;1385.023;2.0;enero
JAMON CURADO+PALETA;0.10853933287372;2.0379350591886;50.725;18.776005022616875;3854.926;205.3113;3.0;enero
JAMON C.+P.ENTERO;0.01436385876899;0.25208910612472;3.438;17.55023564203022;476.8478;27.170450000000002;4.0;enero
JAMON C.+P.LONCHA;0.0941755005376;1.78584637598978;48.064;18.962961341275363;3378.079;178.1409;4.0;enero
JAMON CURADO NORMAL;0.0902271700682;1.46138872744053;43.798;16.196770067550506;2764.34;170.67229999999998;3.0;enero
JAMON C.N.ENTER/PI;0.00988363554167;0.1483334352383;3.521;15.007983106302882;280.5852;18.69573;4.0;enero
JAMON C.N.LONCHA;0.08034349752051;1.3130553979337;41.163;16.34302013798186;2483.755;151.9765;4.0;enero
JAMON IBERICO;0.0144293647043;0.47474859631493;9.828;32.90155914994893;898.027;27.29436;3.0;enero
JAMON IBE.ENTER/PI;0.00366373993079;0.09230934000457;0.946;25.195385520887847;174.6109;6.930273000000001;4.0;enero
JAMON IBE.LONCHA;0.01076562107291;0.38243925631036;8.912;35.524123849444706;723.4161;20.36408;4.0;enero
PALETA CURADA NORM.;0.00240093235901;0.03570206167441;1.676;14.87008225797005;67.53346;4.5415659999999995;3.0;enero
PALETA C.N.ENTR/PI;0.00081648171055;0.01144633616842;0.393;14.019096840027867;21.651709999999998;1.544444;4.0;enero
PALETA C.N.LONCHA;0.00158445117711;0.02425572550599;1.355;15.308597611776358;45.88175;2.997123;4.0;enero
PALETA IBERICA;0.00148189323237;0.06609596980684;2.036;44.60238319647422;125.0261;2.8031260000000002;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.00148189323237;0.06609596980684;2.036;44.60238319647422;125.0261;2.8031260000000002;4.0;enero
HUESOS JAMON CURADO;0.00199234999107;0.01405997065024;1.363;7.056978298606045;26.59562;3.7686979999999997;3.0;enero
LOMO EMBUCHADO N+IB;0.00839038463425;0.16057851454772;8.576;19.138397290172335;303.7478;15.871120000000001;3.0;enero
LOMO EMB.AL CORTE;0.00498241337064;0.10454670091632;3.056;20.98314474110723;197.75889999999998;9.424655000000001;4.0;enero
LOMO EMB.ENVASADO;0.00340797337823;0.05603186649713;5.54;16.441403813467495;105.989;6.4464690000000004;4.0;enero
LOMO EMB.NORMAL;0.00811791990985;0.14969948589477;8.067;18.440621188312114;283.1692;15.35573;4.0;enero
LOMO E.N.AL CORTE;0.00470994441699;0.09366761939763;2.513;19.887202715108568;177.1802;8.909257;5.0;enero
LOMO E.N.ENVASADO;0.00340797337823;0.05603186649713;5.54;16.441403813467495;105.989;6.4464690000000004;5.0;enero
LOMO EMB.IBERICO;0.00027246895365;0.01087906565897;0.538;39.927725757569874;20.57867;0.515398;4.0;enero
LOMO E.I.AL CORTE;0.00027246895365;0.01087906565897;0.538;39.927725757569874;20.57867;0.515398;5.0;enero
LOMO E.I.ENVASADO;0.0;0.0;0.0;;0.0;0.0;5.0;enero
OTRAS SALAZONES;0.01118263129672;0.08546497157031;6.056;7.642653084283047;161.66420000000002;21.15289;3.0;enero
O.SALAZONES AL COR;0.00621560449897;0.04399482443784;3.468;7.078124813946011;83.21992;11.757340000000001;4.0;enero
O.SALAZONES ENVASA;0.00496702679775;0.04147015770562;2.639;8.349090792981784;78.4443;9.39555;4.0;enero
TOCINO Y MANTECA;0.02721619094512;0.1859993744749;14.478;6.8341442360511655;351.8335;51.48172;3.0;enero
TOCINO;0.0020289616289;0.0161931507367;0.487;7.9810039312633405;30.63071;3.837952;4.0;enero
CHORIZOS;0.05953638910038;0.60303682414166;30.808;10.128878040030864;1140.695;112.61810000000001;3.0;enero
CHOR.IBERICO;0.00171512312104;0.02674744102404;2.127;15.595055944271492;50.59504;3.2443;4.0;enero
CHOR.NORMAL;0.05782131884507;0.57628940426392;29.788;9.966728808244014;1090.1;109.37389999999999;4.0;enero
CHORIZO DE PAVO;0.0010872441582;0.02123318511791;1.757;19.529362340234968;40.16436;2.056614;4.0;enero
CHORIZO DE CERDO;0.05599877254547;0.55866343873088;28.476;9.976351504440819;1056.759;105.9264;4.0;enero
SALCHICHON/SALAMI;0.02963939246739;0.36161538945145;24.403;12.20049938099088;684.026;56.06541;3.0;enero
SALCHICHON DE PAVO;0.00052100505929;0.008357570871;0.829;16.041247051064154;15.80905;0.985525;4.0;enero
SALCHICHON DE CERD;0.02893393620675;0.35143180957504;23.754;12.14600761762351;664.7629000000001;54.73098;4.0;enero
FUET/LONGANIZAS;0.01218072584719;0.13636928445784;9.601;11.195497392242569;257.954;23.040869999999998;3.0;enero
FUET/LONGANIZ.PAVO;7.566408676e-05;0.0015801637658;0.147;20.883933624454148;2.989013;0.143125;4.0;enero
FUET/LONGANIZ.CERD;0.01178331823883;0.1277098766587;9.312;10.838192949570958;241.574;22.28914;4.0;enero
OTROS PROD.CURADOS;0.01724498859589;0.20760713448915;13.238;12.038693637560602;392.70640000000003;32.62035;3.0;enero
O.PROD.CURAD.CORTE;0.00955476836196;0.11480741190372;6.671;12.015719016358068;217.1679;18.07365;4.0;enero
O.PROD.CURAD.ENVAS;0.00769022023392;0.09279972258543;6.901;12.06723861769336;175.5385;14.546700000000001;4.0;enero
SALCHICHAS;0.08250861379898;0.37495256916573;23.81;4.544405146342713;709.2544;156.072;3.0;enero
JAMON COCIDO;0.13988554325481;1.35497898506969;49.924;9.686340371867079;2563.057;264.6053;3.0;enero
J.COC.SIN/BAJO SAL;0.00317816337412;0.03176212099756;2.016;9.993860371099064;60.08073;6.011764;4.0;enero
PALETA COCIDA;0.00609313573152;0.08465586145819;3.526;13.893644453082162;160.1337;11.52568;3.0;enero
FIAMBRES;0.18084380202442;1.54776817053777;52.143;8.558591188702803;2927.734;342.0813;3.0;enero
PAVO;0.10502217535921;0.9315846947997;31.737;8.870361822284798;1762.171;198.6583;4.0;enero
POLLO;0.00758487996542;0.07962827695815;6.509;10.498290984314972;150.6236;14.34744;4.0;enero
PROD.A BASE SANGRE;0.00259437337902;0.02002198349309;2.783;7.717464130237214;37.87327;4.907476;3.0;enero
MORCILLA;0.00259437337902;0.02002198349309;2.783;7.717464130237214;37.87327;4.907476;4.0;enero
FOIE-GRAS Y PATES;0.01017534339451;0.09227423715488;10.409;9.068415047756801;174.5445;19.24752;3.0;enero
COCIDOS Y OTROS;0.03417938041094;0.32208138651528;21.081;9.423265800692247;609.2441;64.65318;3.0;enero
COCIDOS Y O. CORTE;0.01254166138325;0.13083318442899;9.943;10.431886209560854;247.482;23.72361;4.0;enero
COCIDOS Y O.ENVASA;0.02163771902768;0.19124814922055;13.888;8.838646484680881;361.762;40.92957;4.0;enero
COCIDOS DE PAVO;0.00248950943082;0.02695423064276;0.959;10.827125340058444;50.9862;4.709117;4.0;enero
COCIDOS DE CERDO;0.0315510281078;0.29339590870153;20.255;9.29909186157235;554.9830999999999;59.68143;4.0;enero
TOTAL PESCA;0.98414486831656;10.32766015733824;82.153;10.494044616626727;19535.64;1861.593;1.0;enero
PESCADOS;0.51251075119375;5.46103068163132;57.311;10.65544609339679;10330.0;969.4573;2.0;enero
PESCADOS FRESCOS;0.31565862233742;3.24620422154946;32.134;10.283907968398323;6140.469;597.0949;3.0;enero
PESCADOS CONGELADOS;0.19685212885632;2.21482487410972;37.355;11.25121118566214;4189.528;372.36240000000004;3.0;enero
MERLUZA/PESCAD;0.0955169157604;0.84043676218181;20.357;8.798826422431473;1589.757;180.67829999999998;3.0;enero
MERLUZA/PESCAD.FRE;0.02782607123898;0.33298890980073;4.841;11.966795705396523;629.8765999999999;52.63536;4.0;enero
MERLUZA/PESCAD.CON;0.06769087624086;0.50744795811255;16.525;7.496548815632248;959.8806;128.043;4.0;enero
SARDINA/BOQUERON;0.02325780012589;0.14593629123803;6.442;6.274724627785232;276.0508;43.99409;3.0;enero
BOQUERONES FRESCOS;0.00597429355367;0.04314691616098;1.496;7.222095093479446;81.61603;11.30088;4.0;enero
SARDINAS FRESCAS;0.01456743415088;0.08833774861069;3.854;6.0640568336010965;167.0983;27.555529999999997;4.0;enero
ATUN Y BONITO;0.01743558543922;0.23796702880609;6.563;13.648353227688286;450.1347;32.98088;3.0;enero
TRUCHA FRESCA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
LENGUADO;0.00388119785534;0.05464625551779;1.955;14.079739697529682;103.368;7.341613000000001;3.0;enero
LENGUADO FRESCO;0.00245163905977;0.03814012904206;0.851;15.556991919321737;72.14527000000001;4.637482;4.0;enero
LENGUADO CONGELADO;0.00142955879556;0.0165061317623;1.103;11.546311920539354;31.22274;2.704131;4.0;enero
BACALAO;0.05265195901027;0.60373412321902;13.578;11.466508266126562;1142.014;99.59562;3.0;enero
BACALAO FRESCO;0.01800666756834;0.15799078956384;5.427;8.774016011799961;298.85290000000003;34.06113;4.0;enero
BACALAO CONGELADO;0.03464529144192;0.4457432279237;9.219;12.865910759357403;843.1609;65.53448999999999;4.0;enero
BACALADILLA;0.01380585033675;0.10241711041344;4.282;7.418384808996233;193.7306;26.11493;4.0;enero
CABALLA FRESCA;0.02847035655479;0.15766841429669;4.714;5.53798523714452;298.24309999999997;53.85408;3.0;enero
SALMON;0.06209339909079;1.21917166340125;18.771;19.63448097950788;2306.166;117.4549;3.0;enero
SALMON FRESCO;0.03802425263208;0.62306553744314;11.949;16.38600351916857;1178.581;71.92608;4.0;enero
