Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;44.06295457605012;132.96331585072534;99.689;3.0175760370593925;679932.26823;225323.988486;0.0;enero
T.HUEVOS KGS;0.72265937279427;2.20498744695057;81.133;3.0512126874168373;11275.60716;3695.45106;1.0;enero
T.HUEVOS UNDS.;11.44784223987435;2.20498744695057;81.133;0.19261162066597223;11275.60716;58540.638;1.0;enero
TOTAL HUEVOS GALLINA;11.26261019250976;2.18598604285626;80.627;0.1940923112397215;11178.44;57593.42;2.0;enero
OTRAS AVES;0.18523204736458;0.0190014040943;2.168;0.1025816232377341;97.16716000000001;947.218;2.0;enero
MIEL;0.0308395133766;0.21733513140185;8.268;7.047294448125756;1111.383;157.7035;1.0;enero
GRANEL;0.00796987783184;0.07533517202285;1.642;9.45248768078266;385.2402;40.75543;2.0;enero
ENVASADA;0.02286962185599;0.14199988115749;6.718;6.209104901323666;726.1424000000001;116.948;2.0;enero
TOTAL CARNE;3.65923336276737;27.64287418114054;98.525;7.554280211370574;141356.9;18712.16;1.0;enero
CARNE CERTIFICADA;0.49164524370965;4.47516776370298;51.59;9.102432741820392;22884.59;2514.118;2.0;enero
CARNE FRESCA;2.80723298072132;19.29708138888612;93.638;6.874057665113234;98679.16;14355.3;2.0;enero
SALCHICHAS FRESCAS;0.02139369936056;0.17488971710715;6.527;8.174823538444944;894.3306;109.40060000000001;3.0;enero
CARNE VACUNO;0.30050453929766;3.46202912272511;52.128;11.520721553213574;17703.72;1536.685;3.0;enero
TERNERA;0.22976922207541;2.59874919944147;42.144;11.310258075333179;13289.18;1174.967;4.0;enero
AÑOJO;0.05393496072187;0.64215652432188;15.639;11.906127597520435;3283.785;275.80629999999996;4.0;enero
MAYOR;0.01680048165478;0.22112339896174;4.985;13.161729735216152;1130.755;85.91234;4.0;enero
CARNE POLLO;1.23330636868393;6.37721169349456;81.978;5.1708252348519945;32611.04;6306.738;3.0;enero
POLLO ENTERO;0.3486299300655;1.30674619449349;28.302;3.7482329593674613;6682.286;1782.783;4.0;enero
