Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;43.40873216237641;138.7695814397926;99.037;3.196812588782958;44489.818236;13916.930380000002;0.0;enero
T.HUEVOS KGS;0.83797616415029;2.5291848495016;75.627;3.0182061945236676;810.861956;268.65691200000003;1.0;enero
T.HUEVOS UNDS.;13.2791465330645;2.5291848495016;75.627;0.19046290687462816;810.861956;4257.32217;1.0;enero
TOTAL HUEVOS GALLINA;13.05897588673911;2.50956190835445;75.673;0.19217141758434678;804.5708000000001;4186.735;2.0;enero
OTRAS AVES;0.22017064632539;0.01962294114715;4.172;0.08912605506071429;6.291156;70.58717;2.0;enero
MIEL;0.03130491105101;0.20432452394186;7.751;6.526915972029868;65.50687;10.03642;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.03130491105101;0.20432452394186;7.751;6.526915972029868;65.50687;10.03642;2.0;enero
TOTAL CARNE;3.95670529987051;32.78721578505475;98.96;8.286494267371316;10511.65;1268.528;1.0;enero
CARNE CERTIFICADA;0.44191882446125;4.2628074813071;45.223;9.646132378506225;1366.665;141.6801;2.0;enero
CARNE FRESCA;2.92794969490976;22.0899337763153;94.364;7.544505909619488;7082.079;938.7068;2.0;enero
SALCHICHAS FRESCAS;0.06971267654577;0.6374677662638;16.024;9.144215913804143;204.3735;22.35003;3.0;enero
CARNE VACUNO;0.27136014372759;3.16367554224894;57.665;11.658585888076628;1014.281;86.99863;3.0;enero
TERNERA;0.22187877616042;2.60906437795668;42.035;11.758963264112642;836.4715;71.1348;4.0;enero
AÑOJO;0.04948133637585;0.55461116429225;23.919;11.208492027771369;177.8095;15.86382;4.0;enero
MAYOR;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE POLLO;1.07000923459769;6.13514086076303;83.46;5.733727020654883;1966.939;343.04720000000003;3.0;enero
POLLO ENTERO;0.15606775848658;0.54822879797113;21.603;3.512761401121;175.7633;50.035650000000004;4.0;enero
POLLO FILETES;0.18343950744024;1.39105361418759;33.968;7.583173513702944;445.9747;58.81108999999999;4.0;enero
POLLO POR PIEZAS;0.73050209343611;4.1958584486043;79.232;5.743800717761063;1345.201;234.2005;4.0;enero
CARNE CONEJO;0.12920598748888;1.07394183525142;21.07;8.311858112177784;344.308;41.42371;3.0;enero
CARNE OVINO/CAPRINO;0.11343909103857;1.821459725282;19.227;16.05672003015771;583.9638;36.368809999999996;3.0;enero
CORDERO;0.11343909103857;1.821459725282;19.227;16.05672003015771;583.9638;36.368809999999996;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.01822922909741;0.32628639153363;1.192;17.899077892432135;104.60810000000001;5.844329;4.0;enero
OVINO/CAPRINO PIEZ;0.09520985882202;1.49517333374836;18.046;15.703975956347168;479.3557;30.52448;4.0;enero
CARNE CERDO;0.94431853919538;7.01506337616669;84.705;7.428704494294807;2249.044;302.7505;3.0;enero
CARNE CERDO ADOBAD;0.07431261532599;0.63956725349415;28.338;8.60644253588071;205.0466;23.82478;4.0;enero
CARN.CERDO IBERICO;0.0048154769864;0.07201746499363;2.557;14.95541671092825;23.08895;1.543852;4.0;enero
CARNE DESPOJOS;0.15333720862594;0.8598240814154;22.776;5.607406637438433;275.6614;49.160230000000006;3.0;enero
DESPOJOS CERDO;0.06493840952117;0.44073324268104;13.49;6.786942364785905;141.3;20.81939;4.0;enero
DESPOJOS CORDERO;0.04458336460669;0.2479272024988;4.477;5.560980080484023;79.48598;14.293520000000001;4.0;enero
DESPOJOS POLLO;0.0225807072413;0.09292712263196;8.273;4.115332688162122;29.792630000000003;7.239421999999999;4.0;enero
DESPOJOS TERNERA;0.02123469606545;0.07823676313409;6.0;3.6843834681181593;25.08287;6.807888;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.24627930308781;2.02083022666652;52.6;8.205440738745297;647.8824000000001;78.95766;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.13343278460015;1.14974951255817;32.91;8.616694285467835;368.6121;42.77883;4.0;enero
OTRAS AVES;0.02361988947813;0.15371006957308;12.175;6.507654056355385;49.27977;7.572586;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.11865346747962;0.86676633179216;17.146;7.305023192356576;277.8871;38.04055;2.0;enero
C.CONG.POLLO;0.07729622030324;0.38786053730234;7.657;5.017846096234544;124.3489;24.78133;3.0;enero
C.CONG.CERDO;0.01887009515715;0.16194563652269;4.673;8.582131418733074;51.92011;6.049792;3.0;enero
C.CONG.VACA;0.01836275286707;0.28695243121169;4.521;15.626874319384788;91.99755;5.887137;3.0;enero
RESTO CARNES CONG.;0.00412443034345;0.03000776730413;3.275;7.275615007475604;9.620553;1.322301;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.91010166961144;9.83050039320426;95.441;10.801540884329144;3151.679;291.7805;2.0;enero
JAMON CURADO+PALETA;0.22505685896981;2.851675083658;45.354;12.670909461330465;914.253;72.1537;3.0;enero
JAMON C.+P.ENTERO;0.14595469287619;1.09376703334399;12.101;7.493880544641144;350.664;46.79338;4.0;enero
JAMON C.+P.LONCHA;0.07910219728493;1.75790836222712;42.45;22.22325576993675;563.5891;25.36033;4.0;enero
JAMON CURADO NORMAL;0.06400741123188;1.13733069156925;38.421;17.768734427469344;364.63059999999996;20.52091;3.0;enero
JAMON C.N.ENTER/PI;0.00415065911796;0.05733633812419;4.47;13.813791134056258;18.382150000000003;1.33071;4.0;enero
JAMON C.N.LONCHA;0.05985678330523;1.07999419748849;37.573;18.042970869000392;346.2484;19.19021;4.0;enero
JAMON IBERICO;0.07354518427836;0.65307309171643;7.048;8.879889256168903;209.3766;23.578740000000003;3.0;enero
JAMON IBE.ENTER/PI;0.06996276848773;0.57425576468666;3.47;8.208019452336828;184.10760000000002;22.43021;4.0;enero
JAMON IBE.LONCHA;0.00358240955237;0.07881726464715;3.576;22.001187607093602;25.26898;1.148528;4.0;enero
PALETA CURADA NORM.;0.07613506132056;0.52450000714526;9.814;6.889073155623363;168.1558;24.40906;3.0;enero
PALETA C.N.ENTR/PI;0.07184123407918;0.46217477457657;4.115;6.433280002778688;148.1742;23.03245;4.0;enero
PALETA C.N.LONCHA;0.00429382100311;0.06232510780343;5.699;14.51506892303401;19.98156;1.376608;4.0;enero
PALETA IBERICA;0.01136918966247;0.53677129322704;8.446;47.212801366040914;172.09;3.644986;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.01136918966247;0.53677129322704;8.446;47.212801366040914;172.09;3.644986;4.0;enero
HUESOS JAMON CURADO;0.00640308047161;0.28207233206447;4.627;44.05259832592977;90.43298;2.052841;3.0;enero
LOMO EMBUCHADO N+IB;0.00611987895165;0.09232066994707;7.668;15.085375164496654;29.598200000000002;1.962046;3.0;enero
LOMO EMB.AL CORTE;0.00176223740446;0.02457070360811;4.188;13.942902100439488;7.877419;0.564977;4.0;enero
LOMO EMB.ENVASADO;0.00435764154719;0.06774996321982;3.731;15.547392433730904;21.720779999999998;1.397069;4.0;enero
LOMO EMB.NORMAL;0.00611987895165;0.09232066994707;7.668;15.085375164496654;29.598200000000002;1.962046;4.0;enero
LOMO E.N.AL CORTE;0.00176223740446;0.02457070360811;4.188;13.942902100439488;7.877419;0.564977;5.0;enero
LOMO E.N.ENVASADO;0.00435764154719;0.06774996321982;3.731;15.547392433730904;21.720779999999998;1.397069;5.0;enero
LOMO EMB.IBERICO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
LOMO E.I.AL CORTE;0.0;0.0;0.0;;0.0;0.0;5.0;enero
LOMO E.I.ENVASADO;0.0;0.0;0.0;;0.0;0.0;5.0;enero
OTRAS SALAZONES;0.02076886317377;0.16018772535324;10.139;7.71287884237703;51.356519999999996;6.6585410000000005;3.0;enero
O.SALAZONES AL COR;0.0;0.0;0.0;;0.0;0.0;4.0;enero
O.SALAZONES ENVASA;0.02076886317377;0.16018772535324;10.139;7.71287884237703;51.356519999999996;6.6585410000000005;4.0;enero
TOCINO Y MANTECA;0.0085057086671;0.06490494124308;8.253;7.630750568034301;20.80866;2.7269479999999997;3.0;enero
TOCINO;0.00176072774494;0.0095785057812;1.866;5.4400834022742535;3.070889;0.564493;4.0;enero
CHORIZOS;0.08028940101338;0.84477552088717;47.429;10.521631874503464;270.8368;25.74095;3.0;enero
CHOR.IBERICO;0.00273778624508;0.03954150731393;6.16;14.442876022512362;12.67709;0.87774;4.0;enero
CHOR.NORMAL;0.07755161476829;0.80523398238192;41.092;10.383200721065382;258.1597;24.86321;4.0;enero
CHORIZO DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CHORIZO DE CERDO;0.08028940101338;0.84477552088717;47.429;10.521631874503464;270.8368;25.74095;4.0;enero
SALCHICHON/SALAMI;0.02804505085905;0.33877695254083;23.167;12.079741065309564;108.6126;8.991302;3.0;enero
SALCHICHON DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHON DE CERD;0.02804505085905;0.33877695254083;23.167;12.079741065309564;108.6126;8.991302;4.0;enero
FUET/LONGANIZAS;0.06840585413469;0.84144148151632;19.048;12.30072326645406;269.7679;21.931060000000002;3.0;enero
FUET/LONGANIZ.PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
FUET/LONGANIZ.CERD;0.06770086809428;0.8259316014793;19.197;12.199719512150175;264.79540000000003;21.70504;4.0;enero
OTROS PROD.CURADOS;0.04126591901398;0.5196659775663;25.373;12.593103218911045;166.606;13.229940000000001;3.0;enero
O.PROD.CURAD.CORTE;0.01310176724807;0.24412972260991;10.284;18.633342967212595;78.2685;4.200454;4.0;enero
O.PROD.CURAD.ENVAS;0.02816415488504;0.27553625495638;18.014;9.783224672675203;88.3375;9.029487;4.0;enero
SALCHICHAS;0.06951242832086;0.29087979172495;19.462;4.184572439079002;93.25667;22.28583;3.0;enero
JAMON COCIDO;0.09984398328051;1.10991477571738;41.252;11.11649134228819;355.841;32.01019;3.0;enero
J.COC.SIN/BAJO SAL;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA COCIDA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
FIAMBRES;0.15944771146912;1.58175729753875;55.433;9.920225777872025;507.1147;51.11927;3.0;enero
PAVO;0.08434293038486;0.76560885115973;32.983;9.077332832356774;245.45579999999998;27.04052;4.0;enero
POLLO;0.0063289200075;0.07362855865612;5.616;11.633668709479489;23.60547;2.029065;4.0;enero
PROD.A BASE SANGRE;0.05090091538087;0.37224959741349;14.912;7.313220098854459;119.344;16.31894;3.0;enero
MORCILLA;0.05090091538087;0.37224959741349;14.912;7.313220098854459;119.344;16.31894;4.0;enero
FOIE-GRAS Y PATES;0.01469175374953;0.19258651572633;15.494;13.108476973517298;61.74364;4.7102070000000005;3.0;enero
COCIDOS Y OTROS;0.0308442091302;0.28729219817648;25.682;9.314299386432092;92.10647999999999;9.888718;3.0;enero
COCIDOS Y O. CORTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
COCIDOS Y O.ENVASA;0.0308442091302;0.28729219817648;25.682;9.314299386432092;92.10647999999999;9.888718;4.0;enero
COCIDOS DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
COCIDOS DE CERDO;0.0308442091302;0.28729219817648;25.682;9.314299386432092;92.10647999999999;9.888718;4.0;enero
TOTAL PESCA;1.80816224502582;17.5840898278941;90.798;9.724840719502447;5637.496;579.7006;1.0;enero
PESCADOS;1.18615570035187;12.12143677927031;76.639;10.219094150687381;3886.158;380.284;2.0;enero
PESCADOS FRESCOS;0.95438584715064;10.03760134942714;59.815;10.517340946950126;3218.076;305.9781;3.0;enero
PESCADOS CONGELADOS;0.23176966605335;2.08383480601692;42.501;8.990972984088465;668.0818;74.30584;3.0;enero
MERLUZA/PESCAD;0.2555207274762;2.77146319305566;50.995;10.846334152338953;888.5369000000001;81.92048;3.0;enero
MERLUZA/PESCAD.FRE;0.12208875385017;1.45752666746482;28.826;11.938254929307229;467.2861;39.14191;4.0;enero
MERLUZA/PESCAD.CON;0.13343197362603;1.31393652559083;29.975;9.847238932951708;421.25079999999997;42.77857;4.0;enero
SARDINA/BOQUERON;0.05052197212784;0.33082472747207;12.096;6.548135663329722;106.0631;16.19745;3.0;enero
BOQUERONES FRESCOS;0.01989317955771;0.13349669559903;6.361;6.710676652353988;42.79932;6.377795;4.0;enero
SARDINAS FRESCAS;0.03062879257012;0.19732790710778;10.639;6.442562391448579;63.26374;9.819655000000001;4.0;enero
ATUN Y BONITO;0.01873957823;0.2424700952655;8.811;12.938930230421432;77.73642;6.007948000000001;3.0;enero
TRUCHA FRESCA;0.0192294939339;0.19219091631254;5.744;9.994590443885304;61.61681;6.165016;3.0;enero
LENGUADO;0.0;0.0;0.0;;0.0;0.0;3.0;enero
LENGUADO FRESCO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
LENGUADO CONGELADO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
BACALAO;0.21090620274852;2.35228501864688;31.88;11.153228250245466;754.1475;67.61697;3.0;enero
