Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;45.63349698851053;134.2643333617995;99.717;2.9422319616575545;189241.65013999998;64319.079055;0.0;enero
T.HUEVOS KGS;0.597123169978;1.83384562386451;78.261;3.071134593440871;2584.7517599999996;841.62764;1.0;enero
T.HUEVOS UNDS.;9.5699680435086;1.83384562386451;78.261;0.19162505198838423;2584.7517599999996;13488.59;1.0;enero
TOTAL HUEVOS GALLINA;9.28562017672064;1.80845966953033;78.2;0.194759169028279;2548.971;13087.81;2.0;enero
OTRAS AVES;0.28434786678795;0.02538595433417;2.899;0.08927780827386597;35.78076;400.78;2.0;enero
MIEL;0.03947293702086;0.31327709437788;8.18;7.936503286094694;441.55490000000003;55.635949999999994;1.0;enero
GRANEL;0.01728381384614;0.12652032720279;3.763;7.320162571122815;178.32670000000002;24.36103;2.0;enero
ENVASADA;0.02218912317471;0.18675676717509;5.202;8.41659067393298;263.2282;31.274919999999998;2.0;enero
TOTAL CARNE;3.38775672546523;25.66163227998156;98.127;7.574815537103681;36169.32;4774.944;1.0;enero
CARNE CERTIFICADA;0.37795612389424;3.44172591936419;45.823;9.106152015484362;4851.012;532.7180999999999;2.0;enero
CARNE FRESCA;2.42826749620288;16.83687303401957;93.313;6.9336978155609295;23731.08;3422.572;2.0;enero
SALCHICHAS FRESCAS;0.01851238847572;0.15403327850228;9.929;8.320551327250143;217.1054;26.09267;3.0;enero
CARNE VACUNO;0.21317221431985;2.60413067084283;40.455;12.21608866404846;3670.446;300.46;3.0;enero
TERNERA;0.1615737684544;1.98720406750234;33.217;12.299051303387513;2800.906;227.7335;4.0;enero
AÑOJO;0.0358252344959;0.45720310386606;11.115;12.76204078771164;644.4144;50.494620000000005;4.0;enero
MAYOR;0.01577328231816;0.1597234285258;4.319;10.126201085103531;225.1255;22.23198;4.0;enero
CARNE POLLO;1.06744393524215;5.61405479395584;77.727;5.259343941733337;7912.846;1504.531;3.0;enero
POLLO ENTERO;0.23071532407615;0.9273161599594;23.589;4.019308919650723;1307.025;325.1865;4.0;enero
POLLO FILETES;0.130945108644;1.03062302204648;28.178;7.8706492569216095;1452.633;184.5633;4.0;enero
POLLO POR PIEZAS;0.70578357347061;3.65611561194995;66.631;5.180222024680198;5153.188;994.7813000000001;4.0;enero
CARNE CONEJO;0.06186753448496;0.51917104483366;18.191;8.391655642262519;731.7564;87.20048;3.0;enero
CARNE OVINO/CAPRINO;0.05377999522229;0.77545135498386;12.829;14.418955445768564;1092.976;75.80133000000001;3.0;enero
CORDERO;0.05190454657817;0.74938270467848;12.277;14.437708333504197;1056.233;73.15794;4.0;enero
CABRITO;0.00187545006308;0.02606864321051;0.522;13.899939925671259;36.74299;2.643392;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.05377999522229;0.77545135498386;12.829;14.418955445768564;1092.976;75.80133000000001;4.0;enero
CARNE CERDO;0.7533501513352;5.29430143887925;74.1;7.027676877074847;7462.163;1061.825;3.0;enero
CARNE CERDO ADOBAD;0.04010807613416;0.29197810674044;10.94;7.279783397333434;411.53459999999995;56.53116000000001;4.0;enero
CARN.CERDO IBERICO;0.0106543112298;0.11496606114713;4.202;10.790567186124468;162.04129999999998;15.01694;4.0;enero
CARNE DESPOJOS;0.07539759181362;0.43231567708335;17.303;5.733812800706122;609.3363;106.27069999999999;3.0;enero
DESPOJOS CERDO;0.04496924832816;0.25990904810986;12.745;5.7797063053659326;366.3342;63.382839999999995;4.0;enero
DESPOJOS CORDERO;0.00248701436996;0.0216729365125;1.497;8.714439600453474;30.547369999999997;3.5053739999999998;4.0;enero
DESPOJOS POLLO;0.02188466137504;0.10251259232095;5.518;4.684221088193882;144.4885;30.84579;4.0;enero
DESPOJOS TERNERA;0.0046582123236;0.03302140901;1.044;7.0888587114624775;46.54271;6.565613999999999;4.0;enero
DESPOJOS OT.PROCED;0.00139843413226;0.01519972660432;1.185;10.869104417336528;21.423569999999998;1.9710519999999998;4.0;enero
OTRAS CARNES FRESCA;0.2032558680338;1.59745067853958;42.845;7.85930902754507;2251.56;286.4832;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.10437839904803;0.83850693824845;23.05;8.033337796861439;1181.851;147.11829999999998;4.0;enero
OTRAS AVES;0.02066277720003;0.15789394749057;7.358;7.64146784152223;222.5469;29.12358;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.08909478989395;0.46639712228351;13.796;5.234841710033327;657.3731;125.5765;2.0;enero
C.CONG.POLLO;0.06573624904641;0.28006157704692;10.465;4.260382682455415;394.73859999999996;92.65332000000001;3.0;enero
C.CONG.CERDO;0.0160518053035;0.12870873729089;2.024;8.018334066312923;181.4112;22.62455;3.0;enero
C.CONG.VACA;0.00071318755828;0.00677583981456;0.166;9.500782418124643;9.550348;1.005217;3.0;enero
RESTO CARNES CONG.;0.00659357352725;0.05085098090188;2.299;7.7122035102360815;71.67297;9.293449;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.87039408462531;8.3583572282239;91.01;9.602957299304284;11780.86;1226.795;2.0;enero
JAMON CURADO+PALETA;0.12851958827825;1.79026134929701;42.374;13.929871494927257;2523.321;181.1446;3.0;enero
JAMON C.+P.ENTERO;0.04820840743246;0.49781316984419;9.494;10.32627287141967;701.6531;67.94834;4.0;enero
JAMON C.+P.LONCHA;0.08031120922523;1.29244825040143;39.383;16.0929995061676;1821.668;113.19630000000001;4.0;enero
JAMON CURADO NORMAL;0.10495506940614;1.44542765814837;41.057;13.771870823646953;2037.288;147.93110000000001;3.0;enero
JAMON C.N.ENTER/PI;0.03371835855834;0.36836223907197;6.628;10.924678864026204;519.1958;47.525040000000004;4.0;enero
JAMON C.N.LONCHA;0.07123673922725;1.07706527717916;37.651;15.119519630779404;1518.092;100.40610000000001;4.0;enero
JAMON IBERICO;0.00467970336914;0.13074191180522;3.511;27.938076730941393;184.27689999999998;6.595905;3.0;enero
JAMON IBE.ENTER/PI;0.00254914407377;0.04586458439906;1.99;17.99215072653512;64.64479;3.592944;4.0;enero
JAMON IBE.LONCHA;0.00213055929536;0.0848773203113;1.555;39.838046514756606;119.63210000000001;3.002961;4.0;enero
PALETA CURADA NORM.;0.01882024161929;0.2110159439552;5.157;11.212180386615989;297.4208;26.526580000000003;3.0;enero
PALETA C.N.ENTR/PI;0.01194090763828;0.08358633927829;0.839;6.99999881167129;117.8125;16.83036;4.0;enero
PALETA C.N.LONCHA;0.00687933327151;0.1274296046769;4.351;18.52353994892236;179.60829999999999;9.696219;4.0;enero
PALETA IBERICA;6.4530605e-05;0.003076051072;0.199;47.66809596059547;4.335604;0.090954;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;6.4530605e-05;0.003076051072;0.199;47.66809596059547;4.335604;0.090954;4.0;enero
HUESOS JAMON CURADO;0.00986695185896;0.03860060249156;5.584;3.912110147420253;54.40642;13.90718;3.0;enero
LOMO EMBUCHADO N+IB;0.02442052812465;0.43171303953145;18.345;17.678284324064894;608.4869;34.420019999999994;3.0;enero
LOMO EMB.AL CORTE;0.00636623571208;0.08246017188233;5.09;12.952736218329097;116.2252;8.973023;4.0;enero
LOMO EMB.ENVASADO;0.01805429454102;0.34925293859773;14.264;19.344590717962824;492.2618;25.447;4.0;enero
LOMO EMB.NORMAL;0.0239231641305;0.41397673669134;17.887;17.304430736380084;583.4881;33.719;4.0;enero
LOMO E.N.AL CORTE;0.00603769678977;0.06934268076092;4.5;11.484955799424133;97.73648;8.509957;5.0;enero
LOMO E.N.ENVASADO;0.01788547230712;0.34463411268931;13.865;19.26894111440138;485.7517;25.209049999999998;5.0;enero
LOMO EMB.IBERICO;0.0004973611562;0.01773629574524;0.976;35.66079804169948;24.99879;0.701016;4.0;enero
LOMO E.I.AL CORTE;0.0003285389223;0.01311746274196;0.59;39.9266627219446;18.48868;0.463066;5.0;enero
LOMO E.I.ENVASADO;0.00016882223389;0.00461883229379;0.379;27.359146879596558;6.510109000000001;0.23795;5.0;enero
OTRAS SALAZONES;0.03932288779099;0.25895670482529;12.022;6.585393885659871;364.99190000000004;55.424459999999996;3.0;enero
O.SALAZONES AL COR;0.0077202027987;0.0556983535899;4.833;7.214623118348743;78.5052;10.8814;4.0;enero
O.SALAZONES ENVASA;0.03160268499228;0.20325835123539;7.196;6.431679817237523;286.4867;44.54306;4.0;enero
