Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;47.63544337478483;140.51446360375496;98.738;2.9497880915733083;185617.446612;62925.688507;0.0;enero
T.HUEVOS KGS;0.67860191945533;2.01698521008033;70.617;2.9722657013690883;2664.40646;896.422705;1.0;enero
T.HUEVOS UNDS.;10.83646863310495;2.01698521008033;70.617;0.1861293820312022;2664.40646;14314.8085;1.0;enero
TOTAL HUEVOS GALLINA;10.55994876156091;1.99855467011766;70.507;0.18925798933727514;2640.06;13949.53;2.0;enero
OTRAS AVES;0.27651987154404;0.01843053996266;3.118;0.06665177392044701;24.34646;365.2785;2.0;enero
MIEL;0.00695750714753;0.06311643462913;2.536;9.071702448981368;83.37584;9.190760000000001;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.00695750714753;0.06311643462913;2.536;9.071702448981368;83.37584;9.190760000000001;2.0;enero
TOTAL CARNE;3.10621782347182;27.06413020074458;96.04;8.71288870865306;35751.3;4103.266;1.0;enero
CARNE CERTIFICADA;0.45458242790271;4.85957206292537;42.328;10.690188983647529;6419.42;600.4964;2.0;enero
CARNE FRESCA;2.30908288589544;18.90789600907395;88.255;8.188487353385593;24977.04;3050.263;2.0;enero
SALCHICHAS FRESCAS;0.06409266097682;0.53411938667665;16.399;8.333549871954807;705.5635;84.66542;3.0;enero
CARNE VACUNO;0.25761253572317;3.30150321459763;44.609;12.8157708060659;4361.235;340.3022;3.0;enero
TERNERA;0.21998159067037;2.81737116201737;39.17;12.807304254104464;3721.704;290.59229999999997;4.0;enero
AÑOJO;0.03268942654053;0.42316177464148;9.307;12.944912756937285;558.9902;43.182230000000004;4.0;enero
MAYOR;0.00494150488606;0.06096983887233;1.84;12.338313991003197;80.54022;6.527652;4.0;enero
CARNE POLLO;0.877595374166;5.25881894915726;71.052;5.992304772748838;6946.819;1159.29;3.0;enero
POLLO ENTERO;0.23240217425351;1.15449867182173;15.646;4.967675864178369;1525.075;306.9997;4.0;enero
POLLO FILETES;0.12835819300372;1.05508797688304;26.156;8.21987246932045;1393.755;169.5592;4.0;enero
POLLO POR PIEZAS;0.51683515831098;3.04923230045248;65.186;5.89981593051322;4027.989;682.7313;4.0;enero
CARNE CONEJO;0.09278487976567;0.77437767050932;9.776;8.345946801514922;1022.941;122.56739999999999;3.0;enero
CARNE OVINO/CAPRINO;0.14313868292558;1.97992159941083;20.595;13.832190983901334;2615.446;189.084;3.0;enero
CORDERO;0.13028236376518;1.81163122337423;17.882;13.905421816259059;2393.137;172.101;4.0;enero
CABRITO;0.00311205437889;0.04944576080013;1.693;15.888462982999656;65.31709;4.110976;4.0;enero
OTRO OVINO/CAPRINO;0.00974423904313;0.11884445626414;1.231;12.19638144529323;156.9917;12.87199;4.0;enero
OVINO/CAPRINO ENTE;0.01066247077203;0.14038982429429;0.982;13.166725358112483;185.4528;14.084959999999999;4.0;enero
OVINO/CAPRINO PIEZ;0.1324761818731;1.83953162371432;19.667;13.885753632877902;2429.993;174.999;4.0;enero
CARNE CERDO;0.67432608999085;5.46252003245207;69.425;8.100709899161897;7215.905;890.7744;3.0;enero
CARNE CERDO ADOBAD;0.04894001683824;0.49725135738961;16.637;10.160424730401903;656.8614;64.64901;4.0;enero
CARN.CERDO IBERICO;0.02037271244759;0.18772163922548;4.016;9.214366506589615;247.9774;26.91204;4.0;enero
CARNE DESPOJOS;0.01525256203093;0.10319824847194;5.836;6.765961565186316;136.3233;20.148400000000002;3.0;enero
DESPOJOS CERDO;0.00699151889832;0.04219954476715;2.299;6.035819309203676;55.744949999999996;9.235689;4.0;enero
DESPOJOS CORDERO;0.00283482026739;0.02948035816377;1.903;10.399374698578331;38.9431;3.744754;4.0;enero
DESPOJOS POLLO;0.00516474215428;0.02903713574693;1.578;5.622184976427419;38.35761;6.822545;4.0;enero
DESPOJOS TERNERA;0.00026147995392;0.0024812113081;0.303;9.489107179562897;3.2776419999999997;0.345411;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.2483727612932;2.02755349353387;53.013;8.163348842993193;2678.367;328.09659999999997;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.14919272763037;1.25479506972326;35.64;8.410564574112309;1657.565;197.0813;4.0;enero
