Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;54.72926393368911;162.47342334899923;99.239;2.968675470327077;441688.89254100004;148783.15159599998;0.0;enero
T.HUEVOS KGS;0.83758645243811;3.01978506203743;64.12;3.605341339090655;8209.3766;2277.003986;1.0;enero
T.HUEVOS UNDS.;13.28190721206686;3.01978506203743;64.12;0.22736080096192052;8209.3766;36107.2646;1.0;enero
TOTAL HUEVOS GALLINA;13.05124778365644;2.96970814739186;63.487;0.22754208613759613;8073.241;35480.21;2.0;enero
OTRAS AVES;0.23065942841041;0.05007691464556;3.064;0.21710326341597688;136.1356;627.0545999999999;2.0;enero
MIEL;0.01373557347752;0.10467101303688;3.982;7.620432682200619;284.55129999999997;37.34057;1.0;enero
GRANEL;0.00474243046971;0.04623329342428;0.827;9.748860572552598;125.68660000000001;12.89244;2.0;enero
ENVASADA;0.00899313932934;0.0584377196126;3.156;6.498033386616231;158.8647;24.44812;2.0;enero
TOTAL CARNE;3.14947514692113;26.10340414654693;97.493;8.28817594324092;70962.89;8561.943;1.0;enero
CARNE CERTIFICADA;0.62496972067483;6.12742892674636;56.608;9.804361273903044;16657.6;1698.999;2.0;enero
CARNE FRESCA;2.37803288972596;17.87215080721834;90.875;7.515518765292539;48585.98;6464.754;2.0;enero
SALCHICHAS FRESCAS;0.00741765190213;0.0781584134953;4.125;10.536813337492331;212.476;20.165110000000002;3.0;enero
CARNE VACUNO;0.39863306948175;4.55002134422898;51.819;11.414058924273968;12369.37;1083.696;3.0;enero
TERNERA;0.34342595599183;3.89862153183531;46.505;11.35214582303732;10598.52;933.6138000000001;4.0;enero
AÑOJO;0.03491673674901;0.43316938005917;7.313;12.405780734116993;1177.584;94.9222;4.0;enero
MAYOR;0.02029036570553;0.21822954950447;2.681;10.755328547133002;593.2636;55.15997;4.0;enero
CARNE POLLO;0.84583760770897;4.45343238257873;69.347;5.265115126107066;12106.79;2299.435;3.0;enero
POLLO ENTERO;0.2842818252209;1.19331766631387;20.441;4.1976572557411505;3244.07;772.8286999999999;4.0;enero
POLLO FILETES;0.08445957601404;0.63116314114594;22.186;7.472961278434047;1715.836;229.6059;4.0;enero
POLLO POR PIEZAS;0.47709642718152;2.62895047158137;54.76;5.510312636613233;7146.881;1297.001;4.0;enero
CARNE CONEJO;0.06764228937601;0.49778223820445;9.554;7.359038891148725;1353.236;183.8876;3.0;enero
CARNE OVINO/CAPRINO;0.0783326252869;1.02146119165431;6.218;13.04004797379286;2776.873;212.9496;3.0;enero
CORDERO;0.05864974595693;0.81651072997065;4.981;13.92181187912025;2219.709;159.4411;4.0;enero
CABRITO;0.01658443286202;0.16171823857555;1.215;9.751207045847337;439.63590000000005;45.08528;4.0;enero
OTRO OVINO/CAPRINO;0.0030984405824;0.04323237024644;0.527;13.952944746440902;117.5285;8.423204;4.0;enero
OVINO/CAPRINO ENTE;0.02240814251096;0.2288962329276;1.308;10.214868671759591;622.2613;60.91721;4.0;enero
OVINO/CAPRINO PIEZ;0.0559244496698;0.79256506908046;4.919;14.172067383049525;2154.612;152.0323;4.0;enero
CARNE CERDO;0.75873502252304;5.65313585274001;71.35;7.450737984838877;15368.22;2062.644;3.0;enero
CARNE CERDO ADOBAD;0.03102400810759;0.26948669753968;12.769;8.686392054987152;732.6076999999999;84.3397;4.0;enero
CARN.CERDO IBERICO;0.0111226761664;0.13012741680733;2.808;11.699290248179981;353.7553;30.23733;4.0;enero
CARNE DESPOJOS;0.04773594369598;0.32517513731615;10.639;6.811955774607079;883.9984000000001;129.7716;3.0;enero
DESPOJOS CERDO;0.02314376062928;0.15907316946694;4.608;6.873263684971679;432.4452;62.917010000000005;4.0;enero
DESPOJOS CORDERO;0.00040744077036;0.00339577258497;0.145;8.3343956520169;9.23151;1.1076400000000002;4.0;enero
DESPOJOS POLLO;0.00448409601211;0.01434998271187;1.724;3.200195239599185;39.01086;12.19015;4.0;enero
DESPOJOS TERNERA;0.01970064996267;0.14835620151697;4.779;7.530523195836346;403.3108;53.55681;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.18111655236079;1.37114464686324;37.438;7.570509867766326;3727.498;492.3708;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.09607802377328;0.72521985200785;24.24;7.548238645282572;1971.532;261.191;4.0;enero
OTRAS AVES;0.00746061997514;0.06431310056721;2.902;8.620342650005522;174.8371;20.28192;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.05463717313962;0.33308003414445;6.395;6.096216458586926;905.4881;148.53279999999998;2.0;enero
C.CONG.POLLO;0.03412815618611;0.11706550517266;4.085;3.4301737408332666;318.24609999999996;92.77842;3.0;enero
C.CONG.CERDO;0.00450930448778;0.03643941990535;0.96;8.080940199107898;99.06166;12.25868;3.0;enero
C.CONG.VACA;0.00094701066426;0.00909190961685;0.219;9.600641217614298;24.716630000000002;2.574477;3.0;enero
RESTO CARNES CONG.;0.0150527117333;0.17048315898652;1.832;11.325743959434279;463.4636;40.92125;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.71680501048637;7.89817260627703;89.521;11.01857895903638;21471.42;1948.656;2.0;enero
JAMON CURADO+PALETA;0.11723497175287;2.11548218306215;53.91;18.0448048174686;5751.002;318.7068;3.0;enero
JAMON C.+P.ENTERO;0.03559614802241;0.40809553596622;4.365;11.464598239935848;1109.42;96.7692;4.0;enero
JAMON C.+P.LONCHA;0.08163882373046;1.70738664709593;51.71;20.913905530203085;4641.582;221.9376;4.0;enero
JAMON CURADO NORMAL;0.09625937177424;1.60049689828333;50.102;16.626920254964;4350.999;261.684;3.0;enero
JAMON C.N.ENTER/PI;0.02310994823932;0.21330799282268;3.949;9.230137195187464;579.8842;62.825089999999996;4.0;enero
JAMON C.N.LONCHA;0.07314941985645;1.38718861118397;48.394;18.96376777705197;3771.114;198.8589;4.0;enero
JAMON IBERICO;0.01468370717514;0.35887312721567;4.774;24.440226363479226;975.6074;39.918099999999995;3.0;enero
JAMON IBE.ENTER/PI;0.01010840378607;0.16847343321923;0.181;16.666670305676856;458.0001;27.48;4.0;enero
JAMON IBE.LONCHA;0.00457530338906;0.19039969399643;4.625;41.61465979530636;517.6073;12.4381;4.0;enero
PALETA CURADA NORM.;0.00271050888421;0.04636693181931;2.909;17.106356702765787;126.0499;7.368600000000001;3.0;enero
PALETA C.N.ENTR/PI;0.00084742927667;0.00672563087321;0.257;7.936509934619982;18.283830000000002;2.3037620000000003;4.0;enero
PALETA C.N.LONCHA;0.00186307923968;0.03964127519689;2.668;21.277288884124008;107.766;5.064837000000001;4.0;enero
PALETA IBERICA;0.00358140856494;0.1097455200205;2.763;30.643116536517912;298.3465;9.736167;3.0;enero
PALETA IB.ENTER/PI;0.00153036193833;0.01958863354633;0.087;12.80000048073052;53.25229;4.160335;4.0;enero
PALETA IBE.LONCHA;0.00205104662661;0.0901568827957;2.659;43.95652523246755;245.0942;5.575832;4.0;enero
HUESOS JAMON CURADO;0.00094147384862;0.00329732342689;0.675;3.5022995399357275;8.963873;2.559425;3.0;enero
LOMO EMBUCHADO N+IB;0.01912053131788;0.41972461447033;16.657;21.95151418610405;1141.034;51.97974;3.0;enero
LOMO EMB.AL CORTE;0.00729224589708;0.17486593186098;4.7;23.979708628700592;475.37829999999997;19.824189999999998;4.0;enero
LOMO EMB.ENVASADO;0.01182828174233;0.24485868260935;12.961;20.701120242421673;665.6556999999999;32.15554;4.0;enero
LOMO EMB.NORMAL;0.01688936603111;0.30934452358479;14.895;18.315934595468725;840.9624;45.91425;4.0;enero
LOMO E.N.AL CORTE;0.00554495239009;0.08627640342088;2.988;15.559448909787104;234.545;15.07412;5.0;enero
LOMO E.N.ENVASADO;0.01134441364101;0.22306808337932;12.431;19.663253689267847;606.4173000000001;30.840130000000002;5.0;enero
LOMO EMB.IBERICO;0.00223116455107;0.11038009088554;2.278;49.471963344087065;300.0716;6.065488;4.0;enero
LOMO E.I.AL CORTE;0.00174729571406;0.08858952844009;1.578;50.70093615344259;240.83329999999998;4.750076;5.0;enero
LOMO E.I.ENVASADO;0.00048386883701;0.02179058451619;0.771;45.03407297485503;59.23836;1.315412;5.0;enero
OTRAS SALAZONES;0.02195684348065;0.17701937499942;8.049;8.062150425010145;481.2325;59.69034;3.0;enero
O.SALAZONES AL COR;0.00979357188533;0.06691634560339;2.797;6.832680291404938;181.91410000000002;26.624119999999998;4.0;enero
O.SALAZONES ENVASA;0.01216327159531;0.11010302939603;5.627;9.052090018151455;299.3184;33.06622;4.0;enero
TOCINO Y MANTECA;0.01726663608537;0.12621243349236;11.173;7.309613341494129;343.1123;46.93987;3.0;enero
TOCINO;0.00167740647513;0.01322983326233;1.164;7.887076542516797;35.9657;4.56008;4.0;enero
CHORIZOS;0.10043633489912;1.16126247595251;45.435;11.562174955098023;3156.927;273.0392;3.0;enero
CHOR.IBERICO;0.00629546826508;0.1054452549688;9.279;16.749390280243208;286.6561;17.11442;4.0;enero
CHOR.NORMAL;0.09414083720637;1.05581725776829;41.765;11.215294967621336;2870.271;255.9247;4.0;enero
CHORIZO DE PAVO;0.00079900457842;0.01499798362866;1.154;18.770835654416565;40.77247;2.1721179999999998;4.0;enero
CHORIZO DE CERDO;0.09861810967808;1.13386090336035;44.403;11.4974917594909;3082.435;268.0963;4.0;enero
SALCHICHON/SALAMI;0.02010558202438;0.25418802568296;20.395;12.642659405466357;691.0178000000001;54.65763;3.0;enero
SALCHICHON DE PAVO;0.00052164071962;0.0094178210344;0.937;18.054229050783587;25.60263;1.418096;4.0;enero
SALCHICHON DE CERD;0.0193264514212;0.23990652115337;18.977;12.413376668314948;652.1931;52.53954;4.0;enero
FUET/LONGANIZAS;0.03015589191636;0.39709473816322;22.226;13.16806477701187;1079.514;81.9797;3.0;enero
FUET/LONGANIZ.PAVO;0.00035714447245;0.00799969438069;0.711;22.39904295772617;21.74741;0.970908;4.0;enero
FUET/LONGANIZ.CERD;0.02954791998428;0.38357677125148;21.726;12.981515160984035;1042.765;80.32691;4.0;enero
OTROS PROD.CURADOS;0.02271690127683;0.32662967335148;13.439;14.37826706077312;887.9526;61.75658;3.0;enero
O.PROD.CURAD.CORTE;0.01124510629858;0.16253051576771;5.811;14.453444142915835;441.84409999999997;30.57016;4.0;enero
O.PROD.CURAD.ENVAS;0.01147179497824;0.16409915758377;8.239;14.304575517164203;446.1085;31.18642;4.0;enero
SALCHICHAS;0.12122591523457;0.4868373529697;30.811;4.015951144007868;1323.482;329.55629999999996;3.0;enero
JAMON COCIDO;0.08888207623962;0.93609962084682;40.855;10.53192792575051;2544.815;241.6286;3.0;enero
J.COC.SIN/BAJO SAL;0.00268362818133;0.03216103064598;2.165;11.984160424940002;87.43073;7.295524;4.0;enero
PALETA COCIDA;0.00045779629145;0.00434310437866;0.984;9.486980256851366;11.80686;1.244533;3.0;enero
FIAMBRES;0.11499508484115;1.09794002102708;48.613;9.547712604792565;2984.783;312.6176;3.0;enero
