Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;69.44046684206941;172.48381177501;98.658;2.4839091616030635;163675.28125099998;65894.22986200001;0.0;enero
T.HUEVOS KGS;0.76624001211849;2.39169840844218;83.716;3.1213436659743534;2269.55739;727.109102;1.0;enero
T.HUEVOS UNDS.;12.25150931439681;2.39169840844218;83.716;0.1952166338911144;2269.55739;11625.840199999999;1.0;enero
TOTAL HUEVOS GALLINA;11.92083183286163;2.35781145448229;83.904;0.19778917172395807;2237.401;11312.05;2.0;enero
OTRAS AVES;0.33067748153517;0.03388695395988;3.646;0.10247735588938087;32.15639;313.7902;2.0;enero
MIEL;0.02808249770656;0.23917380425036;8.894;8.516828052458012;226.9595;26.64836;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.02808249770656;0.23917380425036;8.894;8.516828052458012;226.9595;26.64836;2.0;enero
TOTAL CARNE;3.47458675949352;30.79292585022123;94.513;8.862327517390808;29220.37;3297.144;1.0;enero
CARNE CERTIFICADA;0.58745477369021;6.30740416842251;44.668;10.736833626870155;5985.293;557.4541999999999;2.0;enero
CARNE FRESCA;2.60430454546629;20.60169242457321;88.607;7.910631059043275;19549.59;2471.306;2.0;enero
SALCHICHAS FRESCAS;0.02509591678938;0.2533114984455;9.706;10.093733597040433;240.3752;23.8143;3.0;enero
CARNE VACUNO;0.37543330493659;5.00018935829561;52.765;13.318449089486231;4744.836;356.2604;3.0;enero
TERNERA;0.23626516364659;3.08847238586247;37.663;13.072059960909797;2930.748;224.1994;4.0;enero
AÑOJO;0.09131729919083;1.15959505561918;19.84;12.698525535625425;1100.376;86.65384;4.0;enero
MAYOR;0.04785084209916;0.75212202219566;3.909;15.71805195480184;713.7121;45.407160000000005;4.0;enero
CARNE POLLO;1.13727099397276;6.57474386946548;77.218;5.781158496356533;6238.98;1079.192;3.0;enero
POLLO ENTERO;0.24277216815226;1.00091717665524;20.273;4.122866242342346;949.8016;230.3741;4.0;enero
POLLO FILETES;0.1794887646229;1.37740956778682;30.823;7.674071247192826;1307.067;170.3225;4.0;enero
POLLO POR PIEZAS;0.71501037734272;4.19641775731368;65.767;5.869030562758173;3982.112;678.4956999999999;4.0;enero
CARNE CONEJO;0.07921837226647;0.65400332415146;11.551;8.255702628570791;620.6042;75.17278999999999;3.0;enero
CARNE OVINO/CAPRINO;0.05499109584406;0.8436442466616;4.293;15.341469990956787;800.5604000000001;52.18277;3.0;enero
CORDERO;0.05499109584406;0.8436442466616;4.293;15.341469990956787;800.5604000000001;52.18277;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.05499109584406;0.8436442466616;4.293;15.341469990956787;800.5604000000001;52.18277;4.0;enero
CARNE CERDO;0.74234449629084;5.86449748312942;59.409;7.8999676193891295;5565.005;704.4339;3.0;enero
CARNE CERDO ADOBAD;0.03327240997434;0.29451068910255;8.534;8.85149856381498;279.47040000000004;31.57323;4.0;enero
CARN.CERDO IBERICO;0.00647846924598;0.06523311271622;4.121;10.069217007812126;61.90174;6.147622;4.0;enero
CARNE DESPOJOS;0.0627292748787;0.44369820732399;6.261;7.073223916297093;421.03909999999996;59.525769999999994;3.0;enero
DESPOJOS CERDO;0.02062201001844;0.18516525586462;4.285;8.979011051736764;175.7091;19.56887;4.0;enero
DESPOJOS CORDERO;0.00057044911623;0.00616065065157;0.433;10.799649743126484;5.8460339999999995;0.541317;4.0;enero
DESPOJOS POLLO;0.01688975865278;0.05672842926886;2.541;3.3587471813577148;53.831379999999996;16.02722;4.0;enero
DESPOJOS TERNERA;0.00949232821904;0.09404271261378;2.409;9.907233551523959;89.24007;9.007567;4.0;enero
DESPOJOS OT.PROCED;0.01515472254929;0.10160119475491;2.317;6.7042596408124995;96.41255;14.380790000000001;4.0;enero
OTRAS CARNES FRESCA;0.15231640660108;1.22091983466893;29.846;8.015681710943436;1158.569;144.53779999999998;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.06196149534727;0.49375483616761;17.047;7.968736606505072;468.5394;58.7972;4.0;enero
OTRAS AVES;0.01238824187358;0.12103036811084;3.282;9.7697776121828;114.8495;11.75559;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.06047414841717;0.30117861148083;8.424;4.9802869385306225;285.7978;57.38581;2.0;enero
C.CONG.POLLO;0.05020577557911;0.22353252380347;7.374;4.452326873254029;212.117;47.64183;3.0;enero
C.CONG.CERDO;0.01026837283805;0.0776461087537;3.608;7.561676029712706;73.68082000000001;9.743979999999999;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.0;0.0;0.0;;0.0;0.0;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.80980870843849;9.89005460340375;86.498;12.212828165893859;9384.982;768.4528;2.0;enero
JAMON CURADO+PALETA;0.15797350760798;3.65969711148675;53.65;23.16652435526263;3472.801;149.906;3.0;enero
JAMON C.+P.ENTERO;0.00657296713381;0.08544731658965;1.125;12.999808891484033;81.08363;6.2372939999999994;4.0;enero
JAMON C.+P.LONCHA;0.15140053415126;3.57425045880187;53.627;23.60791181377711;3391.718;143.6687;4.0;enero
JAMON CURADO NORMAL;0.12489081632785;2.26309121123433;46.445;18.120557441896572;2147.518;118.5128;3.0;enero
JAMON C.N.ENTER/PI;0.00657296713381;0.08544731658965;1.125;12.999808891484033;81.08363;6.2372939999999994;4.0;enero
JAMON C.N.LONCHA;0.11831784287113;2.17764350473235;46.413;18.40503048305285;2066.434;112.2755;4.0;enero
