Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;54.72535993853721;148.32217637855334;98.142;2.7103006091716155;209057.16681999998;77134.309793;0.0;enero
T.HUEVOS KGS;0.66334089611061;2.07835279001469;80.031;3.133159439137199;2929.39705;934.9658410000001;1.0;enero
T.HUEVOS UNDS.;10.67415234944783;2.07835279001469;80.031;0.19470893069295597;2929.39705;15045.0061;1.0;enero
TOTAL HUEVOS GALLINA;10.30739578918765;2.04054377998298;78.605;0.197968897451623;2876.106;14528.07;2.0;enero
OTRAS AVES;0.36675656026017;0.03780901003171;4.635;0.10309020786128112;53.291050000000006;516.9361;2.0;enero
MIEL;0.02507625199513;0.1750072861806;5.701;6.979004925238678;246.6693;35.344480000000004;1.0;enero
GRANEL;0.01297842307438;0.09733815532087;3.502;7.499998633344321;137.1962;18.292830000000002;2.0;enero
ENVASADA;0.01209782892075;0.07766913085973;2.973;6.420088378544011;109.4731;17.051650000000002;2.0;enero
TOTAL CARNE;3.19703468438811;26.49180223716272;94.578;8.286366853174444;37339.67;4506.157;1.0;enero
CARNE CERTIFICADA;0.41518349191066;4.20033010287006;50.483;10.116804219600066;5920.282;585.1929;2.0;enero
CARNE FRESCA;2.29619334987804;17.00974618832337;90.26;7.407802217189944;23974.9;3236.439;2.0;enero
SALCHICHAS FRESCAS;0.02734143462146;0.27120707855693;5.505;9.919270232588191;382.261;38.53721;3.0;enero
CARNE VACUNO;0.15721881318147;2.19799331652349;39.708;13.98047264220422;3098.028;221.5968;3.0;enero
TERNERA;0.12627768975471;1.78235852347912;34.47;14.114595594370117;2512.199;177.9859;4.0;enero
AÑOJO;0.0293280322719;0.38099968363625;6.388;12.990973281260885;537.0115;41.33728;4.0;enero
MAYOR;0.00161310960137;0.03463562732954;1.057;21.471341624861562;48.81823;2.2736460000000003;4.0;enero
CARNE POLLO;1.06805901129395;5.86789098456542;74.137;5.4939763838109;8270.676;1505.408;3.0;enero
