Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;54.1369159253702;167.68710374915216;99.769;3.0974631798441417;1207986.5995999998;389992.23863599997;0.0;enero
T.HUEVOS KGS;0.71365996833871;2.42220310397467;82.885;3.3940576905457895;17449.099100000003;5141.073219999999;1.0;enero
T.HUEVOS UNDS.;11.37975261354542;2.42220310397467;82.885;0.2128520000594309;17449.099100000003;81977.614;1.0;enero
TOTAL HUEVOS GALLINA;11.10856374450482;2.39592547984223;82.758;0.2156827412569376;17259.8;80024.02;2.0;enero
OTRAS AVES;0.27118886904059;0.02627762413244;2.873;0.09689787130795857;189.2991;1953.594;2.0;enero
MIEL;0.02794944701083;0.21801925172225;7.984;7.800485341899826;1570.57;201.3426;1.0;enero
GRANEL;0.0059867722549;0.06140560247933;1.615;10.256879644793507;442.3545;43.12759;2.0;enero
ENVASADA;0.02196267336778;0.1566137186506;6.69;7.130904149416931;1128.216;158.215;2.0;enero
TOTAL CARNE;3.39522399473053;30.57214127501673;98.118;9.004454882053563;220236.0;24458.56;1.0;enero
CARNE CERTIFICADA;0.45871316083216;4.67541679389301;48.21;10.192462726404486;33680.83;3304.484;2.0;enero
CARNE FRESCA;2.47641062991422;19.22905174344115;90.945;7.764888226193413;138522.5;17839.6;2.0;enero
SALCHICHAS FRESCAS;0.04308347317633;0.39093072740865;13.544;9.073797876244543;2816.192;310.3653;3.0;enero
CARNE VACUNO;0.30124739345589;3.74975289069096;51.253;12.447420200633141;27012.52;2170.13;3.0;enero
TERNERA;0.25310219836393;3.1432380107366;45.825;12.418849109390058;22643.3;1823.301;4.0;enero
AÑOJO;0.03229130019372;0.38547389531253;8.782;11.937391588445559;2776.882;232.6205;4.0;enero
MAYOR;0.01585386713516;0.22104153990329;4.921;13.942436758099017;1592.342;114.20830000000001;4.0;enero
CARNE POLLO;0.9690836843692;5.47049152828043;77.412;5.6450145808009005;39408.4;6981.098;3.0;enero
POLLO ENTERO;0.21959855415821;0.86664960365081;17.44;3.9465178036938027;6243.182;1581.947;4.0;enero
POLLO FILETES;0.12841296029845;1.01701288274934;34.912;7.9198616742859675;7326.371;925.063;4.0;enero
POLLO POR PIEZAS;0.62107216991253;3.58682807017269;68.224;5.775219441369951;25838.84;4474.088;4.0;enero
CARNE CONEJO;0.08865955673596;0.75352993238897;16.671;8.49913940617852;5428.289;638.6869;3.0;enero
CARNE OVINO/CAPRINO;0.06493127682751;0.91632204541592;12.053;14.112182759782518;6601.013;467.7528;3.0;enero
CORDERO;0.05141272838274;0.72230591414821;9.811;14.049165194481052;5203.357;370.3677;4.0;enero
CABRITO;0.01245615834535;0.17632452912692;2.483;14.155610762021599;1270.209;89.73183999999999;4.0;enero
OTRO OVINO/CAPRINO;0.0010623891277;0.01769158825924;0.253;16.652644306937194;127.4469;7.653252999999999;4.0;enero
OVINO/CAPRINO ENTE;0.01027297158065;0.10592423221402;0.568;10.310963228351978;763.0584;74.00457;4.0;enero
OVINO/CAPRINO PIEZ;0.0546583010824;0.81039772991268;11.46;14.826617620093247;5837.954;393.7482;4.0;enero
CARNE CERDO;0.78597996795543;6.2160883012326;73.286;7.908710850993447;44779.54;5662.053;3.0;enero
CARNE CERDO ADOBAD;0.04574559100487;0.36636512708502;13.986;8.00875273522976;2639.226;329.5427;4.0;enero
CARN.CERDO IBERICO;0.02505876967971;0.31875964614187;6.32;12.720482697914397;2296.285;180.51870000000002;4.0;enero
CARNE DESPOJOS;0.05124670520322;0.33357027414572;10.178;6.509106738138379;2402.978;369.1717;3.0;enero
DESPOJOS CERDO;0.02388637673048;0.16411405177157;6.167;6.870613053762066;1182.247;172.073;4.0;enero
DESPOJOS CORDERO;0.004809197328;0.03329481036686;1.719;6.923153303144852;239.8496;34.64456;4.0;enero
DESPOJOS POLLO;0.01038604919085;0.04364652218841;2.673;4.202418204107077;314.4214;74.81916;4.0;enero
DESPOJOS TERNERA;0.01183420580837;0.09066120492752;2.17;7.660945431870275;653.1064;85.25141;4.0;enero
DESPOJOS OT.PROCED;0.00033086920472;0.00185360021396;0.08;5.602214372021213;13.35299;2.38352;4.0;enero
OTRAS CARNES FRESCA;0.21526182326239;1.78929538313285;41.079;8.312181677248944;12889.75;1550.706;3.0;enero
AVESTRUZ;0.00026629243458;0.00133154671147;0.021;5.000317465116631;9.592214;1.918321;4.0;enero
PAVO;0.1084141912238;0.88274927115719;25.738;8.142377498669648;6359.161;780.9956;4.0;enero
OTRAS AVES;0.02071255769429;0.16254099602715;6.22;7.8474613529710595;1170.915;149.2094;2.0;enero
CARNE CABALLO;0.00725949539914;0.09834975780527;1.183;13.547740221297786;708.4933000000001;52.29605;4.0;enero
CARNE CONGELADA;0.0722830913868;0.40139518507168;10.075;5.553099312309505;2891.576;520.7139;2.0;enero
C.CONG.POLLO;0.05289119533576;0.23168298715988;6.775;4.380369656785514;1669.001;381.0183;3.0;enero
C.CONG.CERDO;0.01281544444395;0.08927882597188;2.35;6.96650251673336;643.148;92.32007;3.0;enero
C.CONG.VACA;0.00071541817324;0.0117027643132;0.414;16.357935471703165;84.30453;5.153739;3.0;enero
RESTO CARNES CONG.;0.00586103329502;0.06873058402809;1.468;11.726700833858537;495.1223;42.22179;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.8465309536248;10.94169795570345;91.956;12.925337117150473;78821.95;6098.251;2.0;enero
JAMON CURADO+PALETA;0.17791951769941;3.89594768311907;55.759;21.897247325620132;28065.68;1281.699;3.0;enero
JAMON C.+P.ENTERO;0.07176878045024;1.01737338625872;9.268;14.175709547746662;7328.968;517.0089;4.0;enero
JAMON C.+P.LONCHA;0.10615077889377;2.8785740192296;52.817;27.117785184696967;20736.71;764.6904000000001;4.0;enero
JAMON CURADO NORMAL;0.10056432100748;1.63792277749728;42.284;16.287315034676126;11799.29;724.4466;3.0;enero
JAMON C.N.ENTER/PI;0.03276049613584;0.33950671333652;5.67;10.363295840474915;2445.743;236.0005;4.0;enero
JAMON C.N.LONCHA;0.06780382487164;1.29841648060686;40.282;19.149605248153275;9353.55;488.4461;4.0;enero
JAMON IBERICO;0.03760232062782;1.34357783937457;14.05;35.731247884211506;9678.884;270.88009999999997;3.0;enero
JAMON IBE.ENTER/PI;0.01265087188502;0.23985629718245;2.93;18.9596653386664;1727.88;91.13452000000001;4.0;enero
JAMON IBE.LONCHA;0.0249514515191;1.10372154219211;12.886;44.234762909356334;7951.004;179.7456;4.0;enero
PALETA CURADA NORM.;0.00855524384838;0.13149493908751;5.541;15.370098318394273;947.265;61.630379999999995;3.0;enero
PALETA C.N.ENTR/PI;0.00235876738227;0.01132277112623;0.217;4.800291546905272;81.56713;16.99212;4.0;enero
PALETA C.N.LONCHA;0.00619647646611;0.1201721582442;5.339;19.393627798216148;865.6978;44.63826;4.0;enero
PALETA IBERICA;0.03119767108401;0.78295198834432;7.028;25.096488331964352;5640.24;224.74220000000003;3.0;enero
PALETA IB.ENTER/PI;0.02399863671817;0.4266876226595;1.093;17.779660889498423;3073.778;172.88170000000002;4.0;enero
PALETA IBE.LONCHA;0.00719903158952;0.35626436568481;6.033;49.48781808421364;2566.462;51.86048;4.0;enero
HUESOS JAMON CURADO;0.00314947220889;0.01062850966433;1.281;3.374695491623182;76.5658;22.688209999999998;3.0;enero
LOMO EMBUCHADO N+IB;0.01169000162832;0.26302485964764;12.546;22.499984859746032;1894.782;84.21258999999999;3.0;enero
LOMO EMB.AL CORTE;0.00238905967176;0.08466991978502;2.89;35.44068856280585;609.9463000000001;17.21034;4.0;enero
LOMO EMB.ENVASADO;0.0093009433447;0.17835484269186;10.536;19.175994958976013;1284.835;67.00225999999999;4.0;enero
LOMO EMB.NORMAL;0.00951425675547;0.17052857108802;10.182;17.92347794166031;1228.456;68.53893;4.0;enero
LOMO E.N.AL CORTE;0.00108064418142;0.02188357637138;1.284;20.250492019084984;157.64520000000002;7.784759;5.0;enero
LOMO E.N.ENVASADO;0.00843361243523;0.14864502247971;9.224;17.625308682515126;1070.811;60.754169999999995;5.0;enero
LOMO EMB.IBERICO;0.00217574487284;0.09249623303347;3.029;42.51244444501157;666.3256;15.67366;4.0;enero
LOMO E.I.AL CORTE;0.00130841562915;0.06278634341363;1.61;47.986543430421584;452.30109999999996;9.425582;5.0;enero
LOMO E.I.ENVASADO;0.00086732993776;0.02970990350137;1.506;34.25444252261054;214.0246;6.248082999999999;5.0;enero
OTRAS SALAZONES;0.03681570946639;0.30207070740048;13.903;8.204940547898204;2176.061;265.2135;3.0;enero
O.SALAZONES AL COR;0.01249061648402;0.10214535863554;3.03;8.177767587866956;735.8361;89.98007000000001;4.0;enero
O.SALAZONES ENVASA;0.02432510269944;0.19992536264648;10.979;8.218890794283057;1440.225;175.2335;4.0;enero
TOCINO Y MANTECA;0.04038233434798;0.34238157959729;22.378;8.478498955679276;2466.453;290.9068;3.0;enero
TOCINO;0.00183908845545;0.01448155229367;1.402;7.874309824922914;104.32239999999999;13.24845;4.0;enero
CHORIZOS;0.04036595413462;0.48275737063549;26.934;11.959518385852551;3477.694;290.7888;3.0;enero
CHOR.IBERICO;0.00487351326407;0.0794971455754;5.067;16.312081504209313;572.6826;35.107879999999994;4.0;enero
CHOR.NORMAL;0.03549243809424;0.40326030834931;23.398;11.361865512832598;2905.012;255.6809;4.0;enero
CHORIZO DE PAVO;0.00037082346024;0.00778581664129;0.524;20.996019605119972;56.08757;2.671343;4.0;enero
CHORIZO DE CERDO;0.03949218080394;0.4707703860218;26.628;11.920597354674593;3391.342;284.4943;4.0;enero
SALCHICHON/SALAMI;0.02042001818884;0.23927785354611;16.426;11.717808051556062;1723.713;147.102;3.0;enero
SALCHICHON DE PAVO;0.00056283815154;0.00896810296176;0.624;15.933715468996674;64.60454;4.054581;4.0;enero
SALCHICHON DE CERD;0.01975467613245;0.22928481287108;15.583;11.606609560885115;1651.725;142.309;4.0;enero
FUET/LONGANIZAS;0.08519679351233;1.21840024884626;43.626;14.301010620427027;8777.128;613.7418;3.0;enero
FUET/LONGANIZ.PAVO;0.00310673095723;0.05688642654601;2.898;18.310702577399507;409.7992;22.38031;4.0;enero
FUET/LONGANIZ.CERD;0.08200898188709;1.15967149250595;42.586;14.140786360480275;8354.057;590.7774000000001;4.0;enero
OTROS PROD.CURADOS;0.02009345503681;0.26765546267645;16.455;13.320529604592762;1928.14;144.7495;3.0;enero
O.PROD.CURAD.CORTE;0.00585053885324;0.07718353760848;4.433;13.192551924622366;556.0158;42.146190000000004;4.0;enero
O.PROD.CURAD.ENVAS;0.01424291479541;0.19047189730489;12.605;13.37309813621979;1372.124;102.6033;4.0;enero
