Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;44.21030084763533;113.49883425463923;99.331;2.5672486293589634;133479.692358;51993.286054;0.0;enero
T.HUEVOS KGS;0.59745564542665;1.94713217080212;70.709;3.2590405425186555;2289.914296;702.634492;1.0;enero
T.HUEVOS UNDS.;9.35344550616622;1.94713217080212;70.709;0.20817271769194454;2289.914296;11000.06918;1.0;enero
TOTAL HUEVOS GALLINA;9.33187389249878;1.94173926653496;70.66;0.20807602941310469;2283.572;10974.7;2.0;enero
OTRAS AVES;0.02157161366744;0.00539290426716;0.843;0.2500000394179079;6.342296;25.36918;2.0;enero
MIEL;0.01632253557697;0.10533282399469;5.377;6.453214544882457;123.87610000000001;19.19603;1.0;enero
GRANEL;0.00575969392466;0.0422332363446;1.745;7.332548725156883;49.668169999999996;6.773657;2.0;enero
ENVASADA;0.01056283910138;0.06309963016547;3.658;5.973737700615904;74.20797999999999;12.42237;2.0;enero
TOTAL CARNE;2.65280668040325;20.16313818549486;97.347;7.600681321576668;23712.75;3119.819;1.0;enero
CARNE CERTIFICADA;0.43255859116696;3.91402329274137;44.914;9.048539024926272;4603.066;508.70820000000003;2.0;enero
CARNE FRESCA;1.82767556625747;12.52069850471131;91.55;6.8506132794399255;14724.9;2149.428;2.0;enero
SALCHICHAS FRESCAS;0.03573558316905;0.3272049346292;13.836;9.156278017942904;384.8076;42.02664;3.0;enero
CARNE VACUNO;0.10607658829747;1.20039579028533;37.716;11.316312200001924;1411.719;124.7508;3.0;enero
TERNERA;0.08107291944869;0.88877750928437;29.693;10.962692787284794;1045.242;95.34536999999999;4.0;enero
AÑOJO;0.01804502975907;0.23022468494141;6.181;12.758343323079707;270.7545;21.22176;4.0;enero
MAYOR;0.006958606778;0.08139370659957;3.751;11.696839496204133;95.72263000000001;8.183632;4.0;enero
CARNE POLLO;0.86674773272493;4.50460378060538;79.729;5.197133618617647;5297.615;1019.334;3.0;enero
POLLO ENTERO;0.235004605659;0.98486485066719;27.107;4.190832123929764;1158.245;276.3759;4.0;enero
POLLO FILETES;0.09164023116953;0.63633393931096;20.792;6.943827303684596;748.3571;107.773;4.0;enero
POLLO POR PIEZAS;0.5401028958964;2.88340422535013;69.846;5.338620191185216;3391.012;635.1850999999999;4.0;enero
CARNE CONEJO;0.01608599693086;0.12498029296625;5.157;7.769508691526785;146.98239999999998;18.917849999999998;3.0;enero
CARNE OVINO/CAPRINO;0.05875216753266;0.60082125584962;3.393;10.226367487047213;706.5926;69.09517;3.0;enero
CORDERO;0.05774728218296;0.58875819304601;3.125;10.195426880535175;692.4059;67.91338;4.0;enero
CABRITO;0.00100489130186;0.01206309681591;0.27;12.004379770806661;14.18674;1.181797;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.05160310199319;0.50264326248182;1.13;9.740562932594905;591.1309;60.68755;4.0;enero
OVINO/CAPRINO PIEZ;0.00714906553947;0.09817799336779;2.264;13.732982699027783;115.4617;8.407620000000001;4.0;enero
CARNE CERDO;0.64853186094436;5.11663073382303;73.445;7.889559545112222;6017.386;762.7024;3.0;enero
CARNE CERDO ADOBAD;0.07190118403927;0.56488435378685;23.744;7.856398490994453;664.3291999999999;84.559;4.0;enero
CARN.CERDO IBERICO;0.02977886185455;0.40847557616927;7.743;13.716964005017523;480.3855;35.021269999999994;4.0;enero
CARNE DESPOJOS;0.01510123836868;0.07935533154307;9.492;5.254889010136979;93.32541;17.75973;3.0;enero
DESPOJOS CERDO;0.00646301758467;0.04260536508528;4.903;6.592178425499326;50.10581;7.600796999999999;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.00338778730278;0.01227339496084;2.067;3.6228351616853516;14.434059999999999;3.9841889999999998;4.0;enero
DESPOJOS TERNERA;0.00525043263092;0.02447658000001;2.558;4.661821552735069;28.78555;6.174743;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.11638019403543;0.89391336888059;29.69;7.680975068733959;1051.282;136.86829999999998;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.06988901547163;0.55307646837809;21.141;7.913639427393707;650.4426;82.1926;4.0;enero
OTRAS AVES;0.00768576116666;0.05846690624502;3.365;7.607171882810082;68.75969;9.038798;2.0;enero
CARNE CABALLO;0.0014835508653;0.02225326297958;0.485;15.000000000000002;26.170830000000002;1.7447219999999999;4.0;enero
CARNE CONGELADA;0.03962560567157;0.21621067573755;9.382;5.456337438210117;254.27339999999998;46.60148;2.0;enero
C.CONG.POLLO;0.0282637662675;0.1164570618678;5.427;4.120366010869615;136.95870000000002;33.23945;3.0;enero
C.CONG.CERDO;0.00278120997277;0.03168355150613;1.125;11.392002695342796;37.261269999999996;3.270827;3.0;enero
C.CONG.VACA;0.00371773141921;0.05717757590324;2.874;15.379695157011842;67.24338;4.372218;3.0;enero
RESTO CARNES CONG.;0.00486290056299;0.01089250346652;0.576;2.2399190206379167;12.81007;5.718988;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.78550557649884;7.42622509362974;92.28;9.454070493973953;8733.572;923.7896;2.0;enero
JAMON CURADO+PALETA;0.07497151824838;1.36290663234337;47.527;18.178992025051645;1602.839;88.16985000000001;3.0;enero
JAMON C.+P.ENTERO;0.01625165391208;0.23211849065213;6.817;14.282761121287608;272.9817;19.112669999999998;4.0;enero
JAMON C.+P.LONCHA;0.05871986433629;1.13078788659888;44.935;19.257331388278526;1329.857;69.05717999999999;4.0;enero
JAMON CURADO NORMAL;0.05537075668867;0.88320119020622;42.775;15.950679438463549;1038.684;65.11848;3.0;enero
JAMON C.N.ENTER/PI;0.0067308518123;0.10849818010941;5.504;16.119531841579263;127.5987;7.915782;4.0;enero
JAMON C.N.LONCHA;0.04863990657698;0.77470326518917;40.888;15.927318116102912;911.0856;57.2027;4.0;enero
JAMON IBERICO;0.01651601463202;0.4289968215185;5.686;25.97459684290787;504.5194;19.423569999999998;3.0;enero
JAMON IBE.ENTER/PI;0.00952080380039;0.12362022551192;1.313;12.984221511509;145.3829;11.19689;4.0;enero
JAMON IBE.LONCHA;0.00699521168194;0.30537659600657;4.394;43.65509006609105;359.1365;8.226681000000001;4.0;enero
PALETA CURADA NORM.;0.0030847494786;0.0507083995386;3.284;16.43841741130927;59.63534;3.6278029999999997;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.0030847494786;0.0507083995386;3.284;16.43841741130927;59.63534;3.6278029999999997;4.0;enero
PALETA IBERICA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.0;0.0;0.0;;0.0;0.0;4.0;enero
HUESOS JAMON CURADO;0.00158134562491;0.01092277442705;1.317;6.9072657204018;12.84567;1.8597329999999999;3.0;enero
LOMO EMBUCHADO N+IB;0.02406238652851;0.5978566574254;14.088;24.846108124688143;703.1061;28.29844;3.0;enero
LOMO EMB.AL CORTE;0.00384075651424;0.15916777159636;1.238;41.44177612039759;187.1884;4.516901;4.0;enero
LOMO EMB.ENVASADO;0.02022163086457;0.43868880079825;13.631;21.694036635138012;515.9176;23.78154;4.0;enero
LOMO EMB.NORMAL;0.01698004464839;0.26308585334003;12.013;15.493825769469021;309.40070000000003;19.96929;4.0;enero
LOMO E.N.AL CORTE;0.00150633741587;0.02423389362794;0.572;16.087958363439306;28.50014;1.77152;5.0;enero
LOMO E.N.ENVASADO;0.01547370723251;0.23885190869361;11.631;15.435984738789422;280.9005;18.197770000000002;5.0;enero
LOMO EMB.IBERICO;0.00708233847888;0.33477080408537;3.927;47.26839942534324;393.7054;8.329146000000001;4.0;enero
LOMO E.I.AL CORTE;0.00233441909836;0.13493391198073;1.344;57.80192257468089;158.6883;2.745381;5.0;enero
LOMO E.I.ENVASADO;0.00474791938051;0.19983689210463;3.751;42.089360852399764;235.0171;5.5837650000000005;5.0;enero
OTRAS SALAZONES;0.03292551969898;0.25076506221794;12.745;7.616130725057772;294.9109;38.72188;3.0;enero
O.SALAZONES AL COR;0.01185882735386;0.09859608975247;3.166;8.314151712507286;115.95339999999999;13.94651;4.0;enero
O.SALAZONES ENVASA;0.02106670084819;0.15216897246547;9.351;7.223198998360469;178.9575;24.775380000000002;4.0;enero
TOCINO Y MANTECA;0.04271370281229;0.38075740995308;26.195;8.91417472342008;447.78770000000003;50.23322;3.0;enero
TOCINO;0.00294761437461;0.02310235491948;3.805;7.837644950593188;27.169400000000003;3.466526;4.0;enero
CHORIZOS;0.05082623520463;0.53357584757742;25.283;10.498039947856858;627.509;59.77392;3.0;enero
CHOR.IBERICO;0.01038472510972;0.10553562242411;4.992;10.162582187686791;124.11460000000001;12.2129;4.0;enero
CHOR.NORMAL;0.04044151009491;0.42804022515331;22.684;10.584180070149884;503.3944;47.56102;4.0;enero
CHORIZO DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CHORIZO DE CERDO;0.04566566566141;0.47431389496136;23.286;10.386663329910924;557.8143;53.704860000000004;4.0;enero
SALCHICHON/SALAMI;0.04233527329023;0.42870031916069;25.456;10.126315146750724;504.1707;49.78817;3.0;enero
SALCHICHON DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHON DE CERD;0.04233527329023;0.42870031916069;25.456;10.126315146750724;504.1707;49.78817;4.0;enero
FUET/LONGANIZAS;0.03018371044245;0.35329748224009;17.086;11.70490562827295;415.49359999999996;35.49739;3.0;enero
FUET/LONGANIZ.PAVO;0.0035544918633;0.04265067799222;2.013;11.99909287526724;50.159099999999995;4.180241;4.0;enero
FUET/LONGANIZ.CERD;0.02654441822456;0.30878139882035;15.776;11.632630114852542;363.14070000000004;31.217419999999997;4.0;enero
OTROS PROD.CURADOS;0.01071160046501;0.12155321208602;13.163;11.347810486674943;142.952;12.59732;3.0;enero
O.PROD.CURAD.CORTE;0.00132595140156;0.0165014233488;1.706;12.444968442545683;19.40641;1.559378;4.0;enero
O.PROD.CURAD.ENVAS;0.00938565586591;0.10505179724029;11.659;11.192803011428753;123.54560000000001;11.03795;4.0;enero
SALCHICHAS;0.12371129348589;0.47049711797964;34.989;3.8031864732971337;553.3256;145.49;3.0;enero
JAMON COCIDO;0.05820328529293;0.59700082254401;30.596;10.257167091845306;702.0996;68.44966000000001;3.0;enero
J.COC.SIN/BAJO SAL;0.00046625272116;0.00451497498581;0.407;9.683535947068757;5.309812;0.548334;4.0;enero
PALETA COCIDA;0.00068925871735;0.00889166950293;1.087;12.900336664614686;10.457;0.8105990000000001;3.0;enero
FIAMBRES;0.22832263124426;1.72097893345377;66.81;7.537487300646216;2023.948;268.51759999999996;3.0;enero
PAVO;0.10770866924267;0.99950630205583;47.339;9.279720092018486;1175.464;126.6702;4.0;enero
POLLO;0.00568676811963;0.07567015671196;6.967;13.306355230264598;88.99148;6.687893;4.0;enero
PROD.A BASE SANGRE;0.00267375486533;0.01601588054307;2.007;5.990033249004995;18.83539;3.144455;3.0;enero
MORCILLA;0.00267375486533;0.01601588054307;2.007;5.990033249004995;18.83539;3.144455;4.0;enero
FOIE-GRAS Y PATES;0.02994731634869;0.26417518276531;23.873;8.821330755964473;310.6818;35.219379999999994;3.0;enero
COCIDOS Y OTROS;0.0316466991626;0.30832988533598;27.856;9.742876618876977;362.60970000000003;37.21793;3.0;enero
COCIDOS Y O. CORTE;0.00262743944541;0.02513650394581;2.257;9.566920367923998;29.56165;3.0899859999999997;4.0;enero
COCIDOS Y O.ENVASA;0.02901926481903;0.28319333887476;25.666;9.758804733363709;333.048;34.12795;4.0;enero
COCIDOS DE PAVO;0.00104529198017;0.00889376976339;1.089;8.508407155233424;10.45947;1.22931;4.0;enero
COCIDOS DE CERDO;0.03060141568551;0.29943609006334;27.656;9.785040441939579;352.1502;35.98863;4.0;enero
TOTAL PESCA;1.18386240386331;11.42613968596282;93.682;9.651577454166741;13437.65;1392.275;1.0;enero
PESCADOS;0.61922319383831;5.65369709524856;75.064;9.130305762940791;6649.0;728.2341;2.0;enero
PESCADOS FRESCOS;0.44651571477364;4.0820874955648;57.658;9.142091443823382;4800.717;525.1224;3.0;enero
PESCADOS CONGELADOS;0.17270756409545;1.57161044999163;48.37;9.099835657012543;1848.284;203.1118;3.0;enero
MERLUZA/PESCAD;0.13814076312001;1.10472169853227;32.024;7.997072504750409;1299.202;162.4597;3.0;enero
MERLUZA/PESCAD.FRE;0.0703879846388;0.62599053916422;14.69;8.893428933595928;736.1928;82.77941;4.0;enero
MERLUZA/PESCAD.CON;0.0677527784812;0.47873141446042;18.685;7.065856562520041;563.0095;79.68029;4.0;enero
SARDINA/BOQUERON;0.05081435640354;0.29631494995839;17.52;5.831323486716438;348.4796;59.759949999999996;3.0;enero
BOQUERONES FRESCOS;0.03154558054949;0.18240634583825;11.917;5.782310633086975;214.518;37.09901;4.0;enero
SARDINAS FRESCAS;0.01645783656686;0.09696171297599;7.198;5.891522411347884;114.0313;19.355150000000002;4.0;enero
ATUN Y BONITO;0.03070519576228;0.45008692283956;8.614;14.658330997920837;529.3223;36.11068;3.0;enero
TRUCHA FRESCA;0.01836545978063;0.19392138521308;10.672;10.559026973970537;228.0602;21.598599999999998;3.0;enero
LENGUADO;0.01500318936702;0.20226639177985;3.628;13.481559609213566;237.87429999999998;17.644419999999997;3.0;enero
LENGUADO FRESCO;0.01221108439938;0.15755278183955;2.61;12.90243983961874;185.28910000000002;14.36078;4.0;enero
LENGUADO CONGELADO;0.00279210751856;0.04471367796493;1.03;16.014310934532162;52.58528;3.283643;4.0;enero
BACALAO;0.08177109024294;0.68993054561382;28.775;8.437340673384533;811.3891;96.16645;3.0;enero
BACALAO FRESCO;0.05003779572582;0.35831514904097;22.012;7.160889960147284;421.39459999999997;58.84668;4.0;enero
BACALAO CONGELADO;0.03173329451712;0.33161539657285;10.351;10.45007780058666;389.9945;37.31977;4.0;enero
BACALADILLA;0.04178158681097;0.1997782208609;19.093;4.781489553393664;234.9481;49.137010000000004;4.0;enero
CABALLA FRESCA;0.00521699937538;0.03489434807396;1.358;6.688585825527299;41.03731;6.1354239999999995;3.0;enero
SALMON;0.09264495496074;1.21925221783598;21.017;13.160481521661316;1433.895;108.9546;3.0;enero
SALMON FRESCO;0.08484571000377;1.05648373249024;15.618;12.451822637152025;1242.472;99.78233999999999;4.0;enero
SALMON CONGELADO;0.00779925346004;0.16276908056124;6.251;20.869828297684215;191.42370000000003;9.172270000000001;4.0;enero
LUBINA;0.02668056952234;0.18071176726386;7.379;6.77316003740255;212.5251;31.37754;3.0;enero
DORADA;0.02361589836371;0.18419139717109;4.189;7.7994660348859615;216.6173;27.773349999999997;3.0;enero
RODABALLO;0.00299658275512;0.03895558006815;0.894;13.000001418795925;45.8135;3.5241149999999997;3.0;enero
RAPE;0.00609976860918;0.05629714161488;0.666;9.229389706702353;66.20795;7.1736;3.0;enero
OTROS PESCADOS;0.1271683902343;1.00215246017892;37.362;7.880515420007395;1178.576;149.5557;3.0;enero
OTROS PESCADOS FRE;0.07698992807585;0.62702017697631;24.425;8.144184475124082;737.4037;90.54359;4.0;enero
OTROS PESCADOS CON;0.05017845365536;0.37513236823339;16.942;7.475965098683153;441.17240000000004;59.0121;4.0;enero
PEZ ESPADA/EMPERDR;0.00261741006396;0.03494088542424;2.448;13.349412041033194;41.092040000000004;3.078191;4.0;enero
MARISCO/MOLUSCO/CRUS;0.20470099330236;1.86628804709597;43.69;9.11714211537463;2194.838;240.7375;2.0;enero
MARISCO/MOLUSC CONG;0.07594596257597;0.76396710783257;24.552;10.059351174438936;898.4594000000001;89.31584;3.0;enero
MARISCO/MOLUSC FRES;0.08076026124116;0.65583370980375;19.891;8.120747750497562;771.2896999999999;94.97767;3.0;enero
MARISCO/MOLUSC COCI;0.04799479499445;0.44648748455202;21.253;9.302831371684725;525.0892;56.444019999999995;3.0;enero
ALMEJAS,BERBERECHO;0.00773393110807;0.06789876784115;2.998;8.779334453893858;79.85198;9.095448000000001;3.0;enero
ALMEJAS CONGELADO;0.0036068470201;0.01725966839478;1.6;4.785251023559972;20.29814;4.2418130000000005;4.0;enero
BERBEREC.CONGELADO;0.00158078782294;0.02522743587052;0.533;15.958774165889848;29.668590000000002;1.859077;4.0;enero
ALMEJAS,BERB.FRESC;0.00254629626502;0.02541166357584;1.153;9.979853454165857;29.88525;2.994558;4.0;enero
MEJILLON;0.02644364823768;0.11937030169605;6.76;4.5141389199814395;140.38479999999998;31.09891;3.0;enero
MEJILLON CONGELADO;0.00695736192727;0.0440548084009;2.228;6.3321139336175944;51.81042;8.182167999999999;4.0;enero
MEJILLON FRESCO;0.01948629311287;0.07531545928283;4.556;3.865048054370711;88.57433999999999;22.91675;4.0;enero
CALAMARES,PULPO;0.02911923551651;0.26510448424755;10.871;9.104101792000822;311.7747;34.24552;3.0;enero
CALAMARES CONGELAD;0.01306043143164;0.11648231601184;4.126;8.918718851015484;136.98839999999998;15.35965;4.0;enero
PULPO CONGELADO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CALAMAR Y PULPO FR;0.01605880408486;0.14862225326649;8.02;9.25487679413233;174.7864;18.88587;4.0;enero
GAMBAS/LANGOSTINOS;0.07573442298155;0.84294787025134;27.211;11.13031349637004;991.3443000000001;89.06706;3.0;enero
GAMBAS/LANG.CONG.;0.03440666249237;0.41624670994772;16.008;12.097851979684544;489.5247;40.46377;4.0;enero
GAMBAS/LANG.COCIDO;0.03102992834172;0.32481029757706;12.838;10.4676457515473;381.9914;36.492580000000004;4.0;enero
GAMBAS/LANG.FRESCO;0.01029783214745;0.10189086272655;4.382;9.894399254874404;119.8282;12.11071;4.0;enero
OTROS MARISC/MOLUSC;0.06566977926715;0.57096677611528;23.809;8.694513404597842;671.4824;77.23058999999999;3.0;enero
