Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;58.8165928053028;158.79564076265325;99.215;2.6998442648370564;150685.358262;55812.611203;0.0;enero
T.HUEVOS KGS;0.63387266252297;2.09340800320233;77.049;3.3025686813342556;1986.4898899999998;601.498434;1.0;enero
T.HUEVOS UNDS.;10.02729221432905;2.09340800320233;77.049;0.20877101798338427;1986.4898899999998;9515.161199999999;1.0;enero
TOTAL HUEVOS GALLINA;9.88147667369788;2.08093296681188;76.972;0.2105892707666683;1974.652;9376.793;2.0;enero
OTRAS AVES;0.14581554063116;0.01247503639045;1.763;0.08555354481737856;11.83789;138.3682;2.0;enero
MIEL;0.04235149813236;0.33252530076882;15.56;7.8515593410544575;315.542;40.188449999999996;1.0;enero
GRANEL;0.0117913268054;0.10612194124868;1.507;9.0;100.7019;11.1891;2.0;enero
ENVASADA;0.03056017132695;0.22640335952013;12.941;7.4084453617063835;214.8401;28.99935;2.0;enero
TOTAL CARNE;3.13992459825584;25.21432934397713;97.568;8.030234024722468;23926.54;2979.557;1.0;enero
CARNE CERTIFICADA;0.33515606358594;3.10591352664885;39.058;9.267066492599636;2947.283;318.0384;2.0;enero
CARNE FRESCA;2.32311721485552;16.6007730689866;89.814;7.1459042026938935;15752.91;2204.467;2.0;enero
SALCHICHAS FRESCAS;0.02376402702391;0.20676179178636;7.38;8.700620967073181;196.20170000000002;22.55031;3.0;enero
CARNE VACUNO;0.25185644291949;2.958897892805;42.395;11.748350999107924;2807.776;238.9932;3.0;enero
TERNERA;0.2105267839017;2.38021648649466;34.542;11.30600317157754;2258.65;199.77439999999999;4.0;enero
AÑOJO;0.01836548337113;0.27464272276773;7.532;14.954287737362062;260.6157;17.427490000000002;4.0;enero
MAYOR;0.02296414403197;0.30403847277808;6.689;13.239704138536146;288.51009999999997;21.79128;4.0;enero
CARNE POLLO;1.11111791408535;6.00025740651994;71.752;5.400198602197143;5693.802;1054.369;3.0;enero
POLLO ENTERO;0.24914358731938;0.81946133031533;15.26;3.289112672464004;777.6084000000001;236.4189;4.0;enero
POLLO FILETES;0.17726561247924;1.42845130779938;32.748;8.058253870116282;1355.495;168.212;4.0;enero
POLLO POR PIEZAS;0.68470903043351;3.75234413611164;64.233;5.4802024938036595;3560.698;649.7384000000001;4.0;enero
