Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.42266839715007;152.9850791331899;99.822;3.09544353015977;158937.34749000001;51345.581317000004;0.0;enero
T.HUEVOS KGS;0.70083963069886;2.40916499120838;75.493;3.437541037463895;2502.8996;728.107555;1.0;enero
T.HUEVOS UNDS.;11.05785202195431;2.40916499120838;75.493;0.21786916540619414;2502.8996;11488.0855;1.0;enero
TOTAL HUEVOS GALLINA;10.93076130517258;2.3982924160261;75.738;0.2194076285328085;2491.604;11356.05;2.0;enero
OTRAS AVES;0.12709071678172;0.01087257518227;1.761;0.08554971958299093;11.2956;132.0355;2.0;enero
MIEL;0.022627336692;0.18267044788853;4.746;8.072998178044566;189.7777;23.50771;1.0;enero
GRANEL;0.01817952015436;0.15462723928226;3.447;8.50557319276279;160.64339999999999;18.88684;2.0;enero
ENVASADA;0.00444781461253;0.02804317972978;1.446;6.304934484170506;29.13427;4.620868000000001;2.0;enero
TOTAL CARNE;3.10679051962115;26.81455255284091;97.065;8.630949651575069;27857.84;3227.668;1.0;enero
CARNE CERTIFICADA;0.54651246143945;5.50000356144518;54.5;10.063820954711181;5713.995;567.7759;2.0;enero
CARNE FRESCA;2.20464283871534;16.93425049495713;88.657;7.681176378131521;17593.12;2290.42;2.0;enero
SALCHICHAS FRESCAS;0.01022817710627;0.07843869573286;4.886;7.668883215243932;81.49055;10.62613;3.0;enero
CARNE VACUNO;0.44610361937467;5.37320690356411;50.332;12.0447507489313;5582.265;463.46040000000005;3.0;enero
TERNERA;0.38530504062977;4.66367020895825;46.237;12.103839081200602;4845.122;400.2963;4.0;enero
AÑOJO;0.03449545766729;0.41410558325579;7.258;12.00464093707194;430.2174;35.83759;4.0;enero
MAYOR;0.02630312107761;0.29543168887981;4.948;11.231811160664131;306.9262;27.32651;4.0;enero
CARNE POLLO;0.87284054842901;4.63474463114011;66.873;5.309955683752304;4815.071;906.8006;3.0;enero
POLLO ENTERO;0.15948676715729;0.63861969828476;18.067;4.004217463727881;663.4668;165.692;4.0;enero
POLLO FILETES;0.15273246040851;1.08776959461125;25.495;7.122059002400506;1130.092;158.6749;4.0;enero
POLLO POR PIEZAS;0.56062141711815;2.90835514573417;57.285;5.187734640400334;3021.512;582.4338;4.0;enero
CARNE CONEJO;0.02394544247911;0.1640954546084;2.669;6.852888801347424;170.48;24.8771;3.0;enero
CARNE OVINO/CAPRINO;0.02176235112578;0.31887862692473;6.125;14.65276546094112;331.28540000000004;22.60907;3.0;enero
CORDERO;0.01776126347973;0.2630771243917;5.257;14.811847405555184;273.3128;18.45231;4.0;enero
CABRITO;0.00400108957114;0.055801579537;0.865;13.946595932122166;57.97268;4.156762;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.02176235112578;0.31887862692473;6.125;14.65276546094112;331.28540000000004;22.60907;4.0;enero
CARNE CERDO;0.65741319032249;4.95681853769364;75.443;7.539883000008054;5149.676;682.9915;3.0;enero
CARNE CERDO ADOBAD;0.0682447853921;0.61793739518075;20.251;9.054719589641866;641.9798000000001;70.90002;4.0;enero
CARN.CERDO IBERICO;0.02902335360579;0.35853239748621;10.79;12.353238097701757;372.482;30.15258;4.0;enero
CARNE DESPOJOS;0.04800209793819;0.34282031546043;10.258;7.141777759418837;356.1586;49.86974;3.0;enero
DESPOJOS CERDO;0.01413200874145;0.12761684638923;4.291;9.030340181925302;132.5821;14.68185;4.0;enero
DESPOJOS CORDERO;0.00034188028952;0.00427398200624;0.423;12.501399282621305;4.440272;0.355182;4.0;enero
DESPOJOS POLLO;0.0118766010372;0.05853021512313;2.369;4.9281957809135335;60.807480000000005;12.33869;4.0;enero
DESPOJOS TERNERA;0.0202613705415;0.14949675369681;3.919;7.378412698714328;155.3133;21.04969;4.0;enero
DESPOJOS OT.PROCED;0.0013902354034;0.00290251920755;0.525;2.0877897372199907;3.0154490000000003;1.444326;4.0;enero
OTRAS CARNES FRESCA;0.13457502114181;1.14368121281771;32.049;8.498465785953895;1188.179;139.811;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.0901255686198;0.79992193022935;20.533;8.875638095598166;831.0449;93.63213;4.0;enero
OTRAS AVES;0.00133043412229;0.00542216217586;0.808;4.075483396734765;5.633125;1.382198;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.03931230609337;0.16615348189312;7.96;4.226500513566354;172.6181;40.84185;2.0;enero
C.CONG.POLLO;0.03565019953748;0.13775047224899;6.328;3.863946739040631;143.11;37.03726;3.0;enero
C.CONG.CERDO;0.00249875082939;0.0146492925182;0.924;5.8626463854950615;15.21926;2.595971;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.00116336053924;0.01375373637691;0.708;11.822419544870863;14.288860000000001;1.208624;3.0;enero
