Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;50.35332695424978;142.5448510291875;99.835;2.8308924087320277;200913.48951100002;70971.785749;0.0;enero
T.HUEVOS KGS;0.70025016935968;2.24371430320971;84.265;3.204161028995351;3162.460565;986.985528;1.0;enero
T.HUEVOS UNDS.;10.9821303993185;2.24371430320971;84.265;0.2043059244087053;3162.460565;15479.04484;1.0;enero
TOTAL HUEVOS GALLINA;10.93386788241292;2.24012817160303;83.932;0.2048797548767051;3157.406;15411.02;2.0;enero
OTRAS AVES;0.04826251690558;0.00358613160667;0.69;0.07430469516723597;5.054564999999999;68.02484;2.0;enero
MIEL;0.01545141327126;0.08642256733757;4.129;5.593182048810771;121.8105;21.778389999999998;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.01545141327126;0.08642256733757;4.129;5.593182048810771;121.8105;21.778389999999998;2.0;enero
TOTAL CARNE;3.24062083670516;27.02949947120929;96.663;8.340839867798588;38097.42;4567.576;1.0;enero
CARNE CERTIFICADA;0.39321624282114;3.88407504026861;46.451;9.87770752398784;5474.509;554.2287;2.0;enero
CARNE FRESCA;2.29829164741451;17.0153921007808;88.422;7.403495600709517;23982.78;3239.386;2.0;enero
SALCHICHAS FRESCAS;0.02482365071528;0.21397099735555;11.342;8.619642606549098;301.5869;34.988330000000005;3.0;enero
CARNE VACUNO;0.24474357687576;3.28952696886712;44.722;13.440708070295667;4636.508;344.96009999999995;3.0;enero
TERNERA;0.17629854670871;2.2620987541287;33.834;12.831068641003508;3188.373;248.4885;4.0;enero
AÑOJO;0.04410497774869;0.61531912979256;12.771;13.95124000058554;867.2773000000001;62.16489;4.0;enero
MAYOR;0.02434007370286;0.41210915589422;3.458;16.931302711945232;580.8578;34.30674;4.0;enero
CARNE POLLO;1.05752593333898;5.72968556305294;74.583;5.418009509196898;8075.852;1490.557;3.0;enero
POLLO ENTERO;0.297772093276;1.12910645588223;23.13;3.791847796951412;1591.448;419.7025;4.0;enero
POLLO FILETES;0.19296070105227;1.53141352652254;34.431;7.936401133346127;2158.49;271.9734;4.0;enero
POLLO POR PIEZAS;0.56679278426883;3.06916558064816;62.055;5.414969395927251;4325.914;798.8806;4.0;enero
CARNE CONEJO;0.05440758958123;0.46170802796569;14.847;8.486095993580067;650.7661999999999;76.68617;3.0;enero
CARNE OVINO/CAPRINO;0.04817331351678;0.73107260572024;11.57;15.175883748697148;1030.429;67.89911000000001;3.0;enero
CORDERO;0.03715449205308;0.51652990637873;10.094;13.902219565825543;728.0363000000001;52.36835;4.0;enero
CABRITO;0.01101882146369;0.21454277028989;1.482;19.470573236596273;302.39279999999997;15.53076;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.04817331351678;0.73107260572024;11.57;15.175883748697148;1030.429;67.89911000000001;4.0;enero
CARNE CERDO;0.71310067347115;5.49310892428907;65.793;7.703132430867439;7742.403;1005.098;3.0;enero
CARNE CERDO ADOBAD;0.04983950057179;0.4215743782753;15.883;8.45863970221884;594.1988;70.24756;4.0;enero
CARN.CERDO IBERICO;0.01671787010051;0.25010422306006;2.968;14.960292283423932;352.5158;23.56343;4.0;enero
CARNE DESPOJOS;0.04591343048032;0.27259634707229;10.89;5.937180999557128;384.21790000000004;64.71386;3.0;enero
DESPOJOS CERDO;0.02655602550703;0.16167807368185;4.385;6.088187919498948;227.88129999999998;37.43007;4.0;enero
DESPOJOS CORDERO;0.00496673372509;0.0452376968957;3.061;9.108138144615591;63.76143;7.00049;4.0;enero
DESPOJOS POLLO;0.01186998199426;0.04455633710514;4.76;3.753698794712635;62.80107;16.73045;4.0;enero
DESPOJOS TERNERA;0.00252068783495;0.0211242039154;0.913;8.380333186221307;29.77405;3.552848;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.13442722947798;1.03769373476179;36.115;7.71937157963793;1462.604;189.4719;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.07364512018428;0.56545327899521;23.985;7.678082099401739;796.9925999999999;103.801;4.0;enero
OTRAS AVES;0.01051710295241;0.07908366768163;3.958;7.519529668906338;111.4665;14.8236;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.05976667490134;0.262248952627;10.782;4.387879249764393;369.6335;84.23967;2.0;enero
C.CONG.POLLO;0.04677463020561;0.1580483549425;6.732;3.378933286008764;222.7653;65.9277;3.0;enero
C.CONG.CERDO;0.00816864796767;0.05626274762651;3.189;6.88764503613581;79.30097;11.51351;3.0;enero
C.CONG.VACA;0.00306608996869;0.03404375356406;2.576;11.103312007023359;47.983839999999994;4.321579;3.0;enero
RESTO CARNES CONG.;0.00175731243521;0.01389407520941;0.467;7.906434240694677;19.58336;2.4768890000000003;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.8825629897434;9.75185380615726;91.56;11.049470598118415;13745.0;1243.951;2.0;enero
JAMON CURADO+PALETA;0.156802572469;3.03732466053419;58.652;19.37037519671109;4281.035;221.0094;3.0;enero
JAMON C.+P.ENTERO;0.02974702079508;0.43334230103567;3.739;14.567586583571245;610.7854;41.927699999999994;4.0;enero
JAMON C.+P.LONCHA;0.12705555167392;2.60398264329201;57.939;20.494835597383762;3670.25;179.0817;4.0;enero
JAMON CURADO NORMAL;0.14427990092152;2.45780416392121;54.649;17.03497263460186;3464.215;203.359;3.0;enero
JAMON C.N.ENTER/PI;0.02974702079508;0.43334230103567;3.739;14.567586583571245;610.7854;41.927699999999994;4.0;enero
JAMON C.N.LONCHA;0.11453288012643;2.02446214667903;53.922;17.675816276025778;2853.43;161.4313;4.0;enero
JAMON IBERICO;0.00708875768834;0.44265136604878;7.178;62.444138382179695;623.9063000000001;9.991431;3.0;enero
JAMON IBE.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
JAMON IBE.LONCHA;0.00708875768834;0.44265136604878;7.178;62.444138382179695;623.9063000000001;9.991431;4.0;enero
PALETA CURADA NORM.;0.00336643003831;0.04244729030872;2.772;12.608992263484529;59.82842;4.744901;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00336643003831;0.04244729030872;2.772;12.608992263484529;59.82842;4.744901;4.0;enero
