Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;51.58052242562905;152.19248614435577;99.64;2.950580548380316;380296.36926999997;128888.65870100001;0.0;enero
T.HUEVOS KGS;0.79282079887337;2.55076556966776;74.746;3.2173292795704596;6373.81588;1981.089073;1.0;enero
T.HUEVOS UNDS.;12.56405161089459;2.55076556966776;74.746;0.2030209401126572;6373.81588;31394.869300000002;1.0;enero
TOTAL HUEVOS GALLINA;12.35519042156358;2.51375443685046;74.542;0.20345736092122008;6281.333;30872.97;2.0;enero
OTRAS AVES;0.20886118933101;0.0370111328173;3.101;0.17720445304295293;92.48288000000001;521.8993;2.0;enero
MIEL;0.02144862421046;0.14274022632192;5.978;6.65498285210832;356.6772;53.595510000000004;1.0;enero
GRANEL;0.00516181972484;0.04424801665365;1.338;8.572173964280507;110.5663;12.898280000000002;2.0;enero
ENVASADA;0.01628680448561;0.09849220966827;4.817;6.047362437197813;246.1109;40.697230000000005;2.0;enero
TOTAL CARNE;4.21585215312507;33.51158466031615;98.535;7.948946842330587;83738.26;10534.51;1.0;enero
CARNE CERTIFICADA;0.70923856359656;6.67643155638192;50.828;9.413520215998444;16682.97;1772.235;2.0;enero
CARNE FRESCA;3.26208639287155;24.18260043586922;93.645;7.413231142104024;60427.13;8151.254;2.0;enero
SALCHICHAS FRESCAS;0.06315468192489;0.52106874658648;14.796;8.250674862176034;1302.039;157.81;3.0;enero
CARNE VACUNO;0.43897126183392;5.13441441074753;52.739;11.696470491706133;12829.8;1096.895;3.0;enero
TERNERA;0.34700210120545;3.98572395181478;46.696;11.486166619650833;9959.469;867.0838;4.0;enero
AÑOJO;0.0769498239064;0.95815749385369;14.409;12.451717823540639;2394.23;192.2811;4.0;enero
MAYOR;0.01501927269096;0.19053148435969;3.686;12.685799657553407;476.09729999999996;37.52994;4.0;enero
CARNE POLLO;1.17713547814482;6.0059138042019;80.337;5.1021432245566665;15007.49;2941.409;3.0;enero
POLLO ENTERO;0.27607564358204;1.03386907619527;21.597;3.744876088237826;2583.417;689.8538000000001;4.0;enero
POLLO FILETES;0.15980135499115;1.1549863175985;33.759;7.227637823611922;2886.063;399.3093;4.0;enero
POLLO POR PIEZAS;0.74125851959106;3.81705801021369;68.43;5.149428855562382;9538.009;1852.246;4.0;enero
CARNE CONEJO;0.08276200759228;0.71723204700552;12.858;8.666199236476963;1792.209;206.8045;3.0;enero
CARNE OVINO/CAPRINO;0.19394426236184;2.16788200446281;15.389;11.177860989866188;5417.072;484.6251;3.0;enero
CORDERO;0.17068116063854;1.85533856402794;13.81;10.870201240059687;4636.093;426.49559999999997;4.0;enero
CABRITO;0.0073503549631;0.09208349617518;1.026;12.52776180707096;230.0969;18.36696;4.0;enero
OTRO OVINO/CAPRINO;0.01591272675047;0.22045994425968;1.211;13.854315964618914;550.8820999999999;39.76249;4.0;enero
OVINO/CAPRINO ENTE;0.11118709712208;1.14653020943632;2.121;10.311719966728178;2864.933;277.8327;4.0;enero
OVINO/CAPRINO PIEZ;0.08275716523975;1.02135179502648;13.444;12.341551236892654;2552.139;206.7924;4.0;enero
CARNE CERDO;1.01935562524357;7.56156557383465;76.084;7.417985820236021;18894.73;2547.151;3.0;enero
CARNE CERDO ADOBAD;0.1456682888387;1.20277393386701;28.567;8.256937343438269;3005.474;363.99379999999996;4.0;enero
CARN.CERDO IBERICO;0.02111005572649;0.19662520482228;6.044;9.31429113072162;491.3242;52.7495;4.0;enero
CARNE DESPOJOS;0.10987297869462;0.71969644426357;17.824;6.550258788048764;1798.367;274.549;3.0;enero
DESPOJOS CERDO;0.0563291259206;0.35535664002302;10.776;6.308577209664493;887.96;140.7544;4.0;enero
DESPOJOS CORDERO;0.00639449858718;0.03624150691621;1.663;5.667607306827683;90.55975;15.97848;4.0;enero
DESPOJOS POLLO;0.01063422233765;0.06506304905136;2.449;6.118270521860079;162.5786;26.57264;4.0;enero
DESPOJOS TERNERA;0.03057401752599;0.23160075670988;7.429;7.575084187512458;578.7206;76.39791000000001;4.0;enero
DESPOJOS OT.PROCED;0.00594109031153;0.0314346556428;1.613;5.291058373878702;78.54846;14.84551;4.0;enero
OTRAS CARNES FRESCA;0.24004473898103;1.87589695174206;47.967;7.814780526767766;4687.464;599.8203000000001;3.0;enero
AVESTRUZ;0.00010205237927;0.00102052579373;0.141;10.000019607304896;2.5500749999999996;0.255007;4.0;enero
PAVO;0.12901831991986;1.0589820766398;28.645;8.207997726970298;2646.169;322.3891;4.0;enero
OTRAS AVES;0.02461725960279;0.16000133214442;7.083;6.49955903809342;399.809;61.51325;2.0;enero
CARNE CABALLO;0.00300744108061;0.03207774807116;0.833;10.66612685380475;80.15541;7.51495;4.0;enero
CARNE CONGELADA;0.06428779241474;0.34944572837294;9.147;5.435646726186401;873.1899000000001;160.6414;2.0;enero
C.CONG.POLLO;0.04638613539847;0.17124819611677;6.149;3.691797013174128;427.9125;115.909;3.0;enero
C.CONG.CERDO;0.0109912557923;0.07742329392849;3.113;7.044080803093706;193.4642;27.46479;3.0;enero
C.CONG.VACA;0.00681700785141;0.10021636730174;1.362;14.700931770363692;250.41920000000002;17.03424;3.0;enero
RESTO CARNES CONG.;9.341178148e-05;0.00055787062574;0.069;5.972165575624636;1.393999;0.23341599999999998;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.88947932849981;8.97953445411031;93.01;10.095270532318194;22437.93;2222.618;2.0;enero
JAMON CURADO+PALETA;0.10303873847134;1.85322833883442;47.989;17.985743675906903;4630.82;257.4717;3.0;enero
JAMON C.+P.ENTERO;0.03219829863726;0.41225788389102;8.684;12.803716386863783;1030.144;80.45664;4.0;enero
JAMON C.+P.LONCHA;0.07084041582241;1.44097085513782;44.306;20.341084088919022;3600.677;177.015;4.0;enero
JAMON CURADO NORMAL;0.08120409072221;1.29107323159587;42.448;15.89911567401765;3226.115;202.9116;3.0;enero
JAMON C.N.ENTER/PI;0.02488890757531;0.30571276194194;7.797;12.28309282023873;763.9105999999999;62.19204;4.0;enero
JAMON C.N.LONCHA;0.05631515913523;0.98536070977058;38.777;17.497255177853813;2462.205;140.7195;4.0;enero
JAMON IBERICO;0.01574244002145;0.41978714176907;5.21;26.665951478735785;1048.958;39.336980000000004;3.0;enero
JAMON IBE.ENTER/PI;0.00676957280643;0.09892333912038;0.654;14.612936731594477;247.18820000000002;16.91571;4.0;enero
JAMON IBE.LONCHA;0.00897287121696;0.32086392270701;4.864;35.7593366658817;801.7701;22.42128;4.0;enero
PALETA CURADA NORM.;0.00400322085219;0.06240903967559;3.679;15.589706883504162;155.9468;10.00319;3.0;enero
PALETA C.N.ENTR/PI;0.0003474788128;0.00559791959169;0.244;16.110103365869108;13.988;0.868275;4.0;enero
PALETA C.N.LONCHA;0.00365574043861;0.0568111200839;3.449;15.540249926901312;141.9588;9.134911;4.0;enero
PALETA IBERICA;0.00208899567976;0.0799587657161;1.776;38.27617571962347;199.79979999999998;5.219952;3.0;enero
PALETA IB.ENTER/PI;0.00019234064328;0.00202365553609;0.222;10.521206030568974;5.056680999999999;0.480618;4.0;enero
PALETA IBE.LONCHA;0.00189665463627;0.07793510257631;1.595;41.09082438393757;194.7431;4.739332999999999;4.0;enero
HUESOS JAMON CURADO;0.00393428055949;0.01955757349668;1.998;4.971067314839105;48.87018;9.830923;3.0;enero
LOMO EMBUCHADO N+IB;0.024872855777;0.4868065012388;17.003;19.571797689951058;1216.425;62.15193;3.0;enero
LOMO EMB.AL CORTE;0.00923170496405;0.18943359097909;5.947;20.5198922318965;473.3539;23.06805;4.0;enero
LOMO EMB.ENVASADO;0.01564115081294;0.29737299029859;10.909;19.01221936000213;743.0713000000001;39.08388;4.0;enero
LOMO EMB.NORMAL;0.01931191815195;0.32476601843041;15.189;16.816870073445273;811.5206;48.256339999999994;4.0;enero
