Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;44.21149853509645;144.567661726995;99.543;3.2699109172296588;942407.0003;288205.71084500005;0.0;enero
T.HUEVOS KGS;0.75239880843629;2.40315442822935;81.362;3.1939902100906052;15665.671900000001;4904.73385;1.0;enero
T.HUEVOS UNDS.;11.9156158292136;2.40315442822935;81.362;0.20168109333783035;15665.671900000001;77675.461;1.0;enero
TOTAL HUEVOS GALLINA;11.72671574341032;2.3820720207097;81.086;0.20313206807697026;15528.24;76444.06;2.0;enero
OTRAS AVES;0.18890008580328;0.02108240751965;2.884;0.1116061299284311;137.43189999999998;1231.401;2.0;enero
MIEL;0.0377212793142;0.2417615397628;11.998;6.409155366895041;1575.994;245.8973;1.0;enero
GRANEL;0.00496992746136;0.03682057608772;1.14;7.408674749073552;240.02579999999998;32.39794;2.0;enero
ENVASADA;0.03275134264869;0.20494108639713;10.925;6.25748655850394;1335.969;213.49929999999998;2.0;enero
TOTAL CARNE;3.4504457970651;28.44362956460978;97.669;8.243465116537552;185418.2;22492.75;1.0;enero
CARNE CERTIFICADA;0.50401275483086;4.96549566093475;46.551;9.851924605759269;32369.05;3285.556;2.0;enero
CARNE FRESCA;2.45188093108617;18.24407635249022;91.067;7.440849235859155;118929.4;15983.31;2.0;enero
SALCHICHAS FRESCAS;0.01704299554144;0.14051458153321;5.671;8.244711511631884;915.9858;111.0998;3.0;enero
CARNE VACUNO;0.42090997719611;5.06698220330793;56.959;12.03816131197824;33030.62;2743.826;3.0;enero
TERNERA;0.25735368441853;3.00522089792222;42.137;11.67739605015629;19590.42;1677.636;4.0;enero
AÑOJO;0.13896288379388;1.73930755607142;26.011;12.516346153633865;11338.19;905.8706;4.0;enero
MAYOR;0.0245933322824;0.32245313570397;7.151;13.111404831245723;2102.006;160.31889999999999;4.0;enero
CARNE POLLO;1.04359757286183;5.50603571680806;75.833;5.276014298987843;35892.72;6802.999;3.0;enero
POLLO ENTERO;0.16951674987797;0.64686951757886;15.947;3.8159622458813898;4216.81;1105.045;4.0;enero
POLLO FILETES;0.1810084436704;1.27354527342207;37.705;7.035833509187198;8301.981;1179.957;4.0;enero
POLLO POR PIEZAS;0.69307253271603;3.58562107920969;65.738;5.173514906381101;23373.93;4517.998;4.0;enero
CARNE CONEJO;0.03591620653967;0.301278057688;8.716;8.38835964915278;1963.97;234.13039999999998;3.0;enero
CARNE OVINO/CAPRINO;0.06323021021325;0.87239017319095;14.295;13.797046858593523;5686.933;412.1848;3.0;enero
CORDERO;0.04494827410494;0.63618594855814;12.332;14.153734736796121;4147.166;293.0086;4.0;enero
CABRITO;0.0168871231837;0.2180741877555;2.004;12.913637532168705;1421.581;110.0837;4.0;enero
OTRO OVINO/CAPRINO;0.00139480970314;0.01813005221755;0.469;12.998226336293987;118.18610000000001;9.092478999999999;4.0;enero
OVINO/CAPRINO ENTE;0.01111559823025;0.14401696177247;0.889;12.956294280275644;938.8171;72.46030999999999;4.0;enero
OVINO/CAPRINO PIEZ;0.05211459817676;0.72837322675873;13.889;13.97637614489863;4748.116;339.7244;4.0;enero
CARNE CERDO;0.63457031262502;4.65809990850568;69.665;7.340557564435239;30365.2;4136.634;3.0;enero
CARNE CERDO ADOBAD;0.10075416779362;0.80948514575884;27.094;8.034259658785881;5276.868;656.7958000000001;4.0;enero
