Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;47.10392122475973;132.29116847220328;99.797;2.8084958753426594;1137083.7118;404872.843782;0.0;enero
T.HUEVOS KGS;0.72073582788478;2.28955665611407;77.971;3.1766932730865696;19679.451100000002;6194.94846;1.0;enero
T.HUEVOS UNDS.;11.41495334505094;2.28955665611407;77.971;0.20057520928079228;19679.451100000002;98115.072;1.0;enero
TOTAL HUEVOS GALLINA;11.23307952656064;2.27359666317514;77.527;0.20240190214973702;19542.27;96551.81;2.0;enero
OTRAS AVES;0.1818738184903;0.01595999293893;2.887;0.08775310856401551;137.18110000000001;1563.262;2.0;enero
MIEL;0.02759995594802;0.19323710738606;8.387;7.001355645276191;1660.933;237.23020000000002;1.0;enero
GRANEL;0.00830261423838;0.07181890369126;2.492;8.650155436493842;617.3058000000001;71.36355;2.0;enero
ENVASADA;0.01929733589251;0.1214181804263;6.266;6.291965953362521;1043.627;165.8666;2.0;enero
TOTAL CARNE;3.06880467169216;23.77101936992379;97.223;7.746019024670047;204319.3;26377.33;1.0;enero
CARNE CERTIFICADA;0.38525564336511;3.32386234742168;45.471;8.62767983977735;28569.63;3311.392;2.0;enero
CARNE FRESCA;2.11334649552023;14.59405047967073;90.211;6.905659110139517;125440.4;18164.87;2.0;enero
SALCHICHAS FRESCAS;0.01791460520964;0.15854854216331;6.708;8.850239249364858;1362.774;153.98160000000001;3.0;enero
CARNE VACUNO;0.18605877477076;2.11726840139481;38.784;11.379567580208764;18198.58;1599.233;3.0;enero
TERNERA;0.13652676727265;1.50954634116869;29.306;11.056779350484453;12975.02;1173.49;4.0;enero
AÑOJO;0.03991611323577;0.45792724455077;14.249;11.472240341786474;3936.027;343.0914;4.0;enero
MAYOR;0.00961592218454;0.14979516470286;2.601;15.577826216573039;1287.536;82.65183999999999;4.0;enero
CARNE POLLO;1.00241703646659;5.5244657223823;76.857;5.511145083742201;47484.5;8616.086;3.0;enero
POLLO ENTERO;0.20150207900665;0.75767661416209;19.447;3.7601429121585617;6512.466;1731.973;4.0;enero
POLLO FILETES;0.14194693193848;1.07792867456427;34.694;7.593884981124157;9265.132;1220.078;4.0;enero
POLLO POR PIEZAS;0.65896802552145;3.68886020097091;65.844;5.597935041008752;31706.9;5664.035;4.0;enero
CARNE CONEJO;0.02836073122848;0.25479613777621;6.577;8.984117360143383;2190.052;243.7693;3.0;enero
CARNE OVINO/CAPRINO;0.02532246995487;0.35576479593687;6.416;14.04937182553083;3057.909;217.6545;3.0;enero
CORDERO;0.02184486447615;0.30699960189527;5.301;14.053628129869827;2638.757;187.7634;4.0;enero
CABRITO;0.00233466949823;0.03387285301099;0.675;14.50862875307529;291.1477;20.06721;4.0;enero
OTRO OVINO/CAPRINO;0.00114294237932;0.01489232939634;0.434;13.029816433214966;128.0042;9.823945;4.0;enero
OVINO/CAPRINO ENTE;0.00291412149294;0.04062264963997;0.609;13.939930005772966;349.16429999999997;25.04778;4.0;enero
OVINO/CAPRINO PIEZ;0.02240835776932;0.31514218119964;5.9;14.063600039043274;2708.745;192.6068;4.0;enero
CARNE CERDO;0.67142016393012;4.87728028414794;68.598;7.264125425722982;41921.74;5771.065;3.0;enero
CARNE CERDO ADOBAD;0.05147579991578;0.40924802762105;15.753;7.950299525031614;3517.614;442.4505;4.0;enero
CARN.CERDO IBERICO;0.03320124262706;0.36609135676237;7.79;11.026435392028032;3146.669;285.375;4.0;enero
CARNE DESPOJOS;0.02863605576874;0.16605810189296;9.126;5.798916695580244;1427.321;246.1358;3.0;enero
DESPOJOS CERDO;0.01424284735704;0.09543344239072;5.408;6.700446897894736;820.2801;122.4217;4.0;enero
DESPOJOS CORDERO;0.00019405732205;0.00120029632618;0.194;6.18526687622116;10.31692;1.667983;4.0;enero
DESPOJOS POLLO;0.00963228110429;0.03946000407556;3.134;4.096641662373803;339.171;82.79245;4.0;enero
DESPOJOS TERNERA;0.00339487315933;0.02341069499483;1.726;6.895896811479374;201.22220000000002;29.17999;4.0;enero
DESPOJOS OT.PROCED;0.00117199601161;0.00655364432743;0.601;5.5918657252024335;56.33061;10.07367;4.0;enero
OTRAS CARNES FRESCA;0.17113179857615;1.2984207590998;39.071;7.587255962380288;11160.33;1470.931;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.07914947047555;0.61336304296818;20.085;7.7494269927884805;5272.046;680.3143;4.0;enero
OTRAS AVES;0.02204371708727;0.14034268512434;6.407;6.366561708658666;1206.289;189.4726;2.0;enero
CARNE CABALLO;0.00064850988132;0.00815238581418;0.336;12.570950804284925;70.07229;5.574144;4.0;enero
CARNE CONGELADA;0.07577565414636;0.43540135758196;13.618;5.745926742393429;3742.41;651.3153000000001;2.0;enero
C.CONG.POLLO;0.05084276870681;0.24181638610319;8.939;4.756160851459946;2078.487;437.0094;3.0;enero
C.CONG.CERDO;0.01519570411478;0.12007791475809;4.411;7.9020961352649595;1032.107;130.61180000000002;3.0;enero
C.CONG.VACA;0.00233116060825;0.02807648321802;0.813;12.043993502037475;241.3261;20.03705;3.0;enero
RESTO CARNES CONG.;0.00740602304335;0.04543056186839;2.347;6.134272281146462;390.4898;63.65707;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.87968197521578;8.74156055212074;92.929;9.937182752865308;75136.43;7561.14;2.0;enero
JAMON CURADO+PALETA;0.13889142870548;2.4647311124517;55.787;17.7457394990011;21185.13;1193.815;3.0;enero
JAMON C.+P.ENTERO;0.04741409688608;0.65154828220637;6.609;13.741657544838052;5600.26;407.5389;4.0;enero
JAMON C.+P.LONCHA;0.09147732018515;1.81318283024532;52.748;19.821118792892065;15584.87;786.276;4.0;enero
JAMON CURADO NORMAL;0.09487530085282;1.39491523351027;49.371;14.702617235166363;11989.73;815.4826999999999;3.0;enero
JAMON C.N.ENTER/PI;0.01919469853379;0.17450142657513;4.534;9.091126191324756;1499.894;164.9844;4.0;enero
JAMON C.N.LONCHA;0.07568061395328;1.2204131088801;47.34;16.12583520574378;10489.83;650.4984000000001;4.0;enero
JAMON IBERICO;0.02050004981596;0.69135638305965;7.329;33.72461966024666;5942.423;176.2043;3.0;enero
JAMON IBE.ENTER/PI;0.0119910265207;0.28284922451629;1.032;23.588407883834336;2431.177;103.06660000000001;4.0;enero
JAMON IBE.LONCHA;0.00850902213183;0.40850715854335;6.586;48.00870795891967;3511.246;73.13769;4.0;enero
PALETA CURADA NORM.;0.00953896510714;0.11359299511233;4.968;11.908314354478458;976.3670999999999;81.99037;3.0;enero
PALETA C.N.ENTR/PI;0.00464766787788;0.03671949817735;0.678;7.900628689939334;315.6155;39.94815;4.0;enero
PALETA C.N.LONCHA;0.00489129722926;0.07687350856923;4.284;15.716384624789079;660.7516999999999;42.04222;4.0;enero
PALETA IBERICA;0.01397709780502;0.26486732680122;1.946;18.95009468317553;2276.617;120.1375;3.0;enero
PALETA IB.ENTER/PI;0.01158070628055;0.15747819110884;0.577;13.598323564541088;1353.574;99.53977;4.0;enero
PALETA IBE.LONCHA;0.00239639501474;0.10738921713213;1.374;44.81281945221228;923.0437;20.597759999999997;4.0;enero
HUESOS JAMON CURADO;0.00360889334295;0.01864325832422;1.702;5.165921115579977;160.24460000000002;31.019560000000002;3.0;enero
LOMO EMBUCHADO N+IB;0.01808419768052;0.38724067920113;14.128;21.41320759936516;3328.454;155.43929999999997;3.0;enero
LOMO EMB.AL CORTE;0.00288855639069;0.0531632199874;2.708;18.404771379456452;456.9544;24.82804;4.0;enero
LOMO EMB.ENVASADO;0.01519564594353;0.33407750575073;11.784;21.985080923319806;2871.5;130.6113;4.0;enero
LOMO EMB.NORMAL;0.01346261960959;0.23641378915576;12.335;17.560756822341713;2032.05;115.71539999999999;4.0;enero
LOMO E.N.AL CORTE;0.00258947820099;0.04081345134968;2.326;15.761264695694058;350.8043;22.257369999999998;5.0;enero
LOMO E.N.ENVASADO;0.01087313559146;0.19560037270882;10.4;17.989325256120452;1681.246;93.45797999999999;5.0;enero
LOMO EMB.IBERICO;0.00462158388806;0.15082689004536;2.21;32.63532453343638;1296.404;39.723949999999995;4.0;enero
LOMO E.I.AL CORTE;0.00029907912043;0.01234976863771;0.392;41.292647309386865;106.15010000000001;2.570678;5.0;enero
LOMO E.I.ENVASADO;0.00432250453494;0.1384771330419;1.752;32.036318741257496;1190.254;37.15327;5.0;enero
OTRAS SALAZONES;0.02189895210715;0.15197379446873;9.586;6.9397747310048485;1306.262;188.2283;3.0;enero
O.SALAZONES AL COR;0.01100494932382;0.07537414452418;4.257;6.849113276786703;647.8642;94.59096000000001;4.0;enero
O.SALAZONES ENVASA;0.01089399812963;0.0765996848473;5.527;7.031365705760418;658.3981;93.6373;4.0;enero
TOCINO Y MANTECA;0.0289398027832;0.2039671440221;17.589;7.047979751281023;1753.161;248.7466;3.0;enero
TOCINO;0.0032945754484;0.01961367116611;2.035;5.953322809954128;168.5856;28.3179;4.0;enero
CHORIZOS;0.05574658206286;0.55765324840569;32.892;10.003362139347425;4793.203;479.1592;3.0;enero
CHOR.IBERICO;0.00722076156377;0.08766989533639;5.445;12.14136411540926;753.55;62.06469;4.0;enero
CHOR.NORMAL;0.04852581933566;0.46998335306929;29.509;9.68522241362569;4039.653;417.0945;4.0;enero
CHORIZO DE PAVO;0.00154475158346;0.02425716816516;2.242;15.702957307107749;208.4979;13.27762;4.0;enero
CHORIZO DE CERDO;0.0536486939961;0.52719827063087;31.196;9.826861221806043;4531.433;461.1272;4.0;enero
SALCHICHON/SALAMI;0.05076768125349;0.56200876279983;30.408;11.0702074414938;4830.64;436.364;3.0;enero
SALCHICHON DE PAVO;0.00178364812169;0.03031761217807;2.795;16.997529843108833;260.5893;15.331010000000001;4.0;enero
SALCHICHON DE CERD;0.04892227969308;0.5293210559939;28.68;10.819631859238786;4549.679;420.5022;4.0;enero
FUET/LONGANIZAS;0.03613918175782;0.41870143793962;22.664;11.585802931163533;3598.869;310.6275;3.0;enero
FUET/LONGANIZ.PAVO;0.00170670616882;0.03026556054092;1.662;17.73331642770424;260.1419;14.66967;4.0;enero
FUET/LONGANIZ.CERD;0.03321511065377;0.37601409274982;21.109;11.320573237564895;3231.958;285.49420000000003;4.0;enero
OTROS PROD.CURADOS;0.01499753792445;0.18607948373682;10.692;12.40733543559967;1599.411;128.9085;3.0;enero
O.PROD.CURAD.CORTE;0.00613097549369;0.07641560773443;3.434;12.46385796403786;656.8159;52.69764;4.0;enero
O.PROD.CURAD.ENVAS;0.00886655777705;0.10966387600239;7.585;12.368258207955247;942.5951;76.21082000000001;4.0;enero
SALCHICHAS;0.12853671299355;0.46977835757386;35.31;3.6548185077474646;4037.891;1104.813;3.0;enero
JAMON COCIDO;0.08889301573539;0.92382057682443;40.193;10.392498996483406;7940.525;764.0631;3.0;enero
J.COC.SIN/BAJO SAL;0.0019220154274;0.02183975704014;1.476;11.362945754077405;187.7195;16.520319999999998;4.0;enero
PALETA COCIDA;0.00370524936977;0.04132911623868;2.206;11.154206401264513;355.23659999999995;31.84777;3.0;enero
FIAMBRES;0.22419259062134;1.73587905218644;61.219;7.742802950692914;14920.42;1927.005;3.0;enero
PAVO;0.11454709673489;1.0342063464418;42.99;9.028656124173864;8889.325;984.5679;4.0;enero
POLLO;0.00841505112638;0.09571390926974;6.296;11.374132828462004;822.6908000000001;72.32997999999999;4.0;enero
PROD.A BASE SANGRE;0.00541406017453;0.04386724434784;3.824;8.102467082678546;377.0526;46.53553;3.0;enero
MORCILLA;0.00526150955392;0.04310503805455;3.731;8.19252300366772;370.50120000000004;45.224309999999996;4.0;enero
FOIE-GRAS Y PATES;0.0251010468976;0.23537368715283;21.756;9.377046627297263;2023.11;215.7513;3.0;enero
COCIDOS Y OTROS;0.03476509532314;0.34051438757579;23.533;9.79472037716755;2926.827;298.8168;3.0;enero
COCIDOS Y O. CORTE;0.0058446600769;0.06057514508608;4.126;10.36418616122446;520.6622;50.23667;4.0;enero
COCIDOS Y O.ENVASA;0.02892044339022;0.27993914941571;20.24;9.679628546440947;2406.164;248.58020000000002;4.0;enero
COCIDOS DE PAVO;0.00098729146361;0.01121296856098;1.055;11.357303262744376;96.37895;8.486077;4.0;enero
COCIDOS DE CERDO;0.03239799069768;0.31249387673737;22.209;9.64547090754219;2685.982;278.4708;4.0;enero
TOTAL PESCA;1.44861893424318;14.45114697964857;92.095;9.97580981308824;124212.1;12451.33;1.0;enero
PESCADOS;0.8206300094857;7.57611695043795;73.426;9.232073971052957;65119.08;7053.57;2.0;enero
PESCADOS FRESCOS;0.62980677641248;5.72371738829694;55.083;9.088053038902645;49197.13;5413.385;3.0;enero
PESCADOS CONGELADOS;0.19082323307322;1.85239956214101;44.744;9.707411054240833;15921.95;1640.185;3.0;enero
MERLUZA/PESCAD;0.13989837309423;1.25341482410952;33.122;8.959466764243599;10773.49;1202.47;3.0;enero
MERLUZA/PESCAD.FRE;0.07181166718739;0.67412408011022;15.637;9.387389354867349;5794.306;617.2436;4.0;enero
MERLUZA/PESCAD.CON;0.06808676407808;0.57929051131428;20.34;8.50812223429921;4979.182;585.2269;4.0;enero
SARDINA/BOQUERON;0.14029370492934;0.75431582819357;29.531;5.376690483535511;6483.579;1205.868;3.0;enero
BOQUERONES FRESCOS;0.10143223650974;0.55130990595538;26.69;5.435253376301383;4738.68;871.8416;4.0;enero
SARDINAS FRESCAS;0.03573131983481;0.18959837917089;10.823;5.306223784830643;1629.657;307.1218;4.0;enero
ATUN Y BONITO;0.03989474111743;0.51784759074503;10.97;12.980347189637326;4451.061;342.90770000000003;3.0;enero
TRUCHA FRESCA;0.01301636465963;0.1061771027342;4.37;8.157200993567198;912.6252;111.8797;3.0;enero
LENGUADO;0.01350240874661;0.17583622414555;4.239;13.022581929286714;1511.367;116.0574;3.0;enero
