Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;48.19903091102278;143.54675976179;100.0;2.97820842138471;78211.787111;26261.354494;0.0;enero
T.HUEVOS KGS;1.03438474740939;3.36910000207356;74.915;3.2571052604085873;1835.662;563.586944;1.0;enero
T.HUEVOS UNDS.;16.16226167827185;3.36910000207356;74.915;0.20845473666614958;1835.662;8806.046;1.0;enero
TOTAL HUEVOS GALLINA;16.16226167827185;3.36910000207356;74.915;0.20845473666614958;1835.662;8806.046;2.0;enero
OTRAS AVES;0.0;0.0;0.0;;0.0;0.0;2.0;enero
MIEL;0.03018126007788;0.30760646418432;7.347;10.19196890356737;167.6001;16.44433;1.0;enero
GRANEL;0.01521025144077;0.15210251440779;3.743;10.000000000000002;82.87341;8.287341;2.0;enero
ENVASADA;0.01497101597854;0.15550402319091;3.9;10.38700535846972;84.72672999999999;8.156993;2.0;enero
TOTAL CARNE;2.9369865921494;24.54371425552694;93.696;8.356767552542644;13372.7;1600.224;1.0;enero
CARNE CERTIFICADA;0.5476351688648;5.84503690374569;61.08;10.673231443228659;3184.682;298.3803;2.0;enero
CARNE FRESCA;2.1481012867439;16.8556715736575;87.866;7.846776908367924;9183.852;1170.398;2.0;enero
SALCHICHAS FRESCAS;0.01577676456859;0.10605497376413;4.368;6.722225796233065;57.7843;8.596007;3.0;enero
CARNE VACUNO;0.51429439217625;6.09748144952003;66.16;11.85601387508498;3322.227;280.2145;3.0;enero
TERNERA;0.32305945845966;3.73026574860426;53.421;11.546684831300132;2032.444;176.0197;4.0;enero
AÑOJO;0.14602046282701;1.69136983049759;30.821;11.583101421211447;921.5468000000001;79.55959;4.0;enero
MAYOR;0.04521452595035;0.67584440213043;8.85;14.947506092897816;368.2354;24.635240000000003;4.0;enero
CARNE POLLO;0.84320974919818;4.41915331776366;66.45;5.2408707583917975;2407.786;459.4248;3.0;enero
POLLO ENTERO;0.19096073098192;0.78555192517331;19.859;4.113683065277273;428.0098;104.0454;4.0;enero
POLLO FILETES;0.11224259523311;0.76857301286855;27.324;6.8474273182326275;418.7588;61.15564;4.0;enero
POLLO POR PIEZAS;0.54000649639753;2.86502948093759;57.165;5.305546322221384;1561.018;294.2238;4.0;enero
CARNE CONEJO;0.03481974621762;0.26708025438873;8.835;7.67036763333864;145.5193;18.971619999999998;3.0;enero
CARNE OVINO/CAPRINO;0.03377311401235;0.39788945816252;4.368;11.781248777264288;216.791;18.40136;3.0;enero
CORDERO;0.01615082738752;0.2392888711976;3.479;14.815889332231494;130.3771;8.799816;4.0;enero
CABRITO;0.01762227928339;0.15860073379368;0.769;9.000012497995112;86.41398;9.601540000000002;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.01762227928339;0.15860073379368;0.769;9.000012497995112;86.41398;9.601540000000002;4.0;enero
OVINO/CAPRINO PIEZ;0.01615082738752;0.2392888711976;3.479;14.815889332231494;130.3771;8.799816;4.0;enero
CARNE CERDO;0.47973768970649;3.73104027038489;55.774;7.777250673524462;2032.866;261.38620000000003;3.0;enero
CARNE CERDO ADOBAD;0.10628674298322;0.87693705263319;23.197;8.250671984290262;477.8012;57.91058;4.0;enero
CARN.CERDO IBERICO;0.01939336465749;0.13163274801118;3.387;6.787514716292592;71.72041;10.56652;4.0;enero
CARNE DESPOJOS;0.04496845927943;0.35756330257093;8.989;7.951424360550947;194.81920000000002;24.50117;3.0;enero
DESPOJOS CERDO;0.02151524232527;0.14520626057032;5.329;6.7489948927842995;79.11597;11.722629999999999;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.00377833014763;0.0188931740867;0.888;5.000403180364435;10.293989999999999;2.0586320000000002;4.0;enero
DESPOJOS TERNERA;0.00568940390983;0.04835084361479;2.622;8.498402360087551;26.34407;3.099885;4.0;enero
DESPOJOS OT.PROCED;0.01398548106132;0.1451130059455;1.842;10.375975292459787;79.06516;7.620022;4.0;enero
OTRAS CARNES FRESCA;0.1972984114575;1.58546443854654;43.81;8.035870267957227;863.844;107.4985;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.10556087658744;0.84919577476104;29.801;8.04460707616036;462.68629999999996;57.515089999999994;4.0;enero
OTRAS AVES;0.0061219247696;0.06429147460079;1.651;10.501840029140666;35.029360000000004;3.335545;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.04894357302013;0.2690872201876;4.497;5.4979071527302255;146.6128;26.66702;2.0;enero
C.CONG.POLLO;0.03794393215464;0.18068679132985;4.484;4.761941661539415;98.44762;20.67384;3.0;enero
C.CONG.CERDO;0.00943180505657;0.06519219571231;0.627;6.911953260409101;35.520120000000006;5.138941;3.0;enero
C.CONG.VACA;0.00156783397355;0.02320819643824;0.839;14.80271306123118;12.645040000000002;0.854238;3.0;enero
RESTO CARNES CONG.;0.0;0.0;0.0;;0.0;0.0;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.73994103494868;7.41896427140826;88.538;10.026426324528362;4042.24;403.1586;2.0;enero
JAMON CURADO+PALETA;0.07111060662493;1.49514602212672;42.286;21.025640099130776;814.6338000000001;38.74478;3.0;enero
JAMON C.+P.ENTERO;0.00837820582599;0.12694924049875;3.251;15.152318185452643;69.16859;4.564885;4.0;enero
JAMON C.+P.LONCHA;0.06273239162213;1.36819676327437;41.025;21.810052636213868;745.4652;34.17989;4.0;enero
JAMON CURADO NORMAL;0.05683332540043;0.94171497096084;36.747;16.56976719778;513.0956;30.96577;3.0;enero
JAMON C.N.ENTER/PI;0.0044083614029;0.07326045517408;2.294;16.618522956352162;39.916129999999995;2.401906;4.0;enero
JAMON C.N.LONCHA;0.05242495665608;0.86845457084755;36.056;16.56567074618066;473.1795;28.563860000000002;4.0;enero
JAMON IBERICO;0.00815655494476;0.42006977977132;8.855;51.50088273983724;228.876;4.4441180000000005;3.0;enero
JAMON IBE.ENTER/PI;0.00092145333435;0.02320491114443;0.935;25.18294771897956;12.64325;0.502056;4.0;enero
JAMON IBE.LONCHA;0.00723509977505;0.3968647768589;8.137;54.85270268521974;216.23270000000002;3.9420610000000003;4.0;enero
PALETA CURADA NORM.;0.00158901035342;0.0268684542276;1.117;16.908923324277875;14.63934;0.865776;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00158901035342;0.0268684542276;1.117;16.908923324277875;14.63934;0.865776;4.0;enero
PALETA IBERICA;0.00453171225558;0.10649287222773;3.747;23.499477950390297;58.02289;2.4691140000000003;3.0;enero
PALETA IB.ENTER/PI;0.00304838925338;0.03048389253383;0.725;10.0;16.60922;1.660922;4.0;enero
PALETA IBE.LONCHA;0.0014833230022;0.0760089796939;3.024;51.24236567548305;41.413669999999996;0.808192;4.0;enero
HUESOS JAMON CURADO;0.0;0.0;0.0;;0.0;0.0;3.0;enero
LOMO EMBUCHADO N+IB;0.02396875113178;0.48460616476644;12.442;20.21824842278721;264.0388;13.05943;3.0;enero
LOMO EMB.AL CORTE;0.00102746737959;0.02032007446194;2.224;19.776856049644707;11.07144;0.559818;4.0;enero
LOMO EMB.ENVASADO;0.02294128008147;0.46428598018292;10.818;20.238015426081294;252.9673;12.49961;4.0;enero
LOMO EMB.NORMAL;0.02362508003362;0.47261043750099;11.472;20.004606834273606;257.5029;12.87218;4.0;enero
LOMO E.N.AL CORTE;0.00102746737959;0.02032007446194;2.224;19.776856049644707;11.07144;0.559818;5.0;enero
LOMO E.N.ENVASADO;0.02259762733691;0.45229043645343;9.872;20.014952442137457;246.4315;12.312370000000001;5.0;enero
LOMO EMB.IBERICO;0.00034366375672;0.01199568138145;0.806;34.90528502611538;6.535875;0.187246;4.0;enero
LOMO E.I.AL CORTE;0.0;0.0;0.0;;0.0;0.0;5.0;enero
LOMO E.I.ENVASADO;0.00034366375672;0.01199568138145;0.806;34.90528502611538;6.535875;0.187246;5.0;enero
OTRAS SALAZONES;0.02519991039824;0.16711259968763;8.283;6.631475947598839;91.05169000000001;13.730229999999999;3.0;enero
O.SALAZONES AL COR;0.00137203229791;0.01164595910246;1.473;8.48810856726261;6.345328;0.747555;4.0;enero
O.SALAZONES ENVASA;0.02382786892353;0.15546663691444;6.905;6.524571601989421;84.70636;12.98267;4.0;enero
TOCINO Y MANTECA;0.02432110348118;0.23848223062275;12.804;9.805567860325807;129.9376;13.25141;3.0;enero
TOCINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CHORIZOS;0.11929689189174;1.21710426564643;37.416;10.20231329036562;663.1421;64.99919;3.0;enero
CHOR.IBERICO;0.00232877409263;0.04252607275252;4.046;18.261141296209605;23.17043;1.268838;4.0;enero
CHOR.NORMAL;0.11696811412839;1.17457824795469;36.682;10.041867022541064;639.9716999999999;63.73035;4.0;enero
CHORIZO DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CHORIZO DE CERDO;0.11929689189174;1.21710426564643;37.416;10.20231329036562;663.1421;64.99919;4.0;enero
SALCHICHON/SALAMI;0.0128821527605;0.12205943855944;10.115;9.475080821402758;66.50437;7.018871;3.0;enero
SALCHICHON DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHON DE CERD;0.0128821527605;0.12205943855944;10.115;9.475080821402758;66.50437;7.018871;4.0;enero
FUET/LONGANIZAS;0.02040675849914;0.24931232096195;13.773;12.217144676476593;135.8384;11.11867;3.0;enero
FUET/LONGANIZ.PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
FUET/LONGANIZ.CERD;0.02040675849914;0.24931232096195;13.773;12.217144676476593;135.8384;11.11867;4.0;enero
OTROS PROD.CURADOS;0.01066731963152;0.1591391181992;8.814;14.918379095798882;86.70732000000001;5.812113999999999;3.0;enero
O.PROD.CURAD.CORTE;0.00236945116899;0.0351760812975;3.976;14.845666269816988;19.165770000000002;1.291001;4.0;enero
O.PROD.CURAD.ENVAS;0.00829786846253;0.1239630369017;5.944;14.939142197949927;67.54155;4.521113000000001;4.0;enero
SALCHICHAS;0.13058725372891;0.53566018116362;32.292;4.1019331203302505;291.8557;71.15077000000001;3.0;enero
JAMON COCIDO;0.07176832611618;0.76375097240825;43.339;10.641894742979721;416.1315;39.103139999999996;3.0;enero
J.COC.SIN/BAJO SAL;0.00039129684622;0.00519043385321;0.618;13.264696363491385;2.82802;0.213199;4.0;enero
PALETA COCIDA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
FIAMBRES;0.15857650704604;1.39752158946957;44.536;8.81291696672183;761.4429;86.40078;3.0;enero
PAVO;0.07621731137001;0.772505087425;35.822;10.135559409524076;420.9012;41.52718;4.0;enero
POLLO;0.0041285131019;0.04937871844423;5.332;11.960412193311194;26.90411;2.24943;4.0;enero
PROD.A BASE SANGRE;0.03710352096187;0.21114693430955;12.101;5.690751951183076;115.0439;20.21594;3.0;enero
MORCILLA;0.03710352096187;0.21114693430955;12.101;5.690751951183076;115.0439;20.21594;4.0;enero
FOIE-GRAS Y PATES;0.00786600833224;0.11308932006315;7.627;14.376964183924965;61.616980000000005;4.285813;3.0;enero
COCIDOS Y OTROS;0.02618592067362;0.26483230586524;16.209;10.113538078957292;144.2945;14.26746;3.0;enero
COCIDOS Y O. CORTE;0.0004741321342;0.00660756093821;0.715;13.936117089636591;3.600145;0.258332;4.0;enero
COCIDOS Y O.ENVASA;0.02571179221013;0.25822464398224;16.043;10.043043358152863;140.6943;14.009129999999999;4.0;enero
COCIDOS DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
COCIDOS DE CERDO;0.02571179221013;0.25822464398224;16.043;10.043043358152863;140.6943;14.009129999999999;4.0;enero
TOTAL PESCA;1.69601494228574;16.45271285208715;93.201;9.700806544731034;8964.299;924.0776999999999;1.0;enero
PESCADOS;1.0619943492374;9.89698430630554;68.346;9.319243848531213;5392.395;578.6301;2.0;enero
PESCADOS FRESCOS;0.92495556767258;8.73244676049609;62.775;9.440936479218166;4757.894;503.9642;3.0;enero
PESCADOS CONGELADOS;0.13703867144323;1.16453717873752;25.306;8.49787265501868;634.5008;74.66584;3.0;enero
MERLUZA/PESCAD;0.22787293405182;2.0892082656613;31.303;9.168303705547245;1138.31;124.1571;3.0;enero
MERLUZA/PESCAD.FRE;0.15567722608295;1.57539914258172;24.195;10.11965065296253;858.3599;84.8211;4.0;enero
MERLUZA/PESCAD.CON;0.07219578138326;0.51380912307957;17.653;7.116885685493505;279.95009999999996;39.336040000000004;4.0;enero
SARDINA/BOQUERON;0.2832044396953;1.7379395126137;42.971;6.136695860006766;946.9204;154.3046;3.0;enero
BOQUERONES FRESCOS;0.22718926257485;1.40115762051129;36.249;6.167358459776094;763.424;123.78460000000001;4.0;enero
SARDINAS FRESCAS;0.0520158549857;0.3228230641342;16.853;6.2062435429145655;175.8909;28.34096;4.0;enero
ATUN Y BONITO;0.04593886899761;0.59297112221091;12.503;12.907830235038894;323.0817;25.0299;3.0;enero
TRUCHA FRESCA;0.00532373602603;0.05158162724143;2.409;9.688990398703739;28.10437;2.90065;3.0;enero
LENGUADO;0.0060234081686;0.03552553377862;1.238;5.897912408421058;19.35617;3.281868;3.0;enero
LENGUADO FRESCO;0.0060234081686;0.03552553377862;1.238;5.897912408421058;19.35617;3.281868;4.0;enero
LENGUADO CONGELADO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
BACALAO;0.15530468477718;1.37085803479549;28.587;8.826894286944688;746.9151999999999;84.61811999999999;3.0;enero
BACALAO FRESCO;0.12932538889518;1.11104745652263;25.206;8.59110083498857;605.3568;70.46324;4.0;enero
BACALAO CONGELADO;0.0259792775284;0.25981057827286;6.822;10.000685276516139;141.5584;14.15487;4.0;enero
BACALADILLA;0.04550183315305;0.18211339804754;16.546;4.002331014554018;99.22491000000001;24.79178;4.0;enero
CABALLA FRESCA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
SALMON;0.06958463353472;1.17030479649967;16.594;16.818437305065366;637.6433000000001;37.91335;3.0;enero
SALMON FRESCO;0.06021165359092;0.94139727020201;14.782;15.63480180427879;512.9225;32.80646;4.0;enero
SALMON CONGELADO;0.00937296709627;0.22890752629766;1.805;24.422098567756496;124.7208;5.106883;4.0;enero
LUBINA;0.05778437207409;0.6312526871304;13.423;10.924280466713993;343.9395;31.48395;3.0;enero
DORADA;0.04907202984342;0.56151250686367;10.175;11.442618303243334;305.94140000000004;26.737009999999998;3.0;enero
RODABALLO;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RAPE;0.01022539622417;0.16804209923877;3.76;16.43379831498075;91.55813;5.571331;3.0;enero
OTROS PESCADOS;0.15165969718027;1.4877882487467;19.295;9.810043646455242;810.6249;82.63213999999999;3.0;enero
OTROS PESCADOS FRE;0.13161751452593;1.38878747987321;17.477;10.551692036393852;756.6841;71.71211;4.0;enero
OTROS PESCADOS CON;0.02004218265434;0.09900065875191;2.779;4.939614634758329;53.94074;10.92003;4.0;enero
PEZ ESPADA/EMPERDR;0.00976463101444;0.12642419915803;4.119;12.947155808658263;68.88252;5.320282;4.0;enero
MARISCO/MOLUSCO/CRUS;0.30485177285601;2.65567183877006;33.477;8.711354419527607;1446.949;166.09920000000002;2.0;enero
