Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;44.36272267438641;140.54844230975354;99.545;3.1681653838370396;915906.8977000001;289096.93363;0.0;enero
T.HUEVOS KGS;0.74714471038648;2.34398090445585;80.255;3.1372515549810163;15274.9347;4868.89063;1.0;enero
T.HUEVOS UNDS.;11.84949069867028;2.34398090445585;80.255;0.1978127975338965;15274.9347;77219.143;1.0;enero
TOTAL HUEVOS GALLINA;11.64166302592197;2.32597096719195;80.349;0.19979713912117344;15157.57;75864.8;2.0;enero
OTRAS AVES;0.20782767274831;0.0180099372639;2.644;0.08665803271401705;117.3647;1354.343;2.0;enero
MIEL;0.02542554194127;0.17256791112705;7.689;6.787187133539381;1124.567;165.68970000000002;1.0;enero
GRANEL;0.00435679242832;0.04112543203099;1.067;9.43938291933396;268.00059999999996;28.39175;2.0;enero
ENVASADA;0.02106875718558;0.13144243306023;6.64;6.238736908039447;856.5661;137.298;2.0;enero
TOTAL CARNE;3.2576916309401;27.42133320611064;97.226;8.417412177897697;178695.6;21229.28;1.0;enero
CARNE CERTIFICADA;0.46515705787021;4.71132201479683;48.004;10.128454325444896;30702.1;3031.272;2.0;enero
CARNE FRESCA;2.29789985361448;17.44018250742741;88.287;7.589618181138245;113651.8;14974.64;2.0;enero
SALCHICHAS FRESCAS;0.01526153232894;0.13119201349949;5.781;8.59625433880315;854.9341999999999;99.45427000000001;3.0;enero
CARNE VACUNO;0.38384382086875;4.65589641203596;56.709;12.12966357384181;30340.91;2501.381;3.0;enero
TERNERA;0.25036170905401;2.97965517679039;43.845;11.901401328697174;19417.41;1631.523;4.0;enero
AÑOJO;0.10482048132222;1.30012007802903;23.654;12.403301927534672;8472.445;683.0798000000001;4.0;enero
MAYOR;0.02866175325471;0.37612177102758;7.92;13.122776115087886;2451.059;186.779;4.0;enero
CARNE POLLO;0.97101454500444;5.33505377996742;74.781;5.4943088210310895;34766.75;6327.775;3.0;enero
POLLO ENTERO;0.15922166414092;0.61199262895085;16.31;3.843651755889105;3988.15;1037.594;4.0;enero
POLLO FILETES;0.16911783270054;1.25619422518068;37.242;7.427922916946439;8186.195;1102.084;4.0;enero
POLLO POR PIEZAS;0.64267504816297;3.46686769309969;63.253;5.3944333189990585;22592.41;4188.097;4.0;enero
CARNE CONEJO;0.03464958740752;0.28902397874586;8.362;8.34133969177107;1883.472;225.7997;3.0;enero
CARNE OVINO/CAPRINO;0.04870254573935;0.74320563478805;9.131;15.260098286554744;4843.221;317.37809999999996;3.0;enero
CORDERO;0.04612969536661;0.6974997299116;8.951;15.120406158509468;4545.371;300.6117;4.0;enero
CABRITO;0.00233248043331;0.04161692587933;0.365;17.84234726470215;271.2035;15.19999;4.0;enero
OTRO OVINO/CAPRINO;0.00024036564274;0.0040890449818;0.158;17.011769798171837;26.64693;1.5663820000000002;4.0;enero
OVINO/CAPRINO ENTE;0.01001539521683;0.1371644256498;0.914;13.695358263966945;893.8544;65.26696;4.0;enero
OVINO/CAPRINO PIEZ;0.03868714438441;0.60604127051935;8.503;15.665184912524678;3949.367;252.1111;4.0;enero
CARNE CERDO;0.60346280377555;4.54974699911256;66.608;7.539399231646326;29649.17;3932.564;3.0;enero
CARNE CERDO ADOBAD;0.11302860812927;0.92074127214833;28.567;8.146090510955247;6000.161;736.5694;4.0;enero
CARN.CERDO IBERICO;0.02925346710129;0.33662993570954;7.555;11.507351745482206;2193.704;190.635;4.0;enero
CARNE DESPOJOS;0.03708654001508;0.23056676323784;9.241;6.216993096257249;1502.526;241.6805;3.0;enero
DESPOJOS CERDO;0.01042426242599;0.06872986507157;4.932;6.593259289038753;447.8894;67.93141;4.0;enero
DESPOJOS CORDERO;0.00562454241367;0.03676950661077;1.394;6.5373329786581;239.6145;36.65325;4.0;enero
DESPOJOS POLLO;0.00540472133348;0.02254376047;1.679;4.171123556426254;146.9101;35.22075;4.0;enero
DESPOJOS TERNERA;0.01347855549123;0.08986026423127;3.141;6.666906130240936;585.5891;87.83521;4.0;enero
DESPOJOS OT.PROCED;0.00215445374711;0.01266336531969;0.377;5.877761514546096;82.52289;14.03985;4.0;enero
OTRAS CARNES FRESCA;0.21914067065063;1.63668111344887;44.019;7.468632402143879;10665.7;1428.066;3.0;enero
AVESTRUZ;0.00052209723938;0.00466709386;0.135;8.939127633634813;30.413880000000002;3.402332;4.0;enero
PAVO;0.12354750333847;0.9244345732011;28.61;7.482422130931201;6024.229;805.1175;4.0;enero
OTRAS AVES;0.01891621392534;0.13188549721719;7.691;6.972087423927522;859.4534;123.2706;2.0;enero
CARNE CABALLO;0.00059045062345;0.00898505353262;0.222;15.21728181116949;58.55257;3.847768;4.0;enero
CARNE CONGELADA;0.08812483626609;0.4538121417936;10.327;5.14965089323168;2957.341;574.2799;2.0;enero
C.CONG.POLLO;0.05959052552942;0.23915259867092;9.06;4.013265473768024;1558.477;388.33140000000003;3.0;enero
C.CONG.CERDO;0.02010648561164;0.13991340910167;2.022;6.9586208054510825;911.7686;131.0272;3.0;enero
C.CONG.VACA;0.00602918506832;0.05476624693722;0.979;9.083523945047835;356.89320000000004;39.290169999999996;3.0;enero
RESTO CARNES CONG.;0.00239863852218;0.01998002519126;1.178;8.3297358090783;130.2031;15.631120000000001;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.00015567828643;0.00147827121441;0.072;9.495680150773335;9.633396000000001;1.014503;3.0;enero
CARNE TRANSFORMADA;0.87166692571424;9.52734177939761;93.178;10.930025561760171;62086.48;5680.36;2.0;enero
JAMON CURADO+PALETA;0.11706949503107;2.43747434694812;51.209;20.82074708104902;15884.2;762.9025;3.0;enero
JAMON C.+P.ENTERO;0.02740037155895;0.37686325476893;6.612;13.75394687470248;2455.891;178.559;4.0;enero
JAMON C.+P.LONCHA;0.08966912347212;2.06061124563194;48.718;22.98016492011976;13428.31;584.3435;4.0;enero
JAMON CURADO NORMAL;0.0840455401382;1.3266825975127;43.886;15.785282542429977;8645.544;547.6965;3.0;enero
JAMON C.N.ENTER/PI;0.01899346204524;0.20620613742237;5.244;10.856690419635788;1343.776;123.774;4.0;enero
JAMON C.N.LONCHA;0.06505209343823;1.12047661354308;40.79;17.22429754865629;7301.769;423.9226;4.0;enero
JAMON IBERICO;0.02361464590821;0.84823837196935;11.474;35.92001232059274;5527.684;153.8887;3.0;enero
JAMON IBE.ENTER/PI;0.00826107721677;0.16817762763363;1.397;20.357832667653142;1095.957;53.83466000000001;4.0;enero
JAMON IBE.LONCHA;0.0153535778986;0.68006074433571;10.552;44.29330732073947;4431.727;100.0541;4.0;enero
PALETA CURADA NORM.;0.0055458456997;0.09899450914176;4.189;17.85020977902575;645.1139000000001;36.14041;3.0;enero
PALETA C.N.ENTR/PI;0.00014583935575;0.00247951886894;0.162;17.001712988196378;16.15819;0.950386;4.0;enero
PALETA C.N.LONCHA;0.00540000726466;0.09651500408356;4.053;17.873124859512767;628.9558000000001;35.19003;4.0;enero
PALETA IBERICA;0.0038634602159;0.16355839262074;3.113;42.33469053142826;1065.855;25.176869999999997;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.0038634602159;0.16355839262074;3.113;42.33469053142826;1065.855;25.176869999999997;4.0;enero
HUESOS JAMON CURADO;0.00850177401057;0.04381303437844;3.636;5.153399081641494;285.5148;55.4032;3.0;enero
LOMO EMBUCHADO N+IB;0.02705211051776;0.59733251942467;19.979;22.080810258126547;3892.615;176.2895;3.0;enero
LOMO EMB.AL CORTE;0.01105901670299;0.27558120997303;8.889;24.919142214375913;1795.87;72.06789;4.0;enero
LOMO EMB.ENVASADO;0.01599309228024;0.32175115599887;12.269;20.1181329014331;2096.744;104.22160000000001;4.0;enero
LOMO EMB.NORMAL;0.01820623403582;0.29755395737392;14.56;16.34352040012171;1939.059;118.64389999999999;4.0;enero
LOMO E.N.AL CORTE;0.0056708958892;0.09248673099872;4.605;16.309015860233387;602.7049000000001;36.95532;5.0;enero
LOMO E.N.ENVASADO;0.01253533354304;0.20506721102992;10.597;16.359134786943823;1336.354;81.68855;5.0;enero
LOMO EMB.IBERICO;0.00884587187835;0.29977856205075;6.216;33.88909156419132;1953.556;57.64557;4.0;enero
LOMO E.I.AL CORTE;0.00538811927926;0.18309446362903;4.619;33.981145208438235;1193.165;35.112559999999995;5.0;enero
LOMO E.I.ENVASADO;0.00345775259909;0.11668399100478;1.847;33.74561587644084;760.3903;22.533009999999997;5.0;enero
OTRAS SALAZONES;0.03702522029177;0.27496279534603;14.087;7.426364871815381;1791.84;241.2809;3.0;enero
O.SALAZONES AL COR;0.01662175755168;0.12288214751187;5.464;7.39284922967843;800.7816;108.3184;4.0;enero
O.SALAZONES ENVASA;0.02040344739481;0.15208057110778;9.372;7.453670360944146;991.0579;132.9624;4.0;enero
TOCINO Y MANTECA;0.03580889232664;0.23116906532493;18.412;6.455632953296379;1506.451;233.3545;3.0;enero
TOCINO;0.00267597830079;0.01531328734166;0.883;5.722500566277393;99.79154;17.43845;4.0;enero
CHORIZOS;0.06494769952489;0.70207998792319;34.53;10.809928497222513;4575.219;423.2423;3.0;enero
CHOR.IBERICO;0.01104565864014;0.16443322681144;7.536;14.886683734171482;1071.556;71.98084;4.0;enero
CHOR.NORMAL;0.05390203167758;0.53764676111175;30.141;9.974517553024613;3503.663;351.26140000000004;4.0;enero
CHORIZO DE PAVO;0.00061598009894;0.01054167220252;0.599;17.11365711417279;68.69653;4.0141350000000005;4.0;enero
CHORIZO DE CERDO;0.06362265027856;0.68141527185743;33.992;10.710262286683738;4440.554;414.60740000000004;4.0;enero
SALCHICHON/SALAMI;0.02723343030021;0.3326028749015;20.04;12.213036376063481;2167.461;177.4711;3.0;enero
SALCHICHON DE PAVO;0.00075775326344;0.01204885606545;0.651;15.900764334228494;78.51834;4.938023;4.0;enero
SALCHICHON DE CERD;0.02639525597412;0.31869146139645;19.391;12.073815904981716;2076.805;172.009;4.0;enero
FUET/LONGANIZAS;0.03590099467382;0.45844488064946;23.253;12.769698578400007;2987.531;233.9547;3.0;enero
FUET/LONGANIZ.PAVO;0.00141166427621;0.02390813965897;1.242;16.93613705590433;155.8013;9.199341;4.0;enero
FUET/LONGANIZ.CERD;0.03361635927687;0.42011683107117;21.847;12.4973923443338;2737.76;219.0665;4.0;enero
OTROS PROD.CURADOS;0.02432252349489;0.32707120977145;18.579;13.447256401666355;2131.413;158.5017;3.0;enero
O.PROD.CURAD.CORTE;0.00643985841647;0.08516307521577;4.986;13.224370740490189;554.9791;41.96639;4.0;enero
O.PROD.CURAD.ENVAS;0.01788266354389;0.24190814990095;14.821;13.527523419942282;1576.434;116.5353;4.0;enero
SALCHICHAS;0.12322166174567;0.49697395334472;32.477;4.033170355797135;3238.612;802.9941;3.0;enero
JAMON COCIDO;0.0992385757582;1.09732442822082;43.988;11.057438297930243;7150.894;646.7044000000001;3.0;enero
J.COC.SIN/BAJO SAL;0.00160772764649;0.02025711484188;1.971;12.599842321576173;132.00879999999998;10.47702;4.0;enero
PALETA COCIDA;0.00135990849623;0.01607997723354;0.615;11.824308236928047;104.7878;8.862066;3.0;enero
FIAMBRES;0.1973256726881;1.82508887892899;64.153;9.249120269382264;11893.49;1285.905;3.0;enero
PAVO;0.10418673676439;1.05330650371584;43.424;10.109794551851321;6864.044;678.9499000000001;4.0;enero
POLLO;0.00741521951093;0.09122290940405;5.383;12.302118537351864;594.469;48.322489999999995;4.0;enero
PROD.A BASE SANGRE;0.01393773372262;0.09390036852399;7.149;6.7371331948730955;611.9171;90.82752;3.0;enero
MORCILLA;0.0136362005817;0.09192768724497;7.091;6.741444341051285;599.0618000000001;88.86252999999999;4.0;enero
FOIE-GRAS Y PATES;0.01888601442196;0.20466792694569;17.79;10.837009989128473;1333.752;123.0738;3.0;enero
COCIDOS Y OTROS;0.03983520121614;0.388356866571;26.401;9.749087608814735;2530.791;259.5926;3.0;enero
COCIDOS Y O. CORTE;0.0039058438685;0.04383072748178;4.016;11.22183296553225;285.63009999999997;25.45307;4.0;enero
COCIDOS Y O.ENVASA;0.03592935274406;0.34452615443449;24.01;9.588988615761117;2245.161;234.1395;4.0;enero
COCIDOS DE PAVO;0.00113395559716;0.01520663153462;1.46;13.410253075704839;99.0965;7.389607;4.0;enero
COCIDOS DE CERDO;0.03755911313798;0.36098872009187;25.421;9.611215226664804;2352.442;244.7601;4.0;enero
TOTAL PESCA;1.33393124558605;14.17332360854264;89.308;10.625227990904175;92362.78;8692.781;1.0;enero
PESCADOS;0.77854626601438;7.65619251971415;70.441;9.833959591006172;49892.83;5073.524;2.0;enero
PESCADOS FRESCOS;0.62824573158941;6.18979179708348;54.75;9.852501156551947;40336.79;4094.066;3.0;enero
PESCADOS CONGELADOS;0.15030044235331;1.46639964846134;37.426;9.756455972459854;9556.033;979.4574;3.0;enero
MERLUZA/PESCAD;0.14905934711255;1.39531311726678;31.897;9.360789137317042;9092.786;971.3696;3.0;enero
MERLUZA/PESCAD.FRE;0.08598627255238;0.85853443842424;15.244;9.984552335388502;5594.78;560.3435999999999;4.0;enero
MERLUZA/PESCAD.CON;0.06307307456017;0.53677883229529;18.933;8.51042756419302;3498.007;411.026;4.0;enero
SARDINA/BOQUERON;0.08596469709418;0.48895911563548;19.933;5.68790599122104;3186.382;560.203;3.0;enero
BOQUERONES FRESCOS;0.05995253593799;0.35297065987465;14.616;5.887501743707615;2300.191;390.6905;4.0;enero
SARDINAS FRESCAS;0.02467478965314;0.12583464001542;7.899;5.099724933192287;820.022;160.79729999999998;4.0;enero
ATUN Y BONITO;0.02816321592464;0.3811541008732;10.712;13.533756297328722;2483.853;183.5302;3.0;enero
TRUCHA FRESCA;0.01828053586272;0.15472442407305;5.404;8.46388887256659;1008.287;119.1281;3.0;enero
LENGUADO;0.01725553280006;0.20572291467785;4.806;11.922142136177895;1340.627;112.4485;3.0;enero
LENGUADO FRESCO;0.01658474474572;0.19568372814494;4.656;11.799019589700697;1275.205;108.07719999999999;4.0;enero
LENGUADO CONGELADO;0.00067079250447;0.01003913589349;0.149;14.966082397367025;65.42166999999999;4.371328999999999;4.0;enero
BACALAO;0.08004834123747;0.66385613276964;18.036;8.293190371056658;4326.127;521.6481;3.0;enero
