Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.17434714062107;148.65597648912527;99.634;3.0230391481156267;404128.88542;133682.981139;0.0;enero
T.HUEVOS KGS;0.71702295128297;2.60066537000157;58.185;3.6270322523821386;7070.042;1949.263615;1.0;enero
T.HUEVOS UNDS.;11.40576176574069;2.60066537000157;58.185;0.22801329919174282;7070.042;31007.1475;1.0;enero
TOTAL HUEVOS GALLINA;11.16602469676976;2.5796942734495;57.533;0.2310306795394956;7013.031;30355.41;2.0;enero
OTRAS AVES;0.23973706897093;0.02097109655206;2.129;0.08747540229003242;57.011;651.7375;2.0;enero
MIEL;0.02137718049638;0.15305545754963;5.163;7.159758864154772;416.0891;58.114959999999996;1.0;enero
GRANEL;0.00210976198259;0.01821106394347;0.546;8.63180969876014;49.507709999999996;5.735496;2.0;enero
ENVASADA;0.01926742072084;0.13484436050028;4.61;6.998568332211074;366.5813;52.37947;2.0;enero
TOTAL CARNE;3.21271416685885;25.6262930158016;97.394;7.976524422917157;69666.39;8733.928;1.0;enero
CARNE CERTIFICADA;0.58306129808179;5.59777204825248;52.838;9.600657883945436;15217.83;1585.082;2.0;enero
CARNE FRESCA;2.4015313617393;17.62158452095362;89.204;7.337644971744697;47905.18;6528.686;2.0;enero
SALCHICHAS FRESCAS;0.0086051018188;0.0794385255102;4.752;9.23156136706876;215.95770000000002;23.39341;3.0;enero
CARNE VACUNO;0.35861351252735;4.19137220569101;47.057;11.687714096861534;11394.46;974.9091999999999;3.0;enero
TERNERA;0.32723643213742;3.78986422813386;44.266;11.581425097992488;10302.94;889.609;4.0;enero
AÑOJO;0.01771844125795;0.26013631681485;4.697;14.681670527766181;707.1939;48.16849;4.0;enero
MAYOR;0.01365862073983;0.14137173431089;3.016;10.350366775953457;384.3263;37.131660000000004;4.0;enero
CARNE POLLO;0.97364581028647;5.12504598991362;73.069;5.263768339336569;13932.7;2646.906;3.0;enero
POLLO ENTERO;0.31008597355781;1.24463978534337;22.276;4.013853871114609;3383.617;842.9846;4.0;enero
POLLO FILETES;0.09736700879236;0.75271453012254;21.334;7.7306937889785;2046.293;264.6972;4.0;enero
POLLO POR PIEZAS;0.56619312221068;3.12769277797667;60.257;5.524074128213874;8502.793;1539.225;4.0;enero
CARNE CONEJO;0.08118221162315;0.66316940818188;11.4;8.16890048845028;1802.86;220.698;3.0;enero
CARNE OVINO/CAPRINO;0.03578715364375;0.48855434208471;5.164;13.651668052397588;1328.16;97.28921000000001;3.0;enero
CORDERO;0.02856153659612;0.36315320997149;3.87;12.714764443757566;987.2506;77.646;4.0;enero
CABRITO;0.00722561704763;0.12540124246611;1.3;17.35509114854446;340.9097;19.64321;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.01265197426377;0.14233971313211;0.778;11.250395405849213;386.95779999999996;34.39504;4.0;enero
OVINO/CAPRINO PIEZ;0.02313517937997;0.34621470252119;4.382;14.964859223040865;941.2024;62.894169999999995;4.0;enero
CARNE CERDO;0.7400327752905;5.45973528881784;67.566;7.3776938956177425;14842.57;2011.817;3.0;enero
CARNE CERDO ADOBAD;0.04716479105429;0.38777970942609;15.501;8.221804883641308;1054.199;128.2199;4.0;enero
CARN.CERDO IBERICO;0.00821761601592;0.08442048057803;3.609;10.273110889386352;229.5014;22.34001;4.0;enero
CARNE DESPOJOS;0.03614789726145;0.23201744246971;7.676;6.418559862322047;630.7513;98.26991000000001;3.0;enero
DESPOJOS CERDO;0.01589889120728;0.10145414900915;3.726;6.38120908473588;275.8083;43.22195;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.00314899088694;0.01167348248997;1.257;3.707055024634104;31.734959999999997;8.560692999999999;4.0;enero
DESPOJOS TERNERA;0.01339826883024;0.09290102708289;3.179;6.933808259855898;252.55620000000002;36.42388;4.0;enero
DESPOJOS OT.PROCED;0.00370174376208;0.02598878020926;0.465;7.020685892811363;70.65183;10.063379999999999;4.0;enero
OTRAS CARNES FRESCA;0.17612160383617;1.46169252904863;41.177;8.299336919553982;3973.686;478.7956;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.09750436136384;0.78547756932022;26.336;8.055819845731666;2135.361;265.07059999999996;4.0;enero
