Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.25318756361679;147.380611555556;99.659;2.992306058672752;6821160.4692;2279566.43988;0.0;enero
T.HUEVOS KGS;0.75360422240541;2.43944023344752;78.149;3.23703100502957;112903.6792;34878.77596;1.0;enero
T.HUEVOS UNDS.;11.94183747688332;2.43944023344752;78.149;0.20427679058350362;112903.6792;552699.496;1.0;enero
TOTAL HUEVOS GALLINA;11.74418236364041;2.42136262147393;77.897;0.20617549579018732;112067.0;543551.5;2.0;enero
OTRAS AVES;0.1976551132429;0.01807761197359;2.285;0.09146038104957632;836.6791999999999;9147.996;2.0;enero
MIEL;0.02690532791122;0.20426260470782;8.149;7.59190169998129;9453.808;1245.249;1.0;enero
GRANEL;0.00789881860345;0.07914388163672;2.15;10.019711251771168;3662.986;365.578;2.0;enero
ENVASADA;0.01900651578969;0.12511872307109;6.193;6.582938422567611;5790.822;879.6713000000001;2.0;enero
TOTAL CARNE;3.38760442954266;27.92154096391962;97.484;8.242267225895992;1292282.0;156787.2;1.0;enero
CARNE CERTIFICADA;0.46097371237322;4.51106508986188;48.681;9.785948675115666;208783.9;21335.07;2.0;enero
CARNE FRESCA;2.42445233436774;18.09325931679429;91.022;7.462823277782729;837403.4;112210.0;2.0;enero
SALCHICHAS FRESCAS;0.02589034642242;0.23060990454276;8.618;8.907177245919753;10673.23;1198.273;3.0;enero
CARNE VACUNO;0.31300260848413;3.79648363795168;50.167;12.129239613490556;175711.2;14486.58;3.0;enero
TERNERA;0.23619817966762;2.84022613987057;41.549;12.024758801559111;131453.1;10931.87;4.0;enero
AÑOJO;0.05993701633129;0.72673958017927;15.025;12.12505434308493;33635.41;2774.042;4.0;enero
MAYOR;0.01686756805118;0.22951683758264;4.693;13.606990461590174;10622.64;780.6751999999999;4.0;enero
CARNE POLLO;1.01583774980189;5.61532631747172;76.908;5.527778740814491;259892.0;47015.63;3.0;enero
POLLO ENTERO;0.22873943989089;0.89102458421152;20.733;3.8953692666053312;41238.95;10586.66;4.0;enero
POLLO FILETES;0.14588628230281;1.11676397770167;33.092;7.655030754595788;51686.76;6751.999;4.0;enero
POLLO POR PIEZAS;0.64121200600179;3.60753797162236;65.967;5.626123556414283;166966.3;29676.97;4.0;enero
CARNE CONEJO;0.05593620544233;0.4732044380921;11.478;8.459716463605414;21901.14;2588.874;3.0;enero
CARNE OVINO/CAPRINO;0.06052103688737;0.82544272724238;10.943;13.638938949088063;38203.65;2801.072;3.0;enero
CORDERO;0.05380222933274;0.73017996468334;9.845;13.57155593251377;33794.64;2490.108;4.0;enero
CABRITO;0.00587074186314;0.08476875797586;0.913;14.439190131657154;3923.32;271.7133;4.0;enero
OTRO OVINO/CAPRINO;0.00084806353083;0.01049404131403;0.272;12.374121669477665;485.6917;39.2506;4.0;enero
OVINO/CAPRINO ENTE;0.01852156914622;0.19251255621095;1.051;10.3939657969123;8909.985;857.2266999999999;4.0;enero
OVINO/CAPRINO PIEZ;0.04199946125923;0.63293027906334;10.118;15.069961853954403;29293.67;1943.845;4.0;enero
CARNE CERDO;0.71956582860582;5.39708239461088;71.439;7.500470672805381;249791.1;33303.39;3.0;enero
CARNE CERDO ADOBAD;0.0725535456406;0.59482720503981;19.859;8.198458115145826;27530.16;3357.968;4.0;enero
CARN.CERDO IBERICO;0.01991146892926;0.22513398261404;5.213;11.306749060745053;10419.79;921.5549;4.0;enero
CARNE DESPOJOS;0.04863584045938;0.29780446200416;11.044;6.123148262500921;13783.17;2250.994;3.0;enero
DESPOJOS CERDO;0.02129635603125;0.14071434058879;6.091;6.60743745936062;6512.628;985.6510999999999;4.0;enero
DESPOJOS CORDERO;0.00354184376145;0.02329075274038;1.261;6.575883723001506;1077.957;163.92579999999998;4.0;enero
DESPOJOS POLLO;0.01191484254729;0.05122294565154;3.352;4.299087079683185;2370.732;551.4501;4.0;enero
DESPOJOS TERNERA;0.00988662104422;0.06921885956644;2.718;7.0012655746432255;3203.63;457.5787;4.0;enero
DESPOJOS OT.PROCED;0.00199617469845;0.01335764772189;0.593;6.6916225980831525;618.2269;92.38819000000001;4.0;enero
OTRAS CARNES FRESCA;0.21095274059104;1.68791728399589;43.701;8.001400120551711;78121.23;9763.445;3.0;enero
