Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;43.05416067610451;130.63588478707692;99.602;3.034222075999757;1122906.55457;370080.543363;0.0;enero
T.HUEVOS KGS;0.64260383395675;2.07556432738321;81.188;3.2299283286300837;17840.923199999997;5523.6282;1.0;enero
T.HUEVOS UNDS.;10.27312716681;2.07556432738321;81.188;0.2020382200746882;17840.923199999997;88304.694;1.0;enero
TOTAL HUEVOS GALLINA;9.99764004238245;2.04847947490966;80.846;0.20489630214987337;17608.11;85936.69;2.0;enero
OTRAS AVES;0.27548712442755;0.02708485247354;3.675;0.09831621906044079;232.81320000000002;2368.004;2.0;enero
MIEL;0.03156889810031;0.22888857931188;9.378;7.250445631156334;1967.457;271.3567;1.0;enero
GRANEL;0.01149600942169;0.10112850005791;3.345;8.79683517543982;869.27;98.81622;2.0;enero
ENVASADA;0.02007287937164;0.12776007925397;6.564;6.3648107921391155;1098.187;172.5404;2.0;enero
TOTAL CARNE;3.23368753311366;25.75558280858771;97.961;7.964771656149491;221387.2;27795.8;1.0;enero
CARNE CERTIFICADA;0.46915482744606;4.13781194610396;47.452;8.819715164456284;35567.38;4032.713;2.0;enero
CARNE FRESCA;2.20580120388146;15.21981191945698;90.375;6.89990190080378;130824.9;18960.4;2.0;enero
SALCHICHAS FRESCAS;0.01302852960706;0.11751111464044;4.812;9.019522400800792;1010.09;111.9893;3.0;enero
CARNE VACUNO;0.19889601634015;2.27448091215298;44.695;11.435527739595823;19550.75;1709.65;3.0;enero
TERNERA;0.13416595843844;1.48357942197305;32.924;11.057793193149793;12752.4;1153.25;4.0;enero
AÑOJO;0.0538910422805;0.66991852234401;16.635;12.430980994151733;5758.417;463.23109999999997;4.0;enero
MAYOR;0.01083902492818;0.12098366585954;3.253;11.161858807512974;1039.939;93.16897999999999;4.0;enero
CARNE POLLO;0.93951746844557;5.01640032798457;76.378;5.339336943126929;43119.46;8075.808;3.0;enero
POLLO ENTERO;0.1992506123439;0.75299764372961;21.549;3.7791484546604246;6472.54;1712.698;4.0;enero
POLLO FILETES;0.13063337718721;0.97103416601214;32.247;7.433277673136608;8346.716;1122.885;4.0;enero
POLLO POR PIEZAS;0.60963347891446;3.29236805289372;66.63;5.400569632029159;28300.2;5240.225;4.0;enero
CARNE CONEJO;0.02767115742108;0.24416319771997;8.279;8.823743582693337;2098.753;237.8529;3.0;enero
CARNE OVINO/CAPRINO;0.03737779257573;0.48359088680068;5.23;12.937919911157646;4156.801;321.2882;3.0;enero
CORDERO;0.0301394504108;0.37343473080618;4.618;12.390230270166782;3209.932;259.0696;4.0;enero
CABRITO;0.00336171204698;0.04760653777146;0.246;14.161396665173973;409.2114;28.896259999999998;4.0;enero
OTRO OVINO/CAPRINO;0.00387663360805;0.06254961822303;0.383;16.13503481294998;537.6576;33.32237;4.0;enero
OVINO/CAPRINO ENTE;0.00977741591404;0.12477463219093;0.373;12.761514216828363;1072.525;84.04371;4.0;enero
OVINO/CAPRINO PIEZ;0.02760037782505;0.35881637094702;4.866;13.000415183492137;3084.277;237.2445;4.0;enero
CARNE CERDO;0.74210952214607;5.46002575554543;73.632;7.357439289763879;46932.73;6378.949;3.0;enero
CARNE CERDO ADOBAD;0.05442906726033;0.41855346582748;16.439;7.689888636626927;3597.759;467.8558;4.0;enero
