Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;51.64165082851644;164.5535430779628;99.576;3.1864500928598614;231933.08107;72787.294422;0.0;enero
T.HUEVOS KGS;0.75206884784865;2.37352668268568;83.805;3.1559965413742743;3345.41175;1060.017559;1.0;enero
T.HUEVOS UNDS.;11.9095138374394;2.37352668268568;83.805;0.19929668961163968;3345.41175;16786.0879;1.0;enero
TOTAL HUEVOS GALLINA;11.72173536063445;2.35185273679615;83.268;0.20064032026302825;3314.863;16521.42;2.0;enero
OTRAS AVES;0.18777847680495;0.02167394588952;1.69;0.11542295079985142;30.54875;264.66790000000003;2.0;enero
MIEL;0.04245976994148;0.33860111545323;10.636;7.974633774980066;477.2477;59.84572;1.0;enero
GRANEL;0.02145577149285;0.17164622870178;5.995;8.00000264539417;241.93;30.24124;2.0;enero
ENVASADA;0.02100399844863;0.16695488675145;8.084;7.948719247897616;235.3177;29.60448;2.0;enero
TOTAL CARNE;4.06231063397605;31.90632580317134;96.669;7.85423092372985;44970.97;5725.7;1.0;enero
CARNE CERTIFICADA;0.46764256922771;4.27682762434157;53.476;9.145505361935989;6028.055;659.1276;2.0;enero
CARNE FRESCA;2.8742431665466;19.80465297330159;92.705;6.890388817414092;27914.04;4051.156;2.0;enero
SALCHICHAS FRESCAS;0.03069914049471;0.30254753211838;11.869;9.855244389347872;426.43129999999996;43.26948;3.0;enero
CARNE VACUNO;0.20187861178346;2.45117597283406;40.104;12.141830930872676;3454.856;284.54159999999996;3.0;enero
TERNERA;0.14822499330812;1.79988023989521;32.956;12.142893042023564;2536.875;208.9185;4.0;enero
AÑOJO;0.03585998557341;0.46367859351416;11.669;12.930250419786667;653.5405;50.54353;4.0;enero
MAYOR;0.01779362580705;0.18761735227083;6.42;10.544076530848226;264.44079999999997;25.07956;4.0;enero
CARNE POLLO;1.42948892040233;7.24621940447461;83.358;5.069097983939012;10213.32;2014.82;3.0;enero
POLLO ENTERO;0.53140006530221;2.06895821186542;34.368;3.8934097809882564;2916.132;748.9918;4.0;enero
POLLO FILETES;0.14647603650916;1.12010427336587;33.595;7.647013805536746;1578.752;206.4534;4.0;enero
POLLO POR PIEZAS;0.75161296048839;4.057155500269;69.343;5.3979317994100295;5718.434;1059.375;4.0;enero
CARNE CONEJO;0.07216747307833;0.57254769549961;14.419;7.933597659406712;806.9881;101.7178;3.0;enero
CARNE OVINO/CAPRINO;0.0698579220945;1.01383019161808;11.264;14.512744742773295;1428.962;98.46256;3.0;enero
CORDERO;0.04563792477111;0.73721391856922;10.259;16.153537266792515;1039.08;64.32523;4.0;enero
CABRITO;0.02206249653289;0.24425337097339;3.666;11.070976061537669;344.2675;31.096400000000003;4.0;enero
OTRO OVINO/CAPRINO;0.00215750362845;0.03236318587033;0.636;15.000292673237892;45.6149;3.040934;4.0;enero
OVINO/CAPRINO ENTE;0.00998933089712;0.10189001868659;0.801;10.19988423007674;143.61079999999998;14.079649999999999;4.0;enero
OVINO/CAPRINO PIEZ;0.05986859119738;0.91194074052122;10.466;15.23237347467633;1285.352;84.38291000000001;4.0;enero
CARNE CERDO;0.85635809740563;6.58555702204492;78.981;7.690190636365896;9282.137;1207.01;3.0;enero
CARNE CERDO ADOBAD;0.03627762519034;0.30268375365317;13.048;8.343538257121054;426.6233;51.13218;4.0;enero
CARN.CERDO IBERICO;0.00942938944043;0.10436882492739;3.136;11.068460538899043;147.1046;13.29043;4.0;enero
CARNE DESPOJOS;0.03431941224831;0.25988940375661;9.111;7.572664761162106;366.306;48.37214;3.0;enero
DESPOJOS CERDO;0.02691399101993;0.23055005216366;5.798;8.566178534908788;324.95309999999995;37.93443;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.00740542122838;0.02933934449807;3.925;3.961873820981806;41.35289;10.43771;4.0;enero
DESPOJOS TERNERA;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.21017294238016;1.67543477299672;45.167;7.9716958521052055;2361.473;296.23220000000003;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.08177705097288;0.6665389936301;22.507;8.150685133547686;939.4659;115.26219999999999;4.0;enero
OTRAS AVES;0.0128096629723;0.09320078753643;5.234;7.275818867205546;131.36360000000002;18.05482;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.11717215927423;0.4873660994391;12.154;4.159401878892283;686.9273000000001;165.1505;2.0;enero
C.CONG.POLLO;0.10784304165416;0.39842301530059;10.209;3.694471235133361;561.5648;152.0014;3.0;enero
C.CONG.CERDO;0.00585519958739;0.05585908769274;1.944;9.540082598212154;78.73164;8.252721;3.0;enero
C.CONG.VACA;0.00063136340065;0.00840164762457;0.444;13.307150233681355;11.84186;0.889887;3.0;enero
RESTO CARNES CONG.;0.00284251631971;0.02468232753655;0.753;8.683266782114186;34.78897;4.006438;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;1.07089566289879;11.61430481481531;91.861;10.845412132286203;16370.0;1509.394;2.0;enero
JAMON CURADO+PALETA;0.20487215095909;3.20108048824034;57.01;15.62477122075738;4511.823;288.76090000000005;3.0;enero
JAMON C.+P.ENTERO;0.10514124359886;1.13397190940193;12.077;10.785224433223364;1598.298;148.1933;4.0;enero
JAMON C.+P.LONCHA;0.09973090736023;2.06710928832557;50.854;20.7268673577695;2913.526;140.5676;4.0;enero
JAMON CURADO NORMAL;0.17953494548892;2.53519628031052;54.194;14.12090706578847;3573.28;253.0489;3.0;enero
JAMON C.N.ENTER/PI;0.09279893400881;0.98586362673168;11.642;10.623652494090088;1389.544;130.7972;4.0;enero
JAMON C.N.LONCHA;0.0867360114801;1.54933336306599;47.933;17.862630949099277;2183.737;122.2517;4.0;enero
JAMON IBERICO;0.01814610612318;0.45396152831481;4.942;25.017021571082996;639.8446;25.57637;3.0;enero
JAMON IBE.ENTER/PI;0.01234233796952;0.14810806982409;0.424;12.000001149680333;208.7537;17.39614;4.0;enero
JAMON IBE.LONCHA;0.00580377028211;0.30585352943943;4.535;52.699110159820634;431.091;8.180233;4.0;enero
PALETA CURADA NORM.;0.00516894742206;0.08414028175527;1.774;16.27803010649965;118.5931;7.28547;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00516894742206;0.08414028175527;1.774;16.27803010649965;118.5931;7.28547;4.0;enero
PALETA IBERICA;0.00202216114825;0.12778232691101;1.053;63.190971214729785;180.10520000000002;2.850173;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.00202216114825;0.12778232691101;1.053;63.190971214729785;180.10520000000002;2.850173;4.0;enero
HUESOS JAMON CURADO;0.00821924557052;0.03655713475203;7.471;4.447748207344643;51.52614;11.58477;3.0;enero
LOMO EMBUCHADO N+IB;0.03611953726128;0.78457999088089;24.1;21.721761970686725;1105.841;50.90936;3.0;enero
LOMO EMB.AL CORTE;0.01957324664108;0.43662818939791;7.547;22.30739730635337;615.4138;27.587880000000002;4.0;enero
LOMO EMB.ENVASADO;0.01654629771506;0.34795173053426;17.744;21.028977994116154;490.4271;23.32149;4.0;enero
LOMO EMB.NORMAL;0.02556346802047;0.54801561605899;23.25;21.43745189893899;772.4109;36.030910000000006;4.0;enero
LOMO E.N.AL CORTE;0.0103164896165;0.25149311985496;7.139;24.377780543946436;354.4717;14.54077;5.0;enero
LOMO E.N.ENVASADO;0.0152469713091;0.29652256715275;17.018;19.447965182155716;417.9393;21.49013;5.0;enero
LOMO EMB.IBERICO;0.01055607633567;0.23656430387317;3.264;22.410249447859524;333.43;14.878459999999999;4.0;enero
LOMO E.I.AL CORTE;0.00925674992971;0.18513506954294;0.424;20.00000766453848;260.9421;13.0471;5.0;enero
LOMO E.I.ENVASADO;0.00129932356801;0.05142922723535;2.841;39.58153958050755;72.48789;1.831356;5.0;enero
OTRAS SALAZONES;0.04269912252989;0.35502148629221;12.859;8.314491381963169;500.3917;60.183080000000004;3.0;enero
O.SALAZONES AL COR;0.01714144392465;0.1460248736239;7.39;8.518819900224871;205.8175;24.160330000000002;4.0;enero
O.SALAZONES ENVASA;0.02555767860524;0.20899668361703;6.791;8.177451749241797;294.5743;36.02275;4.0;enero
TOCINO Y MANTECA;0.05668100728339;0.46942302725659;29.791;8.28183989232209;661.6371;79.89011;3.0;enero
TOCINO;0.01914018986815;0.17782458479148;8.468;9.290638495042165;250.6382;26.9775;4.0;enero
CHORIZOS;0.07835405921909;1.00321200677639;38.191;12.80357414503756;1413.996;110.4376;3.0;enero
CHOR.IBERICO;0.01879271853137;0.31324879790655;6.574;16.668626062991386;441.5144;26.48775;4.0;enero
CHOR.NORMAL;0.0595613194031;0.6899634926647;34.356;11.584086779459444;972.482;83.94982;4.0;enero
CHORIZO DE PAVO;0.00087750152427;0.01282754914361;1.299;14.618264229538708;18.080029999999997;1.2368109999999999;4.0;enero
CHORIZO DE CERDO;0.07693856138549;0.98601971390696;37.642;12.815676510593171;1389.764;108.4425;4.0;enero
SALCHICHON/SALAMI;0.0475574706629;0.5478032665519;30.934;11.51876369613537;772.1116;67.03077;3.0;enero
SALCHICHON DE PAVO;0.00337337589769;0.05070468475747;4.014;15.030843373291258;71.46667;4.754668;4.0;enero
