Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.51517725373086;149.79728201587298;99.582;3.220395811860701;6933010.3037;2152844.15604;0.0;enero
T.HUEVOS KGS;0.72187516428755;2.33900206783176;79.365;3.2401752872883667;108255.138;33410.2721;1.0;enero
T.HUEVOS UNDS.;11.46609545543089;2.33900206783176;79.365;0.20399290036643677;108255.138;530680.91;1.0;enero
TOTAL HUEVOS GALLINA;11.24470758765271;2.31309519252568;79.092;0.2057052328390989;107056.1;520434.5;2.0;enero
OTRAS AVES;0.22138786777817;0.02590687530608;2.503;0.11702030272066022;1199.038;10246.41;2.0;enero
MIEL;0.0323459450087;0.24391057839102;8.559;7.540684877977094;11288.82;1497.055;1.0;enero
GRANEL;0.01087804293205;0.09542128859752;2.402;8.771916896590284;4416.347;503.4643;2.0;enero
ENVASADA;0.02146789559473;0.14848924658073;6.65;6.91680495302692;6872.471;993.5904;2.0;enero
TOTAL CARNE;3.6288332235674;30.41184955633168;97.509;8.380613735242054;1407540.0;167951.9;1.0;enero
CARNE CERTIFICADA;0.55388591643074;5.42822799696353;48.273;9.800263620969375;251232.6;25635.29;2.0;enero
CARNE FRESCA;2.61088085697588;19.48608028294064;91.069;7.463412292781103;901866.8;120838.4;2.0;enero
SALCHICHAS FRESCAS;0.02441002824414;0.22257881165724;8.437;9.118334867582496;10301.53;1129.76;3.0;enero
CARNE VACUNO;0.33915540765146;4.07226968234258;52.209;12.007090526852265;188475.3;15697.0;3.0;enero
TERNERA;0.24365951221042;2.89174008030012;42.368;11.867954811478025;133837.3;11277.2;4.0;enero
AÑOJO;0.07505489509517;0.9363282017245;16.919;12.475244959534933;43335.72;3473.737;4.0;enero
MAYOR;0.02044108893203;0.24420226457331;5.43;11.946636766039111;11302.32;946.0671;4.0;enero
CARNE POLLO;1.03153046640871;5.59214698885297;76.971;5.42121359567994;258819.2;47741.93;3.0;enero
POLLO ENTERO;0.23899879914522;0.9536420453133;20.692;3.990154129326158;44137.05;11061.49;4.0;enero
POLLO FILETES;0.13835196339529;1.03995522760839;31.329;7.516736315747636;48131.85;6403.291;4.0;enero
POLLO POR PIEZAS;0.65417972547457;3.59854971593127;67.0;5.5008579076960675;166550.3;30277.15;4.0;enero
CARNE CONEJO;0.04818558502586;0.41958776438405;11.088;8.707744528967716;19419.62;2230.155;3.0;enero
CARNE OVINO/CAPRINO;0.06295761040309;0.9674193559898;9.972;15.36620195391447;44774.7;2913.843;3.0;enero
CORDERO;0.05134281786927;0.78972413374305;9.097;15.381394448465668;36550.5;2376.28;4.0;enero
CABRITO;0.00742849948186;0.12578186620492;0.905;16.932338288777768;5821.514;343.8104;4.0;enero
OTRO OVINO/CAPRINO;0.00418629737323;0.05191316158436;0.392;12.400734337774734;2402.677;193.75279999999998;4.0;enero
OVINO/CAPRINO ENTE;0.0146255751467;0.21438279724362;0.686;14.658076355509056;9922.197;676.9099;4.0;enero
OVINO/CAPRINO PIEZ;0.04833205470213;0.75303649392702;9.416;15.58047756438053;34852.5;2236.934;4.0;enero
CARNE CERDO;0.82630503802275;6.2251189682372;72.6;7.533681487811282;288114.8;38243.56;3.0;enero
CARNE CERDO ADOBAD;0.08165082714471;0.65973753559818;20.532;8.079985943423337;30534.38;3779.014;4.0;enero
CARN.CERDO IBERICO;0.02393989493745;0.2740052462321;5.032;11.44554923686892;12681.68;1108.001;4.0;enero
CARNE DESPOJOS;0.06373105412658;0.38299497659322;13.203;6.009550318004909;17726.01;2949.64;3.0;enero
DESPOJOS CERDO;0.02938122504559;0.1868371857527;7.215;6.359067243205083;8647.314;1359.84;4.0;enero
DESPOJOS CORDERO;0.0030646710949;0.02257694263637;1.084;7.3668403353050245;1044.92;141.841;4.0;enero
DESPOJOS POLLO;0.01649365445379;0.07532730838304;4.403;4.567047805813567;3486.345;763.3695;4.0;enero
DESPOJOS TERNERA;0.01203365389157;0.08152267968196;3.903;6.774557454991391;3773.083;556.949;4.0;enero
DESPOJOS OT.PROCED;0.00275784099816;0.01673093576148;0.816;6.066678888531111;774.3515;127.6401;4.0;enero
OTRAS CARNES FRESCA;0.23901478786928;1.82653930558321;45.046;7.641951035189108;84537.02;11062.23;3.0;enero
AVESTRUZ;0.00055933655889;0.00719455852111;0.119;12.862664538488756;332.983;25.88756;4.0;enero
PAVO;0.1067241065546;0.82247163339603;25.308;7.706521609297838;38066.14;4939.471;4.0;enero
OTRAS AVES;0.02289699800068;0.15722881279345;7.887;6.866787200172119;7276.961;1059.733;2.0;enero
CARNE CABALLO;0.00305500223811;0.04291179081826;0.897;14.046402415952643;1986.07;141.3935;4.0;enero
CARNE CONGELADA;0.09312241256622;0.4755353347843;12.556;5.1065615857635445;22009.02;4309.949;2.0;enero
C.CONG.POLLO;0.06758721027551;0.26473697180602;8.699;3.916968472686249;12252.72;3128.113;3.0;enero
