Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.47487423900419;132.86323430289346;99.322;2.8588185869987264;1142057.51695;399485.830316;0.0;enero
T.HUEVOS KGS;0.67308814636496;2.1310430425614;78.307;3.166068298885009;18317.8871;5785.689179999999;1.0;enero
T.HUEVOS UNDS.;10.78952555769316;2.1310430425614;78.307;0.19751035679617293;18317.8871;92743.932;1.0;enero
TOTAL HUEVOS GALLINA;10.46653501459329;2.09940909695702;77.763;0.2005830099483603;18045.97;89967.59;2.0;enero
OTRAS AVES;0.32299054309986;0.03163394560437;3.774;0.09794077963017524;271.9171;2776.342;2.0;enero
MIEL;0.01872068517264;0.14001509083124;5.751;7.479164867096988;1203.533;160.9181;1.0;enero
GRANEL;0.00319045448328;0.03530169361679;0.937;11.064785221578955;303.4441;27.424310000000002;2.0;enero
ENVASADA;0.01553023185272;0.10471339721444;4.907;6.742552088561417;900.0889;133.4938;2.0;enero
TOTAL CARNE;3.268073184604;25.88247882945072;97.67;7.919797803606073;222479.0;28091.5;1.0;enero
CARNE CERTIFICADA;0.44107441571935;3.96481617319689;49.001;8.988996033085751;34080.52;3791.36;2.0;enero
CARNE FRESCA;2.2482561231408;15.86970242399177;90.735;7.05867194606896;136411.8;19325.42;2.0;enero
SALCHICHAS FRESCAS;0.01671722711854;0.14375938841046;6.007;8.599475701981046;1235.718;143.6969;3.0;enero
CARNE VACUNO;0.22673493068816;2.70966387211773;46.398;11.950800275429796;23291.56;1948.954;3.0;enero
TERNERA;0.1654952772565;1.97090238423448;37.245;11.909115576631889;16941.36;1422.554;4.0;enero
AÑOJO;0.04925089770717;0.60535920932472;15.792;12.29133350876041;5203.509;423.3478;4.0;enero
MAYOR;0.01198876735816;0.1334026275687;3.037;11.127301379978903;1146.694;103.0523;4.0;enero
CARNE POLLO;1.00911268647924;5.47131164761579;78.637;5.421903540530233;47029.96;8674.068;3.0;enero
POLLO ENTERO;0.18543888247647;0.6675016357629;19.319;3.5995775365373808;5737.669;1593.984;4.0;enero
POLLO FILETES;0.13588758007117;1.02925173740165;33.321;7.574288517482924;8847.178;1168.054;4.0;enero
POLLO POR PIEZAS;0.68778622393159;3.77455792544105;72.467;5.487981285615939;32445.11;5912.03;4.0;enero
CARNE CONEJO;0.02826842877669;0.23730342437423;6.443;8.394645003045419;2039.798;242.988;3.0;enero
CARNE OVINO/CAPRINO;0.02912835496642;0.4015562253795;6.563;13.785750202592302;3451.672;250.3797;3.0;enero
CORDERO;0.02692919526907;0.34940735651938;5.827;12.975038913271037;3003.414;231.47629999999998;4.0;enero
CABRITO;0.00219915504387;0.05214888049379;0.756;23.713144118294313;448.25809999999996;18.90336;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
