Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.60502940739332;167.28025848143108;99.323;3.3722439131645587;97753.615395;28987.706083;0.0;enero
T.HUEVOS KGS;1.01843063478357;3.21224714740903;83.206;3.1541148092934996;1877.14184;595.1406189999999;1.0;enero
T.HUEVOS UNDS.;16.06433394376376;3.21224714740903;83.206;0.19996142751103896;1877.14184;9387.519699999999;1.0;enero
TOTAL HUEVOS GALLINA;15.88494991381357;3.18833107925904;83.312;0.20071395229811004;1863.166;9282.693;2.0;enero
OTRAS AVES;0.17938402995018;0.02391606814999;1.712;0.13332328500277124;13.97584;104.8267;2.0;enero
MIEL;0.08753725113312;0.94729454391626;15.887;10.821616302248675;553.5708000000001;51.15417;1.0;enero
GRANEL;0.05681378709541;0.72291353200311;14.022;12.724262348310813;422.4492;33.20029;2.0;enero
ENVASADA;0.03072344692527;0.22438101191314;12.141;7.3032499399850845;131.1216;17.95387;2.0;enero
TOTAL CARNE;4.01054945215893;36.50757041779837;97.027;9.102884992016712;21333.94;2343.646;1.0;enero
CARNE CERTIFICADA;0.60684432107648;6.52864284523212;46.498;10.758348753517128;3815.145;354.6218;2.0;enero
CARNE FRESCA;3.05238303476883;24.89984504059593;88.697;8.157509970724137;14550.73;1783.722;2.0;enero
SALCHICHAS FRESCAS;0.04984719420629;0.54183451516824;12.526;10.869910007888986;316.632;29.12922;3.0;enero
CARNE VACUNO;0.43286645222283;5.14991604243785;48.157;11.897239936225635;3009.458;252.9543;3.0;enero
TERNERA;0.34707273595817;4.22992233826012;45.412;12.18742326902312;2471.841;202.819;4.0;enero
AÑOJO;0.04718311290194;0.54139455441301;10.194;11.474328867153796;316.3749;27.57241;4.0;enero
MAYOR;0.03861067181246;0.37859846526724;3.904;9.805539440134769;221.2417;22.56293;4.0;enero
CARNE POLLO;1.19982072320944;6.915539644573;77.371;5.763810801729071;4041.236;701.1396;3.0;enero
POLLO ENTERO;0.25470869950796;0.92068384876187;14.682;3.614654114839544;538.0203;148.8442;4.0;enero
POLLO FILETES;0.14262901369338;1.17785177659088;35.428;8.258149909968019;688.3016;83.34816000000001;4.0;enero
POLLO POR PIEZAS;0.80248311268272;4.81700555933957;67.327;6.002625454928518;2814.915;468.9473;4.0;enero
CARNE CONEJO;0.06808162524895;0.58465462402063;12.85;8.587553864684272;341.65479999999997;39.784879999999994;3.0;enero
CARNE OVINO/CAPRINO;0.11719731411088;1.84372476459592;17.712;15.73180049887109;1077.418;68.48663;3.0;enero
CORDERO;0.09158047507248;1.30835310350887;16.423;14.286376025820623;764.5627;53.51691;4.0;enero
CABRITO;0.02561683903839;0.53537148996267;1.331;20.899201855478932;312.8552;14.969719999999999;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.02561683903839;0.53537148996267;1.331;20.899201855478932;312.8552;14.969719999999999;4.0;enero
OVINO/CAPRINO PIEZ;0.09158047507248;1.30835310350887;16.423;14.286376025820623;764.5627;53.51691;4.0;enero
CARNE CERDO;0.82405008815619;6.93720570105669;65.509;8.418427230046948;4053.897;481.5504;3.0;enero
CARNE CERDO ADOBAD;0.04890417914062;0.38043257626473;16.648;7.779142456737053;222.3135;28.57815;4.0;enero
CARN.CERDO IBERICO;0.04309048535697;0.3603915167984;10.929;8.363598455966452;210.6021;25.180799999999998;4.0;enero
CARNE DESPOJOS;0.02174256618951;0.16161986578868;5.106;7.433339026311793;94.44585000000001;12.70571;3.0;enero
DESPOJOS CERDO;0.01748372554397;0.12055912080896;4.614;6.89550522317282;70.45117;10.21697;4.0;enero
