Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;53.40955856367954;139.2109523627644;98.902;2.606480115292189;263329.00728799996;101028.58861;0.0;enero
T.HUEVOS KGS;0.70506931717796;2.57229931515738;77.286;3.648292802547391;4865.71648;1333.696812;1.0;enero
T.HUEVOS UNDS.;11.06122132343397;2.57229931515738;77.286;0.23255111166682776;4865.71648;20923.21316;1.0;enero
TOTAL HUEVOS GALLINA;11.00846488392901;2.56746289919779;77.332;0.23322624237517184;4856.568;20823.42;2.0;enero
OTRAS AVES;0.05275643950495;0.00483641595959;0.658;0.09167441936902287;9.14848;99.79316;2.0;enero
MIEL;0.02292839937638;0.16345567426558;7.469;7.128961406434168;309.1899;43.37096;1.0;enero
GRANEL;0.00136097629441;0.01464383888615;0.694;10.759804521365956;27.700029999999998;2.574399;2.0;enero
ENVASADA;0.02156742255331;0.14881179837337;6.826;6.899841555268385;281.4898;40.79656;2.0;enero
TOTAL CARNE;2.62932750057677;21.78032365111777;95.884;8.283610028168788;41199.28;4973.59;1.0;enero
CARNE CERTIFICADA;0.45253526109876;4.22935812633617;45.642;9.345919511481087;8000.18;856.0078000000001;2.0;enero
CARNE FRESCA;1.55235308700629;12.02125177343538;83.101;7.743890145906353;22739.19;2936.404;2.0;enero
SALCHICHAS FRESCAS;0.00403890701368;0.03438231138241;2.924;8.512776170868671;65.03698;7.639926;3.0;enero
CARNE VACUNO;0.30794759771196;3.49571263721203;50.571;11.351647693260334;6612.429;582.5083000000001;3.0;enero
TERNERA;0.09658129943795;1.07577806080843;21.359;11.138575138963773;2034.923;182.6915;4.0;enero
AÑOJO;0.1757371367297;1.96655018503245;33.008;11.1902937627643;3719.892;332.4213;4.0;enero
MAYOR;0.03562917211745;0.45338454996851;9.489;12.725093596725717;857.6143000000001;67.39552;4.0;enero
CARNE POLLO;0.54764884768949;3.34813937849881;59.167;6.113660957426372;6333.282;1035.923;3.0;enero
POLLO ENTERO;0.09648228181871;0.39282668511504;12.266;4.071490409535779;743.0640999999999;182.50420000000003;4.0;enero
POLLO FILETES;0.12250530692083;0.9572635392899;30.739;7.814057720034057;1810.743;231.72889999999998;4.0;enero
POLLO POR PIEZAS;0.32866136468151;1.99804920695964;39.524;6.079355292934534;3779.475;621.6901;4.0;enero
CARNE CONEJO;0.03067046173256;0.24211911961629;6.7;7.8942117574705195;457.9883;58.01571;3.0;enero
CARNE OVINO/CAPRINO;0.00878035698796;0.1089384128434;1.088;12.4070596437906;206.066;16.60877;3.0;enero
CORDERO;0.00704879099732;0.09379062026857;0.742;13.30591590873125;177.4127;13.33337;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.00173156599064;0.01514780314799;0.335;8.748036880991634;28.65332;3.2754000000000003;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.00878035698796;0.1089384128434;1.088;12.4070596437906;206.066;16.60877;4.0;enero
CARNE CERDO;0.50645624930825;3.67660402958652;57.419;7.259470160765542;6954.6;958.0038000000001;3.0;enero
CARNE CERDO ADOBAD;0.0462716947365;0.33588124522562;14.068;7.2588922264090066;635.3471;87.52673;4.0;enero
CARN.CERDO IBERICO;0.00281950106785;0.03779342342918;0.967;13.404294774042206;71.48938000000001;5.333319;4.0;enero
CARNE DESPOJOS;0.0187534084255;0.12796977900432;3.322;6.823814428862912;242.06539999999998;35.473620000000004;3.0;enero
DESPOJOS CERDO;0.00596409077762;0.03929195703029;0.969;6.588088360042085;74.32397999999999;11.28157;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.00716967919268;0.0347012453894;2.449;4.839999734553208;65.64027;13.562040000000001;4.0;enero
DESPOJOS TERNERA;0.00561963316862;0.05397660301751;1.486;9.605004703668861;102.10119999999999;10.63;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.13209600655318;1.02176931539235;30.12;7.735050756291759;1932.761;249.8705;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.07172607957285;0.59217399955788;18.451;8.256048609995299;1120.146;135.67579999999998;4.0;enero
OTRAS AVES;0.00414227072927;0.03123650628819;1.734;7.540913747486263;59.08643;7.835447;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.36994135020882;1.74047916234528;38.529;4.704743498835197;3292.26;699.7746;2.0;enero
C.CONG.POLLO;0.31349697224952;1.29646628905317;33.023;4.13549859748326;2452.373;593.0054;3.0;enero
C.CONG.CERDO;0.02777450034817;0.22531853107359;9.805;8.112424283029958;426.2086;52.53776;3.0;enero
C.CONG.VACA;0.00514983395035;0.04163396955114;1.251;8.084526598815604;78.75408999999999;9.741335999999999;3.0;enero
RESTO CARNES CONG.;0.02351998339376;0.17705999732028;4.776;7.528066425728573;334.92359999999996;44.48999;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.00165267913447;0.0199823529453;0.861;12.090884751001141;37.798269999999995;3.126179;3.0;enero
