Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.89213256778717;134.91114067432085;99.212;2.877052786611775;292668.416395;101725.07704999999;0.0;enero
T.HUEVOS KGS;0.72039359832906;2.27366823516137;79.106;3.1561471956928617;4932.36421;1562.780157;1.0;enero
T.HUEVOS UNDS.;11.35442481375155;2.27366823516137;79.106;0.20024512667587507;4932.36421;24631.631699999998;1.0;enero
TOTAL HUEVOS GALLINA;11.2379509294732;2.26205862777334;79.211;0.20128746263171193;4907.179;24378.96;2.0;enero
OTRAS AVES;0.11647388427835;0.01160960738802;1.155;0.09967562651456414;25.185209999999998;252.67170000000002;2.0;enero
MIEL;0.02835951516094;0.19897922103776;8.377;7.016312511286706;431.654;61.52149;1.0;enero
GRANEL;0.01364162438179;0.11539457087424;4.028;8.459005148116047;250.3303;29.593349999999997;2.0;enero
ENVASADA;0.01471789077915;0.08358469626044;4.631;5.679121928179969;181.32379999999998;31.92814;2.0;enero
TOTAL CARNE;3.78960239755703;31.08181055950147;97.136;8.20186586844528;67427.08;8220.944;1.0;enero
CARNE CERTIFICADA;0.497493227581;4.81009428137259;53.552;9.668662837403971;10434.74;1079.233;2.0;enero
CARNE FRESCA;2.72078434135175;20.71294800725528;93.058;7.612859164341025;44933.47;5902.312;2.0;enero
SALCHICHAS FRESCAS;0.0454055772388;0.4035407797042;13.042;8.887471633314968;875.418;98.50023;3.0;enero
CARNE VACUNO;0.39607542878243;4.73140683024009;53.752;11.94572166414055;10264.04;859.2230999999999;3.0;enero
TERNERA;0.30666666261813;3.66064486670367;41.757;11.93688559249105;7941.191;665.2649;4.0;enero
AÑOJO;0.0820782026515;1.00362824570905;21.336;12.227707397179648;2177.213;178.0557;4.0;enero
MAYOR;0.00733057273218;0.06713376392429;3.303;9.158051679859543;145.6361;15.90252;4.0;enero
CARNE POLLO;0.98718224574388;5.31660729428639;80.027;5.385639092688613;11533.54;2141.536;3.0;enero
