Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;50.45249742848867;149.8371083260434;99.431;2.9698650406438722;374414.52194999997;126071.224391;0.0;enero
T.HUEVOS KGS;0.74290903587346;2.33653086331957;75.23;3.145110303541304;5838.54758;1856.388812;1.0;enero
T.HUEVOS UNDS.;11.8420907039325;2.33653086331957;75.23;0.19730729325892263;5838.54758;29591.139199999998;1.0;enero
TOTAL HUEVOS GALLINA;11.56459497841;2.30166644118713;74.756;0.19902698239619512;5751.428;28897.73;2.0;enero
OTRAS AVES;0.27749572552249;0.03486442213243;4.003;0.12563949252476028;87.11958;693.4091999999999;2.0;enero
MIEL;0.03533918804839;0.25224006769221;6.86;7.13768712927886;630.3000999999999;88.30592999999999;1.0;enero
GRANEL;0.02336205276389;0.17819599403816;2.996;7.627582894321668;445.278;58.37734;2.0;enero
ENVASADA;0.01197713528449;0.074044033635;3.819;6.1821154955846565;185.022;29.92859;2.0;enero
TOTAL CARNE;4.13017333079726;33.86605906431578;97.488;8.199670171658017;84624.86;10320.52;1.0;enero
CARNE CERTIFICADA;0.70675550752363;6.98496777631377;52.089;9.883145871459893;17454.11;1766.048;2.0;enero
CARNE FRESCA;3.1007046611673;23.50248758939741;92.274;7.579724661861085;58728.26;7748.073;2.0;enero
SALCHICHAS FRESCAS;0.03708164919339;0.33324241241903;12.998;8.986720376999743;832.7096;92.66001;3.0;enero
CARNE VACUNO;0.45422694255084;5.35115833290915;55.968;11.780803452252679;13371.53;1135.027;3.0;enero
TERNERA;0.3860968030249;4.55385493844058;51.79;11.794593746343088;11379.22;964.7827;4.0;enero
AÑOJO;0.04932459096112;0.55962269480868;13.404;11.345713849908481;1398.391;123.25280000000001;4.0;enero
MAYOR;0.01880547653053;0.23768214034542;5.145;12.638985242380933;593.9226;46.99132;4.0;enero
CARNE POLLO;1.15299384872208;6.23156927385857;80.408;5.404685619758753;15571.51;2881.113;3.0;enero
POLLO ENTERO;0.25507153503759;1.04054754147845;21.466;4.0794341921574;2600.131;637.3754;4.0;enero
POLLO FILETES;0.14896224324407;1.09637970905071;32.395;7.360118142516798;2739.645;372.2284;4.0;enero
POLLO POR PIEZAS;0.74895999040233;4.09464442447198;70.319;5.467107024331702;10231.74;1871.509;4.0;enero
CARNE CONEJO;0.06854693785819;0.56193219377695;14.771;8.197772378095557;1404.162;171.2858;3.0;enero
CARNE OVINO/CAPRINO;0.08084318899303;1.13777780821409;8.794;14.073885782909711;2843.091;202.0118;3.0;enero
CORDERO;0.07320443411405;1.06216542828612;8.442;14.509577748135838;2654.15;182.924;4.0;enero
CABRITO;0.00189685981514;0.02056210441673;0.136;10.840075925764568;51.3808;4.739893;4.0;enero
OTRO OVINO/CAPRINO;0.0057418962644;0.05505027551122;0.62;9.587473018718406;137.5602;14.34791;4.0;enero
OVINO/CAPRINO ENTE;0.02562251639885;0.322512506625;1.232;12.587073869116223;805.8976;64.02580999999999;4.0;enero
OVINO/CAPRINO PIEZ;0.05522067659608;0.81526554170334;8.052;14.763773136405144;2037.194;137.986;4.0;enero
CARNE CERDO;1.00876481776312;7.71291816936117;77.797;7.645903220994703;19273.12;2520.712;3.0;enero
CARNE CERDO ADOBAD;0.159008983956;1.33997122135335;30.904;8.427015807635554;3348.334;397.3333;4.0;enero
CARN.CERDO IBERICO;0.02605087623261;0.27084147911897;7.681;10.396636055560847;676.7815;65.0962;4.0;enero
CARNE DESPOJOS;0.10641527739587;0.71292244204123;20.017;6.69943695574018;1781.458;265.91159999999996;3.0;enero
DESPOJOS CERDO;0.05106830070025;0.33161275695228;12.846;6.4935146148420975;828.6374000000001;127.61;4.0;enero
DESPOJOS CORDERO;0.00502404267588;0.03195086772616;1.388;6.359593217530806;79.83916;12.554129999999999;4.0;enero
DESPOJOS POLLO;0.01855935941643;0.09611565635157;3.924;5.178824020534617;240.17479999999998;46.37632;4.0;enero
DESPOJOS TERNERA;0.03084434118877;0.2440973129864;7.538;7.913844276732954;609.9529;77.07416;4.0;enero
DESPOJOS OT.PROCED;0.00091921900765;0.00914576798672;0.168;9.94949833562187;22.853540000000002;2.2969540000000004;4.0;enero
OTRAS CARNES FRESCA;0.22891408809362;1.79420736828407;45.511;7.837907152093947;4483.384;572.0129000000001;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.10558160069327;0.84213192599306;28.02;7.97612387445779;2104.328;263.82840000000004;4.0;enero
