Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.92538994714008;130.6923381910281;99.202;2.7851092625601783;1123375.65155;403350.657244;0.0;enero
T.HUEVOS KGS;0.69219148328606;2.17946279215187;81.282;3.1486414450019313;18733.7335;5949.78305;1.0;enero
T.HUEVOS UNDS.;11.03735783839986;2.17946279215187;81.282;0.19746236590874533;18733.7335;94872.425;1.0;enero
TOTAL HUEVOS GALLINA;10.7744056463346;2.15295222955806;81.21;0.19982097391056472;18505.86;92612.2;2.0;enero
OTRAS AVES;0.26295219206526;0.0265105625938;3.497;0.10081894501653597;227.8735;2260.225;2.0;enero
MIEL;0.02299484621011;0.16455085092273;7.777;7.1559883209994855;1414.409;197.6539;1.0;enero
GRANEL;0.00589642303918;0.05466561107751;1.847;9.270978475287837;469.8823;50.68314;2.0;enero
ENVASADA;0.01709842782448;0.10988520494353;6.202;6.426626241403054;944.5264;146.9708;2.0;enero
TOTAL CARNE;3.08040164590228;24.18269010681379;97.643;7.85049902144512;207864.1;26477.82;1.0;enero
CARNE CERTIFICADA;0.39749806567133;3.55633728974635;46.988;8.946804014605803;30568.76;3416.724;2.0;enero
CARNE FRESCA;2.13602607644341;15.10079506689433;91.634;7.069574305964423;129800.0;18360.37;2.0;enero
SALCHICHAS FRESCAS;0.01361143552631;0.11797269285068;5.589;8.667174937028891;1014.043;116.99810000000001;3.0;enero
CARNE VACUNO;0.18318055520969;2.10467854770092;41.362;11.48963952692275;18090.92;1574.542;3.0;enero
TERNERA;0.12830789571168;1.45109217138305;30.979;11.309453431016973;12472.97;1102.88;4.0;enero
AÑOJO;0.04454421592971;0.52595510791056;14.47;11.807483798579778;4520.886;382.88309999999996;4.0;enero
MAYOR;0.01032847381641;0.12763126840729;3.849;12.357224375630498;1097.064;88.77916;4.0;enero
CARNE POLLO;0.98437906472957;5.55128727125934;80.313;5.639379655828423;47716.5;8461.303;3.0;enero
POLLO ENTERO;0.16318410099634;0.59545983286588;17.457;3.6490064242179687;5118.319;1402.661;4.0;enero
POLLO FILETES;0.16232179673566;1.20070749385632;36.503;7.397081094485644;10320.77;1395.249;4.0;enero
POLLO POR PIEZAS;0.65887316699756;3.75511982819819;70.27;5.69930605204336;32277.41;5663.393;4.0;enero
CARNE CONEJO;0.01720616932148;0.13812283081043;4.578;8.027517818155756;1187.245;147.8969;3.0;enero
CARNE OVINO/CAPRINO;0.03386326535793;0.52116613157671;7.248;15.390309412514059;4479.722;291.0742;3.0;enero
CORDERO;0.02500136726309;0.37842778579949;6.375;15.136283620698078;3252.804;214.9011;4.0;enero
CABRITO;0.00769340485486;0.12645764112968;0.965;16.437148897696225;1086.976;66.12922999999999;4.0;enero
OTRO OVINO/CAPRINO;0.00116849440336;0.01628070464754;0.405;13.933061725150043;139.942;10.04388;4.0;enero
OVINO/CAPRINO ENTE;0.01422286648589;0.21334363715267;0.271;15.000044988413439;1833.811;122.2537;4.0;enero
OVINO/CAPRINO PIEZ;0.01964039887203;0.30782249442404;6.955;15.672924792901336;2645.911;168.8205;4.0;enero
CARNE CERDO;0.70161656076302;5.18377138047144;75.348;7.388325291002168;44557.49;6030.797;3.0;enero
CARNE CERDO ADOBAD;0.04614036298795;0.3582643852;16.405;7.76466334462002;3079.488;396.60290000000003;4.0;enero
CARN.CERDO IBERICO;0.03671914214701;0.39335546851615;9.141;10.712545160810983;3381.116;315.6221;4.0;enero
CARNE DESPOJOS;0.03303088347392;0.20537441941705;10.391;6.217648388944186;1765.311;283.9194;3.0;enero
DESPOJOS CERDO;0.01650597174683;0.11180487897405;5.888;6.773601741774465;961.0271;141.8783;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.01100004386686;0.04695428188138;3.826;4.268554057574222;403.599;94.55169000000001;4.0;enero
DESPOJOS TERNERA;0.00522146752544;0.04509439443473;1.089;8.636344900160445;387.61220000000003;44.88151;4.0;enero
DESPOJOS OT.PROCED;0.00030341196867;0.00152084551266;0.21;5.012476993865031;13.07254;2.608;4.0;enero
OTRAS CARNES FRESCA;0.18274940307935;1.3963965797594;43.023;7.641045914404813;12002.83;1570.836;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.08546210040678;0.6593911079809;26.134;7.715596794863243;5667.845;734.5958;4.0;enero
OTRAS AVES;0.01452032190059;0.11144973107651;5.929;7.675431153628901;957.9744000000001;124.8105;2.0;enero
CARNE CABALLO;0.00102088692371;0.01214167909798;0.59;11.893265371404503;104.3647;8.775109;4.0;enero
CARNE CONGELADA;0.08829655919608;0.45544556348689;15.689;5.15813489940703;3914.816;758.9596;2.0;enero
C.CONG.POLLO;0.06557567956766;0.28029158111272;11.389;4.274322171888545;2409.267;563.6605999999999;3.0;enero
C.CONG.CERDO;0.01516570056433;0.11009900102284;3.654;7.259737231115261;946.3641;130.3579;3.0;enero
C.CONG.VACA;0.00239058848548;0.02219523700691;0.67;9.28442395739247;190.7808;20.548479999999998;3.0;enero
RESTO CARNES CONG.;0.00516460570266;0.04285980251387;1.377;8.29875599056152;368.40459999999996;44.39275;3.0;enero
