Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;45.38906044225997;131.19111686035856;99.484;2.890368639096386;71479.304183;24730.168746;0.0;enero
T.HUEVOS KGS;0.89236164825571;2.77887074347462;82.143;3.1140633944840976;1514.064;486.202048;1.0;enero
T.HUEVOS UNDS.;13.94315075399558;2.77887074347462;82.143;0.19930005724698224;1514.064;7596.907;1.0;enero
TOTAL HUEVOS GALLINA;13.94315075399558;2.77887074347462;82.143;0.19930005724698224;1514.064;7596.907;2.0;enero
OTRAS AVES;0.0;0.0;0.0;;0.0;0.0;2.0;enero
MIEL;0.02555256354715;0.20406822706648;9.818;7.986213465035899;111.1863;13.92228;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.02555256354715;0.20406822706648;9.818;7.986213465035899;111.1863;13.92228;2.0;enero
TOTAL CARNE;2.60495088826925;21.81326830652063;96.964;8.373773342426992;11884.93;1419.304;1.0;enero
CARNE CERTIFICADA;0.49642188742823;4.80813883537711;49.587;9.685589932962332;2619.708;270.4748;2.0;enero
CARNE FRESCA;1.85983388598081;14.55345050254711;81.973;7.82513460597161;7929.428;1013.328;2.0;enero
SALCHICHAS FRESCAS;0.01894792217366;0.16952718586959;7.15;8.947006659401865;92.36666000000001;10.32375;3.0;enero
CARNE VACUNO;0.39400831072421;4.59050592412039;43.863;11.65078451183627;2501.131;214.6749;3.0;enero
TERNERA;0.28967328302382;3.11553670886118;38.7;10.755347114994098;1697.496;157.8281;4.0;enero
AÑOJO;0.09714014903018;1.35035094045213;13.924;13.901058974415173;735.7369;52.92668;4.0;enero
MAYOR;0.00719487316407;0.12461843999056;4.016;17.32044987432773;67.89819;3.9201170000000003;4.0;enero
CARNE POLLO;0.6785192427905;3.74539051120501;69.504;5.519947372165297;2040.671;369.6903;3.0;enero
POLLO ENTERO;0.15963642096767;0.59476460893128;19.039;3.7257450732480946;324.05670000000003;86.97769;4.0;enero
POLLO FILETES;0.1107778810279;0.85810323967114;29.302;7.746160440232629;467.5364;60.35718;4.0;enero
