Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;53.76205754964317;155.57074058554787;99.071;2.893690228315684;388743.93407;134341.931374;0.0;enero
T.HUEVOS KGS;0.79955156917851;2.55296217155758;73.217;3.192992509764653;6379.4037;1997.938824;1.0;enero
T.HUEVOS UNDS.;12.77227032607357;2.55296217155758;73.217;0.19988319275907526;6379.4037;31915.6584;1.0;enero
TOTAL HUEVOS GALLINA;12.44127529477373;2.49523994403771;73.097;0.20056142838394572;6235.166;31088.56;2.0;enero
OTRAS AVES;0.33099503129983;0.05772222751986;3.039;0.174390012119477;144.23770000000002;827.0984;2.0;enero
MIEL;0.05042779685355;0.42068105181032;9.389;8.342245310300278;1051.208;126.0102;1.0;enero
GRANEL;0.04095622224792;0.34927458841504;5.351;8.527998170846102;872.7758;102.3424;2.0;enero
ENVASADA;0.0094716026188;0.07140622328235;4.019;7.538980060309609;178.4316;23.66787;2.0;enero
TOTAL CARNE;4.04226513025154;32.67151784289589;97.07;8.08247771735418;81640.38;10100.91;1.0;enero
CARNE CERTIFICADA;0.73418049470571;7.26376424349181;54.408;9.893703654444485;18150.87;1834.588;2.0;enero
CARNE FRESCA;3.06046417639962;22.93282560834398;92.058;7.493250790251848;57305.1;7647.562;2.0;enero
SALCHICHAS FRESCAS;0.03751074979708;0.30451069536965;10.165;8.117958105793736;760.9187;93.73277;3.0;enero
CARNE VACUNO;0.42003594840974;4.90872063562781;56.91;11.68642982633318;12266.03;1049.596;3.0;enero
TERNERA;0.30791441618415;3.52029324003282;48.421;11.43270030568321;8796.594;769.424;4.0;enero
AÑOJO;0.09599254655231;1.20246593548387;14.285;12.52665939879559;3004.751;239.8685;4.0;enero
MAYOR;0.01612902169021;0.1859629408075;5.628;11.52970988440484;464.68870000000004;40.30359;4.0;enero
CARNE POLLO;1.1628989266012;6.06537662609436;82.724;5.215738433796302;15156.31;2905.88;3.0;enero
POLLO ENTERO;0.27826619223598;1.03498196557849;23.955;3.7193952929099403;2586.238;695.3383;4.0;enero
POLLO FILETES;0.17019104307736;1.21136291985219;41.355;7.117665524275327;3026.983;425.2775;4.0;enero
POLLO POR PIEZAS;0.71444161125021;3.81903254104009;72.653;5.3454788759533605;9543.091;1785.264;4.0;enero
CARNE CONEJO;0.06167612709063;0.50528524226956;11.567;8.19255790051506;1262.619;154.1178;3.0;enero
CARNE OVINO/CAPRINO;0.15304938112916;1.93809591189983;9.676;12.66320646056215;4842.961;382.4435;3.0;enero
CORDERO;0.15171883535605;1.92641561850481;9.451;12.69727396722979;4813.774;379.1187;4.0;enero
CABRITO;0.00039448313058;0.0033565550318;0.194;8.508741620542454;8.387441;0.9857440000000001;4.0;enero
OTRO OVINO/CAPRINO;0.00093606784497;0.00832367473328;0.424;8.892170346407054;20.799400000000002;2.339069;4.0;enero
OVINO/CAPRINO ENTE;0.1108258428459;1.30306965072924;1.959;11.757814037481092;3256.142;276.9343;4.0;enero
OVINO/CAPRINO PIEZ;0.04222353828325;0.63502626117059;7.862;15.039626876139712;1586.819;105.50919999999999;4.0;enero
CARNE CERDO;0.97461277315635;7.38529340024647;75.974;7.577669412569506;18454.55;2435.386;3.0;enero
CARNE CERDO ADOBAD;0.13620273793214;1.13265510253449;31.853;8.3159495890514;2830.306;340.3467;4.0;enero
CARN.CERDO IBERICO;0.028204885127;0.39008666286836;4.59;13.830464513922932;974.758;70.47905;4.0;enero
CARNE DESPOJOS;0.09757433048602;0.63872440045394;12.513;6.546029035222956;1596.06;243.8211;3.0;enero
DESPOJOS CERDO;0.05001100082892;0.29697327041995;8.285;5.9381589149923135;742.084;124.9687;4.0;enero
DESPOJOS CORDERO;0.00558141301166;0.02663942487053;1.449;4.772881851757049;66.56724;13.946969999999999;4.0;enero
DESPOJOS POLLO;0.00545847519239;0.02884489413162;0.975;5.284423417696926;72.07832;13.63977;4.0;enero
DESPOJOS TERNERA;0.03477403868599;0.27751483886465;4.902;7.980517919433297;693.4608000000001;86.89421;4.0;enero
DESPOJOS OT.PROCED;0.00174938996101;0.00875173205424;0.545;5.002733666741548;21.869040000000002;4.371417999999999;4.0;enero
OTRAS CARNES FRESCA;0.19061664950767;1.49132859137555;43.452;7.823705826470789;3726.568;476.3175;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.08993625820055;0.70050505670601;23.965;7.788905950967118;1750.439;224.73489999999998;4.0;enero
OTRAS AVES;0.01825012327208;0.17610078250524;6.962;9.649292768044804;440.04490000000004;45.60385;2.0;enero
CARNE CABALLO;0.00028972185998;0.00403026348572;0.174;13.910802194584258;10.07092;0.723964;4.0;enero
CARNE CONGELADA;0.09252031351562;0.42521078220187;10.02;4.595864043738538;1062.527;231.192;2.0;enero
C.CONG.POLLO;0.07343497743201;0.2657766382351;7.351;3.6192104570490313;664.1291;183.5011;3.0;enero
C.CONG.CERDO;0.00986064559081;0.08316287258855;1.695;8.433816206318014;207.80939999999998;24.64002;3.0;enero
C.CONG.VACA;0.00594975024549;0.05277213942858;0.913;8.869639438825132;131.86829999999998;14.867379999999999;3.0;enero
