Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;51.15684891831427;124.87706317005744;99.044;2.4410624542074006;146862.061899;60163.172656999996;0.0;enero
T.HUEVOS KGS;0.53620054577562;1.72498309805907;63.787;3.21704838170923;2028.671784;630.600334;1.0;enero
T.HUEVOS UNDS.;8.42096527544232;1.72498309805907;63.787;0.20484386785082317;2028.671784;9903.50263;1.0;enero
TOTAL HUEVOS GALLINA;8.37020172733873;1.72032958043548;63.071;0.20553024126247157;2023.199;9843.802;2.0;enero
OTRAS AVES;0.05076354810358;0.00465351762359;0.85;0.09167045640891897;5.472784;59.70063;2.0;enero
MIEL;0.00801175533857;0.05191337710134;3.179;6.479650826501101;61.05289;9.42225;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.00801175533857;0.05191337710134;3.179;6.479650826501101;61.05289;9.42225;2.0;enero
TOTAL CARNE;2.95908823340986;22.08884886187454;97.834;7.464748300668526;25977.66;3480.045;1.0;enero
CARNE CERTIFICADA;0.43514521906803;3.50188003408303;50.946;8.047612338665127;4118.397;511.75390000000004;2.0;enero
CARNE FRESCA;2.04149364017847;13.60810961212824;92.215;6.665761452452304;16003.86;2400.905;2.0;enero
SALCHICHAS FRESCAS;0.02548647595352;0.21080433542413;10.336;8.271223366012254;247.9171;29.97345;3.0;enero
CARNE VACUNO;0.14545091084472;1.63411238769377;43.861;11.23480340001637;1921.803;171.058;3.0;enero
TERNERA;0.11645145586881;1.31844807944643;34.2;11.321868581288047;1550.565;136.9531;4.0;enero
AÑOJO;0.02175059883946;0.21751967825222;10.147;10.000629401411892;255.81470000000002;25.57986;4.0;enero
MAYOR;0.00724884678312;0.09814420484425;2.093;13.539285320906242;115.42280000000001;8.525029;4.0;enero
CARNE POLLO;0.89528777802776;4.61163176108815;76.951;5.151004933013964;5423.524;1052.906;3.0;enero
POLLO ENTERO;0.16607370350085;0.65335338661927;19.647;3.9341170386792386;768.3783000000001;195.3115;4.0;enero
POLLO FILETES;0.14915695087159;1.05446085795673;30.221;7.069471799973207;1240.102;175.4165;4.0;enero
POLLO POR PIEZAS;0.580057463776;2.90381777160265;64.352;5.006086384441372;3415.044;682.1784;4.0;enero
CARNE CONEJO;0.01508646968369;0.12904382906371;4.543;8.553613387974291;151.76239999999999;17.74249;3.0;enero
CARNE OVINO/CAPRINO;0.03944153417462;0.42895850881645;5.373;10.875806882088177;504.478;46.38534;3.0;enero
CORDERO;0.03944153417462;0.42895850881645;5.373;10.875806882088177;504.478;46.38534;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.01345648381022;0.11774425459701;0.52;8.750001579724925;138.4735;15.82554;4.0;enero
OVINO/CAPRINO PIEZ;0.02598505036439;0.31121425421943;4.812;11.976665423203032;366.0045;30.5598;4.0;enero
CARNE CERDO;0.77373927355574;5.56870501266705;73.723;7.197133715438671;6549.093;909.9585;3.0;enero
CARNE CERDO ADOBAD;0.09127852867286;0.64708759830815;27.907;7.089154565880815;761.0094;107.3484;4.0;enero
CARN.CERDO IBERICO;0.05226717063912;0.37071207603526;5.374;7.092637146840104;435.97709999999995;61.46897;4.0;enero
CARNE DESPOJOS;0.05069818541072;0.30214247024726;13.047;5.959630858570476;355.3356;59.623760000000004;3.0;enero
DESPOJOS CERDO;0.01127812135441;0.07028183284339;5.135;6.231696807897061;82.65517;13.26367;4.0;enero
DESPOJOS CORDERO;0.0009918820529;0.0049600454399;0.442;5.00064037390292;5.833277;1.166506;4.0;enero
DESPOJOS POLLO;0.01636916682751;0.08549724227922;5.539;5.223066218343869;100.5493;19.251009999999997;4.0;enero
DESPOJOS TERNERA;0.02205902027769;0.14140338964891;3.502;6.410229822939738;166.2979;25.942580000000003;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.12178930991784;0.93351904375869;31.908;7.665032705977139;1097.868;143.2307;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.04905912681794;0.43246013631092;12.47;8.81508017694078;508.5961;57.69614;4.0;enero
OTRAS AVES;0.01178749459706;0.05530777304648;3.325;4.692071974331156;65.04487999999999;13.86272;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.09643909481422;0.41510700884128;16.649;4.304343685939119;488.1879;113.4175;2.0;enero
C.CONG.POLLO;0.08064308236103;0.30397776146993;14.905;3.7694214130980894;357.494;94.84055000000001;3.0;enero
C.CONG.CERDO;0.00483802714373;0.04525883934893;1.455;9.354813026942884;53.226800000000004;5.689777;3.0;enero
