Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;44.79326965060685;137.96013768146307;98.598;3.079930059974847;44229.393261;14360.518713;0.0;enero
T.HUEVOS KGS;0.80432707984098;2.30493875063865;74.631;2.865673441076158;738.95289;257.863607;1.0;enero
T.HUEVOS UNDS.;12.6224679209936;2.30493875063865;74.631;0.18260602958674146;738.95289;4046.70586;1.0;enero
TOTAL HUEVOS GALLINA;12.55745184043279;2.29897799865745;74.645;0.1830767920013155;737.0419;4025.862;2.0;enero
OTRAS AVES;0.06501608056081;0.0059607519812;0.98;0.09168119532562587;1.91099;20.84386;2.0;enero
MIEL;0.05353787670545;0.29913315420085;8.069;5.587318224190165;95.90073;17.164;1.0;enero
GRANEL;0.03435887749205;0.2061533585282;3.069;6.000002723484608;66.09183;11.0153;2.0;enero
ENVASADA;0.01917898985581;0.0929798268646;5.026;4.848004382066639;29.80891;6.148697;2.0;enero
TOTAL CARNE;3.78393697411956;33.02726161321977;97.627;8.72828005305359;10588.39;1213.113;1.0;enero
CARNE CERTIFICADA;0.40078328486195;3.60967998157545;34.595;9.006563192421469;1157.247;128.48930000000001;2.0;enero
CARNE FRESCA;2.9003845262385;23.47383550594139;95.424;8.093352896343184;7525.605;929.8501;2.0;enero
SALCHICHAS FRESCAS;0.0529510312077;0.46810519972571;14.087;8.840341520252876;150.0724;16.97586;3.0;enero
CARNE VACUNO;0.38553852731067;5.22126863699701;56.878;13.542793436023233;1673.915;123.6019;3.0;enero
TERNERA;0.28878491021588;3.87750660971793;48.442;13.42697098272655;1243.111;92.58313000000001;4.0;enero
AÑOJO;0.07420432681984;1.07894635884202;20.764;14.540208166856315;345.9053;23.78957;4.0;enero
MAYOR;0.02254929963252;0.26481598035663;5.662;11.743867200851879;84.89880000000001;7.229203;4.0;enero
CARNE POLLO;1.03999602513285;5.35142955852125;85.727;5.1456250112471436;1715.644;333.418;3.0;enero
POLLO ENTERO;0.25190219782644;0.91732304504529;26.665;3.641584126539927;294.08959999999996;80.75869999999999;4.0;enero
POLLO FILETES;0.1344425168306;1.01083996623464;26.095;7.518752177990359;324.0707;43.10166;4.0;enero
POLLO POR PIEZAS;0.65365118570797;3.42326436380424;79.001;5.23714243721058;1097.483;209.5576;4.0;enero
CARNE CONEJO;0.11611134622751;1.013864338482;23.579;8.731828296051258;325.0403;37.22477;3.0;enero
CARNE OVINO/CAPRINO;0.1378758156473;1.6627350447074;29.866;12.059656995689826;533.0653000000001;44.20236;3.0;enero
CORDERO;0.1378758156473;1.6627350447074;29.866;12.059656995689826;533.0653000000001;44.20236;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0415881128291;0.44433692773226;2.012;10.684229158416434;142.45239999999998;13.33296;4.0;enero
OVINO/CAPRINO PIEZ;0.09628770281819;1.21839780505556;27.507;12.653721808651932;390.6128;30.869400000000002;4.0;enero
CARNE CERDO;0.94397750891217;8.00530996718421;76.928;8.480403284617868;2566.466;302.6349;3.0;enero
CARNE CERDO ADOBAD;0.08290420059252;0.69684456146342;14.226;8.405419224635057;223.4052;26.578709999999997;4.0;enero
CARN.CERDO IBERICO;0.02920882633355;0.46258827811484;11.422;15.837277158357182;148.30370000000002;9.364217;4.0;enero
