Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;48.41924142010093;150.1074879669438;99.557;3.1001619101084814;155947.25334;50302.938318;0.0;enero
T.HUEVOS KGS;0.79154629220578;2.66475432768723;79.103;3.36651735208238;2768.42364;822.3405230000001;1.0;enero
T.HUEVOS UNDS.;12.47358529538564;2.66475432768723;79.103;0.21363178786078518;2768.42364;12958.856300000001;1.0;enero
TOTAL HUEVOS GALLINA;12.34834146762825;2.65423300796451;79.178;0.21494651852013527;2757.493;12828.74;2.0;enero
OTRAS AVES;0.12524382775739;0.01052131972272;1.421;0.08400669247434794;10.930639999999999;130.1163;2.0;enero
MIEL;0.01876869474265;0.21158261305204;4.577;11.27316608603473;219.814;19.49887;1.0;enero
GRANEL;0.0151232661017;0.18178178136427;3.828;12.02000812137768;188.85379999999998;15.71162;2.0;enero
ENVASADA;0.00364542767839;0.02980078356011;0.949;8.17483878139515;30.960150000000002;3.7872489999999996;2.0;enero
TOTAL CARNE;3.22860471364556;27.59890519631176;94.846;8.548245339439093;28672.61;3354.21;1.0;enero
CARNE CERTIFICADA;0.53729397372909;5.28045283757071;50.355;9.827865369346437;5485.883;558.1968;2.0;enero
CARNE FRESCA;2.32061504488664;17.62889729836407;86.069;7.59664871483465;18314.73;2410.896;2.0;enero
SALCHICHAS FRESCAS;0.00832269382532;0.06217569358445;4.76;7.470621278326127;64.59457;8.646479;3.0;enero
CARNE VACUNO;0.37839563731334;4.65164009987345;56.767;12.293059541861233;4832.607;393.11670000000004;3.0;enero
TERNERA;0.32024733262947;3.94102576269838;51.018;12.30619387315295;4094.347;332.7062;4.0;enero
AÑOJO;0.04295186530728;0.55658719244806;10.563;12.958393971161865;578.2406;44.62286;4.0;enero
MAYOR;0.01519648750423;0.15402714472699;2.737;10.135706997033763;160.0194;15.787690000000001;4.0;enero
CARNE POLLO;0.92426826790944;5.04682294931346;69.975;5.46034427940342;5243.164;960.2259;3.0;enero
