Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;44.81420960134806;131.4037195732565;99.487;2.932188712959109;1143952.97127;390136.203108;0.0;enero
T.HUEVOS KGS;0.720939133265;2.30669126938007;81.426;3.1995645165403634;20081.2149;6276.2337800000005;1.0;enero
T.HUEVOS UNDS.;11.46479915864332;2.30669126938007;81.426;0.20119770416048274;20081.2149;99808.37;1.0;enero
TOTAL HUEVOS GALLINA;11.22761373478834;2.28477387049874;81.107;0.2034959453066556;19890.41;97743.52;2.0;enero
OTRAS AVES;0.23718542385497;0.02191739888132;2.508;0.09240617962563867;190.8049;2064.85;2.0;enero
MIEL;0.01968235256577;0.14304480208485;7.085;7.267667907420831;1245.296;171.3474;1.0;enero
GRANEL;0.00646330251287;0.0610206756737;1.165;9.441098502216924;531.2238000000001;56.267160000000004;2.0;enero
ENVASADA;0.01321905694498;0.08202409195071;5.655;6.204988169130599;714.0719;115.08030000000001;2.0;enero
TOTAL CARNE;3.18104610910171;24.62311729133405;97.518;7.740572266740043;214359.9;27693.03;1.0;enero
CARNE CERTIFICADA;0.41864556908816;3.73810936293268;45.094;8.929055121912672;32542.62;3644.576;2.0;enero
CARNE FRESCA;2.22190884942343;15.29642380133704;90.0;6.8843615278396;133165.1;19343.13;2.0;enero
SALCHICHAS FRESCAS;0.01372011165542;0.11406177365675;5.673;8.313472697695875;992.9803;119.4423;3.0;enero
CARNE VACUNO;0.2070715992586;2.41554892018778;42.428;11.665283548474779;21028.89;1802.69;3.0;enero
TERNERA;0.14373148366647;1.64613932333308;31.891;11.452879225493378;14330.69;1251.274;4.0;enero
AÑOJO;0.05357753207239;0.65088683960824;16.041;12.14850356915827;5666.384;466.4265;4.0;enero
MAYOR;0.00976251000414;0.11852264237834;3.739;12.140591131590659;1031.815;84.98886;4.0;enero
CARNE POLLO;1.04487252212198;5.61043319090502;78.916;5.369490604950594;48842.39;9096.28;3.0;enero
POLLO ENTERO;0.18222815343905;0.68961324560752;20.369;3.7843397553725007;6003.522;1586.412;4.0;enero
POLLO FILETES;0.14895832742833;1.07557906618325;35.17;7.2206709403390095;9363.6;1296.777;4.0;enero
POLLO POR PIEZAS;0.7136860412546;3.84524110885047;71.608;5.387860889209573;33475.27;6213.091;4.0;enero
CARNE CONEJO;0.0234042976878;0.19992841076169;6.357;8.54238026830031;1740.504;203.74929999999998;3.0;enero
CARNE OVINO/CAPRINO;0.0193767459502;0.25558786995454;4.299;13.19044335985782;2225.055;168.68689999999998;3.0;enero
CORDERO;0.01819215704445;0.23295689886626;3.976;12.80534783737008;2028.038;158.37429999999998;4.0;enero
CABRITO;0.00070343521081;0.01397029440631;0.234;19.860101103047743;121.6203;6.123850999999999;4.0;enero
OTRO OVINO/CAPRINO;0.00048114576903;0.00866065830307;0.098;18.00007162160871;75.39653999999999;4.188680000000001;4.0;enero
OVINO/CAPRINO ENTE;0.00646667274332;0.0544010100902;0.219;8.412519428383648;473.59540000000004;56.2965;4.0;enero
OVINO/CAPRINO PIEZ;0.01291007320688;0.20118679094346;4.086;15.583706437560505;1751.459;112.3904;4.0;enero
CARNE CERDO;0.69390391424556;5.13150552513838;72.586;7.3951240507376825;44673.02;6040.875;3.0;enero
CARNE CERDO ADOBAD;0.05831939117287;0.43798579846513;18.885;7.510122956647865;3812.945;507.7074;4.0;enero
CARN.CERDO IBERICO;0.03447297760359;0.34707136252661;7.983;10.067925275199828;3021.477;300.1092;4.0;enero
CARNE DESPOJOS;0.03934669381138;0.24245109303915;8.803;6.161917801820527;2110.691;342.538;3.0;enero
DESPOJOS CERDO;0.01599464962834;0.10043397001721;4.811;6.279222887084217;874.3416;139.24360000000001;4.0;enero
DESPOJOS CORDERO;0.00060757397957;0.00364530971151;0.149;5.999779177580172;31.734740000000002;5.289318000000001;4.0;enero
DESPOJOS POLLO;0.01235130875629;0.0644120303655;4.026;5.214996372970258;560.7477;107.526;4.0;enero
DESPOJOS TERNERA;0.0065088729908;0.04486631342055;1.663;6.8931001548076125;390.58979999999997;56.66388;4.0;enero
DESPOJOS OT.PROCED;0.00388430086211;0.02909346263227;0.722;7.490012659946044;253.27710000000002;33.81531;4.0;enero
OTRAS CARNES FRESCA;0.19393367366207;1.44096879135045;39.449;7.4302144859137735;12544.55;1688.316;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.08079102870112;0.59940295120385;21.731;7.419177114593524;5218.184;703.3373;4.0;enero
OTRAS AVES;0.0158264827104;0.12325199234127;5.324;7.787705872277173;1072.987;137.77960000000002;2.0;enero
CARNE CABALLO;0.00077103199408;0.01075235265919;0.305;13.945404006123663;93.60607;6.712324;4.0;enero
CARNE CONGELADA;0.08678832735966;0.48004797447615;15.763;5.531250446695879;4179.123;755.5476;2.0;enero
C.CONG.POLLO;0.05983235355426;0.27105509115362;10.3;4.5302428377278625;2359.707;520.8787;3.0;enero
C.CONG.CERDO;0.01323752773761;0.08139394845448;3.493;6.148727320374415;708.5861;115.2411;3.0;enero
C.CONG.VACA;0.00662575474218;0.06287280913339;1.785;9.489154304653786;547.3478;57.68141000000001;3.0;enero
RESTO CARNES CONG.;0.00709268902823;0.06472616019508;2.294;9.125757514166418;563.4824;61.746370000000006;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.87234900123947;8.84664586012519;94.084;10.141177266845508;77015.68;7594.353;2.0;enero
JAMON CURADO+PALETA;0.12164636585284;2.19813804204636;51.031;18.069903088642306;19136.19;1059.009;3.0;enero
JAMON C.+P.ENTERO;0.03384716463523;0.3775346159238;4.915;11.154098725620722;3286.679;294.6611;4.0;enero
JAMON C.+P.LONCHA;0.08779924716484;1.82060331125444;49.684;20.735978610798245;15849.51;764.3483;4.0;enero
JAMON CURADO NORMAL;0.09946714808075;1.54492328525292;44.772;15.531995388052174;13449.54;865.9248;3.0;enero
JAMON C.N.ENTER/PI;0.02824508120749;0.25612706087861;3.885;9.068023525832949;2229.749;245.8914;4.0;enero
JAMON C.N.LONCHA;0.07122205538644;1.28879610950619;43.788;18.095463582359205;11219.79;620.0333;4.0;enero
JAMON IBERICO;0.01231364350192;0.43268360122091;8.962;35.138551895975766;3766.786;107.19810000000001;3.0;enero
JAMON IBE.ENTER/PI;0.00414231646964;0.10271783528093;1.02;24.79719645605424;894.2241;36.0615;4.0;enero
JAMON IBE.LONCHA;0.00817132588359;0.32996577742679;8.232;40.3809347622651;2872.562;71.13659;4.0;enero
PALETA CURADA NORM.;0.00500255572977;0.09617441915108;4.103;19.225057020102902;837.2595;43.55043;3.0;enero
PALETA C.N.ENTR/PI;8.375493616e-05;0.00134002843674;0.062;15.999396549359519;11.665799999999999;0.72914;4.0;enero
PALETA C.N.LONCHA;0.0049188007936;0.09483439071433;4.041;19.27998199026699;825.5936999999999;42.82129;4.0;enero
PALETA IBERICA;0.00486307023104;0.12435656411926;2.376;25.571615915676734;1082.603;42.33612;3.0;enero
PALETA IB.ENTER/PI;0.00137601087324;0.01734970281431;0.081;12.608696015126409;151.0402;11.979049999999999;4.0;enero
PALETA IBE.LONCHA;0.00348705935779;0.10700686130495;2.276;30.686848236671064;931.5628;30.35707;4.0;enero
HUESOS JAMON CURADO;0.00405499372987;0.02005961391046;2.395;4.9468914742516565;174.63170000000002;35.301300000000005;3.0;enero
LOMO EMBUCHADO N+IB;0.01802981393985;0.41842892782637;14.664;23.20761208198215;3642.69;156.961;3.0;enero
LOMO EMB.AL CORTE;0.00570203247053;0.14668554693754;4.877;25.725133572200704;1276.991;49.63982;4.0;enero
LOMO EMB.ENVASADO;0.01232778376667;0.27174349575694;10.675;22.04317506699515;2365.7;107.32119999999999;4.0;enero
LOMO EMB.NORMAL;0.01315185909867;0.2819110468103;13.175;21.43507200732257;2454.215;114.4953;4.0;enero
LOMO E.N.AL CORTE;0.00419380035804;0.09915942789189;4.311;23.64428905195058;863.2459;36.509699999999995;5.0;enero
LOMO E.N.ENVASADO;0.0089580598893;0.18275160743159;9.985;20.40080214798602;1590.969;77.98561;5.0;enero
LOMO EMB.IBERICO;0.00487795024644;0.13651788101607;3.135;27.98673092564674;1188.475;42.46566000000001;4.0;enero
LOMO E.I.AL CORTE;0.0015082309638;0.04752608458522;2.047;31.511144994215584;413.7448;13.13011;5.0;enero
LOMO E.I.ENVASADO;0.00336971928264;0.08899178494404;1.091;26.409257709502636;774.7301;29.335549999999998;5.0;enero
OTRAS SALAZONES;0.02476177459096;0.18086018907714;11.473;7.304007570732069;1574.503;215.567;3.0;enero
O.SALAZONES AL COR;0.00766993460958;0.05475061119319;3.574;7.138341326245297;476.63890000000004;66.77166;4.0;enero
O.SALAZONES ENVASA;0.01709184687346;0.12610956639713;8.184;7.378346373611012;1097.864;148.7954;4.0;enero
TOCINO Y MANTECA;0.02897254096935;0.21356176253111;19.343;7.371178204804928;1859.191;252.2244;3.0;enero
TOCINO;0.00446499937894;0.0346453601813;3.324;7.759320268809432;301.60990000000004;38.87066;4.0;enero
CHORIZOS;0.06017889916544;0.65053051872062;33.772;10.80994381323302;5663.282;523.8956;3.0;enero
CHOR.IBERICO;0.01001891056599;0.12733463482603;6.214;12.70942923257349;1108.529;87.22099;4.0;enero
CHOR.NORMAL;0.05015998745076;0.5231959987627;30.023;10.430544849643189;4554.754;436.6746;4.0;enero
CHORIZO DE PAVO;0.00123854016123;0.02039879647556;1.837;16.470032312275325;177.5845;10.78228;4.0;enero
CHORIZO DE CERDO;0.05812398902525;0.62079357640415;32.304;10.680505361296886;5404.403;506.0063;4.0;enero
SALCHICHON/SALAMI;0.04832382065882;0.56062186798261;31.211;11.601356439522156;4880.57;420.6896;3.0;enero
SALCHICHON DE PAVO;0.00240288241332;0.03644780169515;3.162;15.16836674694602;317.30129999999997;20.91862;4.0;enero
SALCHICHON DE CERD;0.04353757651935;0.50426228763888;28.971;11.582231441263483;4389.924;379.0223;4.0;enero
FUET/LONGANIZAS;0.04003860189216;0.49163954553074;24.024;12.279138688581497;4280.035;348.5615;3.0;enero
FUET/LONGANIZ.PAVO;0.00109940994958;0.01869236173085;1.486;17.002176247298756;162.72889999999998;9.571063;4.0;enero
FUET/LONGANIZ.CERD;0.03870827981099;0.46786793407687;23.03;12.087024697593508;4073.088;336.9802;4.0;enero
OTROS PROD.CURADOS;0.0182986168119;0.23873430549541;13.345;13.046576577311768;2078.334;159.30110000000002;3.0;enero
O.PROD.CURAD.CORTE;0.00900572326426;0.11366364077587;5.45;12.621267325292997;989.5143;78.40055000000001;4.0;enero
O.PROD.CURAD.ENVAS;0.009292895845;0.12507069917997;8.628;13.458743244948705;1088.82;80.90057;4.0;enero
SALCHICHAS;0.13531682002286;0.51919250040804;37.385;3.8368659588682354;4519.901;1178.019;3.0;enero
JAMON COCIDO;0.09326437334104;0.93950790726;43.452;10.07359909903086;8179.014;811.9257;3.0;enero
J.COC.SIN/BAJO SAL;0.00292099044387;0.0335817273989;2.992;11.496691976272833;292.3503;25.429080000000003;4.0;enero
PALETA COCIDA;0.00213657677405;0.02208779424067;1.29;10.33793613637659;192.2883;18.60026;3.0;enero
FIAMBRES;0.2080893307429;1.74274685270556;64.816;8.374993789848473;15171.72;1811.55;3.0;enero
PAVO;0.11216663357542;1.05315474283089;45.228;9.38919809983165;9168.382;976.4819;4.0;enero
POLLO;0.00932678768184;0.10603852310939;7.94;11.369243808964082;923.1328000000001;81.19561999999999;4.0;enero
PROD.A BASE SANGRE;0.00821393391288;0.06467011604258;5.51;7.873220886418659;562.9945;71.50752;3.0;enero
MORCILLA;0.00618872981548;0.0533623955829;4.497;8.622511755053146;464.55359999999996;53.87683;4.0;enero
FOIE-GRAS Y PATES;0.02434742233247;0.23337272143659;19.996;9.585110006708819;2031.658;211.9598;3.0;enero
