Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;44.50652829058252;148.6062268823146;99.744;3.3389759343183667;985727.61348;295218.54391;0.0;enero
T.HUEVOS KGS;0.77789304784261;2.42485595774785;80.769;3.1172099615401705;16084.436880000001;5159.88242;1.0;enero
T.HUEVOS UNDS.;12.28792140066459;2.42485595774785;80.769;0.19733654526930017;16084.436880000001;81507.644;1.0;enero
TOTAL HUEVOS GALLINA;12.12988581177724;2.41064297311858;80.764;0.19873583399919736;15990.16;80459.37;2.0;enero
OTRAS AVES;0.15803558888734;0.01421298462926;1.821;0.08993534133251423;94.27688;1048.274;2.0;enero
MIEL;0.02679263402776;0.1854947839027;7.844;6.923350041301015;1230.415;177.7196;1.0;enero
GRANEL;0.00442019304057;0.04761929545089;0.404;10.773125746722096;315.866;29.31981;2.0;enero
ENVASADA;0.02237244249477;0.13787544322444;7.244;6.162735394522095;914.5486999999999;148.3998;2.0;enero
TOTAL CARNE;3.54749926609556;29.76921311925557;98.147;8.391605152330321;197463.7;23531.1;1.0;enero
CARNE CERTIFICADA;0.47982621994544;4.82560516012744;46.765;10.05698513240081;32008.97;3182.76;2.0;enero
CARNE FRESCA;2.50596870208768;18.69194460759411;91.18;7.458969695839427;123986.5;16622.47;2.0;enero
SALCHICHAS FRESCAS;0.01560392527499;0.13035280482763;6.223;8.35384703081644;864.6499;103.50319999999999;3.0;enero
CARNE VACUNO;0.40441108708418;4.85499993584568;57.523;12.005110865902212;32203.95;2682.52;3.0;enero
TERNERA;0.24248549205334;2.83930346872814;41.839;11.70916843183128;18833.53;1608.443;4.0;enero
AÑOJO;0.13326736211827;1.66646277213958;26.954;12.504657897112455;11053.9;883.9825999999999;4.0;enero
MAYOR;0.02865812738203;0.34923339346214;7.465;12.186190284054652;2316.518;190.0937;4.0;enero
CARNE POLLO;1.05949774000194;5.65231475935976;77.764;5.334900251273193;37492.66;7027.809;3.0;enero
POLLO ENTERO;0.19820322276166;0.73577484491481;20.677;3.7122244263382402;4880.506;1314.712;4.0;enero
POLLO FILETES;0.16834848468464;1.224511309138;36.342;7.273669920057742;8122.369;1116.681;4.0;enero
POLLO POR PIEZAS;0.69294603255563;3.69202935909645;67.001;5.328018612762639;24489.79;4596.416;4.0;enero
CARNE CONEJO;0.03214579083685;0.26784387570531;7.169;8.33216009724806;1776.649;213.2279;3.0;enero
CARNE OVINO/CAPRINO;0.05378855001049;0.72727692349884;11.039;13.521036044974657;4824.138;356.7876;3.0;enero
CORDERO;0.05296541186596;0.7196871676841;10.767;13.587870693905064;4773.794;351.32759999999996;4.0;enero
CABRITO;0.0004414125035;0.00423067980479;0.063;9.584413153749578;28.06274;2.927956;4.0;enero
OTRO OVINO/CAPRINO;0.00038173031452;0.00335908957815;0.193;8.799640610961367;22.28135;2.532075;4.0;enero
OVINO/CAPRINO ENTE;0.00158375547956;0.02398920038664;0.219;15.147035445951515;159.124;10.50529;4.0;enero
OVINO/CAPRINO PIEZ;0.05220479302335;0.7032877231122;10.794;13.471707909991359;4665.014;346.28229999999996;4.0;enero
CARNE CERDO;0.70565628050941;5.33597040826677;71.594;7.561713196139487;35394.3;4680.725;3.0;enero
CARNE CERDO ADOBAD;0.13831368136956;1.08209227903784;31.676;7.8234652445306345;7177.682;917.4556;4.0;enero
CARN.CERDO IBERICO;0.02276670455989;0.25805034088016;6.785;11.33454954805814;1711.687;151.015;4.0;enero
CARNE DESPOJOS;0.03167339095115;0.21263030170262;8.512;6.7132155830902684;1410.409;210.0944;3.0;enero
DESPOJOS CERDO;0.01302238163667;0.0987705319524;3.774;7.584674962546059;655.1599;86.37943;4.0;enero
DESPOJOS CORDERO;0.00069895071978;0.00552113578615;0.161;7.899177481091383;36.62253;4.636246;4.0;enero
DESPOJOS POLLO;0.01048264014939;0.04687188300049;3.857;4.4713814776133445;310.9083;69.53294;4.0;enero
DESPOJOS TERNERA;0.00588215271874;0.04910906996197;2.418;8.348826069316592;325.7479;39.01721;4.0;enero
DESPOJOS OT.PROCED;0.00158727266141;0.01235762220601;0.398;7.7854438663376575;81.96997999999999;10.52862;4.0;enero
OTRAS CARNES FRESCA;0.21879614913364;1.64090327744644;44.507;7.499689934872543;10884.36;1451.308;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.10342664452613;0.82538127135841;27.225;7.980354338478869;5474.879;686.0446;4.0;enero
OTRAS AVES;0.01780995057814;0.12660850619636;5.759;7.10886342108805;839.8134;118.1361;2.0;enero
CARNE CABALLO;0.00024194321588;0.00365046992827;0.15;15.08812683584593;24.214119999999998;1.604846;4.0;enero
CARNE CONGELADA;0.11849094696696;0.55648796989776;12.026;4.696459806781036;3691.269;785.9684;2.0;enero
C.CONG.POLLO;0.09499651893866;0.35995243104724;9.509;3.789111801872101;2387.619;630.1263;3.0;enero
C.CONG.CERDO;0.01268192958948;0.09830960474304;2.653;7.751943743999726;652.1025;84.12116;3.0;enero
C.CONG.VACA;0.00507822866881;0.03913801770729;0.532;7.707021534431401;259.6084;33.68466;3.0;enero
RESTO CARNES CONG.;0.00573427580032;0.05908782594543;1.969;10.304322289853488;391.9385;38.036319999999996;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0001550968651;0.00112445223432;0.217;7.249999756993958;7.458662;1.028781;3.0;enero
CARNE TRANSFORMADA;0.92303967734407;10.52078189858481;93.981;11.397973626504289;69785.94;6122.662;2.0;enero
JAMON CURADO+PALETA;0.12826222992578;2.86590470052362;49.453;22.34410474682845;19009.98;850.7828000000001;3.0;enero
JAMON C.+P.ENTERO;0.02969882425484;0.3863492351277;7.792;13.008906743662843;2562.713;196.99679999999998;4.0;enero
JAMON C.+P.LONCHA;0.09856340567094;2.4795544100906;46.73;25.15694738033546;16447.26;653.786;4.0;enero
JAMON CURADO NORMAL;0.08984243793907;1.5225583244317;41.9;16.946983623310125;10099.36;595.9385;3.0;enero
JAMON C.N.ENTER/PI;0.02063367623286;0.21986140446867;5.416;10.655464493450909;1458.374;136.8663;4.0;enero
JAMON C.N.LONCHA;0.06920877678199;1.30269646768932;39.316;18.822706140187506;8640.983;459.0723;4.0;enero
JAMON IBERICO;0.02645543382852;0.9809902610563;10.887;37.08086087020445;6507.057;175.4829;3.0;enero
JAMON IBE.ENTER/PI;0.00677359926864;0.13151781666637;2.428;19.41623816973442;872.3776;44.93031;4.0;enero
JAMON IBE.LONCHA;0.01968183606745;0.84947253484466;9.399;43.16022813793061;5634.68;130.5526;4.0;enero
PALETA CURADA NORM.;0.00505289078823;0.0695574044302;2.919;13.765863412715914;461.3848;33.516589999999994;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00505289078823;0.0695574044302;2.919;13.765863412715914;461.3848;33.516589999999994;4.0;enero
PALETA IBERICA;0.0069114643548;0.29279868045382;3.731;42.36420321698496;1942.178;45.84479;3.0;enero
PALETA IB.ENTER/PI;0.00229155478364;0.03497004414423;0.265;15.26040066498994;231.9616;15.20023;4.0;enero
PALETA IBE.LONCHA;0.00461990957115;0.25782857600642;3.469;55.80814343557225;1710.216;30.644560000000002;4.0;enero
HUESOS JAMON CURADO;0.00827433237161;0.04275188060182;5.252;5.166807263928694;283.5797;54.8849;3.0;enero
LOMO EMBUCHADO N+IB;0.02592431374002;0.65563586395449;17.299;25.290384560586507;4348.932;171.9599;3.0;enero
LOMO EMB.AL CORTE;0.00782258631848;0.22013020580781;5.517;28.140335797596375;1460.157;51.888400000000004;4.0;enero
LOMO EMB.ENVASADO;0.01810172742153;0.43550565814667;12.711;24.058789970975628;2888.775;120.0715;4.0;enero
LOMO EMB.NORMAL;0.0157033802629;0.28663856182307;12.442;18.253303239445138;1901.317;104.1629;4.0;enero
LOMO E.N.AL CORTE;0.00379509499875;0.07261869438678;2.673;19.134881843721;481.69079999999997;25.17344;5.0;enero
LOMO E.N.ENVASADO;0.01190828677173;0.2140198372847;10.297;17.972344921418006;1419.626;78.98947;5.0;enero
LOMO EMB.IBERICO;0.01022093046196;0.36899730213141;6.643;36.102124312911876;2447.615;67.79697999999999;4.0;enero
LOMO E.I.AL CORTE;0.00402749131973;0.14751143604207;3.239;36.626133821649;978.4657;26.714959999999998;5.0;enero
LOMO E.I.ENVASADO;0.0061934406498;0.22148582086196;3.369;35.76135356505022;1469.149;41.082029999999996;5.0;enero
OTRAS SALAZONES;0.02964412928802;0.23322096670606;11.998;7.8673576288942915;1546.99;196.634;3.0;enero
O.SALAZONES AL COR;0.0139260772661;0.10657677611431;5.317;7.653036391928533;706.9399000000001;92.37378;4.0;enero
O.SALAZONES ENVASA;0.01571806408255;0.12664416044016;6.945;8.057236551208849;840.0499;104.2603;4.0;enero
TOCINO Y MANTECA;0.03603652061827;0.22959192249081;21.31;6.371090176069933;1522.918;239.03570000000002;3.0;enero
TOCINO;0.00142675816034;0.01197809069548;1.289;8.395319563186563;79.45249000000001;9.463903;4.0;enero
CHORIZOS;0.07947359588436;0.89130800338803;40.726;11.215146281852734;5912.181;527.1604;3.0;enero
CHOR.IBERICO;0.01248899414933;0.19306388588488;8.707;15.45872178146697;1280.622;82.84139;4.0;enero
CHOR.NORMAL;0.06698460022745;0.69824411750314;36.319;10.423949909862058;4631.559;444.319;4.0;enero
CHORIZO DE PAVO;0.00046492681649;0.00740927297729;0.807;15.93642851815703;49.14683;3.0839299999999996;4.0;enero
CHORIZO DE CERDO;0.07853194695312;0.87957662649147;40.132;11.200239655544106;5834.365;520.9143;4.0;enero
SALCHICHON/SALAMI;0.03250813745414;0.40073229276129;20.937;12.3271378843712;2658.118;215.63139999999999;3.0;enero
SALCHICHON DE PAVO;0.00037305826773;0.0057616036852;0.526;15.444246069591584;38.217589999999994;2.474552;4.0;enero
SALCHICHON DE CERD;0.03210510127912;0.39430457885462;20.473;12.28167995567201;2615.482;212.958;4.0;enero
FUET/LONGANIZAS;0.03987073126225;0.49189484226861;24.766;12.337241547767865;3262.813;264.4686;3.0;enero
FUET/LONGANIZ.PAVO;0.00105047216592;0.01859657515883;1.303;17.70306321480047;123.3539;6.967941;4.0;enero
FUET/LONGANIZ.CERD;0.03872230279272;0.4711428663101;23.879;12.167222306793553;3125.162;256.85089999999997;4.0;enero
OTROS PROD.CURADOS;0.02209675151951;0.29007765108189;16.953;13.127615198357656;1924.129;146.5711;3.0;enero
O.PROD.CURAD.CORTE;0.00968032317869;0.12052839478417;5.826;12.450864765488182;799.4830999999999;64.21105;4.0;enero
O.PROD.CURAD.ENVAS;0.01241642683323;0.16954912061561;12.009;13.655226490905056;1124.645;82.36004;4.0;enero
SALCHICHAS;0.12652044850584;0.52956471922376;33.842;4.185605769483978;3512.683;839.2293000000001;3.0;enero
JAMON COCIDO;0.09970349722849;1.12348406707582;40.944;11.268251348305975;7452.24;661.3484;3.0;enero
J.COC.SIN/BAJO SAL;0.00372417245136;0.04434132116186;2.681;11.906355503380157;294.1227;24.703;4.0;enero
PALETA COCIDA;0.00096637066427;0.01056186342686;0.737;10.929412302461609;70.05844;6.410082999999999;3.0;enero
FIAMBRES;0.21103136339475;1.97778990025635;67.23;9.372018776927895;13118.98;1399.803;3.0;enero
PAVO;0.11652405384785;1.17149442852432;47.826;10.053670378254356;7770.7;772.9217;4.0;enero
POLLO;0.00735795197231;0.08909561344449;7.081;12.108751698803495;590.9847;48.80641000000001;4.0;enero
PROD.A BASE SANGRE;0.01313819084177;0.08817318614574;6.915;6.711212160608879;584.8661;87.14761;3.0;enero
MORCILLA;0.01313819084177;0.08817318614574;6.915;6.711212160608879;584.8661;87.14761;4.0;enero
FOIE-GRAS Y PATES;0.0183867804625;0.19724003052623;16.737;10.727273919891639;1308.323;121.9623;3.0;enero
COCIDOS Y OTROS;0.05120235850605;0.49285034585104;32.323;9.62553992103241;3269.151;339.633;3.0;enero
COCIDOS Y O. CORTE;0.00702782081109;0.08455894635646;5.398;12.032029362930803;560.8923000000001;46.6166;4.0;enero
COCIDOS Y O.ENVASA;0.04417452261917;0.40829144472195;28.935;9.242690594345776;2708.259;293.0163;4.0;enero
COCIDOS DE PAVO;0.0034634276145;0.04328336250928;3.293;12.497262055660798;287.1051;22.97344;4.0;enero
COCIDOS DE CERDO;0.04654152720999;0.43341751044704;29.944;9.312490079911376;2874.924;308.717;4.0;enero
TOTAL PESCA;1.39533976130939;15.40797015407148;90.528;11.042450434876558;102203.4;9255.5;1.0;enero
PESCADOS;0.82998767905187;8.58039503379719;69.497;10.337978804214163;56915.06;5505.434;2.0;enero
PESCADOS FRESCOS;0.66241469301475;6.82864700895701;54.072;10.308719116538235;45295.45;4393.897;3.0;enero
PESCADOS CONGELADOS;0.16757298603711;1.75174802484017;37.536;10.453642118975797;11619.61;1111.537;3.0;enero
MERLUZA/PESCAD;0.15882616332506;1.62206004728425;32.222;10.21280130002525;10759.37;1053.518;3.0;enero
MERLUZA/PESCAD.FRE;0.08892908626602;0.96872912089237;16.054;10.893276447196643;6425.727;589.8801;4.0;enero
MERLUZA/PESCAD.CON;0.06989703183167;0.65333062487608;19.307;9.347043898079017;4333.641;463.63759999999996;4.0;enero
SARDINA/BOQUERON;0.09721639889299;0.55716366681421;21.46;5.731169567672289;3695.751;644.8511;3.0;enero
BOQUERONES FRESCOS;0.07953196934399;0.45681136787897;19.455;5.7437452089631345;3030.099;527.5476;4.0;enero
SARDINAS FRESCAS;0.01449362197128;0.08556771270564;4.466;5.903818443391864;567.5835999999999;96.13839;4.0;enero
ATUN Y BONITO;0.02584212053189;0.37730089661179;9.444;14.600229735256077;2502.694;171.4147;3.0;enero
TRUCHA FRESCA;0.01973163140246;0.21309689740909;7.665;10.799760702123805;1413.504;130.8829;3.0;enero
LENGUADO;0.00999377297807;0.15233106063623;3.712;15.242597662611114;1010.435;66.29021;3.0;enero
LENGUADO FRESCO;0.00904673445183;0.13536062051077;3.274;14.962373575948416;897.8675;60.00836;4.0;enero
LENGUADO CONGELADO;0.00094703897851;0.01697044012546;0.435;17.91947376036975;112.5675;6.281853;4.0;enero
BACALAO;0.07267742966538;0.67703986783884;18.135;9.315682612277953;4490.908;482.0804;3.0;enero
