Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;55.30065514901267;162.02237666342143;99.61;2.9298455185899206;156405.8601;53383.654226000006;0.0;enero
T.HUEVOS KGS;0.70808944411345;2.27067260839786;76.478;3.2067595799861013;2191.95959;683.543476;1.0;enero
T.HUEVOS UNDS.;11.69241184138018;2.27067260839786;76.478;0.1942005327217274;2191.95959;11287.0936;1.0;enero
TOTAL HUEVOS GALLINA;10.94750603147512;2.20239414073279;75.932;0.20117770516871197;2126.048;10568.01;2.0;enero
OTRAS AVES;0.74490580990506;0.06827846766506;3.603;0.09166053849649748;65.91158999999999;719.0835999999999;2.0;enero
MIEL;0.03286159955452;0.22743567286745;12.279;6.921016504084647;219.5516;31.722450000000002;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.03286159955452;0.22743567286745;12.279;6.921016504084647;219.5516;31.722450000000002;2.0;enero
TOTAL CARNE;3.31496860937415;27.56278582073528;95.064;8.314644592046074;26607.32;3200.055;1.0;enero
CARNE CERTIFICADA;0.36827984556886;3.74034532166063;43.951;10.156258526401535;3610.686;355.51340000000005;2.0;enero
CARNE FRESCA;2.39893317971247;17.96156899495032;85.657;7.487315256151939;17338.93;2315.774;2.0;enero
SALCHICHAS FRESCAS;0.0069191694743;0.05875271687445;2.387;8.49129611475187;56.71605;6.679316;3.0;enero
CARNE VACUNO;0.30768087830056;3.79352479155437;45.44;12.329413555068413;3662.022;297.01509999999996;3.0;enero
TERNERA;0.24947900650784;3.06800872852641;38.22;12.297662923513107;2961.656;240.83079999999998;4.0;enero
AÑOJO;0.04839744052465;0.61065592876323;11.045;12.617525268762199;589.4875;46.719739999999994;4.0;enero
MAYOR;0.00980434217981;0.11486003067373;4.783;11.715220518329913;110.8784;9.464474000000001;4.0;enero
CARNE POLLO;1.0367634754741;5.70052715655199;79.797;5.4983873288410345;5502.918;1000.824;3.0;enero
POLLO ENTERO;0.13305879195521;0.51443730366516;14.976;3.866240600157419;496.60429999999997;128.4463;4.0;enero
POLLO FILETES;0.15607805629895;1.20297314481942;37.78;7.70750977648811;1161.272;150.6676;4.0;enero
POLLO POR PIEZAS;0.74762631644696;3.98311701884036;64.23;5.327684340714231;3845.042;721.7098000000001;4.0;enero
CARNE CONEJO;0.0693459831614;0.62182137987557;12.319;8.96694158085868;600.2659;66.94210000000001;3.0;enero
