Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;45.01417514396076;137.47919927630312;99.939;3.0541312561349407;196998.487386;64502.298973;0.0;enero
T.HUEVOS KGS;0.63232829289854;1.9829708747551;78.84;3.1359831546763535;2841.4644900000003;906.084105;1.0;enero
T.HUEVOS UNDS.;10.10640557801082;1.9829708747551;78.84;0.1962093109611183;2841.4644900000003;14481.8025;1.0;enero
TOTAL HUEVOS GALLINA;9.83822661330446;1.95742223507823;78.703;0.1989608810627685;2804.855;14097.52;2.0;enero
OTRAS AVES;0.26817896470635;0.02554863967687;3.062;0.0952671276990235;36.60949;384.2825;2.0;enero
MIEL;0.01540161287075;0.10577500513839;5.851;6.867787550952719;151.5685;22.06948;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.01540161287075;0.10577500513839;5.851;6.867787550952719;151.5685;22.06948;2.0;enero
TOTAL CARNE;3.424383311926;26.41990857948177;99.177;7.715231086271773;37857.96;4906.912;1.0;enero
CARNE CERTIFICADA;0.46865895320086;4.27472799888977;41.445;9.121191368892196;6125.399;671.5569;2.0;enero
CARNE FRESCA;2.49910211588048;17.36804110933663;95.476;6.949712458315253;24887.24;3581.046;2.0;enero
SALCHICHAS FRESCAS;0.02864583254382;0.24547539167062;11.644;8.569322999954199;351.7498;41.04756;3.0;enero
CARNE VACUNO;0.21572913087751;2.79428408689305;35.048;12.952743449745636;4004.022;309.1254;3.0;enero
TERNERA;0.19011781555754;2.49491629573434;31.604;13.123001063407655;3575.048;272.42609999999996;4.0;enero
AÑOJO;0.01086424105762;0.14543910547616;5.611;13.386954938195872;208.4045;15.56773;4.0;enero
MAYOR;0.0147471161345;0.15392889504332;2.478;10.437898070333429;220.5698;21.13163;4.0;enero
CARNE POLLO;1.1103994060497;5.78246767336997;89.769;5.207556525936317;8285.889;1591.128;3.0;enero
POLLO ENTERO;0.28171602430101;1.02208683582407;23.147;3.6280748969109706;1464.582;403.6802;4.0;enero
POLLO FILETES;0.14470599376167;1.14139736524464;32.962;7.887699296854654;1635.546;207.354;4.0;enero
POLLO POR PIEZAS;0.68397752756087;3.61898417017056;80.119;5.29108636518538;5185.762;980.094;4.0;enero
CARNE CONEJO;0.0347997488362;0.23300376915784;7.752;6.69555893218005;333.8788;49.86571;3.0;enero
CARNE OVINO/CAPRINO;0.08055631109454;0.88402455793289;10.972;10.973995034297307;1266.748;115.43180000000001;3.0;enero
