Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.18924742978592;138.4110436471151;98.809;2.8138475557018188;184371.33913;65522.859885;0.0;enero
T.HUEVOS KGS;0.78028292911791;2.30799998633135;77.202;2.957901422937021;3074.3865299999998;1039.380997;1.0;enero
T.HUEVOS UNDS.;12.43530804605274;2.30799998633135;77.202;0.1856005478741608;3074.3865299999998;16564.5337;1.0;enero
TOTAL HUEVOS GALLINA;12.14684904921089;2.28116664382661;77.349;0.18779904439290024;3038.643;16180.29;2.0;enero
OTRAS AVES;0.28845899684185;0.02683334250473;2.616;0.0930230736379022;35.74353;384.2437;2.0;enero
MIEL;0.05481155381006;0.37884795126986;11.406;6.911826520785804;504.6469;73.01209;1.0;enero
GRANEL;0.02116960403627;0.19342647083423;2.379;9.136990493671608;257.655;28.19911;2.0;enero
ENVASADA;0.03364194977378;0.18542155550751;8.727;5.511617392996404;246.992;44.81298;2.0;enero
TOTAL CARNE;3.37587316014361;28.62874674341763;96.238;8.48039762909803;38135.11;4496.854;1.0;enero
CARNE CERTIFICADA;0.42003464071651;4.76149449994678;42.675;11.335956700676789;6342.58;559.5099;2.0;enero
CARNE FRESCA;2.50170157311041;19.30035158220345;89.243;7.714889653367775;25709.16;3332.408;2.0;enero
SALCHICHAS FRESCAS;0.0268702853804;0.21793879328241;7.606;8.110773302071873;290.3068;35.792739999999995;3.0;enero
CARNE VACUNO;0.28032353150338;3.55504723320257;50.285;12.68194366037255;4735.524;373.4068;3.0;enero
TERNERA;0.20968298770884;2.70116157151483;38.531;12.882120772075146;3598.1;279.3096;4.0;enero
AÑOJO;0.0532090467854;0.65175633219197;17.818;12.248975908561055;868.1763000000001;70.87746000000001;4.0;enero
MAYOR;0.01743148199475;0.20212902920822;6.377;11.595630782800136;269.2473;23.219720000000002;4.0;enero
CARNE POLLO;1.05841301247473;5.84709554707146;73.824;5.524398772649316;7788.662;1409.866;3.0;enero
POLLO ENTERO;0.15990657293457;0.74849066280937;11.025;4.680799851270818;997.0319000000001;213.0046;4.0;enero
POLLO FILETES;0.13008929558099;0.99759502453856;34.71;7.6685404443398015;1328.853;173.28629999999998;4.0;enero
POLLO POR PIEZAS;0.76841706888727;4.10101053537051;65.344;5.336959187162641;5462.778;1023.575;4.0;enero
CARNE CONEJO;0.04211720548787;0.35072046702412;8.816;8.327249231317678;467.1795;56.1025;3.0;enero
CARNE OVINO/CAPRINO;0.13946119490081;1.92486946166561;15.728;13.802186787762514;2564.035;185.77020000000002;3.0;enero
CORDERO;0.12330962852444;1.60162042566541;13.396;12.988607984882082;2133.449;164.25539999999998;4.0;enero
CABRITO;0.00449412897674;0.13789677184451;1.338;30.683759313140342;183.6863;5.986434;4.0;enero
OTRO OVINO/CAPRINO;0.01165747043126;0.18535248937133;1.195;15.899889299677174;246.9;15.52841;4.0;enero
OVINO/CAPRINO ENTE;0.01274484167348;0.18212980339979;1.215;14.290472025140119;242.6072;16.97685;4.0;enero
OVINO/CAPRINO PIEZ;0.12671639076327;1.74273980840958;14.645;13.753073283671045;2321.428;168.7934;4.0;enero
CARNE CERDO;0.74822160516583;5.88867336105017;74.736;7.87022630781294;7844.046;996.6735;3.0;enero
CARNE CERDO ADOBAD;0.09236920066722;0.71912922195457;23.753;7.78537885745402;957.9208000000001;123.041;4.0;enero
CARN.CERDO IBERICO;0.0190991213887;0.3173043184725;4.47;16.613555776457865;422.6673;25.441110000000002;4.0;enero
CARNE DESPOJOS;0.02826316917456;0.2857633155181;8.527;10.110802286646832;380.65290000000005;37.64814;3.0;enero
DESPOJOS CERDO;0.01039798187337;0.0867554000181;3.77;8.343484444829503;115.5631;13.850700000000002;4.0;enero
DESPOJOS CORDERO;0.00188705875498;0.01229590428114;1.075;6.515909612602138;16.37884;2.5136689999999997;4.0;enero
DESPOJOS POLLO;0.00401759440796;0.01220308539987;1.099;3.0374109879489803;16.255200000000002;5.351662999999999;4.0;enero
DESPOJOS TERNERA;0.01081439061701;0.16543021224723;1.954;15.297229229635041;220.3624;14.40538;4.0;enero
DESPOJOS OT.PROCED;0.00114615177914;0.00907866102142;0.67;7.920993699643489;12.093290000000001;1.526739;4.0;enero
OTRAS CARNES FRESCA;0.20490135892876;1.44818174624007;44.734;7.067702009451154;1929.06;272.9402;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.11195868411559;0.7866257551153;27.542;7.026036089376559;1047.83;149.1353;4.0;enero
OTRAS AVES;0.01596405181665;0.10777305104759;5.581;6.750983540104829;143.5598;21.26502;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.06908600019859;0.41172568424684;10.981;5.959610964064032;548.4419;92.02646;2.0;enero
C.CONG.POLLO;0.04973810559025;0.21678426272994;8.885;4.358514667121081;288.76890000000003;66.25397;3.0;enero
C.CONG.CERDO;0.00676412792663;0.05059508121081;2.129;7.479911935371921;67.39551;9.010200999999999;3.0;enero
C.CONG.VACA;0.00851092987485;0.11452163834287;1.698;13.455831504519697;152.5493;11.33704;3.0;enero
RESTO CARNES CONG.;0.00407283830828;0.02982466442727;1.373;7.322820640003568;39.728139999999996;5.425251;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.80508593216529;8.91667090333318;91.145;11.075427537718431;11877.51;1072.42;2.0;enero
JAMON CURADO+PALETA;0.14743803334173;2.70905763260518;50.774;18.37421166847764;3608.618;196.39579999999998;3.0;enero
JAMON C.+P.ENTERO;0.05647181363749;0.76390900206396;5.724;13.52726170559392;1017.57;75.22364999999999;4.0;enero
JAMON C.+P.LONCHA;0.09096625724018;1.94514863054121;48.32;21.383188553149978;2591.048;121.1722;4.0;enero
