Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;54.44481316160672;162.28904620986603;99.063;2.9807990290672657;446092.567107;149655.36514100002;0.0;enero
T.HUEVOS KGS;0.6961432636734;2.34463437623428;67.437;3.3680342805618952;6444.821707;1913.526161;1.0;enero
T.HUEVOS UNDS.;10.90679727032449;2.34463437623428;67.437;0.214970015314544;6444.821707;29980.09605;1.0;enero
TOTAL HUEVOS GALLINA;10.87176464422711;2.34147086691086;67.452;0.21537173987243927;6436.126;29883.8;2.0;enero
OTRAS AVES;0.03503262609737;0.00316350932341;0.492;0.09030180365653627;8.695707;96.29605000000001;2.0;enero
MIEL;0.02041876148511;0.13298337361392;5.519;6.512803125246098;365.5385;56.12614;1.0;enero
GRANEL;0.00945844033369;0.06940557133657;2.391;7.33795096103992;190.7788;25.99892;2.0;enero
ENVASADA;0.01096032115142;0.06357783865747;3.236;5.800727714007465;174.75979999999998;30.12722;2.0;enero
TOTAL CARNE;3.44955389940088;27.26759340244547;96.341;7.9046723714568685;74951.89;9481.973;1.0;enero
CARNE CERTIFICADA;0.64552316761865;5.61690256223277;50.362;8.701318316666516;15439.48;1774.384;2.0;enero
CARNE FRESCA;2.67932656576208;19.21512495544461;87.899;7.171624840729045;52817.64;7364.808;2.0;enero
SALCHICHAS FRESCAS;0.00561048874569;0.04207358146983;2.233;7.499093818186533;115.64989999999999;15.421850000000001;3.0;enero
CARNE VACUNO;0.38232203770939;4.60048180845113;49.857;12.033001905969021;12645.59;1050.909;3.0;enero
TERNERA;0.33509677547614;4.0266325859003;46.049;12.016327462950755;11068.22;921.0984;4.0;enero
AÑOJO;0.02568524701795;0.33624827928262;6.965;13.091105530250312;924.2636;70.60241;4.0;enero
MAYOR;0.0215399060749;0.23760083412782;3.91;11.03072749256898;653.1061;59.20789;4.0;enero
CARNE POLLO;1.03814732993051;5.45320290097942;74.931;5.252821775637956;14989.51;2853.611;3.0;enero
POLLO ENTERO;0.23904814475378;0.97230730216353;18.348;4.067412040218882;2672.633;657.0844000000001;4.0;enero
POLLO FILETES;0.13177024187088;0.99581177516008;30.647;7.557182570369893;2737.241;362.20390000000003;4.0;enero
POLLO POR PIEZAS;0.66732868864495;3.48508527886091;63.85;5.222441861352587;9579.64;1834.322;4.0;enero
CARNE CONEJO;0.04289624530074;0.35537684136187;7.448;8.284567538961523;976.8433;117.9112;3.0;enero
CARNE OVINO/CAPRINO;0.03375450125594;0.39018705754768;3.997;11.559556297072302;1072.528;92.78280000000001;3.0;enero
CORDERO;0.0279869158422;0.27372237202171;3.499;9.780369282741141;752.3953;76.92913;4.0;enero
CABRITO;0.00576758541374;0.11646468552596;0.48;20.192971091236288;320.1327;15.85367;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.02083014797076;0.23390781459026;0.72;11.229292029926853;642.9549000000001;57.25694;4.0;enero
OVINO/CAPRINO PIEZ;0.01292435692319;0.15627924295742;3.279;12.091838989446279;429.57309999999995;35.525870000000005;4.0;enero
CARNE CERDO;0.98267563859867;6.90022976194443;71.612;7.0218793373003106;18967.03;2701.133;3.0;enero
CARNE CERDO ADOBAD;0.07716363359901;0.62797484915249;19.691;8.138222888981716;1726.148;212.10379999999998;4.0;enero
CARN.CERDO IBERICO;0.01357296367045;0.09662762045697;2.516;7.119124665996403;265.6055;37.308730000000004;4.0;enero
CARNE DESPOJOS;0.03675844479203;0.23640581968845;9.058;6.431333562285792;649.8213000000001;101.03989999999999;3.0;enero
DESPOJOS CERDO;0.01558886659049;0.1057469179629;2.879;6.783489829042975;290.67220000000003;42.84995;4.0;enero
DESPOJOS CORDERO;0.00054906926227;0.00328385987953;0.169;5.980775295907387;9.026521;1.5092560000000002;4.0;enero
DESPOJOS POLLO;0.00443933603217;0.01821293610767;1.711;4.102626153029181;50.062870000000004;12.202639999999999;4.0;enero
DESPOJOS TERNERA;0.0138014308733;0.09182005932283;4.127;6.65293766753223;252.3907;37.936730000000004;4.0;enero
DESPOJOS OT.PROCED;0.00237974858222;0.01734206860737;0.554;7.287353267876837;47.66907;6.541341999999999;4.0;enero
OTRAS CARNES FRESCA;0.16277240455489;1.27924134755365;35.89;7.8590799899513035;3516.319;447.4212;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.08442667146189;0.69265071282851;20.468;8.204169379591594;1903.926;232.06810000000002;4.0;enero
OTRAS AVES;0.00482972390802;0.04358761325026;2.184;9.02486644792147;119.81160000000001;13.27572;2.0;enero
