Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;47.55672294197702;159.56567134168486;99.299;3.355270537382646;355087.67307;105829.818822;0.0;enero
T.HUEVOS KGS;0.8913530961631;2.93331976675223;83.473;3.290861701584831;6527.63017;1983.562593;1.0;enero
T.HUEVOS UNDS.;14.00165937503788;2.93331976675223;83.473;0.20949800935607316;6527.63017;31158.4353;1.0;enero
TOTAL HUEVOS GALLINA;13.91363893356907;2.92245572643462;83.234;0.21004251586432127;6503.454;30962.56;2.0;enero
OTRAS AVES;0.08802044146881;0.01086404031761;1.37;0.1234263329781754;24.17617;195.87529999999998;2.0;enero
MIEL;0.00944111089307;0.07960432957447;1.749;8.431669797764554;177.1466;21.00967;1.0;enero
GRANEL;0.00185100267679;0.01665902768609;0.487;9.000001942168064;37.07198;4.119108;2.0;enero
ENVASADA;0.00759011181123;0.06294529290097;1.45;8.293065302118283;140.0746;16.89057;2.0;enero
TOTAL CARNE;3.42005367435867;32.11910532964652;96.26;9.39140387487324;71475.89;7610.778;1.0;enero
CARNE CERTIFICADA;0.46748073555638;5.36899379959746;52.21;11.484951980336497;11947.83;1040.303;2.0;enero
CARNE FRESCA;2.5709694653986;21.466677737536;91.587;8.3496432090872;47770.63;5721.278;2.0;enero
SALCHICHAS FRESCAS;0.02904289952871;0.27454417781643;13.327;9.453056763322584;610.9538;64.63029;3.0;enero
CARNE VACUNO;0.43038925918687;5.94135609488851;57.678;13.804610519587385;13221.53;957.7619;3.0;enero
TERNERA;0.26485985451456;3.48974957991944;46.49;13.175834391042187;7765.875;589.4029;4.0;enero
AÑOJO;0.11773677105118;1.7623851576911;23.124;14.968859277828368;3921.904;262.0042;4.0;enero
MAYOR;0.04779263362112;0.6892231547571;13.003;14.421116865435318;1533.755;106.3548;4.0;enero
CARNE POLLO;0.92653623701179;5.7702810176982;75.328;6.227798533069946;12840.83;2061.857;3.0;enero
POLLO ENTERO;0.18087565245558;0.87666742510952;18.829;4.846796200637202;1950.882;402.5096;4.0;enero
POLLO FILETES;0.14886731228427;1.23845638720869;37.855;8.319196257428002;2755.985;331.28020000000004;4.0;enero
POLLO POR PIEZAS;0.59679363176776;3.65515495853106;68.664;6.124654761653771;8133.958;1328.068;4.0;enero
CARNE CONEJO;0.06211193663449;0.51181106485721;15.959;8.240140182216624;1138.953;138.2201;3.0;enero
CARNE OVINO/CAPRINO;0.05795513131131;0.90072308844588;9.603;15.541731475120534;2004.414;128.9698;3.0;enero
CORDERO;0.05795513131131;0.90072308844588;9.603;15.541731475120534;2004.414;128.9698;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
