Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;50.63189273421732;141.43441223773888;98.859;2.793385840426161;202667.900123;72552.77706000001;0.0;enero
T.HUEVOS KGS;0.66365198020155;2.09504125206526;78.3;3.1568371896200573;3002.08135;950.977567;1.0;enero
T.HUEVOS UNDS.;10.69577696658755;2.09504125206526;78.3;0.19587555524109604;3002.08135;15326.472699999998;1.0;enero
TOTAL HUEVOS GALLINA;10.30915204695702;2.05960352881891;78.587;0.19978398993803334;2951.301;14772.46;2.0;enero
OTRAS AVES;0.38662491963052;0.03543772324634;2.079;0.09165918037618993;50.78035;554.0127;2.0;enero
MIEL;0.00565501701154;0.02706459646476;1.099;4.785944305646996;38.78211;8.103335;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.00565501701154;0.02706459646476;1.099;4.785944305646996;38.78211;8.103335;2.0;enero
TOTAL CARNE;3.24474574060927;26.62299578865122;96.148;8.204955924728994;38149.32;4649.546;1.0;enero
CARNE CERTIFICADA;0.40274359902847;3.83404840552631;41.536;9.519824560278726;5493.985;577.1099;2.0;enero
CARNE FRESCA;2.16466958262969;15.84559168073297;88.31;7.320097167662577;22705.88;3101.855;2.0;enero
SALCHICHAS FRESCAS;0.04109598880977;0.36246609176386;13.754;8.81998711459688;519.3944;58.88834;3.0;enero
CARNE VACUNO;0.21398800960437;2.75750343391363;42.958;12.886252080253515;3951.354;306.63329999999996;3.0;enero
TERNERA;0.17990766462738;2.28731689694272;35.546;12.71383796615955;3277.602;257.798;4.0;enero
AÑOJO;0.0224181972398;0.33022656959292;7.916;14.730291024767409;473.1969;32.12407;4.0;enero
MAYOR;0.01166213377992;0.13995996737799;3.205;12.001231508669932;200.5551;16.711209999999998;4.0;enero
CARNE POLLO;1.00065028565226;5.31046534004469;77.228;5.307014264811929;7609.611;1433.878;3.0;enero
POLLO ENTERO;0.24856453511631;0.89020719805552;17.41;3.581392645732658;1275.619;356.1796;4.0;enero
POLLO FILETES;0.12555761204145;0.92471651936842;29.812;7.364878196815982;1325.069;179.91729999999998;4.0;enero
POLLO POR PIEZAS;0.62652792913561;3.49554232048366;72.557;5.579228248142531;5008.924;897.7808;4.0;enero
CARNE CONEJO;0.0380540183059;0.30592014371902;10.361;8.039102237766956;438.3671;54.529360000000004;3.0;enero
CARNE OVINO/CAPRINO;0.02829066484739;0.43413410117293;3.933;15.345489528602087;622.0908000000001;40.539;3.0;enero
CORDERO;0.02829066484739;0.43413410117293;3.933;15.345489528602087;622.0908000000001;40.539;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.02829066484739;0.43413410117293;3.933;15.345489528602087;622.0908000000001;40.539;4.0;enero
CARNE CERDO;0.72615358320744;5.81170049611637;74.901;8.003404005039695;8327.854;1040.539;3.0;enero
CARNE CERDO ADOBAD;0.04845211996043;0.39621795266518;18.508;8.177515307662704;567.759;69.42928;4.0;enero
CARN.CERDO IBERICO;0.02628900557455;0.27996257418029;8.497;10.649416669122152;401.1713;37.670730000000006;4.0;enero
CARNE DESPOJOS;0.03013123642279;0.18121015597821;9.329;6.014029873699638;259.6644;43.17644;3.0;enero
DESPOJOS CERDO;0.01071621548723;0.07111774449794;4.808;6.636460845962687;101.9079;15.35576;4.0;enero
DESPOJOS CORDERO;0.00519826642934;0.04272527540801;2.762;8.219139205105334;61.22302;7.448836;4.0;enero
DESPOJOS POLLO;0.0126857172368;0.05358806304399;2.721;4.224283266264898;76.78881;18.17795;4.0;enero
DESPOJOS TERNERA;0.00153103866513;0.01377908698551;0.369;8.999829527014953;19.74469;2.193896;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.12740199394839;1.04465542769529;34.965;8.199678790886512;1496.935;182.5602;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.05190298928406;0.39036330149789;15.403;7.521017707890332;559.3696;74.37419;4.0;enero
OTRAS AVES;0.00810932064118;0.06014074461674;2.997;7.416249434175945;86.17845;11.62022;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.21250281774151;1.07970140559241;18.422;5.080880418751607;1547.154;304.50509999999997;2.0;enero
C.CONG.POLLO;0.15982603107494;0.63941452621346;12.357;4.000690763031166;916.2466;229.0221;3.0;enero
C.CONG.CERDO;0.03811580011006;0.31502097403736;6.194;8.264839597428608;451.4081;54.61789;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.01456102144964;0.12526562619641;3.66;8.602804867060689;179.4989;20.86516;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.86757341002435;9.69771247240669;93.821;11.177973368425963;13896.3;1243.186;2.0;enero
JAMON CURADO+PALETA;0.16852175196917;3.02732026762793;55.842;17.963973387730626;4337.987;241.48260000000002;3.0;enero
JAMON C.+P.ENTERO;0.0669905692415;0.91227292567114;6.302;13.617930643078497;1307.238;95.99388;4.0;enero
JAMON C.+P.LONCHA;0.1015311687704;2.11504664409386;54.813;20.83150100317069;3030.748;145.48870000000002;4.0;enero
JAMON CURADO NORMAL;0.15905293853398;2.75040616803391;53.924;17.292394553566847;3941.184;227.9143;3.0;enero
JAMON C.N.ENTER/PI;0.0669905692415;0.91227292567114;6.302;13.617930643078497;1307.238;95.99388;4.0;enero
JAMON C.N.LONCHA;0.09206235533522;1.83813324236276;52.883;19.966176573145624;2633.946;131.9204;4.0;enero
JAMON IBERICO;0.00460536000031;0.16757712472287;4.935;36.38741047633869;240.129;6.599233;3.0;enero
JAMON IBE.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
JAMON IBE.LONCHA;0.00460536000031;0.16757712472287;4.935;36.38741047633869;240.129;6.599233;4.0;enero
PALETA CURADA NORM.;0.00452466471534;0.09259294051205;4.012;20.464044594971224;132.6807;6.483600999999999;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00452466471534;0.09259294051205;4.012;20.464044594971224;132.6807;6.483600999999999;4.0;enero
PALETA IBERICA;0.00033879430242;0.01674367844899;0.651;49.42136963050544;23.99279;0.485474;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.00033879430242;0.01674367844899;0.651;49.42136963050544;23.99279;0.485474;4.0;enero
HUESOS JAMON CURADO;0.00388690454296;0.01635394992361;2.131;4.207448303102937;23.434330000000003;5.569725;3.0;enero
LOMO EMBUCHADO N+IB;0.03138334207091;0.67995861711289;22.131;21.66622712062804;974.3441;44.970639999999996;3.0;enero
LOMO EMB.AL CORTE;0.01050530735604;0.26331540319427;11.683;25.064988036036702;377.3168;15.053540000000002;4.0;enero
LOMO EMB.ENVASADO;0.02087804169349;0.41664314413232;13.594;19.956045219608445;597.0272;29.91711;4.0;enero
LOMO EMB.NORMAL;0.03007103876745;0.62097824406364;20.809;20.65037556120675;889.8284;43.090180000000004;4.0;enero
LOMO E.N.AL CORTE;0.00933265340118;0.21703808927535;10.515;23.25577517406094;311.00390000000004;13.373190000000001;5.0;enero
LOMO E.N.ENVASADO;0.02073838536627;0.40394022457458;13.55;19.477901362150067;578.8246;29.716990000000003;5.0;enero
LOMO EMB.IBERICO;0.00131230818849;0.05898031024157;1.947;44.94394743433413;84.51561;1.880467;4.0;enero
LOMO E.I.AL CORTE;0.00117265255914;0.04627736974795;1.282;39.46383725275955;66.31298;1.680348;5.0;enero
LOMO E.I.ENVASADO;0.00013965562935;0.01270294049362;0.542;90.9590293775204;18.202630000000003;0.200119;5.0;enero
OTRAS SALAZONES;0.03010071887737;0.22145898107687;11.079;7.357265518442964;317.3388;43.132709999999996;3.0;enero
O.SALAZONES AL COR;0.02069737894119;0.15259072790997;7.259;7.372466259786912;218.65429999999998;29.65823;4.0;enero
O.SALAZONES ENVASA;0.00940333295755;0.06886821827375;4.799;7.3238093965848;98.68445;13.47447;4.0;enero
TOCINO Y MANTECA;0.05020400013754;0.47256513294185;29.663;9.412898009066767;677.1604;71.93963000000001;3.0;enero
TOCINO;0.00094086506729;0.01131461898247;0.458;12.025761584442767;16.21324;1.348209;4.0;enero
CHORIZOS;0.04421524763186;0.46440913922868;31.889;10.50337076239854;665.4733;63.35807;3.0;enero
CHOR.IBERICO;0.00183739769484;0.03633479811337;3.089;19.775140795748552;52.06581;2.632892;4.0;enero
CHOR.NORMAL;0.04237785133273;0.42807427830764;28.875;10.10136816391487;613.4074;60.72518;4.0;enero
CHORIZO DE PAVO;0.00019793276594;0.00314004048192;0.387;15.864177246877059;4.499509;0.283627;4.0;enero
CHORIZO DE CERDO;0.04325576288403;0.44221360911024;31.396;10.223229914954349;633.6683;61.98318;4.0;enero
SALCHICHON/SALAMI;0.04542438586009;0.54333959867025;29.776;11.961407697259364;778.5764;65.0907;3.0;enero
SALCHICHON DE PAVO;0.00180591360928;0.02738474107855;2.216;15.163926412515451;39.24086;2.587777;4.0;enero
SALCHICHON DE CERD;0.04361847015722;0.51595489946347;29.316;11.828816957671739;739.3356;62.502919999999996;4.0;enero
FUET/LONGANIZAS;0.06929884156615;0.91233852478547;37.571;13.165278151359432;1307.332;99.30151;3.0;enero
FUET/LONGANIZ.PAVO;0.00066179038411;0.01058865312438;0.771;16.00001054507492;15.17297;0.94831;4.0;enero
FUET/LONGANIZ.CERD;0.06846289949077;0.89722630328838;37.088;13.10529220880161;1285.677;98.10364999999999;4.0;enero
OTROS PROD.CURADOS;0.0084400867286;0.12177889369741;10.483;14.428630606927788;174.5026;12.094190000000001;3.0;enero
O.PROD.CURAD.CORTE;0.00516977966501;0.07827900440727;5.235;15.141651961874812;112.1696;7.408016;4.0;enero
O.PROD.CURAD.ENVAS;0.00327030776144;0.04349993116191;5.506;13.301479351496688;62.333059999999996;4.686175;4.0;enero
SALCHICHAS;0.11362792459726;0.47424363283309;29.397;4.1736539192631;679.5656;162.8227;3.0;enero
JAMON COCIDO;0.07994529169744;0.82029319730545;43.834;10.260681772353223;1175.436;114.5573;3.0;enero
J.COC.SIN/BAJO SAL;0.00504735008393;0.05522976462354;4.39;10.942328886465289;79.14128;7.232581;4.0;enero
PALETA COCIDA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
FIAMBRES;0.1637191989376;1.34669538380194;58.572;8.225641174284146;1929.742;234.6008;3.0;enero
PAVO;0.09069628867253;0.83022797381123;42.516;9.153935469276233;1189.672;129.9629;4.0;enero
POLLO;0.00192150552949;0.02520824620877;2.144;13.119007893473336;36.12206;2.7534140000000003;4.0;enero
PROD.A BASE SANGRE;0.01288529207419;0.09112470671811;5.311;7.071993882125852;130.5768;18.46393;3.0;enero
MORCILLA;0.01288529207419;0.09112470671811;5.311;7.071993882125852;130.5768;18.46393;4.0;enero
FOIE-GRAS Y PATES;0.01911443741936;0.19318680959681;16.728;10.106853022056258;276.8263;27.38996;3.0;enero
COCIDOS Y OTROS;0.02680564047164;0.31264216870754;19.05;11.66329784353665;447.99940000000004;38.41104;3.0;enero
COCIDOS Y O. CORTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
COCIDOS Y O.ENVASA;0.02680564047164;0.31264216870754;19.05;11.66329784353665;447.99940000000004;38.41104;4.0;enero
COCIDOS DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
COCIDOS DE CERDO;0.02680564047164;0.31264216870754;19.05;11.66329784353665;447.99940000000004;38.41104;4.0;enero
TOTAL PESCA;1.41902678170121;15.67849538356084;90.052;11.048766369838727;22466.44;2033.389;1.0;enero
PESCADOS;0.75311481919536;7.80286809784631;77.357;10.360794793791172;11181.09;1079.173;2.0;enero
PESCADOS FRESCOS;0.62528999010473;6.52778950031522;70.401;10.439619382395382;9353.971;896.0069;3.0;enero
PESCADOS CONGELADOS;0.12782482909062;1.27507720180525;38.064;9.975191915971351;1827.117;183.1661;3.0;enero
