Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;50.37670329933157;142.62346530099063;98.928;2.831139315598745;6692906.283;2364032.8281;0.0;enero
T.HUEVOS KGS;0.72686987505211;2.32909696420366;78.911;3.2042832481352397;109297.777;34109.898700000005;1.0;enero
T.HUEVOS UNDS.;11.53721871261623;2.32909696420366;78.911;0.2018768147003;109297.777;541408.27;1.0;enero
TOTAL HUEVOS GALLINA;11.32403125788809;2.30721884051668;78.621;0.20374536134466434;108271.1;531404.0;2.0;enero
OTRAS AVES;0.21318745472813;0.02187812368697;2.638;0.10262387960340932;1026.677;10004.27;2.0;enero
MIEL;0.01700634219392;0.12175528495793;5.52;7.159404625024935;5713.623;798.0584;1.0;enero
GRANEL;0.00441815452938;0.03962426434603;1.007;8.968510286922566;1859.452;207.33120000000002;2.0;enero
ENVASADA;0.01258818766453;0.08213102061189;4.529;6.524451557334757;3854.171;590.7271999999999;2.0;enero
TOTAL CARNE;3.14435763877658;26.68766822718233;96.206;8.487478618229332;1252375.0;147555.6;1.0;enero
CARNE CERTIFICADA;0.40105755803145;3.99557358935178;44.19;9.962593920343116;187500.7;18820.47;2.0;enero
CARNE FRESCA;2.2679025431783;17.03144708817599;89.697;7.509779086145222;799236.5;106426.1;2.0;enero
SALCHICHAS FRESCAS;0.02396397579124;0.21186493546233;8.353;8.84097602617913;9942.208;1124.56;3.0;enero
CARNE VACUNO;0.27266289051913;3.50271130500468;47.192;12.846307388349453;164372.1;12795.28;3.0;enero
TERNERA;0.20137383434756;2.54046570455297;38.995;12.615669323593256;119216.7;9449.891;4.0;enero
AÑOJO;0.05487547162169;0.758165675436;13.852;13.816112245242698;35578.52;2575.147;4.0;enero
MAYOR;0.01641354832346;0.20408060692438;5.052;12.433667778743853;9576.912;770.2403;4.0;enero
CARNE POLLO;0.96365736451602;5.33919366687964;75.837;5.540551925902748;250552.9;45221.65;3.0;enero
POLLO ENTERO;0.18451754189677;0.71245179609929;16.532;3.8611602386176314;33433.3;8658.874;4.0;enero
POLLO FILETES;0.13290758177666;1.01537118785197;33.586;7.639678446321995;47648.43;6236.968;4.0;enero
POLLO POR PIEZAS;0.64623228346187;3.61137132221775;66.537;5.58834867065381;169471.2;30325.81;4.0;enero
CARNE CONEJO;0.04525917410494;0.39072834629927;9.563;8.633130277482458;18335.75;2123.882;3.0;enero
CARNE OVINO/CAPRINO;0.04789688211825;0.69117134406079;8.74;14.430403681692354;32434.67;2247.662;3.0;enero
CORDERO;0.04295549479667;0.61254002796281;7.976;14.259875968423094;28744.73;2015.777;4.0;enero
CABRITO;0.00245275093864;0.0404168553288;0.522;16.478173422356985;1896.646;115.1005;4.0;enero
OTRO OVINO/CAPRINO;0.00248862785907;0.03821426898235;0.371;15.355557819942954;1793.285;116.78410000000001;4.0;enero
OVINO/CAPRINO ENTE;0.0105226884034;0.11732567010079;0.594;11.149780892763516;5505.754;493.7993;4.0;enero
OVINO/CAPRINO PIEZ;0.03737420010773;0.57384554610212;8.217;15.354055590430951;26928.91;1753.863;4.0;enero
CARNE CERDO;0.72076980341802;5.45929483316641;71.074;7.574255757215959;256188.9;33823.64;3.0;enero
CARNE CERDO ADOBAD;0.08394662378237;0.67743940801481;22.242;8.069882712269875;31790.27;3939.372;4.0;enero
CARN.CERDO IBERICO;0.02285593811498;0.25541976405989;5.55;11.175203694328445;11986.11;1072.563;4.0;enero
CARNE DESPOJOS;0.02852357949053;0.19398040996049;7.465;6.80070360821469;9102.939;1338.529;3.0;enero
DESPOJOS CERDO;0.01186244930399;0.0873179802969;3.292;7.360872789356144;4097.58;556.6704;4.0;enero
DESPOJOS CORDERO;0.0012720987249;0.01097128842151;0.493;8.624557360797413;514.8507999999999;59.695910000000005;4.0;enero
DESPOJOS POLLO;0.00867409790052;0.03807631033251;2.268;4.38965651173823;1786.811;407.0503;4.0;enero
DESPOJOS TERNERA;0.00545130371582;0.04914368821091;1.931;9.01503397587074;2306.171;255.8139;4.0;enero
DESPOJOS OT.PROCED;0.00126363282863;0.00847114909153;0.372;6.70380580461977;397.5265;59.298629999999996;4.0;enero
OTRAS CARNES FRESCA;0.18913272115349;1.45436630910918;39.764;7.689659939534341;68249.2;8875.451;3.0;enero
AVESTRUZ;3.947739826e-05;0.00031553491543;0.02;7.992799153603661;14.807139999999999;1.85256;4.0;enero
PAVO;0.08826800694619;0.69014592388306;23.05;7.8187550366209715;32386.55;4142.162;4.0;enero
OTRAS AVES;0.01035146965768;0.07827834311743;3.281;7.56205115853464;3673.376;485.7645;2.0;enero
CARNE CABALLO;0.00145795016541;0.02065239496542;0.426;14.165364122391122;969.1571;68.41738000000001;4.0;enero
CARNE CONGELADA;0.09433518287936;0.51487941085659;12.301;5.457978615624513;24161.8;4426.877;2.0;enero
C.CONG.POLLO;0.067879448842;0.28960853431666;8.885;4.26651275544;13590.49;3185.386;3.0;enero
C.CONG.CERDO;0.01315057053882;0.10176046518758;2.981;7.738102684380398;4775.324;617.1182;3.0;enero
C.CONG.VACA;0.00329834966646;0.03826794798127;0.754;11.602150120815082;1795.804;154.782;3.0;enero
RESTO CARNES CONG.;0.01000680743917;0.08524242075177;2.279;8.518443196785283;4000.18;469.5905;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.00024835625561;0.00223159303692;0.085;8.985451288070674;104.7222;11.654639999999999;3.0;enero
CARNE TRANSFORMADA;0.7821202749829;9.14134599007899;90.974;11.687903104517822;428976.9;36702.64;2.0;enero
