Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;51.61650876941663;136.1417604196299;99.399;2.6375623548622373;261102.11513999998;98993.72223700001;0.0;enero
T.HUEVOS KGS;0.71160495883298;2.54396531536585;80.901;3.5749685043480905;4878.99321;1364.765369;1.0;enero
T.HUEVOS UNDS.;11.21773724604307;2.54396531536585;80.901;0.22678061177294956;4878.99321;21514.154899999998;1.0;enero
TOTAL HUEVOS GALLINA;11.10051085875105;2.53291544403472;80.985;0.22818007894095305;4857.801;21289.33;2.0;enero
OTRAS AVES;0.11722638729202;0.01104987133112;1.219;0.09426095597062426;21.19221;224.82489999999999;2.0;enero
MIEL;0.04355079672983;0.34585092349199;7.699;7.94132253509559;663.2969;83.52474000000001;1.0;enero
GRANEL;0.02023064249469;0.20449729363687;1.09;10.108294568029208;392.1991;38.799730000000004;2.0;enero
ENVASADA;0.02332015944925;0.14135362985512;6.668;6.061434964143114;271.0978;44.725019999999994;2.0;enero
TOTAL CARNE;2.73575042426536;22.02396065088261;98.311;8.05042757392489;42239.08;5246.812;1.0;enero
CARNE CERTIFICADA;0.37326618974937;3.4391904011273;40.448;9.213774232904646;6595.918;715.8758;2.0;enero
CARNE FRESCA;1.53081487917843;12.16230891945339;81.1;7.9449900081848766;23325.72;2935.903;2.0;enero
SALCHICHAS FRESCAS;0.00637333285448;0.04415057167041;1.502;6.927391472950663;84.67502999999999;12.22322;3.0;enero
CARNE VACUNO;0.29055899355144;3.51560749224463;51.043;12.099461969061876;6742.476;557.2542;3.0;enero
TERNERA;0.11628862791774;1.4348849890267;29.513;12.338996638962922;2751.922;223.0264;4.0;enero
AÑOJO;0.14931334810912;1.76969402400437;27.252;11.852215802642446;3394.042;286.3635;4.0;enero
MAYOR;0.02495703838105;0.31102827064876;7.716;12.462547274233803;596.5115999999999;47.86434;4.0;enero
CARNE POLLO;0.60816810857861;3.8698109657463;57.597;6.363061316698489;7421.792;1166.387;3.0;enero
POLLO ENTERO;0.12184343788042;0.49069467630938;11.883;4.027255672077775;941.0883;233.6798;4.0;enero
POLLO FILETES;0.14633572094278;1.23098841408601;27.996;8.41208425499407;2360.875;280.6528;4.0;enero
POLLO POR PIEZAS;0.33998863690824;2.14812803177448;44.094;6.318234783694228;4119.829;652.0538;4.0;enero
CARNE CONEJO;0.01952882202332;0.15245871349658;5.447;7.806856620155056;292.39590000000004;37.45373;3.0;enero
CARNE OVINO/CAPRINO;0.01587905836735;0.22172787260945;3.16;13.963540373731364;425.2451;30.45396;3.0;enero
CORDERO;0.01245180725683;0.17735816714297;2.522;14.243568301750265;340.14979999999997;23.88094;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.00342725111052;0.04436969503824;0.639;12.94614652016881;85.09528;6.5730200000000005;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.01587905836735;0.22172787260945;3.16;13.963540373731364;425.2451;30.45396;4.0;enero
CARNE CERDO;0.42011646037969;3.03138734441906;52.837;7.215588129251975;5813.805;805.7285;3.0;enero
CARNE CERDO ADOBAD;0.05448775630533;0.4199100333926;13.339;7.70650255884188;805.3326;104.5004;4.0;enero
CARN.CERDO IBERICO;0.0128976353221;0.14897010262895;2.983;11.550187217163016;285.7052;24.735979999999998;4.0;enero
CARNE DESPOJOS;0.01656877165348;0.08437915572505;6.139;5.092662117007598;161.8282;31.77674;3.0;enero
DESPOJOS CERDO;0.00627698635618;0.03155282121154;2.65;5.026746821016676;60.51419;12.038440000000001;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.00741795560587;0.03584562135675;2.665;4.832277686907759;68.74722;14.22667;4.0;enero
DESPOJOS TERNERA;0.00287383073424;0.01698073401324;0.81;5.908745358906401;32.56683;5.511632;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.15999473240806;1.28693591525885;29.967;8.043614285853955;2468.175;306.849;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.0670151995782;0.51250815338828;14.74;7.6476404847564385;982.9236999999999;128.5264;4.0;enero
OTRAS AVES;0.00802654762236;0.05557735083656;2.682;6.924191252751907;106.5901;15.393870000000001;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.38946718870503;1.99608691710072;30.122;5.125173506239799;3828.234;746.9472;2.0;enero
C.CONG.POLLO;0.30067334236552;1.31192927519566;26.481;4.363304258615505;2516.109;576.6522;3.0;enero
C.CONG.CERDO;0.05969561876306;0.41877429390467;9.277;7.01515961442382;803.1544;114.4884;3.0;enero
C.CONG.VACA;0.01959213186108;0.1745419169721;4.578;8.908776145936875;334.74859999999995;37.57515;3.0;enero
RESTO CARNES CONG.;0.00950610092947;0.09084163959305;2.25;9.556140868586498;174.2224;18.23146;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.00051334778303;0.00295191425792;0.184;5.7503204561752055;5.661386;0.984534;3.0;enero
CARNE TRANSFORMADA;0.81546846066428;7.86557211409565;94.21;9.645464531746935;15085.14;1563.962;2.0;enero
JAMON CURADO+PALETA;0.16417760327393;1.78437437717792;43.67;10.868561494350708;3422.197;314.8712;3.0;enero
JAMON C.+P.ENTERO;0.06941129600774;0.24304569549809;5.491;3.50152942643504;466.1299;133.12179999999998;4.0;enero
JAMON C.+P.LONCHA;0.09476630726619;1.54132862953863;43.03;16.26452136843368;2956.067;181.74939999999998;4.0;enero
JAMON CURADO NORMAL;0.14130993553454;1.19521799075926;37.954;8.458131314249448;2292.272;271.014;3.0;enero
JAMON C.N.ENTER/PI;0.06012140375334;0.08783596046434;3.209;1.4609765404795974;168.4579;115.305;4.0;enero
JAMON C.N.LONCHA;0.08118853178119;1.10738197815372;37.185;13.639635473864708;2123.814;155.709;4.0;enero
JAMON IBERICO;0.01323093226245;0.4272813382722;9.491;32.294121819729504;819.4698000000001;25.3752;3.0;enero
JAMON IBE.ENTER/PI;0.0055367586813;0.12982051915202;2.338;23.44702498780462;248.97879999999998;10.618780000000001;4.0;enero
JAMON IBE.LONCHA;0.00769417358114;0.29746076697898;8.757;38.66052199652761;570.4909;14.75642;4.0;enero
PALETA CURADA NORM.;0.00847542594747;0.10733306499934;3.199;12.664031951256122;205.8508;16.25476;3.0;enero
PALETA C.N.ENTR/PI;0.00375311636649;0.02538923152408;0.221;6.764839947613131;48.69323;7.197987;4.0;enero
PALETA C.N.LONCHA;0.00472230801674;0.08194379697642;2.972;17.35248880119513;157.1575;9.05677;4.0;enero
PALETA IBERICA;0.0011612803304;0.05454187886471;1.764;46.96702203320425;104.60419999999999;2.2271840000000003;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.0011612803304;0.05454187886471;1.764;46.96702203320425;104.60419999999999;2.2271840000000003;4.0;enero
HUESOS JAMON CURADO;0.00596129749705;0.01638612626498;1.516;2.748751638897611;31.42645;11.43299;3.0;enero
LOMO EMBUCHADO N+IB;0.00918644412547;0.16908627956043;8.482;18.406064114789086;324.28540000000004;17.6184;3.0;enero
LOMO EMB.AL CORTE;0.00411530369962;0.06295340056481;1.821;15.29738876151947;120.73639999999999;7.892615;4.0;enero
LOMO EMB.ENVASADO;0.00507113990444;0.10613293113681;6.722;20.9288114973559;203.5491;9.725783999999999;4.0;enero
LOMO EMB.NORMAL;0.00820072006683;0.13715829724387;7.036;16.725152928774392;263.05170000000004;15.72791;4.0;enero
LOMO E.N.AL CORTE;0.00411530369962;0.06295340056481;1.821;15.29738876151947;120.73639999999999;7.892615;5.0;enero
LOMO E.N.ENVASADO;0.0040854158458;0.07420489667906;5.342;18.1633643868373;142.31529999999998;7.835294;5.0;enero
LOMO EMB.IBERICO;0.00098572405864;0.0319279927448;1.572;32.3903961406831;61.23372;1.89049;4.0;enero
LOMO E.I.AL CORTE;0.0;0.0;0.0;;0.0;0.0;5.0;enero
LOMO E.I.ENVASADO;0.00098572405864;0.0319279927448;1.572;32.3903961406831;61.23372;1.89049;5.0;enero
OTRAS SALAZONES;0.0109258065741;0.09790129655605;3.311;8.960555533549963;187.7619;20.95427;3.0;enero
O.SALAZONES AL COR;0.00095666107851;0.00712542786512;0.62;7.448225944555964;13.66564;1.834751;4.0;enero
O.SALAZONES ENVASA;0.009969146017;0.09077588954741;2.657;9.105683615488253;174.09629999999999;19.11952;4.0;enero
TOCINO Y MANTECA;0.02573907807941;0.20525500946823;18.373;7.974450710120028;393.65229999999997;49.36419;3.0;enero
TOCINO;0.00112504063632;0.00846257314315;1.227;7.522015534270357;16.23011;2.157681;4.0;enero
CHORIZOS;0.06720640133663;0.72234168110254;38.14;10.748108316116223;1385.357;128.8931;3.0;enero
CHOR.IBERICO;0.00261222532859;0.04872403743474;3.888;18.652310312347115;93.44633999999999;5.009907;4.0;enero
CHOR.NORMAL;0.06459417965792;0.67361729953592;36.225;10.428451961202166;1291.91;123.8832;4.0;enero
CHORIZO DE PAVO;0.00127450701884;0.02000840629758;1.657;15.69893770828748;38.37351;2.444338;4.0;enero
CHORIZO DE CERDO;0.06432252403713;0.6903421089266;35.249;10.732509634231556;1323.986;123.3622;4.0;enero
SALCHICHON/SALAMI;0.0239928382073;0.30543909963924;22.987;12.730428013568583;585.7923000000001;46.01513;3.0;enero
SALCHICHON DE PAVO;0.00094319405092;0.01481335493122;1.061;15.705522015033255;28.41008;1.808923;4.0;enero
SALCHICHON DE CERD;0.02293789671361;0.2888488666703;22.708;12.59264832677114;553.9744000000001;43.99189;4.0;enero
FUET/LONGANIZAS;0.01504269797307;0.20137711244611;9.564;13.387034214641075;386.215;28.84993;3.0;enero
FUET/LONGANIZ.PAVO;6.312942923e-05;0.00120172260471;0.125;19.035854105753504;2.304747;0.121074;4.0;enero
FUET/LONGANIZ.CERD;0.01494486023663;0.19941154585552;9.436;13.3431522742949;382.4453;28.662290000000002;4.0;enero
OTROS PROD.CURADOS;0.02037894769281;0.32189235769152;16.389;15.795337548510698;617.3475;39.084160000000004;3.0;enero
O.PROD.CURAD.CORTE;0.0079332461698;0.08727585975828;7.645;11.001279664119387;167.3837;15.21493;4.0;enero
O.PROD.CURAD.ENVAS;0.01244570152301;0.23461655007442;9.398;18.851211371292667;449.9639;23.869229999999998;4.0;enero
SALCHICHAS;0.07983009725364;0.34403124796224;24.855;4.3095431397151085;659.807;153.1037;3.0;enero
JAMON COCIDO;0.12558295217363;1.28649688640529;46.574;10.244200061697716;2467.333;240.85170000000002;3.0;enero
J.COC.SIN/BAJO SAL;0.0017370776215;0.02049191158964;1.852;11.796773693916952;39.30081;3.331488;4.0;enero
PALETA COCIDA;0.01110927579346;0.11234956927506;6.296;10.113131707573498;215.4718;21.30614;3.0;enero
FIAMBRES;0.19422678194673;1.71960197891887;58.389;8.853578078590804;3297.972;372.5016;3.0;enero
PAVO;0.09366805729676;0.86665494941206;36.432;9.252406577263475;1662.131;179.6431;4.0;enero
POLLO;0.00741986397357;0.08327741229562;7.78;11.223576684447936;159.7152;14.23033;4.0;enero
PROD.A BASE SANGRE;0.00793656234974;0.06163855607546;5.194;7.766404818514067;118.2147;15.221290000000002;3.0;enero
MORCILLA;0.00793656234974;0.06163855607546;5.194;7.766404818514067;118.2147;15.221290000000002;4.0;enero
FOIE-GRAS Y PATES;0.01275776656916;0.11158789071296;11.989;8.74666346244625;214.011;24.46773;3.0;enero
COCIDOS Y OTROS;0.04141408709813;0.40581105453227;27.164;9.798865143897885;778.2926;79.42681;3.0;enero
COCIDOS Y O. CORTE;0.0135012061416;0.14268964366924;7.744;10.568658990366327;273.6601;25.893549999999998;4.0;enero
COCIDOS Y O.ENVASA;0.02791288617065;0.26312141086303;19.89;9.426521114813275;504.6325;53.533269999999995;4.0;enero
COCIDOS DE PAVO;0.00150612028828;0.01653908245761;1.166;10.981249363865924;31.7198;2.8885419999999997;4.0;enero
COCIDOS DE CERDO;0.03954744278081;0.38656819045926;26.296;9.774796125296207;741.3873000000001;75.84683;4.0;enero
TOTAL PESCA;0.87091905625821;9.71590666593217;79.667;11.155923844031255;18633.84;1670.309;1.0;enero
PESCADOS;0.41188357441027;4.875503016046;53.359;11.837090185076338;9350.578;789.9389;2.0;enero
PESCADOS FRESCOS;0.22328694645155;2.57682197927481;28.562;11.540405833056226;4942.008;428.2352;3.0;enero
PESCADOS CONGELADOS;0.18859668009991;2.29868155818313;33.741;12.188345823295194;4408.571;361.7038;3.0;enero
MERLUZA/PESCAD;0.06720541065394;0.6052904360812;15.079;9.006572985587844;1160.868;128.8912;3.0;enero
MERLUZA/PESCAD.FRE;0.00386838803256;0.03712306496764;1.649;9.596520477046765;71.19719;7.419063;4.0;enero
MERLUZA/PESCAD.CON;0.06333705547034;0.56816747018182;13.432;8.97053811489378;1089.671;121.4722;4.0;enero
SARDINA/BOQUERON;0.02252855184179;0.14435445985279;4.588;6.407622685492707;276.853;43.20682;3.0;enero
BOQUERONES FRESCOS;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SARDINAS FRESCAS;0.01887854312222;0.10109776031365;4.148;5.355167486130973;193.89229999999998;36.20658;4.0;enero
ATUN Y BONITO;0.00716952888701;0.09710755115963;2.451;13.544481470114661;186.2396;13.750219999999999;3.0;enero
TRUCHA FRESCA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
LENGUADO;0.01299622389173;0.19455803495228;3.89;14.970351124530893;373.1369;24.925060000000002;3.0;enero
LENGUADO FRESCO;0.01060078444123;0.16700235245943;3.444;15.753773070771024;320.2887;20.33092;4.0;enero
LENGUADO CONGELADO;0.0023954399719;0.02755568249284;0.408;11.503390949472383;52.8482;4.594141;4.0;enero
BACALAO;0.02215063768173;0.37514989466537;7.276;16.936302243560394;719.4885;42.48203;3.0;enero
BACALAO FRESCO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
BACALAO CONGELADO;0.02215063768173;0.37514989466537;7.276;16.936302243560394;719.4885;42.48203;4.0;enero
