Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;41.39875530595538;138.90917471938087;99.478;3.3553949555434626;921392.2722;274600.24361;0.0;enero
T.HUEVOS KGS;0.71261653169886;2.24204734753194;82.476;3.146218545038426;14871.6246;4726.82504;1.0;enero
T.HUEVOS UNDS.;11.31616333435319;2.24204734753194;82.476;0.19812787084166766;14871.6246;75060.74;1.0;enero
TOTAL HUEVOS GALLINA;11.10101663620994;2.21712601244359;82.414;0.1997227898219374;14706.32;73633.66;2.0;enero
OTRAS AVES;0.21514669814324;0.02492133508835;2.649;0.11583415085349105;165.3046;1427.08;2.0;enero
MIEL;0.03681164708945;0.25679386933804;9.312;6.975886428390935;1703.328;244.17370000000003;1.0;enero
GRANEL;0.01131438587298;0.10237583493284;1.67;9.048289149948134;679.0645999999999;75.04894999999999;2.0;enero
ENVASADA;0.02549726875447;0.15441797410116;7.783;6.056255498897855;1024.263;169.1248;2.0;enero
TOTAL CARNE;3.4335669031031;28.60292644833362;96.517;8.33038273478334;189724.8;22775.04;1.0;enero
CARNE CERTIFICADA;0.51427942593334;5.38866133943194;45.677;10.478080723630441;35743.29;3411.244;2.0;enero
CARNE FRESCA;2.47948926073923;18.95363291750855;89.972;7.644168183191774;125720.5;16446.59;2.0;enero
SALCHICHAS FRESCAS;0.01478976156208;0.12867460458846;6.448;8.700248753049271;853.5058;98.10131;3.0;enero
CARNE VACUNO;0.3590545838721;4.26496955895876;56.05;11.878332015607805;28289.78;2381.629;3.0;enero
TERNERA;0.22286727271412;2.63746472050069;40.716;11.834239672703143;17494.45;1478.291;4.0;enero
AÑOJO;0.11340128157023;1.34681745596825;24.287;11.87656292168142;8933.515;752.197;4.0;enero
MAYOR;0.02278602958773;0.28068693020957;7.944;12.318378203134822;1861.812;151.141;4.0;enero
CARNE POLLO;1.01796735304998;5.63573600778904;76.72;5.536263997959786;37382.15;6752.234;3.0;enero
POLLO ENTERO;0.1800642239689;0.73945408170594;17.961;4.106612992893361;4904.84;1194.376;4.0;enero
POLLO FILETES;0.17801539445144;1.30234262867121;41.12;7.31589890124036;8638.511;1180.786;4.0;enero
POLLO POR PIEZAS;0.65988788538971;3.59393944817196;64.804;5.446287964582724;23838.8;4377.073;4.0;enero
CARNE CONEJO;0.0300757167676;0.26421216994406;8.506;8.784900189930621;1752.534;199.4939;3.0;enero
CARNE OVINO/CAPRINO;0.09369001893551;1.45792462136725;12.965;15.561151955479684;9670.495;621.4511;3.0;enero
CORDERO;0.08460398014789;1.35148317899298;11.502;15.974226940984837;8964.463;561.1829;4.0;enero
CABRITO;0.00549012287477;0.07875837856763;0.869;14.345467371882199;522.4087000000001;36.416290000000004;4.0;enero
OTRO OVINO/CAPRINO;0.00359591591284;0.02768306380663;0.502;7.698473623286353;183.6233;23.85191;4.0;enero
OVINO/CAPRINO ENTE;0.03829900083267;0.62314147218784;1.436;16.2704367905136;4133.332;254.0394;4.0;enero
OVINO/CAPRINO PIEZ;0.05539101810283;0.83478314917941;11.764;15.070731280468204;5537.163;367.4117;4.0;enero
CARNE CERDO;0.69733714209493;5.27357561546299;72.309;7.562447627011793;34979.92;4625.476;3.0;enero
CARNE CERDO ADOBAD;0.10802478506184;0.91429597642653;30.115;8.463761125774282;6064.576;716.5344;4.0;enero
CARN.CERDO IBERICO;0.02875817918101;0.2869116632446;7.064;9.97669780964653;1903.101;190.7546;4.0;enero
CARNE DESPOJOS;0.04269888860441;0.26110198944774;9.225;6.114959849815041;1731.904;283.22409999999996;3.0;enero
DESPOJOS CERDO;0.01593580804755;0.11370067601753;4.352;7.1349175189753185;754.1829;105.7031;4.0;enero
DESPOJOS CORDERO;0.00109630937749;0.00769206734693;0.374;7.016329062590546;51.021910000000005;7.2718810000000005;4.0;enero
DESPOJOS POLLO;0.0167730692402;0.08069107759375;3.424;4.810752071560635;535.2284000000001;111.2567;4.0;enero
DESPOJOS TERNERA;0.00682443553571;0.04780523812147;2.646;7.005009846055148;317.09479999999996;45.26686;4.0;enero
DESPOJOS OT.PROCED;0.00206925298579;0.0112128580032;0.521;5.418795130512835;74.37550999999999;13.72547;4.0;enero
OTRAS CARNES FRESCA;0.23866572325076;1.79611642202058;50.703;7.525657214435377;11913.74;1583.083;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
