Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;47.3699598864285;153.99717928500596;99.716;3.2509459508562126;50057.500298;15397.826065;0.0;enero
T.HUEVOS KGS;0.67211736631552;2.02289117769516;67.001;3.009729072742825;657.550198;218.47488;1.0;enero
T.HUEVOS UNDS.;10.67276088755254;2.02289117769516;67.001;0.18953775869320053;657.550198;3469.23063;1.0;enero
TOTAL HUEVOS GALLINA;10.47018071042439;2.00177350455534;67.133;0.19118805681761758;650.6858000000001;3403.381;2.0;enero
OTRAS AVES;0.20258017712815;0.02111767313982;0.956;0.10424353181635189;6.864398;65.84963;2.0;enero
MIEL;0.00999922914371;0.0733334824884;4.58;7.333913588177816;23.83739;3.2502959999999996;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.00999922914371;0.0733334824884;4.58;7.333913588177816;23.83739;3.2502959999999996;2.0;enero
TOTAL CARNE;4.10631249570278;36.56538905838832;97.084;8.904677638794823;11885.75;1334.776;1.0;enero
CARNE CERTIFICADA;0.51897579790079;4.94614048796657;54.61;9.530580246657438;1607.766;168.6955;2.0;enero
CARNE FRESCA;3.1292706563715;24.93897818218335;98.123;7.9695817079309155;8106.531;1017.184;2.0;enero
SALCHICHAS FRESCAS;0.02253942788163;0.21864359873086;4.523;9.700494612331648;71.07112;7.3265460000000004;3.0;enero
CARNE VACUNO;0.36268915841001;4.5381044942455;54.569;12.512379785875085;1475.132;117.8938;3.0;enero
TERNERA;0.23251449675467;2.92731015964367;48.589;12.589796337439891;951.5358;75.57992;4.0;enero
AÑOJO;0.09960521807188;1.2982093652786;24.055;13.03354774387114;421.989;32.37714;4.0;enero
MAYOR;0.03056950818797;0.31258527696379;6.782;10.225394371465713;101.60730000000001;9.936761;4.0;enero
CARNE POLLO;1.28446336932625;7.00833829217264;84.016;5.456238347885901;2278.093;417.5208;3.0;enero
POLLO ENTERO;0.1465468928623;0.58901909525623;8.446;4.019321622940754;191.4634;47.63575;4.0;enero
POLLO FILETES;0.18323506127221;1.48733940439065;32.872;8.117111398135133;483.46659999999997;59.56141;4.0;enero
POLLO POR PIEZAS;0.95468129213551;4.93197979252575;68.877;5.166100805739557;1603.163;310.3236;4.0;enero
CARNE CONEJO;0.05945581637205;0.53587418677476;13.372;9.0129817311976;174.1884;19.32639;3.0;enero
CARNE OVINO/CAPRINO;0.17836858738627;2.99398079342932;26.942;16.785359111162318;973.2074;57.97954;3.0;enero
CORDERO;0.17836858738627;2.99398079342932;26.942;16.785359111162318;973.2074;57.97954;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.05158889324206;0.72351493788704;3.493;14.024626085546071;235.18189999999998;16.769209999999998;4.0;enero
OVINO/CAPRINO PIEZ;0.12677969414421;2.2704655479017;23.414;17.908747636818244;738.0254;41.21033;4.0;enero
CARNE CERDO;0.81190684176382;6.41079570728174;75.386;7.895974485637563;2083.859;263.91409999999996;3.0;enero
CARNE CERDO ADOBAD;0.10059240589721;0.87708818754971;23.729;8.719228650778044;285.10159999999996;32.698029999999996;4.0;enero
CARN.CERDO IBERICO;0.00611634061203;0.07457678108832;4.049;12.193039240095665;24.241529999999997;1.988145;4.0;enero
CARNE DESPOJOS;0.13100913670168;0.84660039177355;25.37;6.462147702730978;275.19140000000004;42.58513;3.0;enero
DESPOJOS CERDO;0.05321185106952;0.3277485730225;12.064;6.1593153862341845;106.5362;17.29676;4.0;enero
DESPOJOS CORDERO;0.03394896753796;0.20369712774594;7.368;6.000097868017728;66.2127;11.03527;4.0;enero
DESPOJOS POLLO;0.00985884967518;0.04223914256427;3.796;4.284388539831777;13.730030000000001;3.204665;4.0;enero
DESPOJOS TERNERA;0.0095832683289;0.13407274455477;1.196;13.990294328952716;43.58097;3.115086;4.0;enero
DESPOJOS OT.PROCED;0.02440621239572;0.13884277312199;5.403;5.688829174751205;45.13149;7.933353;4.0;enero
OTRAS CARNES FRESCA;0.30137857704094;2.60528370122466;46.401;8.644555053661781;846.8596;97.96450999999999;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.21200253098047;1.79350422265685;35.561;8.459824580217118;582.9869;68.91241000000001;4.0;enero
OTRAS AVES;0.00995014201435;0.09086115014847;5.245;9.131643550152427;29.53484;3.23434;2.0;enero
CARNE CABALLO;0.02068439216091;0.21611380879497;1.403;10.448158549387097;70.2488;6.723558;4.0;enero
CARNE CONGELADA;0.08137037703336;0.38470145648044;7.254;4.727782646535969;125.049;26.44982;2.0;enero
C.CONG.POLLO;0.05281382569995;0.18812940739379;6.454;3.562124214644284;61.152339999999995;17.16738;3.0;enero
C.CONG.CERDO;0.01762329773128;0.1372785131153;4.328;7.789604148355556;44.62302;5.728535;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.01093325667853;0.05929356673539;3.157;5.423230102315593;19.27365;3.553906;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.89566998562316;11.24171249613023;93.059;12.551176969839771;3654.171;291.1417;2.0;enero
JAMON CURADO+PALETA;0.12521457274392;3.20572549084801;50.644;25.601856242435797;1042.036;40.70158;3.0;enero
JAMON C.+P.ENTERO;0.03211336854846;0.84316220076233;7.626;26.255800586285517;274.0738;10.438600000000001;4.0;enero
JAMON C.+P.LONCHA;0.09310123495952;2.36256452064795;50.535;25.376296261539256;767.9626;30.262990000000002;4.0;enero
JAMON CURADO NORMAL;0.06640821637936;1.17348818648097;43.738;17.670828256811035;381.4478;21.586299999999998;3.0;enero
JAMON C.N.ENTER/PI;0.00331910642295;0.04844062270408;4.501;14.594477106584447;15.74585;1.078891;4.0;enero
JAMON C.N.LONCHA;0.06308911303282;1.12504771759718;43.798;17.832676091227512;365.702;20.50741;4.0;enero
JAMON IBERICO;0.00525093538277;0.36756556908636;4.317;70.00001757632961;119.4789;1.7068409999999998;3.0;enero
JAMON IBE.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
JAMON IBE.LONCHA;0.00525093538277;0.36756556908636;4.317;70.00001757632961;119.4789;1.7068409999999998;4.0;enero
PALETA CURADA NORM.;0.03500762026772;0.90043256928859;6.536;25.721044801171242;292.6898;11.379389999999999;3.0;enero
PALETA C.N.ENTR/PI;0.02879424981988;0.79472142423796;3.131;27.600004487320916;258.3279;9.359705;4.0;enero
PALETA C.N.LONCHA;0.00621336429502;0.1057110835225;3.886;17.01350162376967;34.36188;2.019683;4.0;enero
PALETA IBERICA;0.01854782224889;0.76424008891378;4.369;41.20376390599125;248.41979999999998;6.029056;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.01854782224889;0.76424008891378;4.369;41.20376390599125;248.41979999999998;6.029056;4.0;enero
HUESOS JAMON CURADO;0.00860989356517;0.0491391513825;3.013;5.707289063510519;15.97291;2.798686;3.0;enero
LOMO EMBUCHADO N+IB;0.00893858905587;0.15836872010502;8.577;17.717418164672193;51.47849;2.90553;3.0;enero
LOMO EMB.AL CORTE;0.00366569121279;0.06952221575784;3.06;18.96564978389493;22.59852;1.1915499999999999;4.0;enero
LOMO EMB.ENVASADO;0.00527289476666;0.08884653511124;5.24;16.849669686734785;28.87998;1.7139790000000001;4.0;enero
LOMO EMB.NORMAL;0.00893858905587;0.15836872010502;8.577;17.717418164672193;51.47849;2.90553;4.0;enero
LOMO E.N.AL CORTE;0.00366569121279;0.06952221575784;3.06;18.96564978389493;22.59852;1.1915499999999999;5.0;enero
LOMO E.N.ENVASADO;0.00527289476666;0.08884653511124;5.24;16.849669686734785;28.87998;1.7139790000000001;5.0;enero
LOMO EMB.IBERICO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
LOMO E.I.AL CORTE;0.0;0.0;0.0;;0.0;0.0;5.0;enero
LOMO E.I.ENVASADO;0.0;0.0;0.0;;0.0;0.0;5.0;enero
OTRAS SALAZONES;0.02884842224787;0.21039089432599;7.493;7.292977498673927;68.38853999999999;9.377314;3.0;enero
O.SALAZONES AL COR;0.02625542448045;0.16705039852082;5.701;6.362509912767644;54.30051;8.534448000000001;4.0;enero
O.SALAZONES ENVASA;0.00259299776741;0.04334049580516;2.096;16.714436221178694;14.08803;0.842866;4.0;enero
TOCINO Y MANTECA;0.01512879416878;0.09879255474195;7.089;6.5301010536461765;32.11298;4.9176850000000005;3.0;enero
TOCINO;0.00365265955825;0.02922127031318;2.051;7.999998315525632;9.49851;1.187314;4.0;enero
CHORIZOS;0.14630379528382;1.53642591847161;51.886;10.50161354660003;499.42240000000004;47.55673;3.0;enero
CHOR.IBERICO;0.00930952359684;0.13075317974737;8.716;14.045098912661299;42.50193;3.0261039999999997;4.0;enero
CHOR.NORMAL;0.13699425322855;1.40567283101641;51.365;10.26081604073781;456.9205;44.530620000000006;4.0;enero
CHORIZO DE PAVO;0.00080419706143;0.01227622159395;0.481;15.265190812828987;3.9904430000000004;0.26140800000000003;4.0;enero
CHORIZO DE CERDO;0.1445442758073;1.51185189737412;49.976;10.459438043673282;491.4345;46.984790000000004;4.0;enero
SALCHICHON/SALAMI;0.03006248576442;0.37907655629708;24.691;12.609621149348785;123.2206;9.771951;3.0;enero
SALCHICHON DE PAVO;0.00080419706143;0.01227622159395;0.481;15.265190812828987;3.9904430000000004;0.26140800000000003;4.0;enero
SALCHICHON DE CERD;0.02925828562658;0.36680046698857;24.214;12.536635661774062;119.2302;9.510542;4.0;enero
FUET/LONGANIZAS;0.07791400446445;0.96680110003441;26.774;12.408566427560903;314.2632;25.326310000000003;3.0;enero
FUET/LONGANIZ.PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
FUET/LONGANIZ.CERD;0.07750078165071;0.95771062882909;26.866;12.357431866240022;311.3083;25.19199;4.0;enero
OTROS PROD.CURADOS;0.03735454864875;0.98426462463563;18.484;26.349257593514228;319.9398;12.14227;3.0;enero
O.PROD.CURAD.CORTE;0.02141901630743;0.77614147200793;18.873;36.23609323919463;252.2884;6.962351;4.0;enero
O.PROD.CURAD.ENVAS;0.01593553849413;0.20812306033552;5.047;13.060309220932133;67.65137;5.179921;4.0;enero
SALCHICHAS;0.10021828419994;0.50535439637932;23.557;5.042536902458895;164.2678;32.57642;3.0;enero
JAMON COCIDO;0.08677823679453;0.86470965393136;36.514;9.96459119097749;281.0779;28.207669999999997;3.0;enero
J.COC.SIN/BAJO SAL;0.00309405811672;0.0382875609697;1.477;12.374544861584228;12.445549999999999;1.005738;4.0;enero
PALETA COCIDA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
FIAMBRES;0.15962847747545;1.55291145370054;54.595;9.728285818796568;504.7811;51.887980000000006;3.0;enero
PAVO;0.0831398333003;0.80039000938227;35.258;9.627034089559329;260.1705;27.024990000000003;4.0;enero
POLLO;0.00174605712517;0.03079851275193;2.075;17.638891825415286;10.0112;0.567564;4.0;enero
PROD.A BASE SANGRE;0.03104779390587;0.19911814397274;13.04;6.413278333926199;64.72428;10.092229999999999;3.0;enero
MORCILLA;0.03104779390587;0.19911814397274;13.04;6.413278333926199;64.72428;10.092229999999999;4.0;enero
FOIE-GRAS Y PATES;0.01287408412503;0.25952924584301;16.647;20.159045359840814;84.36119000000001;4.184781;3.0;enero
COCIDOS Y OTROS;0.02674792011628;0.2711020072802;20.929;10.135442535403845;88.12297;8.694536;3.0;enero
COCIDOS Y O. CORTE;0.00414718254543;0.043447800836;4.391;10.476462118553982;14.12291;1.348061;4.0;enero
COCIDOS Y O.ENVASA;0.02260073757084;0.22765417568013;17.532;10.072864877373162;74.00005;7.346475000000001;4.0;enero
COCIDOS DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
COCIDOS DE CERDO;0.02509774840399;0.25251094922558;18.625;10.061099711453837;82.07986;8.15814;4.0;enero
TOTAL PESCA;1.50614824120482;16.43306097688548;83.77;10.910653099949856;5341.643;489.5805;1.0;enero
PESCADOS;0.94720562628254;9.93633818197444;76.227;10.490159587597795;3229.853;307.8936;2.0;enero
PESCADOS FRESCOS;0.62878779175059;6.72645339061893;66.822;10.697493620052606;2186.465;204.3904;3.0;enero
PESCADOS CONGELADOS;0.31841752689138;3.2098847913555;46.833;10.080741543006923;1043.388;103.5031;3.0;enero
MERLUZA/PESCAD;0.23496956079609;2.40701243021324;32.696;10.243932967564591;782.4105999999999;76.37795;3.0;enero
MERLUZA/PESCAD.FRE;0.05155582188077;0.51252795919246;12.548;9.941223716260325;166.5996;16.75846;4.0;enero
MERLUZA/PESCAD.CON;0.18341376967937;1.8944841633802;31.127;10.329018190357182;615.8109000000001;59.6195;4.0;enero
SARDINA/BOQUERON;0.05541938750825;0.49819929200038;9.322;8.989621040582692;161.942;18.01433;3.0;enero
BOQUERONES FRESCOS;0.05541938750825;0.49819929200038;9.322;8.989621040582692;161.942;18.01433;4.0;enero
SARDINAS FRESCAS;0.0;0.0;0.0;;0.0;0.0;4.0;enero
ATUN Y BONITO;0.00401644145596;0.06429281829137;1.939;16.00740829818247;20.89868;1.305563;3.0;enero
TRUCHA FRESCA;0.00884318048587;0.08846930624421;3.993;10.00424071243969;28.757360000000002;2.874517;3.0;enero
LENGUADO;0.00286694861866;0.04013565016634;1.141;13.999431278603737;13.046280000000001;0.9319149999999999;3.0;enero
LENGUADO FRESCO;0.00286694861866;0.04013565016634;1.141;13.999431278603737;13.046280000000001;0.9319149999999999;4.0;enero
LENGUADO CONGELADO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
BACALAO;0.15889961543681;1.86719275312718;22.353;11.75076949050029;606.9396999999999;51.65106;3.0;enero
BACALAO FRESCO;0.11560563488584;1.2849183697294;12.413;11.114669029742018;417.6687;37.57815;4.0;enero
BACALAO CONGELADO;0.04329398055096;0.58227438339778;12.125;13.449315031503788;189.271;14.07291;4.0;enero
BACALADILLA;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CABALLA FRESCA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
SALMON;0.10102159525653;1.10669634231071;11.145;10.955047180757145;359.7368;32.837540000000004;3.0;enero
SALMON FRESCO;0.10102159525653;1.10669634231071;11.145;10.955047180757145;359.7368;32.837540000000004;4.0;enero
SALMON CONGELADO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
LUBINA;0.08733075925839;0.93059088201418;27.309;10.655934860942951;302.4929;28.38727;3.0;enero
DORADA;0.0564147893368;0.47231656791776;15.541;8.372211852072406;153.52870000000001;18.337889999999998;3.0;enero
RODABALLO;0.01719629262001;0.24464639492798;3.061;14.226694109828106;79.52345;5.589734999999999;3.0;enero
RAPE;0.04111265508881;0.44532080025259;13.949;10.831720775284985;144.7536;13.36386;3.0;enero
OTROS PESCADOS;0.17911424660003;1.77146485221626;35.677;9.89013931522698;575.8229;58.22192;3.0;enero
