Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;41.57419889814957;123.81983284865156;99.508;2.978285478259995;1077931.2961;361930.14537;0.0;enero
T.HUEVOS KGS;0.63364969605199;2.01851731450838;79.396;3.185541359973682;17572.4917;5516.328219999999;1.0;enero
T.HUEVOS UNDS.;10.10279690360121;2.01851731450838;79.396;0.19979787120028836;17572.4917;87951.346;1.0;enero
TOTAL HUEVOS GALLINA;9.86336531511082;1.99451200057414;78.892;0.20221414667857032;17363.51;85866.94;2.0;enero
OTRAS AVES;0.23943158849038;0.02400531393424;3.809;0.10025959434006619;208.98170000000002;2084.406;2.0;enero
MIEL;0.02485016821567;0.15587371960226;7.612;6.272541829472299;1356.981;216.3367;1.0;enero
GRANEL;0.0018258765589;0.0127277096479;0.567;6.970739388616727;110.8029;15.895430000000001;2.0;enero
ENVASADA;0.02302428361601;0.14314599846756;7.097;6.217174912143811;1246.178;200.4412;2.0;enero
TOTAL CARNE;3.10411064668809;23.5904910564;97.521;7.599758430508806;205370.4;27023.28;1.0;enero
CARNE CERTIFICADA;0.40063150840829;3.48270529994727;45.872;8.69303893192039;30319.19;3487.755;2.0;enero
CARNE FRESCA;2.17471465178122;14.91693327919061;91.669;6.859260026124678;129861.5;18932.29;2.0;enero
SALCHICHAS FRESCAS;0.0155531872377;0.13085236357752;4.687;8.41321856270841;1139.154;135.4005;3.0;enero
CARNE VACUNO;0.20873701586391;2.40361445106052;42.368;11.515036952657674;20925.01;1817.19;3.0;enero
TERNERA;0.15187458951278;1.75829051374914;32.627;11.577252780664455;15307.05;1322.166;4.0;enero
AÑOJO;0.04854044512038;0.54597504695173;15.63;11.247837666047133;4753.064;422.5758;4.0;enero
MAYOR;0.00832199616359;0.09934972889618;3.525;11.938208927659202;864.9033000000001;72.44833;4.0;enero
CARNE POLLO;1.01622151433802;5.45145470116859;78.857;5.364435434846842;47458.42;8846.862;3.0;enero
POLLO ENTERO;0.20447690563474;0.78091931627091;19.883;3.8191076583770713;6798.405;1780.103;4.0;enero
POLLO FILETES;0.14215043734489;1.02869928266287;32.878;7.2366944617057944;8955.489;1237.511;4.0;enero
POLLO POR PIEZAS;0.66959417135837;3.64183541302668;69.911;5.438869644935333;31704.52;5829.248;4.0;enero
CARNE CONEJO;0.02807384728094;0.23437360499964;5.502;8.348467620209254;2040.373;244.4009;3.0;enero
CARNE OVINO/CAPRINO;0.01362650595116;0.21525359346283;4.412;15.796682893932688;1873.921;118.6275;3.0;enero
CORDERO;0.01263360976654;0.19530837007587;3.824;15.459427169662414;1700.285;109.9837;4.0;enero
CABRITO;0.00083283012691;0.01635133618251;0.498;19.633459038095136;142.3489;7.250322;4.0;enero
OTRO OVINO/CAPRINO;0.00016007019294;0.00359396416601;0.096;22.4524260251422;31.287770000000002;1.393514;4.0;enero
OVINO/CAPRINO ENTE;0.00114563538571;0.01409118154935;0.048;12.299883300665073;122.67280000000001;9.973493000000001;4.0;enero
OVINO/CAPRINO PIEZ;0.01248088124817;0.20116238893987;4.357;16.117643052586143;1751.248;108.6541;4.0;enero
CARNE CERDO;0.7046127208327;5.11899104443204;71.819;7.264971087071028;44564.11;6134.107;3.0;enero
CARNE CERDO ADOBAD;0.04931404676948;0.38889578748765;15.952;7.886105743977844;3385.588;429.3105;4.0;enero
CARN.CERDO IBERICO;0.03049341575119;0.32309961580895;9.405;10.595717398314203;2812.79;265.46479999999997;4.0;enero
CARNE DESPOJOS;0.0306386433879;0.18083798622144;9.118;5.902284377670078;1574.311;266.72909999999996;3.0;enero
DESPOJOS CERDO;0.01753837080643;0.10454715067546;5.694;5.961052587455823;910.1501999999999;152.6828;4.0;enero
DESPOJOS CORDERO;0.00111451212563;0.01250577314794;0.429;11.220849787349607;108.8708;9.702545;4.0;enero
DESPOJOS POLLO;0.00753145837373;0.03753600847056;3.002;4.983896425886573;326.77509999999995;65.56619;4.0;enero
DESPOJOS TERNERA;0.00355698700194;0.02186822889688;1.285;6.147964241910285;190.377;30.96586;4.0;enero
DESPOJOS OT.PROCED;0.00089731542476;0.00438077793469;0.331;4.882093647125571;38.13749;7.811707999999999;4.0;enero
OTRAS CARNES FRESCA;0.17280411695652;1.3124119182262;38.707;7.594795432775558;11425.39;1504.371;3.0;enero
AVESTRUZ;0.00023263783436;0.0016293718384;0.111;7.0038987548277705;14.18473;2.025262;4.0;enero
PAVO;0.08523178309834;0.67340273540395;22.778;7.900840636255515;5862.404;741.9975;4.0;enero
OTRAS AVES;0.01235396357373;0.09408461539317;4.318;7.61574330631934;819.0671;107.5492;2.0;enero
CARNE CABALLO;0.00039593914982;0.00490383635233;0.056;12.3853282872606;42.691050000000004;3.446905;4.0;enero
CARNE CONGELADA;0.0794026216737;0.4292708624347;14.74;5.406255528925894;3737.079;691.2509;2.0;enero
C.CONG.POLLO;0.0510064087836;0.21613830694694;9.301;4.237473527374339;1881.623;444.04359999999997;3.0;enero
C.CONG.CERDO;0.01727487505712;0.12850365718833;4.192;7.438760440431442;1118.707;150.3889;3.0;enero
C.CONG.VACA;0.00415537127187;0.03545559931389;1.461;8.532474475593487;308.6638;36.17518;3.0;enero
RESTO CARNES CONG.;0.00696596770978;0.04917325303831;2.558;7.059069907720944;428.0848;60.64323;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.84999382121843;8.24428565122646;90.278;9.699230094883024;71771.81;7399.743;2.0;enero
JAMON CURADO+PALETA;0.12235178555047;2.04029839303907;42.491;16.675673214408096;17762.11;1065.151;3.0;enero
JAMON C.+P.ENTERO;0.0606117989064;0.7421052977052;5.332;12.243578166210476;6460.504;527.6646999999999;4.0;enero
JAMON C.+P.LONCHA;0.06174003259127;1.29819240612576;40.099;21.026752848023964;11301.6;537.4866999999999;4.0;enero
JAMON CURADO NORMAL;0.08511170007104;1.26588347835703;37.439;14.873201655005769;11020.33;740.9521;3.0;enero
JAMON C.N.ENTER/PI;0.03496158642359;0.38436941318991;3.642;10.994049541485154;3346.183;304.3631;4.0;enero
JAMON C.N.LONCHA;0.05015012513425;0.88151383543108;35.622;17.577500217023285;7674.145;436.5891;4.0;enero
JAMON IBERICO;0.02851699661232;0.58377696340002;7.114;20.47119377037189;5082.154;248.25879999999998;3.0;enero
JAMON IBE.ENTER/PI;0.02124603478392;0.27900074941452;1.071;13.131897422367166;2428.881;184.9604;4.0;enero
JAMON IBE.LONCHA;0.00727096412576;0.30477621398549;6.389;41.91689144847533;2653.273;63.29842;4.0;enero
PALETA CURADA NORM.;0.00405760480334;0.08012135087002;2.915;19.74597200888007;697.5079000000001;35.324059999999996;3.0;enero
PALETA C.N.ENTR/PI;0.00126133929951;0.03185552072321;0.365;25.255314518016494;277.3228;10.98077;4.0;enero
PALETA C.N.LONCHA;0.00279626550383;0.04826583014681;2.602;17.26081807348144;420.1851;24.34329;4.0;enero
PALETA IBERICA;0.00466552426755;0.11051654297798;1.882;23.68791514952461;962.1175999999999;40.61639;3.0;enero
PALETA IB.ENTER/PI;0.00314284069673;0.04687964883795;0.313;14.91632995802335;408.1175;27.36045;4.0;enero
