Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;44.13449041864184;124.28771586914033;99.305;2.8161130827658263;273370.398297;97073.658004;0.0;enero
T.HUEVOS KGS;0.6782338588503;2.06915115461408;77.444;3.050793067337508;4551.09076;1491.773011;1.0;enero
T.HUEVOS UNDS.;10.73342508419799;2.06915115461408;77.444;0.19277640998867546;4551.09076;23608.131100000002;1.0;enero
TOTAL HUEVOS GALLINA;10.57221496311718;2.0554781345604;77.335;0.19442265804576075;4521.017;23253.55;2.0;enero
OTRAS AVES;0.1612101210808;0.01367302005367;1.009;0.08481489848161676;30.07376;354.5811;2.0;enero
MIEL;0.01907579741758;0.13046176597162;4.998;6.839125155068921;286.9502;41.95715;1.0;enero
GRANEL;0.00398867828514;0.03524541610409;1.268;8.836364726474748;77.52217;8.773084;2.0;enero
ENVASADA;0.01508712095104;0.09521633622804;3.931;6.3111004768251755;209.428;33.18407;2.0;enero
TOTAL CARNE;3.45185042918472;26.73044467955772;96.824;7.7438015429512905;58793.52;7592.333;1.0;enero
CARNE CERTIFICADA;0.45496684889668;4.21093142170244;46.05;9.255468682859364;9261.929;1000.698;2.0;enero
CARNE FRESCA;2.44726506984671;17.25390774100945;92.096;7.050281538194875;37949.91;5382.751;2.0;enero
SALCHICHAS FRESCAS;0.02903720895867;0.25068232455118;10.324;8.633141184745107;551.3749;63.867239999999995;3.0;enero
CARNE VACUNO;0.2299174360305;2.87010138367849;45.47;12.483182803489642;6312.778;505.70259999999996;3.0;enero
TERNERA;0.15331717837454;1.88939239766855;31.829;12.323422709051584;4155.712;337.2206;4.0;enero
AÑOJO;0.06045447169643;0.79304922087595;20.844;13.118123417869073;1744.309;132.9694;4.0;enero
MAYOR;0.016145808692;0.18765990152883;4.339;11.62282454280376;412.7573;35.51265;4.0;enero
CARNE POLLO;1.08510651431253;5.55186148261718;77.753;5.116420747077121;12211.3;2386.688;3.0;enero
POLLO ENTERO;0.25603150328512;0.89976864419314;24.599;3.514288799027738;1979.038;563.1404;4.0;enero
POLLO FILETES;0.12544220812775;0.91835744379501;31.297;7.3209604446672225;2019.924;275.9097;4.0;enero
POLLO POR PIEZAS;0.7036328483646;3.73373493997952;71.522;5.306368155860738;8212.337;1547.638;4.0;enero
