Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.64263924662661;161.12791220416798;99.707;3.24575636286536;1180917.97681;363834.448673;0.0;enero
T.HUEVOS KGS;0.72336193412475;2.35904258557911;83.289;3.2612202471415226;17289.5916;5301.57128;1.0;enero
T.HUEVOS UNDS.;11.53820874670473;2.35904258557911;83.289;0.2044548367399617;17289.5916;84564.356;1.0;enero
TOTAL HUEVOS GALLINA;11.25888604921687;2.33527673722765;82.882;0.20741632227373744;17115.41;82517.18;2.0;enero
OTRAS AVES;0.27932269748786;0.02376584835146;3.056;0.08508384232718633;174.1816;2047.176;2.0;enero
MIEL;0.03110130695131;0.24857323592747;9.194;7.992372677990223;1821.811;227.9437;1.0;enero
GRANEL;0.00512193398488;0.06104081597375;0.815;11.917532743262878;447.3725;37.539019999999994;2.0;enero
ENVASADA;0.02597937569528;0.18753235173225;8.346;7.21850878681041;1374.438;190.40470000000002;2.0;enero
TOTAL CARNE;3.52282826967539;31.43844379407884;97.253;8.924205606245929;230414.6;25819.06;1.0;enero
CARNE CERTIFICADA;0.47174953010709;5.19236173353594;49.616;11.006607112798145;38055.19;3457.486;2.0;enero
CARNE FRESCA;2.58488543857248;20.43059636814299;91.559;7.903869186336521;149737.3;18944.81;2.0;enero
SALCHICHAS FRESCAS;0.03501599113754;0.32662200458756;12.175;9.327795500764315;2393.836;256.6347;3.0;enero
CARNE VACUNO;0.35820513246763;4.72880778463305;52.927;13.201395948899005;34657.77;2625.311;3.0;enero
TERNERA;0.30009763488562;3.96995994718118;47.734;13.22889448527055;29096.12;2199.437;4.0;enero
AÑOJO;0.04511969946898;0.58828339240517;9.833;13.03828259781575;4311.571;330.6855;4.0;enero
MAYOR;0.01298766849223;0.17056430860377;4.382;13.132788899388627;1250.078;95.18755;4.0;enero
CARNE POLLO;1.02033007569865;5.89104369532092;77.779;5.773664655809679;43175.88;7478.072;3.0;enero
POLLO ENTERO;0.24233561080957;0.96586041959213;16.613;3.985631399221325;7078.86;1776.095;4.0;enero
POLLO FILETES;0.14830746451239;1.13929275864428;34.979;7.6819650473432235;8349.958;1086.956;4.0;enero
POLLO POR PIEZAS;0.62968700037668;3.78589160862797;68.249;6.012338838761514;27747.07;4615.021;4.0;enero
CARNE CONEJO;0.05547712343405;0.49155640489632;11.302;8.860524383183495;3602.652;406.5958;3.0;enero
CARNE OVINO/CAPRINO;0.06194599203453;0.92511282924173;12.156;14.934183776182989;6780.218;454.0066;3.0;enero
CORDERO;0.05338464826025;0.74131137306516;9.651;13.886227543379732;5433.124;391.2599;4.0;enero
CABRITO;0.00677858860031;0.14820622385622;1.623;21.86387647854018;1086.214;49.68076;4.0;enero
OTRO OVINO/CAPRINO;0.00178274289409;0.03559524596463;0.863;19.966561685615556;260.8801;13.065850000000001;4.0;enero
OVINO/CAPRINO ENTE;0.00902486224802;0.10184715865103;0.539;11.285175978541318;746.4451;66.14386;4.0;enero
OVINO/CAPRINO PIEZ;0.05292112432879;0.82326568423498;11.804;15.556466244369464;6033.773;387.8627;4.0;enero
