Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;48.61909728720978;134.2791628939153;99.355;2.7618604701910017;1168985.6205999998;423260.202033;0.0;enero
T.HUEVOS KGS;0.74770809960583;2.357458965428;79.867;3.1529135055120747;20523.1815;6509.27514;1.0;enero
T.HUEVOS UNDS.;11.85824730481746;2.357458965428;79.867;0.19880332268583034;20523.1815;103233.594;1.0;enero
TOTAL HUEVOS GALLINA;11.65047456588259;2.33445186039538;79.497;0.20037397165190365;20322.89;101424.8;2.0;enero
OTRAS AVES;0.20777273893486;0.02300710503261;2.804;0.11073206788611639;200.2915;1808.794;2.0;enero
MIEL;0.01064307094777;0.07304295083171;3.742;6.862958180971048;635.8854;92.65471000000001;1.0;enero
GRANEL;0.00263064845832;0.02649026206431;0.772;10.069860144348812;230.6146;22.90147;2.0;enero
ENVASADA;0.00801242134076;0.04655267728058;3.048;5.810063562647923;405.27070000000003;69.75323;2.0;enero
TOTAL CARNE;2.99460919738631;23.81963605944207;97.366;7.954171809874807;207365.1;26069.98;1.0;enero
CARNE CERTIFICADA;0.36204048894774;3.31891746663212;43.172;9.167254956147184;28893.29;3151.793;2.0;enero
CARNE FRESCA;2.09115432213044;14.68037354245635;91.412;7.02022485241554;127802.0;18204.83;2.0;enero
SALCHICHAS FRESCAS;0.01097991132726;0.09418092206139;4.594;8.57756672656316;819.9049;95.58712;3.0;enero
CARNE VACUNO;0.16830176072905;2.06692863880699;38.34;12.28108743398395;17993.93;1465.174;3.0;enero
TERNERA;0.12021337729363;1.43007918898136;29.43;11.896173464025058;12449.75;1046.534;4.0;enero
AÑOJO;0.03857898142401;0.52246735187725;11.403;13.542797984604052;4548.411;335.8546;4.0;enero
MAYOR;0.00950945485073;0.11438238511863;3.203;12.028279950223382;995.7715;82.78586;4.0;enero
CARNE POLLO;0.99128314313067;5.55031425803523;80.704;5.599120994336916;48319.02;8629.751;3.0;enero
POLLO ENTERO;0.1664158561828;0.60989518953838;16.07;3.6648862886504006;5309.526;1448.756;4.0;enero
POLLO FILETES;0.16769514226707;1.30334750620706;41.397;7.77212439541802;11346.47;1459.893;4.0;enero
POLLO POR PIEZAS;0.65717225954889;3.63707225149842;70.025;5.534427539584587;31663.03;5721.103;4.0;enero
CARNE CONEJO;0.02905190121126;0.24684661810203;5.582;8.49674574847785;2148.957;252.9153;3.0;enero
CARNE OVINO/CAPRINO;0.0149189201359;0.26403364342962;3.677;17.697905815195256;2298.581;129.8787;3.0;enero
CORDERO;0.01400023949334;0.24490178621797;3.353;17.492685488304165;2132.026;121.881;4.0;enero
CABRITO;0.00089824997168;0.01882940949145;0.411;20.962326841041975;163.922;7.819838;4.0;enero
OTRO OVINO/CAPRINO;2.043331284e-05;0.00030242945617;0.019;14.800803890153752;2.632841;0.177885;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.0149189201359;0.26403364342962;3.677;17.697905815195256;2298.581;129.8787;4.0;enero
CARNE CERDO;0.71978100525664;5.33665498819665;72.264;7.414275938406857;46458.98;6266.152;3.0;enero
CARNE CERDO ADOBAD;0.05571992166792;0.43945676719007;15.097;7.886887742038693;3825.751;485.0774;4.0;enero
CARN.CERDO IBERICO;0.03030991372251;0.33876097420434;8.27;11.176573358330767;2949.13;263.8671;4.0;enero
CARNE DESPOJOS;0.02050456552564;0.12683104368503;7.094;6.1855026153285095;1104.145;178.50529999999998;3.0;enero
DESPOJOS CERDO;0.00773290244298;0.05904352690191;2.843;7.635364255173512;514.0115;67.31984;4.0;enero
DESPOJOS CORDERO;0.00050285615006;0.00328530131573;0.065;6.533282560660513;28.60064;4.377683;4.0;enero
DESPOJOS POLLO;0.00971453462181;0.04461941261467;3.247;4.593057140840245;388.4404;84.57121000000001;4.0;enero
DESPOJOS TERNERA;0.00211503425245;0.017266100531;1.0;8.163508704851862;150.3124;18.41272;4.0;enero
DESPOJOS OT.PROCED;0.00043924173409;0.00261668738885;0.182;5.957283167171346;22.77993;3.823879;4.0;enero
OTRAS CARNES FRESCA;0.14731294573358;1.0887653860137;35.63;7.390833036376383;9478.396;1282.453;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.07084625914084;0.51493636918379;19.799;7.26836357245212;4482.849;616.7618;4.0;enero
OTRAS AVES;0.00934275481085;0.07176055182179;3.34;7.68087713683581;624.7213;81.33463;2.0;enero
CARNE CABALLO;7.524860223e-05;0.00135439833806;0.062;17.998983341144;11.790899999999999;0.655087;4.0;enero
CARNE CONGELADA;0.09243302005636;0.54132995825102;15.41;5.856456468920948;4712.622;804.6883;2.0;enero
C.CONG.POLLO;0.06466497667995;0.31426638464732;12.365;4.859916461467789;2735.889;562.9498000000001;3.0;enero
C.CONG.CERDO;0.0180200258507;0.12882664727147;2.543;7.149082267628277;1121.518;156.8758;3.0;enero
C.CONG.VACA;0.00271433331879;0.02467617305725;0.914;9.091062209056284;214.8218;23.63;3.0;enero
RESTO CARNES CONG.;0.00703368880164;0.07356068435411;1.659;10.458336504294925;640.3926;61.23274;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.81102177479182;8.59793393715195;92.302;10.601360166142126;74850.49;7060.461;2.0;enero
JAMON CURADO+PALETA;0.13027892472172;2.49279524563822;57.987;19.134293984716454;21701.37;1134.161;3.0;enero
JAMON C.+P.ENTERO;0.0320613881256;0.43736674202141;6.999;13.641541043326976;3807.556;279.1148;4.0;enero
JAMON C.+P.LONCHA;0.09821750213569;2.05542804414438;55.704;20.927309282460744;17893.81;855.0459000000001;4.0;enero
JAMON CURADO NORMAL;0.09400914829732;1.63251469629014;50.159;17.365487570708797;14212.08;818.4095;3.0;enero
JAMON C.N.ENTER/PI;0.01788958163077;0.24993277947638;5.12;13.970856593223843;2175.824;155.74020000000002;4.0;enero
JAMON C.N.LONCHA;0.07611957815335;1.38258122760512;48.437;18.163280211822062;12036.25;662.6694;4.0;enero
JAMON IBERICO;0.02416341332378;0.62624873189681;10.712;25.917229635777883;5451.894;210.3579;3.0;enero
JAMON IBE.ENTER/PI;0.00914228469682;0.1248190139596;1.492;13.652934479599734;1086.629;79.58941;4.0;enero
JAMON IBE.LONCHA;0.01502112977564;0.5014297179372;9.337;33.381624779667895;4365.265;130.7685;4.0;enero
PALETA CURADA NORM.;0.0078587886965;0.10746768129476;4.241;13.674840416886404;935.5746;68.41575999999999;3.0;enero
PALETA C.N.ENTR/PI;0.0025669334179;0.0237754692731;0.081;9.262207234238115;206.9806;22.346790000000002;4.0;enero
PALETA C.N.LONCHA;0.0052918552786;0.08369221202166;4.164;15.815287383242994;728.594;46.06897;4.0;enero
PALETA IBERICA;0.00424755257916;0.12656443481356;2.22;29.79702604140609;1101.824;36.977650000000004;3.0;enero
PALETA IB.ENTER/PI;0.00246259756954;0.03883947931231;0.419;15.7717524749889;338.1224;21.43848;4.0;enero
PALETA IBE.LONCHA;0.00178495500962;0.08772498996168;1.895;49.146891371932995;763.7019;15.53917;4.0;enero
HUESOS JAMON CURADO;0.00183620341462;0.01018383056174;1.679;5.5461342031313725;88.65673;15.98532;3.0;enero
LOMO EMBUCHADO N+IB;0.01472107131202;0.31094083814235;13.901;21.122160986233215;2706.938;128.15630000000002;3.0;enero
LOMO EMB.AL CORTE;0.00555039007098;0.11671840033394;4.079;21.028864429565758;1016.108;48.31968;4.0;enero
LOMO EMB.ENVASADO;0.00917068238971;0.19422243780841;11.058;21.178624398349477;1690.83;79.83663;4.0;enero
LOMO EMB.NORMAL;0.01294499216086;0.24133501669271;12.659;18.64311802538547;2100.975;112.69439999999999;4.0;enero
LOMO E.N.AL CORTE;0.00495900541707;0.09637872797288;3.612;19.435092295112725;839.0382;43.1713;5.0;enero
LOMO E.N.ENVASADO;0.00798599018983;0.14495631169345;10.12;18.151326040700408;1261.937;69.52313000000001;5.0;enero
LOMO EMB.IBERICO;0.00177607685379;0.0696058903705;2.172;39.19080991444766;605.9635999999999;15.461879999999999;4.0;enero
LOMO E.I.AL CORTE;0.00059138545798;0.02033967236105;0.636;34.39325753872038;177.0698;5.148387;5.0;enero
LOMO E.I.ENVASADO;0.00118469219988;0.04926621800944;1.532;41.58566926843458;428.8938;10.3135;5.0;enero
OTRAS SALAZONES;0.02066465720344;0.16515885451088;9.521;7.9923345877409;1437.813;179.899;3.0;enero
O.SALAZONES AL COR;0.01235829182827;0.10226578726988;5.023;8.27507463740905;890.2888;107.5868;4.0;enero
O.SALAZONES ENVASA;0.00830636192912;0.06289305575419;4.761;7.571672928637047;547.5241;72.31217;4.0;enero
TOCINO Y MANTECA;0.0254681541801;0.1869670236986;17.113;7.341208254685601;1627.667;221.7165;3.0;enero
TOCINO;0.0026678301152;0.02051501852318;1.892;7.689776948791741;178.59629999999999;23.22516;4.0;enero
CHORIZOS;0.05550237296404;0.60635231257894;31.768;10.924799791383606;5278.683;483.1835;3.0;enero
CHOR.IBERICO;0.00915042425073;0.12262319526633;7.552;13.400820760461896;1067.513;79.66027;4.0;enero
CHOR.NORMAL;0.04635194526726;0.4837290024445;27.391;10.436002192686814;4211.169;403.52320000000003;4.0;enero
CHORIZO DE PAVO;0.00181858953941;0.02451589759048;2.025;13.480720667913932;213.4265;15.83198;4.0;enero
CHORIZO DE CERDO;0.05360925470081;0.58070341343577;31.021;10.832148603382839;5055.393;466.7027;4.0;enero
SALCHICHON/SALAMI;0.04846772386504;0.59520872798636;33.116;12.280517435555184;5181.671;421.9424;3.0;enero
SALCHICHON DE PAVO;0.0028525368792;0.04229290847846;3.841;14.826419523902526;368.18670000000003;24.83315;4.0;enero
SALCHICHON DE CERD;0.04509935453057;0.54452076446894;30.257;12.073803941025718;4740.4;392.61859999999996;4.0;enero
FUET/LONGANIZAS;0.04063101971038;0.50114438556463;26.278;12.334034172332888;4362.781;353.7189;3.0;enero
FUET/LONGANIZ.PAVO;0.00176479450853;0.02679343345358;1.88;15.182183151670891;233.2539;15.36366;4.0;enero
FUET/LONGANIZ.CERD;0.03873798185482;0.471694156226;24.902;12.176528916601532;4106.398;337.23879999999997;4.0;enero
OTROS PROD.CURADOS;0.01736252081825;0.2298531455312;13.4;13.238466230637018;2001.018;151.15179999999998;3.0;enero
O.PROD.CURAD.CORTE;0.00709797473655;0.09289740883086;5.688;13.087875384007642;808.7311;61.79239;4.0;enero
O.PROD.CURAD.ENVAS;0.0102645460817;0.13695574818715;8.674;13.342601523443363;1192.287;89.35941;4.0;enero
SALCHICHAS;0.12239621589105;0.4812255669663;35.215;3.9317029816890448;4189.375;1065.537;3.0;enero
JAMON COCIDO;0.07840591291329;0.8195892123958;39.522;10.453155660621993;7135.046;682.5734;3.0;enero
J.COC.SIN/BAJO SAL;0.00286999683114;0.02931446672544;2.451;10.214111182042133;255.2011;24.98515;4.0;enero
PALETA COCIDA;0.00484885609392;0.04898790407808;2.254;10.102981637140575;426.47090000000003;42.212379999999996;3.0;enero
FIAMBRES;0.1853940198701;1.5239562963921;61.101;8.220094140360464;13267.01;1613.973;3.0;enero
PAVO;0.09698788501997;0.86814912940184;42.013;8.951108988746611;7557.791;844.3413;4.0;enero
POLLO;0.00846491552299;0.09887965932638;7.662;11.681115902192465;860.8104000000001;73.69247999999999;4.0;enero
PROD.A BASE SANGRE;0.00956914491276;0.07727318704406;4.963;8.075244731740401;672.7123;83.3055;3.0;enero
MORCILLA;0.00935971738391;0.07570248057765;4.804;8.088116069379485;659.0383;81.48230000000001;4.0;enero
FOIE-GRAS Y PATES;0.02095778912033;0.19499641909923;18.244;9.304245690210353;1697.568;182.4509;3.0;enero
COCIDOS Y OTROS;0.03451723374793;0.35330166813124;26.882;10.235515125900806;3075.716;300.4945;3.0;enero
COCIDOS Y O. CORTE;0.00524384615416;0.06168705552084;5.494;11.763704294011394;537.0251;45.651019999999995;4.0;enero
COCIDOS Y O.ENVASA;0.02927338989113;0.29161462409721;23.465;9.961764769358448;2538.691;254.8435;4.0;enero
