Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;47.70279269731334;136.14150206684047;98.467;2.8539524495073865;74737.106162;26187.228934;0.0;enero
T.HUEVOS KGS;0.98347643453181;3.03393448446991;82.642;3.0849081665227773;1665.528;539.895488;1.0;enero
T.HUEVOS UNDS.;15.36681928955968;3.03393448446991;82.642;0.19743412265745774;1665.528;8435.867;1.0;enero
TOTAL HUEVOS GALLINA;15.36681928955968;3.03393448446991;82.642;0.19743412265745774;1665.528;8435.867;2.0;enero
OTRAS AVES;0.0;0.0;0.0;;0.0;0.0;2.0;enero
MIEL;0.00885190107767;0.08130275816402;2.38;9.184779342947149;44.63248;4.859395999999999;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.00885190107767;0.08130275816402;2.38;9.184779342947149;44.63248;4.859395999999999;2.0;enero
TOTAL CARNE;2.68701523678158;23.32634694147522;93.087;8.681136832485809;12805.38;1475.081;1.0;enero
CARNE CERTIFICADA;0.34883375476546;4.13142612184277;51.109;11.843538835914737;2268.014;191.498;2.0;enero
CARNE FRESCA;2.11818439903467;16.70192839712349;86.226;7.885020966415897;9168.797;1162.812;2.0;enero
SALCHICHAS FRESCAS;0.01430349367953;0.12595159523421;6.749;8.805652524911372;69.14319;7.852137;3.0;enero
CARNE VACUNO;0.36365706717292;4.82588578459649;47.134;13.270430359329877;2649.249;199.6355;3.0;enero
TERNERA;0.23392143321709;3.11189007949016;40.781;13.303142156290155;1708.323;128.415;4.0;enero
AÑOJO;0.12126209121019;1.62926082413147;23.912;13.43586283125686;894.4094;66.56881;4.0;enero
MAYOR;0.00847346259501;0.08473464416618;2.516;10.00000214977666;46.51647;4.6516459999999995;4.0;enero
CARNE POLLO;0.88319854678975;4.66550073215688;75.152;5.2825049917881195;2561.203;484.8463;3.0;enero
POLLO ENTERO;0.19948070780691;0.74100495479341;23.277;3.714669769021863;406.78679999999997;109.5082;4.0;enero
POLLO FILETES;0.08569131479108;0.65971400063115;28.722;7.698726554021808;362.1608;47.041650000000004;4.0;enero
POLLO POR PIEZAS;0.59802643311149;3.26478286969544;66.69;5.459261813410077;1792.256;328.2964;4.0;enero
CARNE CONEJO;0.0202269767546;0.17925475115122;5.186;8.862162315504511;98.40483;11.10393;3.0;enero
CARNE OVINO/CAPRINO;0.02329590791839;0.36538449539486;5.988;15.684492601654433;200.5838;12.78867;3.0;enero
CORDERO;0.02329590791839;0.36538449539486;5.988;15.684492601654433;200.5838;12.78867;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.02329590791839;0.36538449539486;5.988;15.684492601654433;200.5838;12.78867;4.0;enero
CARNE CERDO;0.6472607787642;5.2842235150378;74.794;8.163979169457543;2900.861;355.3244;3.0;enero
CARNE CERDO ADOBAD;0.11060174784041;0.92992545286901;27.241;8.407873031182227;510.4978;60.71664;4.0;enero
CARN.CERDO IBERICO;0.02959239562778;0.31036473159087;5.622;10.487989397503144;170.3798;16.24523;4.0;enero
CARNE DESPOJOS;0.01764813025687;0.23496794541102;4.37;13.314041883811594;128.9895;9.688229999999999;3.0;enero
DESPOJOS CERDO;0.01513555193513;0.22556390850736;2.538;14.902919264129622;123.827;8.308909;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.00251257832174;0.00940412798391;1.832;3.7428198367167616;5.16255;1.379321;4.0;enero
DESPOJOS TERNERA;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.16289611700742;1.14671159234438;30.188;7.039526867863601;629.5061;89.42449;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.05880675352604;0.42398353127865;18.299;7.209776188220834;232.7527;32.28293;4.0;enero
OTRAS AVES;0.00830360883868;0.06794760490876;4.777;8.182900498902905;37.30095;4.558402;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.00599946951485;0.04885936821994;2.764;8.14394807723196;26.82215;3.293507;2.0;enero
C.CONG.POLLO;0.0034691997633;0.01982913817644;0.587;5.715767188210498;10.885530000000001;1.904474;3.0;enero
C.CONG.CERDO;0.00140860359142;0.01963812465397;1.055;13.941555149778347;10.78067;0.773276;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.00112166433852;0.00939209628149;1.398;8.373357303867117;5.155945;0.615756;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.56283302042797;6.57555762776736;87.68;11.682963488473554;3609.76;308.9764;2.0;enero
JAMON CURADO+PALETA;0.06411440106249;1.80725241958098;38.147;28.187932658363795;992.1208;35.19665;3.0;enero
JAMON C.+P.ENTERO;0.00485145201373;0.12928017800483;7.502;26.647728894102173;70.97047;2.663284;4.0;enero
JAMON C.+P.LONCHA;0.05926295633517;1.67797218692799;34.464;28.31401419527089;921.1503;32.53337;4.0;enero
